OrganisationName,OrganisationalUnit,BeneficiaryName,PaymentDate,Amount,Purpose,CategoryInternal,OrganisationURI
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,864.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,DIPS EOTAS,Targeted Provision Ltd,22/12/2023,2304.00, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,DIPS EOTAS,Targeted Provision Ltd,22/12/2023,960.00, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,DIPS EOTAS,Targeted Provision Ltd,22/12/2023,2821.50, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,2340.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,864.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,576.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,1152.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,1368.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,2520.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,1260.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,504.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,576.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,576.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,576.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,DIPS EOTAS,Targeted Provision Ltd,22/12/2023,1425.60, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,1368.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,1188.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,576.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,972.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Virtual School - Pupil Premium,Targeted Provision Ltd,22/12/2023,576.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
