OrganisationName,OrganisationalUnit,BeneficiaryName,PaymentDate,Amount,Purpose,CategoryInternal,OrganisationURI,
Staffordshire County Council,Cicely Haughton School,A2B Airport Travel,23/06/2023,3189.42,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,"Server, Storage and DBA",A4S Cloud Solutions,20/06/2023,12402.00,Purchase of Hardware,Purchase of Hardware,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Headquarters - I.S.P,Abacus Fostering LTD,27/06/2023,2951.66,Social Services Oth Local Auth,Social Services Oth Local Auth,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Headquarters - I.S.P,Abacus Fostering LTD,27/06/2023,13146.68,Social Services Oth Local Auth,Social Services Oth Local Auth,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Headquarters - I.S.P,Abacus Fostering LTD,27/06/2023,5754.82,Social Services Oth Local Auth,Social Services Oth Local Auth,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Headquarters - I.S.P,Abacus Psychology Services,27/06/2023,905.50,Social Services Oth Local Auth,Social Services Oth Local Auth,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Special Schools Maintained Rec,ABBEY HILL SCHOOL ,19/06/2023,58754.82,Payments to other Authorities,Payments to other Authorities,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Abbey School,14/06/2023,76204.67,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,TAM Child in Care/Care Leavers,ABC Coaches (2002) Ltd,28/06/2023,2592.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Stat-OOC transport,ABC Coaches (2002) Ltd,28/06/2023,5668.92,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent Sch Nursery 3&4yr,ABC Early Learning & Childcare Cent,07/06/2023,1780.66,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to school transport-main,ABC Taxis,23/06/2023,1440.00,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Stat-OOC transport,Abdul Mojid TA Abduls Private Hire,23/06/2023,2141.46,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Abigial Daly,09/06/2023,602.29,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,08/06/2023,610.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,08/06/2023,686.70,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,08/06/2023,610.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,08/06/2023,610.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,23/06/2023,610.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,23/06/2023,610.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,23/06/2023,686.70,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,23/06/2023,686.70,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,23/06/2023,610.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,23/06/2023,610.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,23/06/2023,610.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,30/06/2023,610.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,30/06/2023,686.70,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,30/06/2023,610.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock Invoice Led Older Peop,Ability Healthcare Cannock LTD,30/06/2023,610.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Virtual School - Pupil Premium,Above N Beyond Limited,02/06/2023,1350.00,Contingency,Contingency,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Virtual School - Pupil Premium,Above N Beyond Limited,29/06/2023,1620.00,Contingency,Contingency,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,USAC Programme,Above N Beyond Limited,28/06/2023,13500.00,Contribution to from Reserves,Contribution to from Reserves,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,VS Cont Migration,Above N Beyond Limited,29/06/2023,3300.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle LD Team,Above N Beyond Limited,21/06/2023,818.40,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Think 2 Project,ACADEMY EARLY YEARS CHILDCARE LTD,09/06/2023,1105.65,Awards Funded Childcare Places,Awards Funded Childcare Places,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,ACADEMY EARLY YEARS CHILDCARE LTD,09/06/2023,10394.86,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle Invoice Led Older Pe,Acadia Support Services LTD,06/06/2023,1231.70,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle Invoice Led Older Pe,Acadia Support Services LTD,12/06/2023,3369.00,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Stafford Invoice Led Older Peo,Acadia Support Services LTD,06/06/2023,5230.55,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle Invoice Led Older Pe,Acadia Support Services LTD,14/06/2023,8054.16,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle Invoice Led Older Pe,Acadia Support Services LTD,14/06/2023,3446.11,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Headquarters - I.S.P,Accalia Care Services Ltd,27/06/2023,22714.29,Specialist Childs Res Services,Specialist Childs Res Services,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle MH Team U65,Access Hope Ltd,05/06/2023,4299.62,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle MH Team U65,Access Hope Ltd,19/06/2023,4299.62,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Concessionary Fare Schemes,ACCESS INDEPENDENT LTD,28/06/2023,1333.80,OTHER HIRED SERVICES,OTHER HIRED SERVICES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,E Staffs LD Team,Achieve Together Ltd,05/06/2023,1824.42,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,E Staffs LD Team,Achieve Together Ltd,05/06/2023,1333.64,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle LD Team,Achieve Together Ltd,05/06/2023,1500.10,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle LD Team,Achieve Together Ltd,05/06/2023,1371.62,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle LD Team,Achieve Together Ltd,05/06/2023,1309.30,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,E Staffs LD Team,Achieve Together Ltd,05/06/2023,1444.88,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,E Staffs LD Team,Achieve Together Ltd,19/06/2023,1824.42,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle LD Team,Achieve Together Ltd,19/06/2023,1500.10,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle LD Team,Achieve Together Ltd,19/06/2023,1371.62,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,E Staffs LD Team,Achieve Together Ltd,19/06/2023,1306.72,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Newcastle LD Team,Achieve Together Ltd,19/06/2023,1309.30,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,E Staffs LD Team,Achieve Together Ltd,19/06/2023,1444.88,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Stafford LD Team,Achieve Together Ltd,16/06/2023,2616.60,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Stafford LD Team,Achieve Together Ltd,22/06/2023,3823.72,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Stafford LD Team,Achieve Together Ltd,22/06/2023,7563.96,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Stafford LD Team,Achieve Together Ltd,16/06/2023,2307.00,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,E Staffs LD Team,Achieve Together Ltd,22/06/2023,5276.80,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,E Staffs LD Team,Achieve Together Ltd,22/06/2023,4959.16,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,E Staffs LD Team,Achieve Together Ltd,16/06/2023,2616.60,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,E Staffs LD Team,Achieve Together Ltd,16/06/2023,2568.96,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Acorn Care & Education Ltd,14/06/2023,27006.08,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Acorn Care & Education Ltd,07/06/2023,1536.93,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Acorn Care & Education Ltd,21/06/2023,28785.75,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Acorn Care & Education Ltd,28/06/2023,16006.66,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Acorn Care & Education Ltd,28/06/2023,16006.67,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Acorn Care & Education Ltd,28/06/2023,17120.70,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Acorn Care & Education Ltd,28/06/2023,18472.34,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Acorn Care & Education Ltd,28/06/2023,18472.33,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Acorn Care & Education Ltd,28/06/2023,4395.62,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Acorn Care & Education Ltd,28/06/2023,7259.97,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Acorn Care & Education Ltd,28/06/2023,22710.67,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Headquarters - I.S.P,Acorn Care & Education Ltd Sales,27/06/2023,18878.57,Specialist Childs Res Services,Specialist Childs Res Services,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Headquarters - I.S.P,Acorn Care & Education Ltd Sales,27/06/2023,16590.00,Specialist Childs Res Services,Specialist Childs Res Services,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Headquarters - I.S.P,ACORN FOSTERING SERVICES LTD,27/06/2023,7650.31,Social Services Oth Local Auth,Social Services Oth Local Auth,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,TAM Child in Care/Care Leavers,Acorn Taxis Ltd,29/06/2023,1200.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Chaselea Short Stay School,Acorn Taxis Ltd,29/06/2023,27936.40,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,ESFA Community Learning,Acorn Training Ltd,07/06/2023,7401.00,Courses,Courses,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,ESFA Community Learning,Acorn Training Ltd,07/06/2023,16905.00,Courses,Courses,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Workshop Overheads,ACP SERVICES LTD,14/06/2023,600.00,Repair and Maintenance,Repair and Maintenance,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Specialist Assessment,ACPAS LTD,01/06/2023,846.58,Prev Supp Legal Costs,Prev Supp Legal Costs,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Specialist Assessment,ACPAS LTD,01/06/2023,846.58,Prev Supp Legal Costs,Prev Supp Legal Costs,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Sth Staffs OP Team 1,Action Deafness,05/06/2023,837.12,INTERPRETERS SERVICE,INTERPRETERS SERVICE,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Sth Staffs OP Team 1,Action Deafness,19/06/2023,837.12,INTERPRETERS SERVICE,INTERPRETERS SERVICE,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,2520.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,1260.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,840.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,1260.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,1260.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,1260.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,2940.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,840.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,1680.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,1260.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,840.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,19/06/2023,840.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,07/06/2023,1260.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,14/06/2023,1680.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,14/06/2023,840.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,14/06/2023,4200.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,14/06/2023,1680.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,Action First Assessments Ltd,14/06/2023,840.00,Independent Investigations,Independent Investigations,http://opendatacommunities.org/id/county-council/staffordshire  ,
