Date Transaction Added,Beneficiary,Merchant Categories,Department,Purpose of Expenditure,Trans No,Net Amount
04/06/2024,Halton Housing,Social Community Care - Adult Frontline Services,Adult Social Care,Supporting People - Payments to Providers,528594,"20,487.27"
01/05/2024,Halton Housing,Social Community Care - Adult Frontline Services,Adult Social Care,Supporting People - Payments to Providers,10629639,"10,362.17"
31/05/2024,Halton Housing,Social Community Care - Adult Frontline Services,Adult Social Care,Supporting People - Payments to Providers,10629701,"10,362.17"
02/04/2024,Halton Speak Out CIO,Social Community Care - Vol Sector & Carers Breaks,Adult Social Care,Salary Reimbursements,523724,"9,250.00"
14/05/2024,Halton Speak Out CIO,Social Community Care - Vol Sector & Carers Breaks,Adult Social Care,Salary Reimbursements,10629659,"9,712.50"
16/04/2024,MRI Software Limited T/A Housing Partners Limited,ICT - Services & Software,Adult Social Care,Supporting People - Payments to Providers,524626,"17,997.00"
01/05/2024,People Potential Possibilities T/a P3 Charity,Social Community Care  - Adult - Nursing Homes,Adult Social Care,Supporting People - Payments to Providers,2400398,"14,419.00"
01/05/2024,People Potential Possibilities T/a P3 Charity,Social Community Care  - Adult - Nursing Homes,Adult Social Care,Supporting People - Payments to Providers,10629637,"13,729.00"
31/05/2024,People Potential Possibilities T/a P3 Charity,Social Community Care  - Adult - Nursing Homes,Adult Social Care,Supporting People - Payments to Providers,10629698,"13,729.00"
01/05/2024,Plus Dane (Merseyside),Property & Estate Management - Housing,Adult Social Care,Supporting People - Payments to Providers,2400353,"28,334.00"
01/05/2024,Plus Dane (Merseyside),Property & Estate Management - Housing,Adult Social Care,Supporting People - Payments to Providers,2400396,"30,111.80"
01/05/2024,Plus Dane (Merseyside),Property & Estate Management - Housing,Adult Social Care,Supporting People - Payments to Providers,10629643,"28,333.00"
31/05/2024,Plus Dane (Merseyside),Property & Estate Management - Housing,Adult Social Care,Supporting People - Payments to Providers,10629704,"28,333.00"
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Telephone Charges,31962198,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
20/06/2024,Digital Arts Box CIC,Leisure Services - Artist Fees,Adult Social Care,Grants to Voluntary Organisations,2402278,"2,998.00"
20/06/2024,Hazlehurst Craft Studios CIC,Leisure Services - Artist Fees,Adult Social Care,Grants to Voluntary Organisations,2402275,"1,265.00"
17/05/2024,OLM Systems Ltd,ICT - Carefirst,Adult Social Care,Computer Software Licences,2400411,"25,000.00"
13/06/2024,OLM Systems Ltd,ICT - Carefirst,Adult Social Care,General Computer Expenditure,2401079,"22,000.00"
20/06/2024,Sean Bailey Wellness CIC,Financial Services - Grants,Adult Social Care,Grants to Voluntary Organisations,2402277,"2,964.00"
08/04/2024,Supra UK Ltd,Facilities Mgmt - Security Services & Systems,Adult Social Care,Non Office Equipment & Furniture,2399524,924.00
17/05/2024,Supra UK Ltd,Facilities Mgmt - Security Services & Systems,Adult Social Care,Non Office Equipment & Furniture,2400609,924.00
20/05/2024,Supra UK Ltd,Facilities Mgmt - Security Services & Systems,Adult Social Care,Non Office Equipment & Furniture,2401063,924.00
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
02/04/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31942818,3.50
02/04/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31942818,4.00
02/04/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31942818,38.00
04/04/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31944228,"1,167.92"
12/04/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31946189,"1,148.45"
12/04/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31946189,"1,150.00"
18/04/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31948027,"1,215.84"
18/04/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31948027,"1,465.03"
25/04/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31950416,697.75
25/04/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31950416,"1,148.45"
02/05/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31951710,"1,440.43"
02/05/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31951710,"1,484.08"
16/05/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31955049,984.48
16/05/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31955049,"1,433.93"
23/05/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31956426,"1,252.14"
06/06/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31959910,"1,342.35"
14/06/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31961371,"1,222.55"
20/06/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31964057,"1,556.44"
27/06/2024,Matrix SCM Limited,HR - Temporary & Agency Staff,Adult Social Care,Non HBC Agency Staff,31965034,697.76
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962198,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962198,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
01/05/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31951450,3.50
01/05/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31951450,38.00
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
02/04/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31942818,3.50
02/04/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31942818,38.00
04/06/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31959606,3.50
04/06/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31959606,4.00
04/06/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31959606,38.00
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962198,0.75
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.76
02/04/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31942818,3.50
02/04/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31942818,38.00
01/05/2024,Complete Background Screening Limited,School Support Suppliers,Adult Social Care,Other Salary Costs,31951450,4.00
17/06/2024,Vodafone Corporate Limited,ICT - Telecoms - Mobile,Adult Social Care,Mobile Phones & Pagers,31962201,0.75
08/05/2024,BRITISH TELECOM,ICT - Telecoms Fixed & Networks,Adult Social Care,Telephone Charges,31953417,35.97
08/05/2024,BRITISH TELECOM,ICT - Telecoms Fixed & Networks,Adult Social Care,Telephone Charges,31953417,86.67
08/05/2024,BRITISH TELECOM,ICT - Telecoms Fixed & Networks,Adult Social Care,Telephone Charges,31953417,103.63
29/04/2024,British Telecommunications PLC,ICT - Telecoms Fixed & Networks,Adult Social Care,R & M - Non Property Services,31950513,11.99
28/05/2024,British Telecommunications PLC,ICT - Telecoms Fixed & Networks,Adult Social Care,R & M - Non Property Services,31957420,11.99
25/06/2024,British Telecommunications PLC,ICT - Telecoms Fixed & Networks,Adult Social Care,R & M - Non Property Services,31964275,11.99
09/04/2024,EDF Energy,Utilities - Electricity,Adult Social Care,Utility Bills,31945530,"1,071.62"
21/05/2024,EDF Energy,Utilities - Electricity,Adult Social Care,Utility Bills,31956213,667.31
11/06/2024,EDF Energy,Utilities - Electricity,Adult Social Care,Utility Bills,31960578,711.33
28/05/2024,Parklands Services (NW) Ltd,School Support Suppliers,Adult Social Care,R & M - Non Property Services,31957707,822.93
28/05/2024,Totalenergies Gas & Power Limited,Utilities - Gas,Adult Social Care,Utility Bills,31957612,951.71
07/05/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,31952715,"6,090.00"
07/05/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,31952715,"6,090.00"
07/05/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,31952727,"9,135.00"
07/05/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,31952727,"9,135.00"
20/05/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,31955892,487.20
20/05/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,31955892,487.20
05/06/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,31959905,"6,577.20"
05/06/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,31959905,"6,577.20"
26/06/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,31964929,"6,577.20"
26/06/2024,Accomplish Group Lifestyles Limited,Social Community Care - Domicilary - Out of Borough,Adult Social Care,Domiciliary Care,31964929,"6,577.20"
27/06/2024,Alternative Futures Group Limited,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31964980,"3,196.26"
27/06/2024,Alternative Futures Group Limited,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31964980,"3,197.82"
11/04/2024,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,31945765,"3,650.40"
11/04/2024,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,31945765,"3,650.45"
10/05/2024,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,31953608,"3,049.28"
10/05/2024,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,31953608,"3,049.36"
11/04/2024,Bod Hyfryd Care Limited,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31945788,"1,665.34"
11/04/2024,Bod Hyfryd Care Limited,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31945788,"1,665.34"
05/04/2024,Care In Mind Residential Services Limited,Residential - Adult Care - Support,Adult Social Care,Residential Care,31944242,"12,920.00"
05/04/2024,Care In Mind Residential Services Limited,Residential - Adult Care - Support,Adult Social Care,Residential Care,31944242,"12,920.00"
03/05/2024,Care In Mind Residential Services Limited,Residential - Adult Care - Support,Adult Social Care,Residential Care,31951723,"11,164.00"
03/05/2024,Care In Mind Residential Services Limited,Residential - Adult Care - Support,Adult Social Care,Residential Care,31951723,"11,164.00"
06/06/2024,Care In Mind Residential Services Limited,Residential - Adult Care - Support,Adult Social Care,Residential Care,31959912,"11,164.00"
06/06/2024,Care In Mind Residential Services Limited,Residential - Adult Care - Support,Adult Social Care,Residential Care,31959912,"11,164.00"
04/04/2024,Chestnut house Nursing Home Limited (Sherdley Manor),Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31943817,"6,096.00"
04/04/2024,Chestnut house Nursing Home Limited (Sherdley Manor),Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31943817,"6,096.00"
13/06/2024,Chestnut house Nursing Home Limited (Sherdley Manor),Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31961305,"1,511.16"
13/06/2024,Chestnut house Nursing Home Limited (Sherdley Manor),Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31961305,"1,511.16"
18/04/2024,Community Integrated Care Ltd,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31948036,"1,493.25"
18/04/2024,Community Integrated Care Ltd,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31948036,"6,067.38"
18/04/2024,Community Integrated Care Ltd,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31948036,"6,067.38"
16/05/2024,Community Integrated Care Ltd,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31955081,844.76
16/05/2024,Community Integrated Care Ltd,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31955081,"5,242.70"
16/05/2024,Community Integrated Care Ltd,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31955081,"5,242.70"
26/06/2024,Community Integrated Care Ltd,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31964533,156.40
26/06/2024,Community Integrated Care Ltd,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31964533,"5,242.70"
26/06/2024,Community Integrated Care Ltd,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31964533,"5,242.70"
01/05/2024,Creative Support Ltd,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31951473,399.73
01/05/2024,Creative Support Ltd,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,31951473,399.74
11/04/2024,Edgewater Health Care Ltd - Exemplar,Social Community Care - Adult - Residential,Adult Social Care,Residential Care,31945784,"14,305.76"
11/04/2024,Edgewater Health Care Ltd - Exemplar,Social Community Care - Adult - Residential,Adult Social Care,Residential Care,31945784,"14,305.76"
03/05/2024,Edgewater Health Care Ltd - Exemplar,Social Community Care - Adult - Residential,Adult Social Care,Residential Care,31951722,"8,689.72"
03/05/2024,Edgewater Health Care Ltd - Exemplar,Social Community Care - Adult - Residential,Adult Social Care,Residential Care,31951722,"8,689.72"
04/06/2024,Edgewater Health Care Ltd - Exemplar,Social Community Care - Adult - Residential,Adult Social Care,Residential Care,31959418,"8,689.72"
04/06/2024,Edgewater Health Care Ltd - Exemplar,Social Community Care - Adult - Residential,Adult Social Care,Residential Care,31959418,"8,689.72"
04/04/2024,Ferndale Court (HC-One),Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31944230,"1,683.25"
04/04/2024,Ferndale Court (HC-One),Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31944230,"1,683.30"
02/05/2024,Ferndale Court (HC-One),Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31951559,"1,346.60"
02/05/2024,Ferndale Court (HC-One),Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31951559,"1,346.64"
27/06/2024,Ferndale Court (HC-One),Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31964969,"1,481.28"
27/06/2024,Ferndale Court (HC-One),Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31964969,"1,481.28"
27/06/2024,Ferndale Mews (HC-One),Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31964970,740.64
10/04/2024,Golden Care Group Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31945760,"9,863.70"
10/04/2024,Golden Care Group Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31945760,"9,863.70"
07/05/2024,Golden Care Group Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31952718,"7,890.96"
07/05/2024,Golden Care Group Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31952718,"7,890.96"
05/06/2024,Golden Care Group Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31959908,"7,890.96"
05/06/2024,Golden Care Group Limited,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31959908,"7,890.96"
10/04/2024,Gray Healthcare T/A Hollins Park,Residential - Adults Nursing In Borough,Adult Social Care,Domiciliary Care,31945756,"11,503.80"
10/04/2024,Gray Healthcare T/A Hollins Park,Residential - Adults Nursing In Borough,Adult Social Care,Domiciliary Care,31945756,"11,503.80"
26/04/2024,Gray Healthcare T/A Hollins Park,Residential - Adults Nursing In Borough,Adult Social Care,Domiciliary Care,31950498,"9,203.04"
26/04/2024,Gray Healthcare T/A Hollins Park,Residential - Adults Nursing In Borough,Adult Social Care,Domiciliary Care,31950498,"9,203.04"
13/05/2024,Gray Healthcare T/A Hollins Park,Residential - Adults Nursing In Borough,Adult Social Care,Domiciliary Care,31953678,"9,203.04"
13/05/2024,Gray Healthcare T/A Hollins Park,Residential - Adults Nursing In Borough,Adult Social Care,Domiciliary Care,31953678,"9,203.04"
05/06/2024,Gray Healthcare T/A Hollins Park,Residential - Adults Nursing In Borough,Adult Social Care,Domiciliary Care,31959899,"9,203.04"
05/06/2024,Gray Healthcare T/A Hollins Park,Residential - Adults Nursing In Borough,Adult Social Care,Domiciliary Care,31959899,"9,203.04"
26/06/2024,Gray Healthcare T/A Hollins Park,Residential - Adults Nursing In Borough,Adult Social Care,Domiciliary Care,31964930,"9,203.04"
26/06/2024,Gray Healthcare T/A Hollins Park,Residential - Adults Nursing In Borough,Adult Social Care,Domiciliary Care,31964930,"9,203.04"
08/05/2024,Halton Housing,Social Community Care - Adult Frontline Services,Adult Social Care,Rent,2400614,"1,863.40"
04/04/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31944229,"1,683.25"
04/04/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31944229,"1,683.30"
04/04/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31944229,"2,784.30"
30/04/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31950628,"1,346.60"
30/04/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31950628,"1,346.64"
30/04/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31950628,"2,450.20"
30/05/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31958242,"1,346.60"
30/05/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31958242,"1,346.64"
30/05/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31958242,"2,450.20"
27/06/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31964968,"1,481.28"
27/06/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31964968,"1,481.28"
27/06/2024,Hill Care 1 Limited T/a Halton View Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,31964968,"2,450.20"
11/04/2024,IMAGINE,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31945781,398.04
11/04/2024,IMAGINE,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31945781,398.04
13/05/2024,IMAGINE,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31953667,385.20
13/05/2024,IMAGINE,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31953667,385.20
20/05/2024,IMAGINE,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31955890,359.52
20/05/2024,IMAGINE,Social Community Care - Domicilary/ Adult care,Adult Social Care,Domiciliary Care,31955890,359.52
08/04/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31945218,"1,737.50"
08/04/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31945218,"1,737.50"
08/04/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31945218,"4,373.60"
08/04/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31945218,"4,373.65"
08/04/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31945218,"7,648.70"
09/05/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31953502,"1,530.00"
09/05/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31953502,"1,530.00"
09/05/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31953502,"4,032.32"
09/05/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31953502,"4,032.36"
09/05/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31953502,"7,121.16"
04/06/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31959423,"1,530.00"
04/06/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31959423,"1,530.00"
04/06/2024,Indigo Care part of Orchard Care Homes Group,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,31959423,"4,032.32"
