Date Transaction Added,Beneficiary,Merchant Categories,Department,Purpose of Expenditure,Trans No,Net Amount
05/03/2025,Achieve Together Limited  (Arrowe Hall),Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,32030426,19486.80
24/03/2025,Redacted Personal Data,Legal Services - Legal Opinion - Barristers,Adult Social Care,Legal Expenses,551392,2500.00
21/02/2025,Adams Sales Limited - t/a adams estate agents,Building Construction - Building Maintenance & Rep,Adult Social Care,Rent,2410820,500.00
07/01/2025,Adamstan Limited,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,32016241,2866.32
05/02/2025,Adamstan Limited,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,32023441,2866.32
05/03/2025,Adamstan Limited,Residential - Adults Nursing Out of Borough,Adult Social Care,Residential Care,32030420,4966.32
16/01/2025,Advinia Health Care Limited t/aBedford Care Home,Residential - Adults Nursing In Borough,Adult Social Care,Residential Care,32019006,2661.57
07/03/2025,Advinia Health Care Ltd T/A Burrswood Care Home,Social Community Care - Adult - Residential,Adult Social Care,Residential Care,32030600,5293.30
05/02/2025,Age Concern Mid Mersey (TA Age UK Mid Mersey),Social Community Care - Adult Frontline Services,Adult Social Care,Commissioned Services - Voluntary Orgs,2410258,3577.98
12/02/2025,Age Concern Mid Mersey (TA Age UK Mid Mersey),Social Community Care - Adult Frontline Services,Adult Social Care,Commissioned Services - Voluntary Orgs,10630224,9893.67
28/02/2025,Age Concern Mid Mersey (TA Age UK Mid Mersey),Social Community Care - Adult Frontline Services,Adult Social Care,Commissioned Services - Voluntary Orgs,10630254,9893.67
07/02/2025,AJB Rentals Ltd,Consultancy - Housing,Adult Social Care,Bed & Breakfast Accomodation,2410316,690.00
11/02/2025,All 4 Pets Ltd,Professional Services - Animal Boarding,Adult Social Care,Contracted Services,548008,527.00
12/03/2025,All 4 Pets Ltd,Professional Services - Animal Boarding,Adult Social Care,Contracted Services,550311,527.00
19/02/2025,Alpha Cars Liverpool Ltd,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025848,560.01
02/01/2025,Alternative Futures Group Limited,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,32016058,1598.85
02/01/2025,Alternative Futures Group Limited,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,32016058,1598.96
23/01/2025,Alternative Futures Group Limited,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,32020467,1598.91
23/01/2025,Alternative Futures Group Limited,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,32020467,1599.02
20/02/2025,Alternative Futures Group Limited,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,32026509,1598.91
20/02/2025,Alternative Futures Group Limited,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,32026509,1599.02
27/03/2025,Alternative Futures Group Limited,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,32034558,1598.53
27/03/2025,Alternative Futures Group Limited,Social Community Care - Adult Frontline Services,Adult Social Care,Domiciliary Care,32034558,1599.28
31/01/2025,ALWAYS OZZY LTD t/s Betheny Nursing Care Services,Consultancy - Health  & Social Care,Adult Social Care,Non HBC Agency Staff,547114,1155.00
17/01/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32019086,7674.24
17/01/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32019086,7674.24
17/02/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32025289,7674.24
17/02/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32025289,7674.24
12/03/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32031437,7662.82
12/03/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32031437,7674.24
17/01/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32019086,41944.56
17/01/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32019086,41944.56
17/01/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32019086,60468.49
17/02/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32025289,41944.56
17/02/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32025289,41944.56
17/02/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32025289,60615.11
12/03/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32031437,41944.56
12/03/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32031437,41944.56
12/03/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32031437,46066.53
17/01/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32019086,29201.96
17/02/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32025289,27586.28
12/03/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32031437,28394.12
17/01/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32019086,319.76
17/02/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32025289,9919.46
12/03/2025,Amore Complex Care Limited,Social Community Care - Adult - Residential,Adult Social Care,Domiciliary Care,32031437,8245.74
24/01/2025,Anavo Care (Brampton) Limited,HR - Training & Conferences,Adult Social Care,Residential Care,32020481,6504.00
07/02/2025,Anavo Care (Brampton) Limited,HR - Training & Conferences,Adult Social Care,Residential Care,32023600,3252.00
10/01/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32017357,3183.96
10/01/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32017357,3184.00
14/02/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32025266,3183.96
14/02/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32025266,3184.00
07/03/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32030590,3183.96
07/03/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32030590,3184.00
10/01/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32017357,1481.28
10/01/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32017357,1481.28
10/01/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32017357,5847.96
10/01/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32017357,18108.76
14/02/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32025266,1481.28
14/02/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32025266,1481.28
14/02/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32025266,9210.52
14/02/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32025266,15170.84
07/03/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32030590,1481.28
07/03/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32030590,1481.28
07/03/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32030590,6840.37
07/03/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32030590,15170.84
10/01/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32017357,1698.88
10/01/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32017357,1698.88
10/01/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32017357,15828.08
10/01/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32017357,73497.60
14/02/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32025266,1698.88
14/02/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32025266,1698.88
14/02/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32025266,12265.52
14/02/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32025266,74678.02
07/03/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32030590,2388.38
07/03/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32030590,2388.40
07/03/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32030590,13458.79
07/03/2025,Anchor Hanover Group t/a Widnes Hall,Residential - Adult Care - Support,Adult Social Care,Residential Care,32030590,72960.10
02/01/2025,Angel Healthcare Professionals Limited,Consultancy - Health  & Social Care,Adult Social Care,Domiciliary Care,32016059,6642.00
22/01/2025,Angel Healthcare Professionals Limited,Consultancy - Health  & Social Care,Adult Social Care,Domiciliary Care,32019975,6863.40
25/02/2025,Angel Healthcare Professionals Limited,Consultancy - Health  & Social Care,Adult Social Care,Domiciliary Care,32027262,6863.40
12/03/2025,Angel Healthcare Professionals Limited,Consultancy - Health  & Social Care,Adult Social Care,Domiciliary Care,32031414,6199.20
08/01/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32016488,975.10
25/02/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32027420,922.95
25/03/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32034325,837.04
25/02/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32027457,621.46
25/03/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32034308,563.36
08/01/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32016473,1167.67
25/02/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32027459,1113.28
25/03/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32034250,1051.66
25/03/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32034409,1474.98
25/03/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32034306,1309.86
25/03/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32034228,3186.44
08/01/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32016520,1056.87
21/01/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32019725,1102.55
25/03/2025,Anglian Water Business (National) Limited t/a Wave Utilities,Property & Estate Management,Adult Social Care,Utility Bills,32034238,1537.98
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Miscellaneous Transport Costs,32025964,50.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32018286,48.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018286,1498.20
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32018287,36.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018287,1179.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018289,2030.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018292,1023.84
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018293,1325.44
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32018294,32.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018294,528.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018296,3208.08
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018297,1200.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32018299,68.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018299,2550.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018355,402.63
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018358,1155.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32018432,200.00
04/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32022672,200.00
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32025833,64.00
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025833,1976.35
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32025834,48.00
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025834,1572.00
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025836,2537.50
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025837,660.00
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025838,767.88
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025839,1620.40
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32025841,28.00
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025841,528.00
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025844,2458.08
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025845,1350.00
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32025847,88.00
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025847,3300.00
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025896,503.49
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32025899,1402.50
21/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32026526,50.00
21/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32026526,65.64
21/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32026526,268.20
21/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32026526,325.00
21/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32026526,517.60
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32030792,48.00
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030792,1472.70
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32030793,36.00
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030793,1179.00
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030794,2030.00
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030796,1061.88
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030797,1492.74
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32030798,32.00
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030798,528.00
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030799,1638.72
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030800,1200.00
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32030801,80.00
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32030801,3000.00
11/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Vehicle Maintenance Unit,32030845,1155.00
13/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32031710,402.63
19/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Transport Co-ordination,32032733,89.40
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Travel & Subsistence,32018432,30.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Travel & Subsistence,32018434,42.00
13/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Travel & Subsistence,32018435,5.00
15/01/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Travel & Subsistence,32018936,57.00
19/02/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Travel & Subsistence,32025964,73.92
19/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Travel & Subsistence,32032730,41.54
19/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Travel & Subsistence,32032733,26.70
21/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Travel & Subsistence,32033939,6.00
21/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Travel & Subsistence,32033942,99.85
26/03/2025,APEC GROUP ASSOCIATION,Transport - Taxi Services,Adult Social Care,Travel & Subsistence,32034542,35.54
02/01/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,544879,4022.78
02/01/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,544881,3386.84
29/01/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,546874,509.16
10/02/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,547425,833.12
11/02/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,547991,835.79
12/02/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,548164,792.01
19/02/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,548661,904.76
19/02/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,548740,836.09
24/02/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,548871,998.09
04/03/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,549586,994.96
04/03/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,549589,1165.92
05/03/2025,Apetito,Catering - Community meals,Adult Social Care,Food & Drink Provisions,549698,584.86
