Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Parent-Infant Relationship & Perinatal Mental Health,Pennine Care NHS Trust Foundation Trust,45371,108351
People,Children´s Services,Preventative Services,Targeted Youth,Services - Professional Fees,Positive Steps Oldham,45320,108250
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Rochdale Borough Council Debt Recovery,45356,107638.89
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45317,104170
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust t/a Coppice Primary Academy,45377,103022.72
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Whitfield and Brown (Developments) Ltd,45377,102700.58
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Reed - Agency Procurement Holding Account,Reed Specialist Recruitment Limited,45310,102632.33
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Mossley Private Hire Ltd,45334,101990
People,Community Health and Adult Social Care,Community Health & Social Care,Community Health & Social Care,External Supported Living,Keyring Living Support Networks,45329,101965.5
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,St Thomas Werneth,45376,101792.63
People,Community Health and Adult Social Care,Community Health & Social Care,Community Health & Social Care,External Supported Living,Keyring Living Support Networks,45294,101750.25
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Limeside,45376,101632.99
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Halcyon Way School,45355,100638.57
Place,Strategic Highways,Capital - Transport,Capital - Trans - Bridges & Structures,Construction - Main Contractor,Rowan Ashworth Ltd,45336,100423.19
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45376,99080.04
Place,Strategic Highways,Capital - Transport,Capital - Trans - Bridges & Structures,Construction - Main Contractor,Rowan Ashworth Ltd,45362,97030.47
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Limited,45371,95252.02
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Northmoor Academy (The Harmony Trust Ltd),45303,93231.21
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Galleries Exhibition Costs,Compass Minerals Storage & Archives Ltd t/a DeepStore,45363,93066.44
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,The Regenda Group,45300,92670
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,The Regenda Group,45363,92670
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Mossley Private Hire Ltd,45300,90460
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Clarksfield,45303,89348.41
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45302,88368.67
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Mossley Private Hire Ltd,45356,86590
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Northmoor Academy (The Harmony Trust Ltd),45376,85275.31
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45331,85162.16
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Werneth Primary (Academy),45377,84993.95
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Early Break,45320,84803.75
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,The Hub Consulting Limited,45302,84662
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,GMIS (Greater Manchester Independent School)(Teenage Works ),45329,84279
People,Community Health and Adult Social Care,Community Health & Social Care,Community Health & Social Care,External Supported Living,Keyring Living Support Networks,45294,82262.5
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45336,82132.61
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,ABL Health Ltd,45299,80833.35
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,ABL Health Ltd,45323,80833.35
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,ABL Health Ltd,45352,80833.35
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Limited,45371,80802.65
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Welfare,Clare Lodge,45328,80556
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Richmond Academy (The Harmony Trust),45303,80026.69
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Alt Academy,45303,79333.59
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Clarksfield,45376,78944.65
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Broadfield Primary School,45300,77462.34
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Maintenance Agreements,Civica Uk Ltd,45352,77136.34
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Richmond Academy (The Harmony Trust),45377,76645.5
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Werneth Primary (Academy),45300,76571.85
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Kedleston (High Peak School) Limited,45320,75966.67
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Rowan Ashworth Ltd,45314,75723.04
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Depaul Trust,45329,75060
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Depaul Trust,45363,75060
Place,Youth & Communities,Youth Services Client,Youth Services Client,Services - Payments To Contractors,Oldham Youth Zone T/A Mahdlo,45296,75000
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Creative Support,45302,74942.14
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Creative Support,45379,74942.14
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,The Regenda Group,45300,74197.5
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,The Regenda Group,45363,74197.5
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Parent-Infant Relationship & Perinatal Mental Health,Pennine Care NHS Trust Foundation Trust,45371,72671.31
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust UK Ltd TA Freehold Community Primary Academy,45300,70773.58
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Ltd (105503),45364,69740
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Cranmer Education Trust TA Mayfield Primary School,45303,69658.02
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,BookingLab Limited,45342,69100
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45322,68793.6
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45329,68793.6
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45356,68793.6
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45376,68793.6
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Ltd (105503),45295,68349
People,Leisure Services,Leisure Services,Leisure Services,Services - Payments To Contractors,Action Together CIO,45296,67625
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45322,67004.78
Place,Economy,Economy,Estates,Electricity,Community 1st Oldham (Chadderton) Ltd,45293,66610.89
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Welfare,Nugent Care,45371,65600
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Blue Coat School Fund,45303,63285
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Ltd (105503),45364,62780
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Focus Academy Trust UK Ltd TA Freehold Community Primary Academy,45377,62536.68
