SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period April 2023,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Abbendon Healthcare Limited,"2,820.00",26/04/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,820.00",26/04/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbey Healthcare Westmoreland Ltd,"2,824.00",26/04/2023,AL05,R4041,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Rest Homes
Abbey Lawns Ltd,"-4,134.76",26/04/2023,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Abbey School for Exceptional Children,985.00,01/03/2023,EE99,R4317,Education Excellence,Dedicated Schools Grant - Payment To Schools For Pupil Development
Abbeydale Nursing Home,"3,392.32",26/04/2023,AM05,R4042,Adult Social Care,Support With Memory & Cognition - Adults 18-64 - Private Residential Care Nursing Ho
Abbeydale Nursing Home,"5,544.00",26/04/2023,AM05,R4042,Adult Social Care,Support With Memory & Cognition - Adults 18-64 - Private Residential Care Nursing Ho
Abbeyfield North Mersey,"1,186.00",26/04/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbeyfield North Mersey,"2,537.32",26/04/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbeyfield North Mersey,"2,655.35",26/04/2023,AP10,R4049,Adult Social Care,Physical Support - Older People 65+ - Nursing- Short Term
Abbeyfield North Mersey,"2,820.00",26/04/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbeyfield North Mersey,"4,635.36",26/04/2023,AP10,R4049,Adult Social Care,Physical Support - Older People 65+ - Nursing- Short Term
Abbot's Lea School,"9,767.00",07/07/2022,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16
Abbot's Lea School,"14,393.00",11/04/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16
ABL Health Ltd,"50,206.75",01/04/2023,PH30,R4341,Health and Wellbeing,IWS- Smoking & Tobacco - Payments To NHS- General
Abzorb Group,"1,803.75",11/04/2023,YE28,R2615,Children's Social Care,Supporting Families Programme - Mobile Telephones
AC Plant Glazing Ltd,"1,049.86",28/03/2023,TB02,H0104,Operational In-House Services,Stock / Stock Adjustment Account - Purchases - Stock
Access Intelligence Media & Communications Ltd,"2,037.79",20/04/2023,GC05,R2927,Corporate Resources,Corporate Communications Projects - Advertising & Marketing
Access UK Ltd,"1,375.00",01/03/2023,AB25,R2655,Adult Social Care,Central Services - Computer Costs
Access-able (UK) Limited,"-5,232.00",29/03/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
Access-able (UK) Limited,"5,232.00",28/02/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
Access-able (UK) Limited,"5,652.00",01/03/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
Access-able (UK) Limited,"5,701.00",29/03/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
Accomodating Care,"-24,073.33",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Accomodating Care,"2,467.48",26/04/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Accomodating Care,"2,467.48",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AM10,R4046,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Property Case - Residential Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Accomodating Care,"2,467.48",26/04/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Accomodating Care,"26,540.81",26/04/2023,AP10,R4046,Adult Social Care,Physical Support - Older People 65+ - Property Case - Residential Rest Homes
