SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period July 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Autism Initiatives,-706.8,18/07/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Orchard Lodge,-701.81,18/07/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Athena Healthcare (Church Road) Limited,-680.61,18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Assured Care Southport Limited.,-679.14,22/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Expect Ltd,-676.5,18/07/2024,AN05,R4054,Adult Social Care,Mental Health Support - Adults 18-64 - Community Support
Supplier Name Redacted,-668.09,18/07/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Supplier Name Redacted,-635.71,18/07/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Alternative Approach,-629.08,18/07/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Home Instead Liverpool Central and North,-627,12/07/2024,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
Care Confidence Ltd,-586.3,18/07/2024,AN05,R4054,Adult Social Care,Mental Health Support - Adults 18-64 - Community Support
Care Connect,-579.65,04/07/2024,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
Bloomcare,-567.17,18/07/2024,AN10,R4045,Adult Social Care,Mental Health Support - Older People 65+ - Residential - Short Term
St Nicholas Care Home,-567.17,18/07/2024,AN10,R4045,Adult Social Care,Mental Health Support - Older People 65+ - Residential - Short Term
Supplier Name Redacted,-565.99,18/07/2024,AL05,R4057,Adult Social Care,Learning Disability Support -Adults 18-64 - Shared Lives
Assured Care Southport Limited.,-539,22/07/2024,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
Prime Care Gb Ltd,-501.3,18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Supplier Name Redacted,500,31/07/2024,GN36,R4454,Communities,A.C. - Sepac Wide - Molyneux Ward
Supplier Name Redacted,500,26/07/2024,YS31,R2116,Children's Social Care,Corporate Parenting 1 - Personal Needs
NatWest,500,12/07/2024,YS10,R2116,Children's Social Care,Social Worker Academy - Personal Needs
Supplier Name Redacted,500,05/07/2024,GN30,R4471,Communities,A.C. - Crosby - Church Ward
Supplier Name Redacted,500,25/06/2024,HA09,R2021,Communities,Programming - Equipment - Purchase
Highpoint Care ( West Derby) Ltd,500,18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Highpoint Care ( West Derby) Ltd,500,18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Highpoint Care ( West Derby) Ltd,500,18/07/2024,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Highpoint Care ( West Derby) Ltd,500,18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Highpoint Care ( West Derby) Ltd,500,18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Peregrinate Ltd,500,23/07/2024,EH31,R4152,Education Excellence,Special General Expenditure (High Needs) - Non-Maintained Day Schools
Supplier Name Redacted,500,15/07/2024,HL29,R2487,Communities,National Portfolio Organisation (NPO) Funding - Other Hired Services - Bands/Artist
Supplier Name Redacted,500,24/07/2024,HL29,R2487,Communities,National Portfolio Organisation (NPO) Funding - Other Hired Services - Bands/Artist
Supplier Name Redacted,500,18/07/2024,AP10,R5070,Adult Social Care,Physical Support - Older People 65+ - Clients Personal Allowances
Mersey Forge Ltd,500,16/07/2024,CAP1,C1000,Capital,Capital - Capital Expenditure
Mersey Forge Ltd,500,16/07/2024,CAP1,C1000,Capital,Capital - Capital Expenditure
Supplier Name Redacted,500,15/07/2024,BT22,R2498,Economic Growth and Housing,Southport Airshow - Major Events
Nottingham Rehab Ltd,500,02/07/2024,CAP1,C1000,Capital,Capital - Capital Expenditure
North West Gas Services,500,07/07/2024,BE81,R2101,Property and Building Services,Community Health Action Programme Sefton (Chaps) - Minor Works Budget
Dovehaven Res Care Hme,501.29,18/07/2024,AP05,R4045,Adult Social Care,Physical Support - Adults 18-64 - Residential - Short Term
Delta Care Ltd,503.53,17/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
