SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period September 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,EXPLANATION OF EXPENDITURE
3C Payment UK Ltd,604.01,31/08/2024,BC03,R2941,Highways and Public Protection,T+A-Floral Hall-Bank Charges
3C Payment UK Ltd,996.33,31/08/2024,BC05,R2941,Highways and Public Protection,Highway Safety - Parking-Bank Charges
A R T S Artistic Re-engagement Teaching Strategies Ltd,"15,733.00",08/09/2024,EH31,R4152,Education Excellence,Special General Expenditure (High Needs)-Non-Maintained Day Schools
A R T S Artistic Re-engagement Teaching Strategies Ltd,"31,466.66",27/07/2024,EH31,R4152,Education Excellence,Special General Expenditure (High Needs)-Non-Maintained Day Schools
A Star Support Services Ltd.,910.00,12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
A Star Support Services Ltd.,"4,727.50",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
A&F Sprinklers Ltd,550.00,20/09/2024,BA17,R1001,Property and Building Services,Bootle One Stop Shop-Repair & Mtce Of Land & Buildings
A&F Sprinklers Ltd,617.00,31/05/2024,BA17,R1001,Property and Building Services,Bootle One Stop Shop-Repair & Mtce Of Land & Buildings
A&F Sprinklers Ltd,"1,216.88",20/09/2024,BA17,R1001,Property and Building Services,Bootle One Stop Shop-Repair & Mtce Of Land & Buildings
A&F Sprinklers Ltd,"4,513.44",30/08/2024,BA17,R1001,Property and Building Services,Bootle One Stop Shop-Repair & Mtce Of Land & Buildings
A1 All Clear,"1,100.00",06/09/2024,SG23,R1001,Operational In-House Services,Green Sefton Service - Facilities & Resources-Repair & Mtce Of Land & Buildings
A1 All Clear,"2,650.00",23/08/2024,BI33,R1001,Economic Growth and Housing,Gypsy Site-Repair & Mtce Of Land & Buildings
Aaron Crest Care Home,"1,040.00",12/09/2024,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+-Private Residential Care Rest Homes
AAT (GB) LTD,"6,468.00",12/09/2024,CAP1,C1000,Capital,Capital-Capital Expenditure
AAT (GB) LTD,"6,983.00",12/09/2024,CAP1,C1000,Capital,Capital-Capital Expenditure
AB Building & Maintenance Ltd,"3,280.00",09/09/2024,CAP1,C1000,Capital,Capital-Capital Expenditure
AB Building & Maintenance Ltd,"6,100.00",23/08/2024,CAP1,C1000,Capital,Capital-Capital Expenditure
AB Building & Maintenance Ltd,"7,170.00",26/08/2024,CAP1,C1000,Capital,Capital-Capital Expenditure
Abbegale Lodge (2006) Li,"-2,879.24",12/09/2024,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",12/09/2024,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",12/09/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+-Residential - Short Term
Abbegale Lodge (2006) Li,"2,807.24",12/09/2024,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",12/09/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",12/09/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",12/09/2024,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",12/09/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+-Residential - Short Term
Abbegale Lodge (2006) Li,"2,807.24",12/09/2024,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",12/09/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",12/09/2024,AG25,R4041,Adult Social Care,Social Support : Support For Social Isolation / Other-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,800.00",12/09/2024,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,105.36",12/09/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,105.36",12/09/2024,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,105.36",12/09/2024,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,105.36",12/09/2024,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"4,105.36",12/09/2024,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64-Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"5,985.74",12/09/2024,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+-Private Residential Care Rest Homes
Abbendon Healthcare Limited,-687.48,12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",12/09/2024,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+-Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",12/09/2024,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+-Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",12/09/2024,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+-Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",12/09/2024,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+-Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"3,208.24",12/09/2024,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+-Private Residential Care Nursing Ho
Abbey Healthcare Westmoreland Ltd,"3,401.72",12/09/2024,AL05,R4041,Adult Social Care,Learning Disability Support -Adults 18-64-Private Residential Care Rest Homes
Abbey Wood Park Nursing Home,"1,631.48",12/09/2024,AN10,R4047,Adult Social Care,Mental Health Support - Older People 65+-Property Case - Residential Nursing Homes
Abbey Wood Park Nursing Home,"2,977.44",12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbey Wood Park Nursing Home,"3,344.44",12/09/2024,AN10,R4047,Adult Social Care,Mental Health Support - Older People 65+-Property Case - Residential Nursing Homes
Abbey Wood Park Nursing Home,"6,384.00",12/09/2024,AN10,R4049,Adult Social Care,Mental Health Support - Older People 65+-Nursing- Short Term
Abbeydale Nursing Home,"4,288.04",12/09/2024,AM05,R4042,Adult Social Care,Support With Memory & Cognition - Adults 18-64-Private Residential Care Nursing Ho
Abbeydale Nursing Home,"5,544.00",12/09/2024,AM05,R4049,Adult Social Care,Support With Memory & Cognition - Adults 18-64-Nursing- Short Term
Abbeyfield North Mersey,848.80,12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbeyfield North Mersey,"1,385.52",12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbeyfield North Mersey,"1,855.54",12/09/2024,AP10,R4048,Adult Social Care,Physical Support - Older People 65+-Nursing- Respite
Abbeyfield North Mersey,"2,189.80",12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbeyfield North Mersey,"2,330.52",12/09/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Rest Homes
Abbeyfield North Mersey,"2,807.24",12/09/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Rest Homes
Abbeyfield North Mersey,"2,886.68",12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbeyfield North Mersey,"2,886.68",12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
Abbeyfield North Mersey,"2,886.68",12/09/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+-Private Residential Care Nursing Ho
ABL Health Ltd,"52,185.42",01/09/2024,PH30,R4341,Health and Wellbeing,IWS- Smoking & Tobacco-Payments To NHS- General
Abzorb Systems Ltd,"1,667.60",10/06/2024,SS06,R2655,Operational In-House Services,CCTV/Control Room/Patrol-Computer Costs
Abzorb Systems Ltd,"1,799.25",06/09/2024,YE28,R2655,Children's Social Care,Supporting Families Programme-Computer Costs
Access UK Ltd,"1,750.65",01/01/2024,AB25,R2655,Adult Social Care,Central Services-Computer Costs
Accomplish Group Lifestyles Ltd,560.00,12/09/2024,AN10,R5070,Adult Social Care,Mental Health Support - Older People 65+-Clients Personal Allowances
Accomplish Group Lifestyles Ltd,660.48,12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,663.04,12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,663.04,12/09/2024,AL10,R4043,Adult Social Care,Learning Disability Support - Older People 65+-Supported Living
Accomplish Group Lifestyles Ltd,663.04,12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,663.04,12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,663.04,12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,743.04,12/09/2024,AL10,R4043,Adult Social Care,Learning Disability Support - Older People 65+-Supported Living
Accomplish Group Lifestyles Ltd,794.22,12/09/2024,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,825.60,12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,825.60,12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,825.60,12/09/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget-Supported Living
Accomplish Group Lifestyles Ltd,866.88,12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,866.88,12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,866.88,12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,866.88,12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,866.88,12/09/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget-Supported Living
Accomplish Group Lifestyles Ltd,990.72,12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"1,105.06",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"1,105.06",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"1,105.06",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"1,238.40",12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"1,651.20",12/09/2024,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"1,657.60",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"1,733.76",12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"1,733.76",12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"1,733.76",12/09/2024,AL10,R4043,Adult Social Care,Learning Disability Support - Older People 65+-Supported Living
Accomplish Group Lifestyles Ltd,"1,733.76",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"1,733.76",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"2,064.00",12/09/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget-Supported Living
Accomplish Group Lifestyles Ltd,"2,146.56",12/09/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget-Supported Living
Accomplish Group Lifestyles Ltd,"2,269.20",12/09/2024,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"2,269.20",12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"2,269.20",12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"2,269.20",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"2,476.80",12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"2,476.80",12/09/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget-Supported Living
Accomplish Group Lifestyles Ltd,"2,889.60",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"2,889.60",12/09/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget-Supported Living
Accomplish Group Lifestyles Ltd,"3,315.20",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"3,315.20",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"3,315.20",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"3,315.20",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"3,680.88",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"3,797.76",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"4,045.44",12/09/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget-Supported Living
Accomplish Group Lifestyles Ltd,"4,045.44",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"4,334.40",12/09/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget-Supported Living
Accomplish Group Lifestyles Ltd,"4,334.40",12/09/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget-Supported Living
Accomplish Group Lifestyles Ltd,"4,334.40",12/09/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget-Supported Living
Accomplish Group Lifestyles Ltd,"5,201.28",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"5,201.28",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"8,090.88",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"8,458.80",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"8,458.80",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"9,246.72",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"9,581.04",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"13,292.16",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"17,337.60",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Accomplish Group Lifestyles Ltd,"17,337.60",12/09/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64-Supported Living
Achieve Together Ltd,594.16,12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Achieve Together Ltd,632.34,12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Achieve Together Ltd,"1,064.96",12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Achieve Together Ltd,"1,665.60",12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Achieve Together Ltd,"1,782.90",12/09/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64-Supported Living
Acorn Venture Farm,624.00,12/09/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64-Day Care
Acre Development Consulting Ltd,"3,930.00",04/09/2024,UA49,R2470,Growth Programme,Pre Development-Consultancy and Professional Services
ACS Technology Group Ltd,"2,178.00",27/08/2024,YS28,R2655,Children's Social Care,Locality South-Computer Costs
ACS Technology Group Ltd,"2,480.00",27/08/2024,EE97,R2655,Education Excellence,Pupil Premium Grant - Looked After Children-Computer Costs
ACS Technology Group Ltd,"3,650.00",17/09/2024,GF30,R2655,Corporate Resources,ICT - Rechargeable Costs-Computer Costs
ACS Technology Group Ltd,"14,600.00",03/09/2024,GF30,R2655,Corporate Resources,ICT - Rechargeable Costs-Computer Costs
Active TT Schooling Ltd,"6,800.00",06/02/2024,EH31,R2501,Education Excellence,Special General Expenditure (High Needs)-Bought In Professional Services-Curriculum
ADI-Gardiner Ltd,700.60,24/09/2024,SS05,R2030,Operational In-House Services,Alarms-Equipment Furniture & Materials
ADI-Gardiner Ltd,"1,280.20",06/09/2024,SS05,R2030,Operational In-House Services,Alarms-Equipment Furniture & Materials
ADI-Gardiner Ltd,"1,307.84",10/09/2024,SS05,R2030,Operational In-House Services,Alarms-Equipment Furniture & Materials
Adoption Plus Barnardos,770.00,06/09/2024,YS38,R2253,Children's Social Care,Fostering Support-Resources Staff Development
AECOM Infrastructure & Environment Uk Ltd,"3,618.00",25/09/2024,BP50,R2470,Economic Growth and Housing,EAS-Ext Funding-Strategic Environmental Service-Consultancy and Professional Services
AECOM LIMITED,"6,000.00",06/09/2024,CAP1,C1000,Capital,Capital-Capital Expenditure
AECOM LIMITED,"9,000.00",06/09/2024,CAP1,C1000,Capital,Capital-Capital Expenditure
Age Concern -The Hamlets,"11,103.43",12/09/2024,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+-Private Residential Care Nursing Ho
Agilisys Ltd,629.32,11/09/2024,HA01,R2655,Communities,The Atkinson-Computer Costs
Agilisys Ltd,737.12,11/09/2024,EE89,R2655,Education Excellence,LA Support Costs towards the expansion of EYFE-Computer Costs
Agilisys Ltd,904.83,11/09/2024,GF66,R2655,Corporate Resources,ICT Services - Ad Hoc Operational Services-Computer Costs
Agilisys Ltd,"1,031.25",25/08/2024,GF67,R4359,Corporate Resources,ICT Services - Schools CT Services-ICT Service Provider
Agilisys Ltd,"1,031.25",25/09/2024,GF67,R4359,Corporate Resources,ICT Services - Schools CT Services-ICT Service Provider
Agilisys Ltd,"1,050.40",11/09/2024,GF66,R2655,Corporate Resources,ICT Services - Ad Hoc Operational Services-Computer Costs
Agilisys Ltd,"1,297.80",13/01/2023,GF30,R2655,Corporate Resources,ICT - Rechargeable Costs-Computer Costs
Agilisys Ltd,"1,373.30",09/08/2024,GF52,R2655,Corporate Resources,IT Development Fund-Computer Costs
Agilisys Ltd,"1,373.30",09/08/2024,GF66,R2655,Corporate Resources,ICT Services - Ad Hoc Operational Services-Computer Costs
