,,,,,
Detail Spend Analysis by Account ,,,,,
,,,,,
,,,,,
"
Transaction
Date","

Merchant Category Name","

Merchant","
Transaction
Amount","190,754.38","190,754.38"
28/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,359.08,,
28/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,255.40,,
28/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,255.40,,
07/12/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,205.45,,
12/12/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,264.76,,
14/12/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,279.16,,
14/12/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,319.48,,
15/12/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,397.24,,
15/12/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,271.77,,
29/12/2023,PASSENGER RAILWAYS,WWW.MERSEYRAIL.ORG,5.95,,
02/10/2023,TRAVELODGE,TRAVELODGE,414.03,,
02/10/2023,TRAVELODGE,TRAVELODGE,35.68,,
02/10/2023,TRAVELODGE,TRAVELODGE,49.96,,
04/10/2023,TRAVELODGE,TRAVELODGE,68.32,,
05/10/2023,TRAVELODGE,TRAVELODGE,91.78,,
06/10/2023,TRAVELODGE,TRAVELODGE,580.31,,
10/10/2023,TRAVELODGE,TRAVELODGE,412.00,,
12/10/2023,TRAVELODGE,TRAVELODGE,524.20,,
16/10/2023,TRAVELODGE,TRAVELODGE,50.98,,
18/10/2023,TRAVELODGE,TRAVELODGE,493.60,,
27/10/2023,PREMIER INN,PREMIER INN,307.00,,
06/11/2023,TRAVELODGE,TRAVELODGE,161.12,,
06/11/2023,TRAVELODGE,TRAVELODGE,174.39,,
06/11/2023,TRAVELODGE,TRAVELODGE,188.66,,
13/11/2023,PREMIER INN,PREMIER INN,599.00,,
13/11/2023,PREMIER INN,PREMIER INN,60.35,,
16/11/2023,TRAVELODGE,TRAVELODGE,444.65,,
17/11/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE PICTURE HOUSE APAR,720.00,,
23/11/2023,TRAVELODGE,TRAVELODGE,382.44,,
27/11/2023,TRAVELODGE,TRAVELODGE,306.94,,
27/11/2023,TRAVELODGE,TRAVELODGE,137.65,,
27/11/2023,TRAVELODGE,TRAVELODGE,137.65,,
27/11/2023,PREMIER INN,PREMIER INN,234.00,,
27/11/2023,TRAVELODGE,TRAVELODGE,235.58,,
28/11/2023,TRAVELODGE,TRAVELODGE,743.50,,
30/11/2023,TRAVELODGE,TRAVELODGE,305.92,,
30/11/2023,TRAVELODGE,TRAVELODGE,339.57,,
30/11/2023,TRAVELODGE,TRAVELODGE,339.57,,
30/11/2023,TRAVELODGE,TRAVELODGE,591.55,,
30/11/2023,PREMIER INN,PREMIER INN,446.00,,
30/11/2023,TRAVELODGE,TRAVELODGE,58.12,,
04/12/2023,TRAVELODGE,TRAVELODGE,87.69,,
04/12/2023,TRAVELODGE,TRAVELODGE,99.93,,
06/12/2023,TRAVELODGE,TRAVELODGE,288.12,,
14/12/2023,PREMIER INN,PREMIER INN,191.00,,
14/12/2023,TRAVELODGE,TRAVELODGE,101.95,,
15/12/2023,TRAVELODGE,TRAVELODGE,288.62,,
15/12/2023,TRAVELODGE,TRAVELODGE,269.23,,
19/12/2023,TRAVELODGE,TRAVELODGE,61.18,,
19/12/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",TEQUILA,999.00,,
19/12/2023,TRAVELODGE,TRAVELODGE,604.69,,
19/12/2023,TRAVELODGE,TRAVELODGE,597.56,,
20/12/2023,TRAVELODGE,TRAVELODGE,528.22,,
15/11/2023,FAST FOOD RESTAURANTS,WWW.PIZZAHUT.CO.UK,37.97,,
24/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,227.81,,
25/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,226.29,,
20/11/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,16.99,,
26/11/2023,"GAME, TOY, AND HOBBY SHOPS",SMYTHS TOYS LIVERPOOL,54.98,,
26/11/2023,MISCELLANEOUS GENERAL MERCHANDISE,HOME BARGAINS AXIS,2.57,,
05/12/2023,DEPARTMENT STORES,High Street Vouchers,806.25,,
05/12/2023,DEPARTMENT STORES,High Street Vouchers,906.25,,
06/12/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,57.04,,
06/12/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,48.28,,
06/10/2023,"BUYING/SHOPPING CLUBS, SERVICES",Costco Wholesale #104,95.94,,
12/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,82.79,,
16/10/2023,MISCELLANEOUS GENERAL MERCHANDISE,HOME BARGAINS,37.09,,
23/10/2023,MISCELLANEOUS GENERAL MERCHANDISE,T J MORRIS LTD,6.03,,
22/11/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,23.98,,
24/11/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,30.00,,
24/11/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,30.00,,
24/11/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,30.00,,
24/11/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,30.00,,
24/11/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,30.00,,
24/11/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,30.00,,
24/11/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,50.00,,
24/11/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,25.00,,
24/11/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,15.00,,
24/11/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,15.00,,
28/11/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,13.50,,
28/11/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,13.50,,
30/11/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 5301,15.00,,
13/12/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,13.95,,
15/12/2023,"GROCERY STORES, SUPERMARKETS",TESCO STORES 2098,108.00,,
19/12/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,79.88,,
09/12/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",ORRELL PARK HOTEL LIMI,90.00,,
16/10/2023,PASSENGER RAILWAYS,Trainline,148.97,,
20/10/2023,PASSENGER RAILWAYS,Trainline,76.62,,
25/10/2023,TRAVEL AGENCIES AND TOUR OPERATORS,HOLIDAY PAYMENT AVR,"2,590.00",,
03/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,135.00,,
10/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,822.40,,
14/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,470.73,,
20/11/2023,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,376.70,,
10/10/2023,TRAVELODGE,TRAVELODGE,412.00,,
17/10/2023,TRAVELODGE,TRAVELODGE,341.62,,
19/10/2023,PREMIER INN,PREMIER INN,367.92,,
23/10/2023,TRAVELODGE,TRAVELODGE,715.89,,
06/11/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",RELAXINNLIVERPO,200.00,,
16/11/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",RELAXINNLIVERPO,-150.00,,
17/11/2023,PREMIER INN,PREMIER INN,226.32,,
20/11/2023,PREMIER INN,PREMIER INN,86.49,,
05/12/2023,"EATING PLACES, RESTAURANTS",MOTO-CP PLUS PCN,60.00,,
02/10/2023,"BUILDING MATERIALS, LUMBER STORES",BARRYS SKIP HIRE LIMIT,181.20,,
03/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,-31.50,,
03/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,-31.50,,
03/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,38.00,,
03/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,38.00,,
04/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,262.00,,
04/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,14.00,,
10/10/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,35.00,,
10/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,304.00,,
13/10/2023,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",WWW.YPO.CO.UK,901.25,,
13/10/2023,"ARTIST SUPPLY STORES, CRAFT SHOPS",Hobbycraft Trading Lim,225.00,,
13/10/2023,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",WWW.YPO.CO.UK,148.12,,
16/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,201.26,,
19/10/2023,"BUILDING MATERIALS, LUMBER STORES",BARRYS SKIP HIRE LIMIT,181.20,,
19/10/2023,TELECOM INCL PREPAID/RECURRING PHONE SVCS,VIRGIN MEDIA PYMTS,115.25,,
19/10/2023,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES",Allpay PRIMA GROUP,98.13,,
23/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,-38.00,,
23/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,-38.00,,
