SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period September 2023,,,,,,,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE,,,,,,
Committed to Quality,"2,800.00",31/08/2023,AA50,R2470,Adult Social Care,Safeguarding Board - Consultancy and Professional Services,,,,,,
Community Independent Living,"-13,247.40",08/09/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care,,,,,,
Community Independent Living,528.22,08/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
Community Independent Living,603.68,08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,603.68,08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,603.68,08/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
Community Independent Living,603.68,08/09/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care,,,,,,
Community Independent Living,603.68,08/09/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care,,,,,,
Community Independent Living,603.68,08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,603.68,08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,619.85,08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,625.24,08/09/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care,,,,,,
Community Independent Living,776.16,08/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
Community Independent Living,840.84,08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,905.52,08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,905.52,08/09/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care,,,,,,
Community Independent Living,905.52,08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,056.44",08/09/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care,,,,,,
Community Independent Living,"1,164.24",08/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
Community Independent Living,"1,185.80",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,207.36",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,207.36",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,207.36",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,207.36",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,207.36",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,207.36",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,293.60",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,293.60",08/09/2023,AN10,R4051,Adult Social Care,Mental Health Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,363.67",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,401.40",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,466.08",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,509.20",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,509.20",08/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
Community Independent Living,"1,811.04",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"1,875.72",08/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
Community Independent Living,"1,983.52",08/09/2023,AL05,R4051,Adult Social Care,Learning Disability Support -Adults 18-64 - Domiciliary Care,,,,,,
Community Independent Living,"2,160.33",08/09/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care,,,,,,
Community Independent Living,"2,414.72",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"2,414.72",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"2,414.72",08/09/2023,AP05,R4059,Adult Social Care,Physical Support - Adults 18-64 - Re-Enablement,,,,,,
Community Independent Living,"2,414.72",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"2,479.40",08/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
Community Independent Living,"2,716.56",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"2,716.56",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"3,018.40",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"3,320.24",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"3,320.24",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"3,859.24",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Community Independent Living,"4,636.86",08/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
Complete Background Screening Ltd,"21,092.00",31/08/2023,GF19,R2418,Corporate Resources,THR & Payroll Team - Fees - DBS Checks Non Employees,,,,,,
Computer Cab (Liverpool) Ltd,844.00,31/08/2023,YL31,R3307,Education Excellence,SEN Transport to Special Schools - Specialist Transport Ad Hoc,,,,,,
Computer Cab (Liverpool) Ltd,"1,283.33",31/08/2023,YL60,R3305,Education Excellence,Post 16 Transport - Specialist Transport Fixed Route,,,,,,
Computer Cab (Liverpool) Ltd,"1,336.80",30/06/2023,YL31,R3307,Education Excellence,SEN Transport to Special Schools - Specialist Transport Ad Hoc,,,,,,
Computer Cab (Liverpool) Ltd,"1,532.67",31/08/2023,YL22,R3307,Education Excellence,SEN Transport to Secondary Schools - Specialist Transport Ad Hoc,,,,,,
Computer Cab (Liverpool) Ltd,"1,741.67",31/08/2023,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs,,,,,,
Computer Cab (Liverpool) Ltd,"1,811.33",31/08/2023,YL12,R3310,Education Excellence,SEN Transport to Primary Schools - Out of Borough Transport costs,,,,,,
Computer Cab (Liverpool) Ltd,"2,469.68",31/08/2023,YL12,R3310,Education Excellence,SEN Transport to Primary Schools - Out of Borough Transport costs,,,,,,
Computer Cab (Liverpool) Ltd,"2,660.00",31/08/2023,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route,,,,,,
Connevans Ltd,"12,238.76",31/08/2023,EH11,R2052,Education Excellence,"Primary General Expenditure (High Needs) - Aids, Appliances And Adaptations",,,,,,
Continuous Dataprint (UK) Ltd,"1,002.00",06/09/2023,BP14,R2225,Economic Growth and Housing,"Townscape Heritage - Printing, Stationery & General Office Expenses",,,,,,
Continuous Dataprint (UK) Ltd,"1,044.00",13/09/2023,HA01,R2927,Communities,The Atkinson - Advertising & Marketing,,,,,,
Continuous Dataprint (UK) Ltd,"1,475.00",06/09/2023,YL51,R2225,Economic Growth and Housing,"Adult And Community Learning Service (AEC Crosby) - Printing, Stationery & General Office Expenses",,,,,,
Controlled Events,"3,718.00",12/06/2023,BT23,R2498,Economic Growth and Housing,British Musical Fireworks - Major Events,,,,,,
Controlled Events,"6,238.00",12/06/2023,BT22,R2498,Economic Growth and Housing,Southport Airshow - Major Events,,,,,,
Coram Children's Legal Centre Limited,"2,591.00",14/09/2023,YS38,R2470,Children's Social Care,Fostering Support - Consultancy and Professional Services,,,,,,
Cosmo Graphis Imaging Ltd,"1,140.00",06/09/2023,BR26,R2225,Economic Growth and Housing,"Invest Sefton Team - Printing, Stationery & General Office Expenses",,,,,,
Counterculture Partnership LLP,"7,940.00",30/08/2023,HA19,R2451,Communities,Public Sector Finance grant (PSF) - Fees & Services - Other,,,,,,
Countrywide Environmental Services Ltd,970.00,12/09/2023,CAP1,C1000,Capital,Capital - Capital Expenditure,,,,,,
Countrywide Environmental Services Ltd,"2,425.00",12/09/2023,BI30,R1001,Economic Growth and Housing,Investment & Strategic Housing - Repair & Mtce Of Land & Buildings,,,,,,
Countrywide Residential Lettings,550.00,01/09/2023,YS61,R2451,Children's Social Care,Fostering Placements - Fees & Services - Other,,,,,,
County Homes Care Home,"1,114.29",14/09/2023,AP05,R4049,Adult Social Care,Physical Support - Adults 18-64 - Nursing- Short Term,,,,,,
County Homes Care Home,"7,221.00",14/09/2023,AP05,R4049,Adult Social Care,Physical Support - Adults 18-64 - Nursing- Short Term,,,,,,
Courtfield Lodge N H,"2,825.48",14/09/2023,AL10,R4041,Adult Social Care,Learning Disability Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Courtfield Lodge N H,"2,825.48",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Courtfield Lodge N H,"2,825.48",14/09/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Courtfield Lodge N H,"2,825.48",14/09/2023,AL10,R4041,Adult Social Care,Learning Disability Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Courtfield Lodge N H,"2,825.48",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Courtfield Lodge N H,"2,825.48",14/09/2023,AP10,R4046,Adult Social Care,Physical Support - Older People 65+ - Property Case - Residential Rest Homes,,,,,,
Courtfield Lodge N H,"3,037.36",14/09/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Courtfield Lodge N H,"3,037.36",14/09/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Courtfield Lodge N H,"3,037.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
CP VIABILITY LTD,"2,250.00",07/08/2023,BP04,R2470,Economic Growth and Housing,Planning Policy - Consultancy and Professional Services,,,,,,
CP VIABILITY LTD,"2,250.00",08/08/2023,BP04,R2470,Economic Growth and Housing,Planning Policy - Consultancy and Professional Services,,,,,,
CPL Heating and Plumbing Ltd,"43,411.09",23/08/2023,CAP1,C1000,Capital,Capital - Capital Expenditure,,,,,,
Craegmoor Arden College Priory,"18,736.76",14/09/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Craegmoor Arden College Priory,"19,732.00",14/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"19,732.00",08/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"19,732.00",08/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"19,732.00",08/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"20,517.33",14/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"20,517.33",14/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"20,517.33",14/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"20,517.33",08/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"20,517.33",14/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"22,088.33",08/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"22,088.33",08/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"22,989.67",08/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
Craegmoor Arden College Priory,"30,010.33",14/09/2023,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16,,,,,,
CRAIGNAIR CARE LTD,528.20,14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
CRAIGNAIR CARE LTD,620.60,14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
CRAIGNAIR CARE LTD,"2,940.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
CRAIGNAIR CARE LTD,"2,940.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
CRAIGNAIR CARE LTD,"2,940.36",14/09/2023,AP10,R4046,Adult Social Care,Physical Support - Older People 65+ - Property Case - Residential Rest Homes,,,,,,
CRAIGNAIR CARE LTD,"2,940.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
CRAIGNAIR CARE LTD,"2,940.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
CRAIGNAIR CARE LTD,"2,940.36",14/09/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
CRAIGNAIR CARE LTD,"2,940.36",14/09/2023,AM05,R4041,Adult Social Care,Support With Memory & Cognition - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
CRAIGNAIR CARE LTD,"2,940.36",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Creative Heritage Consultants Ltd,"1,800.00",31/07/2023,BP14,R2470,Economic Growth and Housing,Townscape Heritage - Consultancy and Professional Services,,,,,,
Creative Support Limited,665.35,14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Creative Support Limited,665.35,14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Creative Support Limited,931.49,14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Creative Support Limited,931.49,14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Creative Support Limited,"1,064.56",14/09/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living,,,,,,
Creative Support Limited,"1,241.73",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
CRG Homecare Ltd,547.62,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,555.17,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,565.95,18/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
CRG Homecare Ltd,592.90,18/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
CRG Homecare Ltd,592.90,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,626.68,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,679.14,18/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
CRG Homecare Ltd,695.31,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,708.25,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,754.96,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,759.99,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,792.33,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,824.67,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,845.87,18/09/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care,,,,,,
CRG Homecare Ltd,862.40,18/09/2023,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,921.69,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,956.18,18/09/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care,,,,,,
CRG Homecare Ltd,959.42,18/09/2023,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,970.92,18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,"1,083.39",18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,"1,089.86",18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,"1,133.34",18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,"1,158.85",18/09/2023,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,"1,180.41",18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,"1,212.75",18/09/2023,AP05,R4059,Adult Social Care,Physical Support - Adults 18-64 - Re-Enablement,,,,,,
CRG Homecare Ltd,"1,237.55",18/09/2023,AL05,R4051,Adult Social Care,Learning Disability Support -Adults 18-64 - Domiciliary Care,,,,,,
CRG Homecare Ltd,"1,574.60",18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,"1,591.13",18/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
CRG Homecare Ltd,"1,672.34",18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,"2,357.94",18/09/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care,,,,,,
CRG Homecare Ltd,"2,463.23",18/09/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement,,,,,,
CRG Homecare Ltd,"2,517.85",18/09/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care,,,,,,
Crookes Walker Consulting Ltd,950.00,30/08/2023,BI02,R2470,Corporate Resources,Building Services - Consultancy and Professional Services,,,,,,
Crookes Walker Consulting Ltd,"2,750.00",30/08/2023,BI02,R2470,Corporate Resources,Building Services - Consultancy and Professional Services,,,,,,
Crosby Carpet Centre,550.00,30/08/2023,HL29,R1001,Communities,National Portfolio Organisation (NPO) Funding - Repair & Mtce Of Land & Buildings,,,,,,
Crosby District Scout Council,"10,000.00",24/08/2023,GN09,R2969,Communities,Community Transition Fund - Miscellaneous Expenses,,,,,,
Crosby Housing Association,"15,612.50",21/09/2023,AF02,R4171,Adult Social Care,Mental Health Schemes for Early Intervention and Information - Voluntary & Faith Sector,,,,,,
Crosby Housing Association,"30,000.00",21/09/2023,AF02,R4171,Adult Social Care,Mental Health Schemes for Early Intervention and Information - Voluntary & Faith Sector,,,,,,
Croxteth Park RH,"3,076.48",14/09/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Croxteth Park RH,"3,076.48",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Cryoservice,516.67,30/08/2023,HS03,R2030,Communities,Meadows - Equipment Furniture & Materials,,,,,,
Crystal House Platinum Limited,"2,530.80",14/09/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Cumfybus Ltd,"17,802.25",07/09/2023,BC18,R3371,Highways and Public Protection,Park & Ride (Excl Kew) - Transport Other,,,,,,
D.F.N  Network,"2,182.28",14/09/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living,,,,,,
Dairylink Uk Ltd,"2,899.99",09/09/2023,SN10,R2354,Operational In-House Services,Dairy Link - General Provisions,,,,,,
Dairylink Uk Ltd,"3,338.31",23/09/2023,SN10,R2354,Operational In-House Services,Dairy Link - General Provisions,,,,,,
Dairylink Uk Ltd,"3,338.78",16/09/2023,SN10,R2354,Operational In-House Services,Dairy Link - General Provisions,,,,,,
Dalemain House R H,521.48,14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Dalemain House R H,601.20,14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Dalemain House R H,"2,598.80",14/09/2023,AM05,R4062,Adult Social Care,Support With Memory & Cognition - Adults 18-64 - Transitional Beds - Residential,,,,,,
Dalemain House R H,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Dalemain House R H,"2,598.80",14/09/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Dalemain House R H,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Dalemain House R H,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Dalemain House R H,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Dalemain House R H,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Dalemain House R H,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Dalemain House R H,"2,598.80",14/09/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Dalemain House R H,"2,598.80",14/09/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes,,,,,,
Dalesview Partnership,"7,898.56",14/09/2023,AL05,R4041,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Dalesview Partnership,"8,473.92",14/09/2023,AL05,R4041,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Dalesview Partnership  Ltd,"9,236.20",14/09/2023,AH10,R4041,Adult Social Care,Learning Disabilities-Pooled Budget - Private Residential Care Rest Homes,,,,,,
Dalesview Partnership  Ltd,"10,341.66",14/09/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes,,,,,,
Danfo (UK) Limited,"7,776.07",31/08/2023,SC07,R1655,Operational In-House Services,Public Conveniences - Cleaning & Domestic Supplies,,,,,,
Dateshare Ltd,"2,972.00",14/09/2023,AN10,R4042,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Nursing Ho,,,,,,
Davies Maintenance (NW) Ltd,543.00,30/08/2023,HS05,R1001,Communities,BLC (Bootle Leisure Centre) - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,563.10,30/08/2023,AX22,R1001,Adult Social Care,James Dixon Court - Holding Account - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,638.23,30/08/2023,AP50,R1001,Adult Social Care,Chase Heys - Respite - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,671.07,30/08/2023,BI33,R1001,Economic Growth and Housing,Gypsy Site - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,671.67,30/08/2023,YS67,R1001,Children's Social Care,Links Avenue - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,732.53,30/08/2023,BI40,R1001,Communities,Lonsdale House Hostel - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,749.54,30/08/2023,AM20,R1001,Adult Social Care,Brookdale Resource Centre - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,809.70,30/08/2023,BA19,R1001,Corporate Resources,Magdalen House - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,903.63,30/08/2023,HS06,R1001,Communities,DSW (Dunes Splashworld) - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,"1,193.56",30/08/2023,SG23,R1001,Operational In-House Services,Green Sefton Service - Facilities & Resources - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,"1,295.19",30/08/2023,BA09,R1001,Corporate Resources,Crosby Town Hall - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,"1,518.79",30/08/2023,BA44,R1001,Corporate Resources,Other Properties And Estates - Repair & Mtce Of Land & Buildings,,,,,,
Davies Maintenance (NW) Ltd,"1,748.57",30/08/2023,HA01,R1001,Communities,The Atkinson - Repair & Mtce Of Land & Buildings,,,,,,
