Detail Spend Analysis by Account ,,,
,,,
,,,
07/03/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,AMZ Amazon.co.uk,-4.99
24/03/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk WB54S0XY5,94.97
10/03/2023,PASSENGER RAILWAYS,Northern.COM,7.15
31/03/2023,PASSENGER RAILWAYS,WWW.MERSEYRAIL.ORG,5.95
04/01/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",PRINCE OF WALES,288
12/01/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",PRINCE OF WALES,312
18/01/2023,PREMIER INN,PREMIER INN,56.1
19/01/2023,PREMIER INN,PREMIER INN,388
19/01/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",PRINCE OF WALES,381
26/01/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",ROYAL CLIFFTON HOTEL,404
31/01/2023,PREMIER INN,PREMIER INN,395.5
01/02/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",ROYAL CLIFFTON HOTEL,397
09/02/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",ROYAL CLIFFTON HOTEL,411
16/02/2023,PREMIER INN,PREMIER INN,320.45
16/02/2023,PREMIER INN,PREMIER INN,56.95
09/03/2023,PREMIER INN,PREMIER INN,351.05
09/03/2023,TRAVELODGE,TRAVELODGE,389.56
10/03/2023,TRAVELODGE,TRAVELODGE,525.23
10/03/2023,TRAVELODGE,TRAVELODGE,10
13/03/2023,PREMIER INN,PREMIER INN,581
13/03/2023,TRAVELODGE,TRAVELODGE,38.74
13/03/2023,TRAVELODGE,TRAVELODGE,37.72
16/03/2023,PREMIER INN,PREMIER INN,584
16/03/2023,TRAVELODGE,TRAVELODGE,389.56
16/03/2023,PREMIER INN,PREMIER INN,585
16/03/2023,TRAVELODGE,TRAVELODGE,381.42
16/03/2023,PREMIER INN,PREMIER INN,425
18/03/2023,PREMIER INN,PREMIER INN,-47
18/03/2023,PREMIER INN,PREMIER INN,-383.5
29/03/2023,PREMIER INN,PREMIER INN,850.5
31/03/2023,PREMIER INN,PREMIER INN,-724.5
31/03/2023,PREMIER INN,PREMIER INN,724.5
20/01/2023,DISCOUNT STORES,ARGOS LTD,45
26/01/2023,"BUYING/SHOPPING CLUBS, SERVICES",Costco Wholesale #104,45.93
27/01/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,-1.69
27/01/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,247.49
08/02/2023,"BUYING/SHOPPING CLUBS, SERVICES",Costco Wholesale #104,208.83
08/02/2023,"GROCERY STORES, SUPERMARKETS",ASDA STORES 5849,300
27/02/2023,ELECTRONIC SALES,CURRYS ONLINE,624.96
01/03/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,13.5
06/03/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,243.94
06/03/2023,SPORTING GOODS STORES,WWW.THURSTON.CO.UK,94
06/03/2023,"GROCERY STORES, SUPERMARKETS",ASDA STORES 5849,100
15/03/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,13.5
15/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,82.44
