,,,,,
Detail Spend Analysis by Account ,,,,,
,,,,,
,,,,,
"
Transaction
Date","

Merchant Category Name","

Merchant","
Transaction
Amount","194,654.58","194,654.58"
14/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,14.00,,
14/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,14.00,,
14/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,14.00,,
14/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,11.00,,
14/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,11.00,,
15/02/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-7450022-24,34.95,,
16/02/2024,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",WWW.ANYVAN.COM,"1,100.00",,
19/02/2024,COMPUTER SOFTWARE STORES,SP FLEDGLINGS TOYS,66.97,,
22/02/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-3675790-07,838.70,,
22/02/2024,DEPARTMENT STORES,WWW.ARGOS.CO.UK,103.95,,
22/02/2024,CHILDREN'S AND INFANT'S WEAR STORES,MAMAS & PAPAS (DIGITAL,315.00,,
26/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,53.50,,
26/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,42.60,,
27/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,35.00,,
29/02/2024,"PUBLIC WAREHOUSING-FARM, REFRIG GOODS, HHG STORAGE",WWW.BIGYELLOW.CO.UK,219.43,,
01/03/2024,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES",EMMAUS MERSEYSIDE,155.00,,
01/03/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,82.50,,
01/03/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,82.50,,
01/03/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,53.50,,
03/03/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-2522438-14,29.99,,
05/03/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,11.00,,
05/03/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-2687482-09,17.88,,
08/03/2024,DEPARTMENT STORES,WWW.ARGOS.CO.UK,73.95,,
12/03/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,35.00,,
13/03/2024,VARIETY STORES,PAYPAL ARGOSDIRECT,10.00,,
13/03/2024,VARIETY STORES,PAYPAL ARGOSDIRECT,10.00,,
13/03/2024,VARIETY STORES,PAYPAL ARGOSDIRECT,17.45,,
13/03/2024,VARIETY STORES,PAYPAL ARGOSDIRECT,17.45,,
14/03/2024,VARIETY STORES,PAYPAL ARGOSDIRECT,10.00,,
14/03/2024,VARIETY STORES,PAYPAL ARGOSDIRECT,17.45,,
19/03/2024,MISCELLANEOUS GENERAL MERCHANDISE,AMAZON 204-0058390-71,11.98,,
20/03/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,-7.50,,
20/03/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,14.00,,
25/03/2024,DEPARTMENT STORES,WWW.ARGOS.CO.UK,63.94,,
27/03/2024,DEPARTMENT STORES,WWW.ARGOS.CO.UK,18.95,,
27/03/2024,"GROCERY STORES, SUPERMARKETS",ASDA STORES 5849,61.70,,
27/03/2024,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",UTILITA ENERGY LIMITED,20.00,,
18/02/2024,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk HL82K1BD4,59.98,,
07/03/2024,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk DG04Q4PE5,34.98,,
16/01/2024,PASSENGER RAILWAYS,WWW.MERSEYRAIL.ORG,5.95,,
17/01/2024,PASSENGER RAILWAYS,TRAINLINE,37.18,,
18/01/2024,PASSENGER RAILWAYS,WWW.MERSEYRAIL.ORG,5.95,,
22/01/2024,PASSENGER RAILWAYS,WWW.MERSEYRAIL.ORG,5.95,,
07/03/2024,PASSENGER RAILWAYS,WWW.MERSEYRAIL.ORG,5.95,,
