SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period March 2023,,,,,,
Supplier,Amount,Date,Cost Centre,Account,Department,Summary of Expenditure
1 2 1 In The Community Ltd,936.00,30/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,164.64",01/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,164.64",30/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",30/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",30/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",30/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",01/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",01/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",30/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,400.00",01/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,400.00",01/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,400.00",30/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,400.00",30/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,495.80",01/03/2023,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care
1 2 1 In The Community Ltd,"2,495.80",30/03/2023,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care
1 2 1 In The Community Ltd,"4,003.45",01/03/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
11 King's Bench Walk,"2,000.00",13/03/2023,YE01,R2451,Education Excellence,Early Years Service - Fees & Services - Other
1st Class Care Agency Ltd t/a Yes Care,521.95,03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,521.95,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AN05,R4051,Adult Social Care,Mental Health Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AN05,R4051,Adult Social Care,Mental Health Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AL05,R4051,Adult Social Care,Learning Disability Support -Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,559.91,03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,559.91,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,569.40,03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,569.40,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,588.38,03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,607.36,03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,645.32,03/03/2023,AN05,R4051,Adult Social Care,Mental Health Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,664.30,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,664.30,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,664.30,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,683.28,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,683.28,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,683.28,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,716.50,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,740.22,03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,854.10,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,873.08,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,892.06,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,892.06,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,901.55,03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,911.04,03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,930.02,03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,930.02,15/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,930.02,15/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,930.02,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,986.96,03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,062.88",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,062.88",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,062.88",03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,062.88",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,062.88",03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,062.88",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,062.88",03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,100.84",03/03/2023,AL05,R4051,Adult Social Care,Learning Disability Support -Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,138.80",03/03/2023,AN10,R4051,Adult Social Care,Mental Health Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,138.80",21/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,195.74",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,195.74",03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,238.45",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,328.60",03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,328.60",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,328.60",03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,328.60",03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,328.60",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,518.40",21/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,537.38",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,556.36",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,594.32",03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,670.24",03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,708.20",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,935.96",03/03/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"2,087.80",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,125.76",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,125.76",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,239.64",03/03/2023,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,315.56",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,391.48",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,657.20",03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,657.20",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,657.20",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,657.20",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,657.20",03/03/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,657.20",03/03/2023,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"3,720.08",03/03/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
24-7 Locks Ltd,742.50,07/03/2023,GN05,R5145,Communities,Vulnerable Victims Advocates - Payment To Organisation
24x7 Ltd,"2,917.45",08/02/2023,YL22,R3305,Education Excellence,SEN Transport to Secondary Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,004.53",28/02/2023,YL12,R3310,Education Excellence,SEN Transport to Primary Schools - Out of Borough Transport costs
24x7 Ltd,"3,071.66",28/02/2023,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"3,442.67",28/02/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,544.66",08/02/2023,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"4,305.83",28/02/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"5,118.60",28/02/2023,YL60,R3310,Education Excellence,Post 16 Transport - Out of Borough Transport costs
24x7 Ltd,"6,114.90",28/02/2023,YL22,R3310,Education Excellence,SEN Transport to Secondary Schools - Out of Borough Transport costs
24x7 Ltd,"9,015.98",08/02/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
3C Payment UK Ltd,752.30,28/02/2023,BC05,R2941,Highways and Public Protection,Highway Safety - Parking - Bank Charges
8x8 UK Limited,"4,562.80",07/02/2023,GF16,R2655,Corporate Resources,Customer Services Team - Computer Costs
8x8 UK Limited,"4,562.80",08/03/2023,GF16,R2655,Corporate Resources,Customer Services Team - Computer Costs
8x8 UK Limited,"239,571.72",14/03/2023,GF63,R2655,Corporate Resources,ICT Contracts - Computer Costs
A & D Door Systems Ltd,550.00,22/03/2023,HS06,R1011,Communities,DSW (Dunes Splashworld) - Building Maintenance-Delegated Schools
A A Molyneux Builders Ltd,"4,216.00",04/11/2022,CAP1,C1000,Capital,Capital - Capital Expenditure
A A Molyneux Builders Ltd,"4,378.62",02/12/2022,CAP1,C1000,Capital,Capital - Capital Expenditure
A A Molyneux Builders Ltd,"4,703.53",05/12/2022,CAP1,C1000,Capital,Capital - Capital Expenditure
A Star Support Services Ltd.,910.00,01/03/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Star Support Services Ltd.,910.00,30/03/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Star Support Services Ltd.,"4,727.50",01/03/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Star Support Services Ltd.,"4,727.50",30/03/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Way with Media Productions Ltd,"9,378.27",23/03/2023,HA09,R2440,Communities,Programming - Fees - Music
Aaron Crest Care Home,760.00,01/03/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Aaron Crest Care Home,900.00,30/03/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
AAT (GB) LTD,"1,445.00",28/03/2023,AE32,R2052,Adult Social Care,"NHS  Equipment, Aids & Adaptations - Aids, Appliances And Adaptations"
AAT (GB) LTD,"6,136.00",26/01/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
Abbegale Lodge (2006) Li,"-9,099.23",01/03/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Abbegale Lodge (2006) Li,"-5,452.17",30/03/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"-2,578.97",01/03/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"-1,383.39",30/03/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Abbegale Lodge (2006) Li,541.40,01/03/2023,AN05,R5070,Adult Social Care,Mental Health Support - Adults 18-64 - Clients Personal Allowances
Abbegale Lodge (2006) Li,541.40,30/03/2023,AN05,R5070,Adult Social Care,Mental Health Support - Adults 18-64 - Clients Personal Allowances
Abbegale Lodge (2006) Li,750.76,01/03/2023,AN10,R5070,Adult Social Care,Mental Health Support - Older People 65+ - Clients Personal Allowances
Abbegale Lodge (2006) Li,769.72,30/03/2023,AN10,R5070,Adult Social Care,Mental Health Support - Older People 65+ - Clients Personal Allowances
Abbegale Lodge (2006) Li,539.12,01/03/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,539.12,30/03/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,749.12,01/03/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
