SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period August 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
24x7 Ltd,"6,519.79",29/07/2024,Post 16 Transport,R3305,Education Excellence,Post 16 Transport - Specialist Transport Fixed Route
24x7 Ltd,"6,519.79",15/08/2024,Post 16 Transport,R3305,Education Excellence,Post 16 Transport - Specialist Transport Fixed Route
24x7 Ltd,"6,780.37",29/07/2024,SEN Transport to Secondary Schools,R3305,Education Excellence,SEN Transport to Secondary Schools - Specialist Transport Fixed Route
24x7 Ltd,"6,780.37",15/08/2024,SEN Transport to Secondary Schools,R3305,Education Excellence,SEN Transport to Secondary Schools - Specialist Transport Fixed Route
24x7 Ltd,"10,405.00",29/07/2024,Independent / Non Maintained Special School SEN travel,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"12,384.17",15/08/2024,Independent / Non Maintained Special School SEN travel,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"13,205.63",29/07/2024,Post 16 Transport,R3310,Education Excellence,Post 16 Transport - Out of Borough Transport costs
24x7 Ltd,"13,205.63",15/08/2024,Post 16 Transport,R3310,Education Excellence,Post 16 Transport - Out of Borough Transport costs
24x7 Ltd,"29,979.64",29/07/2024,SEN Transport to Special Schools,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"29,979.64",15/08/2024,SEN Transport to Special Schools,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
365 Support Limited,541.2,15/08/2024,Mental Health Support - Adults 18-64,R4054,Adult Social Care,Mental Health Support - Adults 18-64 - Community Support
3C Payment UK Ltd,604.01,31/07/2024,Car Parks-Other,R2941,Highways and Public Protection,Car Parks-Other - Bank Charges
3C Payment UK Ltd,996.33,31/07/2024,Highway Safety - Parking,R2941,Highways and Public Protection,Highway Safety - Parking - Bank Charges
7 Harrington Street Chambers,500,24/07/2024,Revenues Team,R2453,Corporate Resources,Revenues Team - Fees - Legal
A A Molyneux Builders Ltd,"3,152.60",14/06/2024,Capital,C1000,Capital,Capital - Capital Expenditure
A A Molyneux Builders Ltd,"20,683.61",04/06/2024,Capital,C1000,Capital,Capital - Capital Expenditure
A Star Support Services Ltd.,910,15/08/2024,Learning Disability Support -Adults 18-64,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Star Support Services Ltd.,"4,727.50",15/08/2024,Learning Disability Support -Adults 18-64,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A1 All Clear,800,05/08/2024,Green Sefton Service - Facilities & Resources,R1001,Operational In-House Services,Green Sefton Service - Facilities & Resources - Repair & Mtce Of Land & Buildings
AA Media Ltd,551.15,01/08/2024,Exhibitions,R2868,Communities,Exhibitions - Subscriptions
Aaron Crest Care Home,"1,040.00",15/08/2024,Support With Memory & Cognition - Older People 65+,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
AAT (GB) LTD,"6,020.00",15/07/2024,Capital,C1000,Capital,Capital - Capital Expenditure
AB Building & Maintenance Ltd,"2,757.50",01/07/2024,Capital,C1000,Capital,Capital - Capital Expenditure
AB Building & Maintenance Ltd,"4,450.00",08/07/2024,Capital,C1000,Capital,Capital - Capital Expenditure
AB Building & Maintenance Ltd,"6,375.00",19/06/2024,Capital,C1000,Capital,Capital - Capital Expenditure
AB Building & Maintenance Ltd,"7,592.50",17/07/2024,Capital,C1000,Capital,Capital - Capital Expenditure
