SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period January 2023,,,,,,
Supplier,Amount,Date,Cost Centre,Account,Department,Summary of Expenditure
1st Class Care Agency Ltd t/a Yes Care,"1,309.62",06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,328.60",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,328.60",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,366.56",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,423.50",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,575.34",06/01/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,584.83",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,651.26",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,068.82",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,125.76",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,125.76",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,125.76",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,144.74",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,230.15",09/01/2023,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,334.54",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,391.48",06/01/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"2,391.48",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,600.26",06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,657.20",06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,657.20",06/01/2023,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"2,657.20",06/01/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"2,657.20",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"3,663.14",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
24-7 Locks Ltd,"1,213.20",04/01/2023,GN05,R5051,Communities,Vulnerable Victims Advocates - Payment Of Grant
24x7 Ltd,"2,917.45",30/12/2022,YL22,R3305,Education Excellence,SEN Transport to Secondary Schools - Specialist Transport Fixed Route
24x7 Ltd,"2,917.45",31/10/2022,YL22,R3305,Education Excellence,SEN Transport to Secondary Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,004.53",30/12/2022,YL12,R3310,Education Excellence,SEN Transport to Primary Schools - Out of Borough Transport costs
24x7 Ltd,"3,071.66",30/12/2022,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"3,442.67",30/12/2022,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,544.66",30/12/2022,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"3,544.66",31/10/2022,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"4,305.83",30/12/2022,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"5,118.60",30/12/2022,YL60,R3310,Education Excellence,Post 16 Transport - Out of Borough Transport costs
24x7 Ltd,"6,114.90",30/12/2022,YL22,R3310,Education Excellence,SEN Transport to Secondary Schools - Out of Borough Transport costs
24x7 Ltd,"9,015.98",30/12/2022,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"9,015.98",31/10/2022,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
3C Payment UK Ltd,527.25,31/12/2022,BC16,R2941,Highways and Public Protection,Car Parks-Other - Bank Charges
3C Payment UK Ltd,769.15,31/12/2022,BC05,R2941,Highways and Public Protection,Highway Safety - Parking - Bank Charges
8x8 UK Limited,"4,562.80",09/01/2023,GF16,R2655,Corporate Resouces,Customer Services Team - Computer Costs
A & D Door Systems Ltd,950.00,21/12/2022,BH12,R1271,Highways and Public Protection,Winter Maintenance Operation - Highways Management Works
A Star Support Services Ltd.,910.00,04/01/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Star Support Services Ltd.,"4,727.50",04/01/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Aaron Crest Care Home,760.00,04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,-651.01,04/01/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Abbegale Lodge (2006) Li,539.12,04/01/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,541.40,04/01/2023,AN05,R5070,Adult Social Care,Mental Health Support - Adults 18-64 - Clients Personal Allowances
Abbegale Lodge (2006) Li,749.12,04/01/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,750.76,04/01/2023,AN10,R5070,Adult Social Care,Mental Health Support - Older People 65+ - Clients Personal Allowances
Abbegale Lodge (2006) Li,"2,278.52",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,278.52",04/01/2023,AP05,R4045,Adult Social Care,Physical Support - Adults 18-64 - Residential - Short Term
Abbegale Lodge (2006) Li,"2,278.52",04/01/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,278.52",04/01/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,278.52",04/01/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,278.52",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,278.52",04/01/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,278.52",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,278.52",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,539.40",04/01/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,539.40",04/01/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AP10,R4046,Adult Social Care,Physical Support - Older People 65+ - Property Case - Residential Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AN10,R4046,Adult Social Care,Mental Health Support - Older People 65+ - Property Case - Residential Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AG25,R4041,Adult Social Care,Social Support : Support For Social Isolation / Other - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,573.52",04/01/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,282.32",04/01/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,282.32",04/01/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,282.32",04/01/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,282.32",04/01/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,282.32",04/01/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbendon Healthcare Limited,"2,599.16",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,599.16",04/01/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,599.16",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,599.16",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,599.16",04/01/2023,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,599.16",04/01/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Abbendon Healthcare Limited,"2,599.16",04/01/2023,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
