Organisation name,Effective date,Cost Centre,Supplier (Beneficiary) details,Payment date,Transaction number,Net Amount,Purpose of spend
Somerset Council,2023-09-30 00:00:00,Frome Community College,AQA,2023-05-22 00:00:00,SC01-000010718|SC-ISC-100005433|S0003210|5638553368,794.09,Fees & Hired - Examination Fees (Schools only)
Somerset Council,2023-09-30 00:00:00,Frome Community College,CSG Global Education Ltd t/a KCS Education,2023-05-22 00:00:00,SC01-000010718|SC-ISC-100005439|S0043244|5638553375,767.98,Equip Furn Mat - Equipment - Teaching (schools only)
Somerset Council,2023-09-30 00:00:00,Frome Community College,Sound Training for Reading Ltd,2023-05-22 00:00:00,SC01-000010718|SC-ISC-100005441|S0010559|5638553377,3150,Training - Course Fees
Somerset Council,2023-09-30 00:00:00,Frome Community College,WATER2BUSINESS,2023-05-22 00:00:00,SC01-000010718|SC-ISC-100005448|S0039175|5639091109,1663.63,Water - Water Charges / Sewer
Somerset Council,2023-09-30 00:00:00,Royal Unites Hospital,WOOKEY TAXIS CONSORTIUM LTD,2023-05-22 00:00:00,SC01-000010732|SC-ICT-100000427|S0002341|5638529642,1092,Direct Transport - Medical Need Transport
Somerset Council,2023-09-30 00:00:00,NHS Somerset,WOOKEY TAXIS CONSORTIUM LTD,2023-05-22 00:00:00,SC01-000010732|SC-ICT-100000428|S0002341|5638529642,1300,Direct Transport - Medical Need Transport
Somerset Council,2023-09-30 00:00:00,NHS Somerset,WOOKEY TAXIS CONSORTIUM LTD,2023-05-22 00:00:00,SC01-000010732|SC-ICT-100000429|S0002341|5638529642,1066,Direct Transport - Medical Need Transport
Somerset Council,2023-09-30 00:00:00,NHS Somerset,Taunton Taxi Services LLP,2023-05-22 00:00:00,SC01-000010732|SC-ICT-100000449|S0014505|5639108987,840,Direct Transport - Medical Need Transport
Somerset Council,2023-09-30 00:00:00,LD Transport Mdp,Laver Cars Ltd,2023-05-22 00:00:00,SC01-000010740|SC-ICT-100000452|S0009093|5638555697,665.6,Car Allowances - Vehicle Mileage Allowance - Volunteers
Somerset Council,2023-09-30 00:00:00,LD Transport Mdp,WOOKEY TAXIS CONSORTIUM LTD,2023-05-22 00:00:00,SC01-000010740|SC-ICT-100000458|S0002341|5638529642,732,Car Allowances - Vehicle Mileage Allowance - Volunteers
Somerset Council,2023-09-30 00:00:00,Development Management,Planning Portal,2023-05-22 00:00:00,SC01-000010802|SC-SID-100003141|S0038398|5638675790,924,Fees & Charges - Sales
Somerset Council,2023-09-30 00:00:00,Thurlbear Primary School,ELSWOODS CLEANING SUPPLIES,2023-05-22 00:00:00,SC01-000010846|SC-ISC-100005473|S0002613|5638563864,635.7,Equip Furn Mat - Equipment - Cleaning & Materials
Somerset Council,2023-09-30 00:00:00,NHS Somerset,TLC Taxis,2023-05-22 00:00:00,SC01-000010848|SC-ICT-100000472|S0002373|5639278925,750,Direct Transport - Medical Need Transport
Somerset Council,2023-09-30 00:00:00,NHS Somerset,AJ Taxis,2023-05-22 00:00:00,SC01-000010848|SC-ICT-100000475|S0007930|5638564012,910,Direct Transport - Medical Need Transport
Somerset Council,2023-09-30 00:00:00,NHS Somerset,AJ Taxis,2023-05-22 00:00:00,SC01-000010848|SC-ICT-100000476|S0007930|5638564012,1040,Direct Transport - Medical Need Transport
Somerset Council,2023-09-30 00:00:00,NHS Somerset,AJ Taxis,2023-05-22 00:00:00,SC01-000010848|SC-ICT-100000477|S0007930|5638564012,910,Direct Transport - Medical Need Transport
Somerset Council,2023-09-30 00:00:00,School Transport(CLA)-S.Somers,AJ Taxis,2023-05-22 00:00:00,SC01-000010848|SC-ICT-100000478|S0007930|5638564012,630,Vehicle Contract Hire/Op Leases - Vehicle Hire
Somerset Council,2023-09-30 00:00:00,Dulverton Junior School,Hays Specialist Recruitment Ltd,2023-05-22 00:00:00,SC01-000010850|SC-ISC-100005489|S0004148|5639208134,600.63,Employee Agency
Somerset Council,2023-09-30 00:00:00,FE - SEN,[Redacted],2023-05-22 00:00:00,SC01-000010851|SC-SID-100003122|S0011013|5638632781,796.56,Car Allowances - Vehicle Mileage Allowance
Somerset Council,2023-09-30 00:00:00,HRA Open Contract Capital Suspense,Howden Joinery Ltd,2023-05-22 00:00:00,SC01-000010857|SC-ICR-100000829|S0039456|5638569242,2275.81,Supplies & Services - Suspense
Somerset Council,2023-09-30 00:00:00,HRA Open Contract Capital Suspense,Howden Joinery Ltd,2023-05-22 00:00:00,SC01-000010857|SC-ICR-100000831|S0039456|5638569242,2259.5,Supplies & Services - Suspense
Somerset Council,2023-09-30 00:00:00,HRA Voids - Major,THE CARPET WAREHOUSE,2023-05-22 00:00:00,SC01-000010857|SC-ICR-100000879|S0039861|5638569265,1230.71,Repairs & Maint - Planned Maint - Building Ext Fabric
Somerset Council,2023-09-30 00:00:00,ICM - Bedded Pathways,Pondsmead (Shepton Mallet) Ltd,2023-05-22 00:00:00,SC01-000010900|7037|S0011366|5638643689,30400,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Daycare SaWS,NAS Services Limited,2023-05-22 00:00:00,SC01-000010902|7039|S0002948|5637522276,2899.2,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Daycare SaWS,NAS Services Limited,2023-05-22 00:00:00,SC01-000010904|7041|S0002948|5637522276,2899.2,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,LD Daycare SaWS,NAS Services Limited,2023-05-22 00:00:00,SC01-000010926|7063|S0002948|5637522276,1311.84,Transfer Payments - Adult Social Care Services Clients
Somerset Council,2023-09-30 00:00:00,EOTAS,Quantock Outdoor Education Ltd,2023-05-22 00:00:00,SC01-000010976|7083|S0015517|5639154395,540,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000010978|7085|S0004081|5639216756,30240,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000010979|7086|S0004081|5639216756,24192,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000010980|7087|S0004081|5639216756,18900,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000010981|7088|S0004081|5639216756,30240,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000010982|7089|S0004081|5639216756,30240,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000010983|7090|S0004081|5639216756,30240,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000010984|7091|S0004081|5639216756,24192,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000010985|7092|S0004081|5639216756,30240,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000010986|7093|S0004081|5639216756,24192,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000010987|7094|S0004081|5639216756,30240,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000010988|7095|S0004081|5639216756,5664,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,Spaghetti Bridge Ltd,2023-05-22 00:00:00,SC01-000011009|7116|S0014293|5639216758,17352.6,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,Spaghetti Bridge Ltd,2023-05-22 00:00:00,SC01-000011010|7117|S0014293|5639216758,14460.5,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Residential Placements,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000011015|7122|S0004081|5639216756,25729.38,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,Fostering Placements,FIVE RIVERS CHILD CARE LTD,2023-05-22 00:00:00,SC01-000011016|7123|S0004081|5639216756,3833.5,TPP Other - Purchased Services - Personal Care
