Body Name,Body,Service Label,Service Code,Service Division Label,Service Division Code,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,CC 43 TBM Section,CCN 43 TBM Section,CC 02 Council or Non Council,Net Amount,Capital and Revenue,Creditor Name
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,08/12/2023,PAY01737134,PHYS,Physical Support,COUN,250.2,Revenue,Payment to Individual
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,08/12/2023,PAY01737135,PHYS,Physical Support,COUN,450,Revenue,Payment to Individual
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,08/12/2023,PAY01737136,PHYS,Physical Support,COUN,1175.4,Revenue,Payment to Individual
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,08/12/2023,PAY01737137,PHYS,Physical Support,COUN,651.52,Revenue,Payment to Individual
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,08/12/2023,PAY01737140,PHYS,Physical Support,COUN,2822.6,Revenue,Payment to Individual
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,08/12/2023,PAY01737141,PHYS,Physical Support,COUN,589.8,Revenue,Payment to Individual
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,08/12/2023,PAY01737145,LDCC,Learning Disability Comm Care,COUN,1246.6,Revenue,Payment to Individual
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,08/12/2023,PAY01737146,PHYS,Physical Support,COUN,919.2,Revenue,Payment to Individual
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Memory Cognition Support,MEM,Customer n Client Receipts,M,Fees n Charges,MB,08/12/2023,PAY01737148,COGN,Memory Cognition Support,COUN,-272,Revenue,Payment to Individual
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Memory Cognition Support,MEM,Third Party Payments,F,Other Establishments,FH,08/12/2023,PAY01737148,COGN,Memory Cognition Support,COUN,10621.88,Revenue,Payment to Individual
