Body Name,Body,Service Label,Service Code,Service Division Label,Service Division Code,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,CC 43 TBM Section,CCN 43 TBM Section,CC 02 Council or Non Council,Net Amount,Capital and Revenue,Creditor Name
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,08/08/2023,PAY01700137,HHIA,Housing Invt & Asset Mngmnt,COUN,702.90,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,09/08/2023,PAY01700418,HHIA,Housing Invt & Asset Mngmnt,COUN,456.64,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,16/08/2023,PAY01702386,HHIA,Housing Invt & Asset Mngmnt,COUN,1841.54,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Supplies and Services,E,Equip't Furniture n Materials,EA,25/08/2023,PAY01706012,HHIA,Housing Invt & Asset Mngmnt,COUN,1062.33,Revenue,Abmec Ltd T/A Abbamechatronics
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Premises Related,C,Repair Maint n Alterations,CA,08/08/2023,PAY01700156,FABS,Facilities & Building Services,COUN,309.99,Revenue,ABS Electrical Supplies Ltd t/a SELS
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Cultural and Related Serv,BVACUL,Recreation and Sport,REC,Third Party Payments,F,Independent Units of Council,FA,09/08/2023,PAY01700650,SPLE,Sport and Leisure,COUN,13180.00,Revenue,ACC Leisure Maintenance Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Cultural and Related Serv,BVACUL,Recreation and Sport,REC,Premises Related,C,Repair Maint n Alterations,CA,23/08/2023,PAY01704859,SPLE,Sport and Leisure,COUN,9297.00,Revenue,ACC Leisure Maintenance Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Housing Services GF,4HG,Capital Grants,PF,Capital Grants,PFL5,08/08/2023,PAY01700118,PSHG,Private Sector Housing,COUN,1130.00,Capital,Access & Automation Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,30/08/2023,PAY01706541,HHSS,Head of Strategy & Supply,COUN,3160.00,Capital,Access & Automation Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Highways and Transportation,BVAHRT,Parking Services,PRK,Supplies and Services,E,Services,EF,10/08/2023,PAY01700812,PARK,Parking Services,COUN,1500.00,Revenue,Access Independent Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Supplies and Services,E,Communications n Computing,EH,04/08/2023,PAY01699665,HOME,Home Care,COUN,3369.96,Revenue,Access UK Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Supplies and Services,E,Communications n Computing,EH,16/08/2023,PAY01702336,HOME,Home Care,COUN,3369.96,Revenue,Access UK Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,23/08/2023,PAY01704653,PHYS,Physical Support,COUN,8286.76,Revenue,Accomplish Group
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Planning and Development,BVAPLA,Building Control,BLD,Supplies and Services,E,Services,EF,04/08/2023,PAY01699731,DEVP,Development Planning,COUN,1338.00,Revenue,ACE Scaffolding Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Planning and Development,BVAPLA,Building Control,BLD,Supplies and Services,E,Services,EF,30/08/2023,PAY01706660,DEVP,Development Planning,COUN,450.00,Revenue,ACE Scaffolding Contractors Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Ed Ed Other LA Attrib Sch,ELA,Transport Related,D,Other Transport Costs,DG,14/08/2023,PAY01701849,HTST,Home to School Transport,COUN,9691.90,Revenue,Ace Travel Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Customer n Client Receipts,M,Fees n Charges,MB,23/08/2023,PAY01704468,LDCC,Learning Disability Comm Care,COUN,-15803.06,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,23/08/2023,PAY01704468,LDCC,Learning Disability Comm Care,COUN,245373.70,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Mental Health Support,MHP,Customer n Client Receipts,M,Fees n Charges,MB,23/08/2023,PAY01704468,MENH,Mental Health Support,COUN,-88.00,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Mental Health Support,MHP,Third Party Payments,F,Other Establishments,FH,23/08/2023,PAY01704468,MENH,Mental Health Support,COUN,11657.08,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Customer n Client Receipts,M,Fees n Charges,MB,23/08/2023,PAY01704468,PHYS,Physical Support,COUN,-52.00,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,23/08/2023,PAY01704468,PHYS,Physical Support,COUN,-9665.38,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Sensory Support,AHV,Customer n Client Receipts,M,Fees n Charges,MB,23/08/2023,PAY01704468,SORY,Sensory Support,COUN,-448.00,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Sensory Support,AHV,Third Party Payments,F,Other Establishments,FH,23/08/2023,PAY01704468,SORY,Sensory Support,COUN,2879.34,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Customer n Client Receipts,M,Fees n Charges,MB,24/08/2023,PAY01705053,LDCC,Learning Disability Comm Care,COUN,-6581.40,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,24/08/2023,PAY01705053,LDCC,Learning Disability Comm Care,COUN,145399.96,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Sensory Support,AHV,Third Party Payments,F,Other Establishments,FH,25/08/2023,PAY01705878,SORY,Sensory Support,COUN,1562.24,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,29/08/2023,PAY01706211,PHYS,Physical Support,COUN,608.64,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Sensory Support,AHV,Customer n Client Receipts,M,Fees n Charges,MB,29/08/2023,PAY01706211,SORY,Sensory Support,COUN,-892.00,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Sensory Support,AHV,Third Party Payments,F,Other Establishments,FH,29/08/2023,PAY01706211,SORY,Sensory Support,COUN,5007.85,Revenue,Achieve Together Limited
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Customer n Client Receipts,M,Fees n Charges,MB,24/08/2023,PAY01705149,LDCC,Learning Disability Comm Care,COUN,-2356.60,Revenue,Acorn (Watford) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,24/08/2023,PAY01705149,LDCC,Learning Disability Comm Care,COUN,29974.84,Revenue,Acorn (Watford) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Customer n Client Receipts,M,Fees n Charges,MB,24/08/2023,PAY01705149,PHYS,Physical Support,COUN,-2620.00,Revenue,Acorn (Watford) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,24/08/2023,PAY01705149,PHYS,Physical Support,COUN,2620.00,Revenue,Acorn (Watford) Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Child Srvcs - Residential Svcs,FLR,Third Party Payments,F,Other Establishments,FH,16/08/2023,PAY01702443,CHPL,Children`s Placements,COUN,23034.76,Revenue,Acorn Care & Education Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Ed Special Ed,EKE,Third Party Payments,F,Other Agencies,FL,18/08/2023,PAY01703862,HNBE,HNB Educat Agency Placements,COUN,19383.34,Revenue,Acorn Care & Education Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Premises Related,C,Cleaning n Domestic Supps,CH,09/08/2023,PAY01700343,FABS,Facilities & Building Services,COUN,1653.47,Revenue,Acorn Environmental
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Premises Related,C,Cleaning n Domestic Supps,CH,31/08/2023,PAY01706783,FABS,Facilities & Building Services,COUN,265.32,Revenue,Acorn Environmental
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Planning and Development,BVAPLA,Planning Policy,PLP,Supplies and Services,E,Services,EF,09/08/2023,PAY01700322,DEVP,Development Planning,COUN,1210.00,Revenue,Acoustic Asscs Sussex Ltd T/A  Acoustic South East
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Planning and Development,BVAPLA,Planning Policy,PLP,Supplies and Services,E,Services,EF,31/08/2023,PAY01706753,DEVP,Development Planning,COUN,1870.00,Revenue,Acoustic Asscs Sussex Ltd T/A  Acoustic South East
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,Social Care Activities,ACM,Supplies and Services,E,Services,EF,04/08/2023,PAY01699703,ASIT,Assessment and SIT,COUN,1128.00,Revenue,Action First Assessments Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,Social Care Activities,ACM,Supplies and Services,E,Services,EF,10/08/2023,PAY01701251,ASIT,Assessment and SIT,COUN,6043.00,Revenue,Action First Assessments Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,Social Care Activities,ACM,Supplies and Services,E,Services,EF,25/08/2023,PAY01706031,ASIT,Assessment and SIT,COUN,795.00,Revenue,Action First Assessments Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,Social Care Activities,ACM,Supplies and Services,E,Services,EF,31/08/2023,PAY01706894,ASIT,Assessment and SIT,COUN,2429.00,Revenue,Action First Assessments Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Customer n Client Receipts,M,Fees n Charges,MB,23/08/2023,PAY01704647,LDCC,Learning Disability Comm Care,COUN,-1958.86,Revenue,Active Prospects
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,23/08/2023,PAY01704647,LDCC,Learning Disability Comm Care,COUN,21660.08,Revenue,Active Prospects
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Mental Health Support,MHP,Third Party Payments,F,Other Establishments,FH,23/08/2023,PAY01704647,MENH,Mental Health Support,COUN,17732.08,Revenue,Active Prospects
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Premises Related,C,Repair Maint n Alterations,CA,04/08/2023,PAY01699712,HREM,Repairs & Maintenance,COUN,522.33,Revenue,Acumen Waste Services Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Housing Revenue Account,BVAHOU,Hsing Management - HRA,HGM,Premises Related,C,Repair Maint n Alterations,CA,16/08/2023,PAY01702477,HREM,Repairs & Maintenance,COUN,22291.56,Revenue,Acumen Waste Services Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Highways and Transportation,BVAHRT,Parking Services,PRK,Indirect Employees,B,Training,BM,25/08/2023,PAY01706076,PARK,Parking Services,COUN,990.00,Revenue,Acurity Training
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Highways and Transportation,BVAHRT,Parking Services,PRK,Indirect Employees,B,Training,BM,30/08/2023,PAY01706667,PARK,Parking Services,COUN,495.00,Revenue,Acurity Training
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,08/08/2023,PAY01700084,HHIA,Housing Invt & Asset Mngmnt,COUN,969.23,Capital,AD Construction Group Architectural Decorators Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,Cap - Housing Services - HRA,4HR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,25/08/2023,PAY01705948,HHIA,Housing Invt & Asset Mngmnt,COUN,3870.43,Capital,AD Construction Group Architectural Decorators Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Customer n Client Receipts,M,Fees n Charges,MB,07/08/2023,PAY01699852,PHYS,Physical Support,COUN,-3875.28,Revenue,Adelaide Nursing Home
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,07/08/2023,PAY01699852,PHYS,Physical Support,COUN,4628.57,Revenue,Adelaide Nursing Home
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Customer n Client Receipts,M,Fees n Charges,MB,10/08/2023,PAY01700878,PHYS,Physical Support,COUN,3875.28,Revenue,Adelaide Nursing Home
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Customer n Client Receipts,M,Fees n Charges,MB,24/08/2023,PAY01705150,PHYS,Physical Support,COUN,-2375.97,Revenue,Adelaide Nursing Home
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,24/08/2023,PAY01705150,PHYS,Physical Support,COUN,25238.39,Revenue,Adelaide Nursing Home
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Premises Related,C,Repair Maint n Alterations,CA,25/08/2023,PAY01706007,FABS,Facilities & Building Services,COUN,1265.00,Revenue,Adept Power Solutions Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Premises Related,C,Repair Maint n Alterations,CA,11/08/2023,PAY01701737,FABS,Facilities & Building Services,COUN,425.00,Revenue,Advanced Roof Testing Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Central Support and Overheads,BVACEN,Support Services (SSC),PPT,Premises Related,C,Repair Maint n Alterations,CA,29/08/2023,PAY01706340,FABS,Facilities & Building Services,COUN,425.00,Revenue,Advanced Roof Testing Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Children`s & Education Serv,BVAEDU,Ed Ed Other Other,ENF,Third Party Payments,F,Private Contractors,FJ,30/08/2023,PAY01706629,EDPM,Education Property Management,COUN,850.00,Revenue,Advanced Roof Testing Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Transport,4TR,New Construction n Conversion,PB,New Construction n Conversion,PBL5,15/08/2023,PAY01702080,TPRS,Transport Projects and Eng,COUN,17365.00,Capital,Advanced Transport Research Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Memory Cognition Support,MEM,Customer n Client Receipts,M,Fees n Charges,MB,24/08/2023,PAY01705660,COGN,Memory Cognition Support,COUN,-706.68,Revenue,Affectionate Healthcare Limited t/a Barons Down
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Memory Cognition Support,MEM,Third Party Payments,F,Other Establishments,FH,24/08/2023,PAY01705660,COGN,Memory Cognition Support,COUN,3389.00,Revenue,Affectionate Healthcare Limited t/a Barons Down
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Customer n Client Receipts,M,Fees n Charges,MB,24/08/2023,PAY01705660,PHYS,Physical Support,COUN,-1388.96,Revenue,Affectionate Healthcare Limited t/a Barons Down
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,24/08/2023,PAY01705660,PHYS,Physical Support,COUN,17361.64,Revenue,Affectionate Healthcare Limited t/a Barons Down
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Customer n Client Receipts,M,Fees n Charges,MB,24/08/2023,PAY01705841,PHYS,Physical Support,COUN,-655.52,Revenue,Agecare MG1 Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,24/08/2023,PAY01705841,PHYS,Physical Support,COUN,4284.00,Revenue,Agecare MG1 Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Non I&E,BVANON,CAP Sport and Recreation,4RC,New Construction n Conversion,PB,New Construction n Conversion,PBL5,25/08/2023,PAY01706072,CIPK,City Parks,COUN,46127.18,Capital,Aggregate Industries UK Ltd t/a Spadeoak
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Planning and Development,BVAPLA,Planning Policy,PLP,Supplies and Services,E,Communications n Computing,EH,09/08/2023,PAY01700596,BDCS,Business Dev and Cust Services,COUN,21800.00,Revenue,Agile Applications
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,10/08/2023,PAY01701161,LDCC,Learning Disability Comm Care,COUN,2302.72,Revenue,Agincare Live in Care Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,10/08/2023,PAY01701161,PHYS,Physical Support,COUN,11757.34,Revenue,Agincare Live in Care Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Customer n Client Receipts,M,Fees n Charges,MB,17/08/2023,PAY01703070,PHYS,Physical Support,COUN,-120.00,Revenue,Agincare Live in Care Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,17/08/2023,PAY01703070,PHYS,Physical Support,COUN,17487.34,Revenue,Agincare Live in Care Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,23/08/2023,PAY01704641,LDCC,Learning Disability Comm Care,COUN,2302.72,Revenue,Agincare Live in Care Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,23/08/2023,PAY01704641,PHYS,Physical Support,COUN,11385.78,Revenue,Agincare Live in Care Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,07/08/2023,PAY01699832,LDCC,Learning Disability Comm Care,COUN,701.20,Revenue,Agincare UK Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Memory Cognition Support,MEM,Third Party Payments,F,Other Establishments,FH,07/08/2023,PAY01699832,COGN,Memory Cognition Support,COUN,1993.06,Revenue,Agincare UK Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Mental Health Support,MHP,Third Party Payments,F,Other Establishments,FH,07/08/2023,PAY01699832,MENH,Mental Health Support,COUN,3339.85,Revenue,Agincare UK Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,07/08/2023,PAY01699832,PHYS,Physical Support,COUN,27541.98,Revenue,Agincare UK Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,22/08/2023,PAY01704314,LDCC,Learning Disability Comm Care,COUN,645.99,Revenue,Agincare UK Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Memory Cognition Support,MEM,Third Party Payments,F,Other Establishments,FH,22/08/2023,PAY01704314,COGN,Memory Cognition Support,COUN,1647.85,Revenue,Agincare UK Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Mental Health Support,MHP,Third Party Payments,F,Other Establishments,FH,22/08/2023,PAY01704314,MENH,Mental Health Support,COUN,3330.82,Revenue,Agincare UK Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Physical Support,PHY,Third Party Payments,F,Other Establishments,FH,22/08/2023,PAY01704314,PHYS,Physical Support,COUN,24871.76,Revenue,Agincare UK Ltd
Brighton & Hove City Council,http://statistics.data.gov.uk/id/local-authority/00ML,Adult Social Care,BVASOC,ASC Learning Disabilities,ALD,Third Party Payments,F,Other Establishments,FH,23/08/2023,PAY01704493,LDCC,Learning Disability Comm Care,COUN,713.98,Revenue,Agincare UK Ltd
