Month,Supplier,Account Code,Transaction Ref,£
May,DRS DIRECT LTD,Agency/Temp Staff,AAAplkAAMAACdIzAAK,1150
May,EAST MIDLANDS RFCA,Hire of Rooms/Premises,AAAplkAAFAADFTuAAI,800
May,EASTERN SHIRES PURCHASING ORGANISATION,Domestic Equipment,AAAplkAAFAADKudAAD,2320
May,Eco Catering Equipment,Operational Consum Equip/Mtn,AAAplkAAMAACdIGAAD,519
May,Eden Holistic Pet Foods Ltd,Operational Consum Equip/Mtn,AAAplkAAFAADFJUAAL,657.95
May,Eden Holistic Pet Foods Ltd,Operational Consum Equip/Mtn,AAAplkAAFAADFJUAAM,1017.8
May,Eden Holistic Pet Foods Ltd,Operational Consum Equip/Mtn,AAAplkAAFAADFJUAAN,850.95
May,Eden Holistic Pet Foods Ltd,Operational Consum Equip/Mtn,AAAplkAAFAADFJUAAO,1184.4
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADK2PAAe,21549.24
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADKuaAAO,5568.68
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADKuqAAA,1018.3
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADKuaAAg,1497.34
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADKuaAAR,3997.25
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADFQKAAc,5341.65
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADKuaAAI,7197.79
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADKuaAAd,1310.63
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADK2PAAN,2963.97
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADKuaAAL,3677.76
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADK2PAAH,50414.07
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADFQKAAW,4528
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAMAACdPsAAc,13364.87
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADKuaAAX,14994.03
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADKxJAAH,10132.19
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADKuaAAa,17042.15
May,EDF ENERGY CUSTOMERS LTD,Electricity,AAAplkAAFAADFQKAAZ,1226.72
May,EE LTD - AIRTIME,Mobile Phone,AAAplkAAMAACdQeAAf,18217.1
May,ELIS UK LTD,Laundry,AAAplkAAFAADFSAAAH,1122.78
May,ELIS UK LTD,Laundry,AAAplkAAFAADFSAAAI,1226.4
May,ENTERPRISE RENT-A-CAR (UK) LTD - LEEDS,Hire of Vehicles,AAAplkAAFAADKsVAAY,819.87
May,ENTERPRISE RENT-A-CAR (UK) LTD - NOTTINGHAM,Vehicle Equipment,AAAplkAAFAADFNNAAC,896.84
May,ENVA - COLWICK,Waste,AAAplkAAFAADK10AAQ,989.32
May,EQUATION NOTTINGHAMSHIRE,Partnership Grants,AAAplkAAFAADKuaAAd,20568.74
May,EQUATION NOTTINGHAMSHIRE,Commissioned Services,AAAplkAAFAADFUQAAL,1515.82
May,Evolve Nottingham CIC,Grants to Voluntary Bodies,AAAplkAAFAADK2bAAA,12000
May,FLOGAS BRITAIN LTD,Heating Fuel Oil,AAAplkAAFAADFNdAAM,1169.45
May,FLOGAS BRITAIN LTD,Heating Fuel Oil,AAAplkAAFAADK3xAAZ,2981.1
May,FORCE INFORMATION SYSTEMS LTD - 1,Software Licences,AAAplkAAFAADFI4AAI,32211.85
May,FORD MOTOR COMPANY LTD - NOTTINGHAM,Vehicle Maintenance,AAAplkAAFAADKuOAAA,1009.83
May,Formation Media Limited,Professional Subscriptions,AAAplkAAFAADK2eAAJ,1680
May,FRANCOTYP-POSTALIA LTD - POSTBASE,Postage Costs,AAAplkAAFAADFRSAAD,1000
May,FRANCOTYP-POSTALIA LTD - POSTBASE,Postage Costs,AAAplkAAFAADKt3AAV,1000
