PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT ,DESCRIPTION,£ SPEND (EXCLUDING VAT,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 4 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,745.76,
01/02/2024,Foster Care Associates Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),3963.04,
01/02/2024,Foster Care Associates Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),4095.14,
01/02/2024,Foster Care Associates Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),-3690.64,
01/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,2201.24,
01/02/2024,Fusion Fostering Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),4459.57,
01/02/2024,Fusion Fostering Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),4459.57,
01/02/2024,Fusion Fostering Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),4459.57,
01/02/2024,Fusion Fostering Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),4459.57,
01/02/2024,Gerald Edelman Chartered Accountants,CORPORATE ESTATE RENTS RATES & SERVICE CHARGES,SGM CAPITAL PROGRAMME,PREMISES INSURANCE,7992.99,
01/02/2024,Greengage Environmental Ltd,ACHILLES - DEVELOPMENT (DESIGN WORK),CAPITAL,ASSETS UNDER CONSTRUCTION COST,1480,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,726.24,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,1310.08,
01/02/2024,Hythe House Support Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),3925.17,
01/02/2024,Hythe House Support Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),3925.17,
01/02/2024,Integrated Service Programme,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),-364.06,
01/02/2024,Integrated Service Programme,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),375.42,
01/02/2024,Integrated Service Programme,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),2465,
01/02/2024,In-ToTo-Ed,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,11146,
01/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,877.88,
01/02/2024,J & R Care Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,RESIDENTIAL PLACEMENTS,28723.72,
01/02/2024,Redacted,SUPPORT AND MEMORY COGNITION NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,2490.88,
01/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,5157.59,
01/02/2024,John Rowan & Partners LLP,CONSULTANCY FEES / COSTS - 2023/24,NOT IN HIERARCHY,ASSETS UNDER CONSTRUCTION COST,2000,
01/02/2024,Kainos Software Ltd,HIGHWAYS SERVICES,HIGHWAYS AND STREETSCENE,ICT SOFTWARE,3750,
01/02/2024,Keith Williams Architects,STRATEGIC PLANNING,PLANNING,CONSULTANCY FEES,1109.4,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,2218.34,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,854.4,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,9461.68,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,906.26,
01/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,1304.44,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,894.72,
01/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,1831.88,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,4615.36,
01/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,2150.3,
01/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,4300.48,
01/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,12241.2,
01/02/2024,Redacted,SUPPORT AND MEMORY COGNITION NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,3384.5,
01/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,521.18,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 1 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,9849.56,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,1027.5,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,738.56,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,1109.72,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,3558.09,
01/02/2024,Redacted,SUPPORT AND MEMORY COGNITION NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",FAIRER CHARGING INCOME,3681.48,
01/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 4 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,6974.89,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,847.56,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,1623.36,
01/02/2024,Newsquest (London) Ltd,PRIVATE SECTOR RENEWAL: ENVIRON. HEALTH TEAM,PRIVATE SECTOR HOUSING,CONSULTANCY FEES,3612.6,
01/02/2024,Nordic Product & Services Ltd,STREET CLEANSING,STREET MANAGEMENT,GRAFFITI REMOVAL,3757.5,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Octavia House Schools Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,15000,
01/02/2024,Onelab College,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,11144.39,
01/02/2024,Oyster Partnership,ENVIRONMENTAL HEALTH-ENVIRONMENTAL PROTECTION (NEW),ENVIRONMENTAL HEALTH & TRADING STANDARDS,ENVIRONMENTAL SERVICES - OTHER,1005,
01/02/2024,Oyster Partnership,ENVIRONMENTAL HEALTH-ENVIRONMENTAL PROTECTION (NEW),ENVIRONMENTAL HEALTH & TRADING STANDARDS,ENVIRONMENTAL SERVICES - OTHER,1890,
01/02/2024,Oyster Partnership,ENVIRONMENTAL HEALTH-ENVIRONMENTAL PROTECTION (NEW),ENVIRONMENTAL HEALTH & TRADING STANDARDS,ENVIRONMENTAL SERVICES - OTHER,2275,
01/02/2024,Oyster Partnership,ENVIRONMENTAL HEALTH-ENVIRONMENTAL PROTECTION (NEW),ENVIRONMENTAL HEALTH & TRADING STANDARDS,ENVIRONMENTAL SERVICES - OTHER,2275,
01/02/2024,Penna Plc,CORE ACCOUNTING,HEADS OF FINANCE,PROFESSIONAL SERVICES ,743.75,
01/02/2024,PPL PRS Limited Company,LT: THEATRE MANAGEMENT,BROADWAY THEATRE GROUP,PROFESSIONAL SERVICES ,1721.94,
01/02/2024,PPL PRS Limited Company,LT: THEATRE MANAGEMENT,BROADWAY THEATRE GROUP,PROFESSIONAL SERVICES ,1525.19,
01/02/2024,Price & Myers,ACHILLES - DEVELOPMENT (DESIGN WORK),CAPITAL,ASSETS UNDER CONSTRUCTION COST,8000,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,1537.92,
01/02/2024,Reed Specialist Recruitment Ltd,EDUCATIONAL PSYCHOLOGISTS ,EDUCATION PSYCHOLOGY & SENSORY SUPPORT,AGENCY STAFF,10575,
01/02/2024,Regional Network Solutions Ltd,DIGITAL PROJECTS,IT & DIGITAL SERVICES,ICT LICENCES,1400,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,298.5,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,414.59,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,252.37,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,252.37,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,311.01,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,305.73,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,406.92,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,270.88,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,424.25,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,373.47,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,323.51,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,491.2,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,2706.75,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,435.94,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,427.79,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,284.99,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,284.03,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,334.21,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,555.39,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,386.35,
01/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,317.67,
01/02/2024,RGE Services,LH FIRE ASSESSMENTS & WORK,HOUSING QUALITY AND INVESTMENT - HRA,FIRE ASSESSMENT,542.31,
01/02/2024,RGE Services,LH FIRE ASSESSMENTS & WORK,HOUSING QUALITY AND INVESTMENT - HRA,FIRE ASSESSMENT,502.88,
01/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 4 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,2050.56,
01/02/2024,Silver DCC Ltd,ACHILLES - DEVELOPMENT (DESIGN WORK),CAPITAL,ASSETS UNDER CONSTRUCTION COST,840,
01/02/2024,Silver DCC Ltd,ACHILLES - DEVELOPMENT (DESIGN WORK),CAPITAL,ASSETS UNDER CONSTRUCTION COST,1720.82,
01/02/2024,Social Inclusion Recovery Group CIC,HEALTH INEQUALITIES,OTHER PUBLIC HEALTH SERVICES,HEALTHCARE SERVICES - GENERAL,10000,
01/02/2024,Sound Choice Hire Ltd,LT: THEATRE MANAGEMENT,BROADWAY THEATRE GROUP,CYCLICAL/PLANNED MAINTENANCE - MECHANICAL AND ELECTRICAL,3121,
01/02/2024,Stef & Philips Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,175198,
01/02/2024,Subari Foster Care Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,PRIVATE & VOLUNTARY FOSTERING AGENCIES (IFA),11957.1,
01/02/2024,Sundry Suppliers,CHIEF EXECUTIVE'S OFFICE,CHIEF EXECUTIVE'S OFFICE,STAFF TRAINING AND DEVELOPMENT,2700,
01/02/2024,Teacher Active Limited,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,564.6,
01/02/2024,Teacher Active Limited,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,564.6,
01/02/2024,Teacher Active Limited,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,1129.2,
01/02/2024,Teacher Active Limited,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,1129.2,
01/02/2024,Teacher Active Limited,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,846.9,
01/02/2024,Teacher Active Limited,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,1128.6,
01/02/2024,Teacher Active Limited,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,846.9,
01/02/2024,Teacher Active Limited,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,300.72,
01/02/2024,Teacher Active Limited,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,1693.8,
01/02/2024,Teacher Active Limited,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,846.9,
01/02/2024,Teacher Active Limited,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,1129.2,
01/02/2024,The Glow Company UK Ltd,LT: THEATRE MANAGEMENT,BROADWAY THEATRE GROUP,ARTS AND LEISURE SERVICES,668.64,
01/02/2024,Thomson Ecology Ltd,PROPERTIES AWAITING DISPOSAL,SGM CAPITAL PROGRAMME,ACQUISITION - LAND AND BUILDINGS,1318.1,
01/02/2024,Tudor (UK) Limited,PARKS - BECKENHAM PLACE PARK,GREEN SCENE,TREE WORKS,908.9,
01/02/2024,Veolia Es Southwark Ltd,CIVIC AMENITIES,STRATEGIC WASTE MANAGEMENT,PRIVATE CONTRACTORS PAYMENT - OTHER,1151.43,
01/02/2024,Waterman Aspen Ltd,STRATEGIC WASTE MANAGEMENT - ADMINISTRATION,STRATEGIC WASTE MANAGEMENT,ENVIRONMENTAL SERVICES - OTHER,1536,
01/02/2024,Wilkin Chapman,BUSINESS RATES SUPPORT & DEVELOPMENT,REVENUES AND BENEFITS,LEGAL FEES,2569.6,
01/02/2024,Wilkin Chapman,BUSINESS RATES SUPPORT & DEVELOPMENT,REVENUES AND BENEFITS,LEGAL FEES,2201.8,
01/02/2024,Witherslack Group Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,RESIDENTIAL PLACEMENTS,95478.34,
01/02/2024,YPR LIMITED,CHILDREN LOOKED AFTER COSTS,CORPORATE PARENTING,EMOTIONAL WELLBEING & MENTAL HEALTH SUPPORT,1000,
01/02/2024,YPR LIMITED,CHILDREN LOOKED AFTER COSTS,CORPORATE PARENTING,ADDITIONAL SUPPORT - PLACEMENT STABILITY,900,
01/02/2024,YPR LIMITED,CLA PLACEMENTS ,CORPORATE PARENTING,SEMI-INDEPENDENT PLACEMENTS,17112,
02/02/2024,15 Billion,"ACCESS, INCLUSION AND PARTICIPATION","ACCESS, INCULSION AND PARTICPATION",PROFESSIONAL SERVICES ,10036.5,
02/02/2024,A R Empire Ltd,LT: THEATRE MANAGEMENT,BROADWAY THEATRE GROUP,ARTS AND LEISURE SERVICES,7270.9,
02/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,1141.06,
02/02/2024,Redacted,OTHER CARE ARRANGEMENTS,CORPORATE PARENTING,SPECIAL GUARDIANSHIP PAYMENTS,844.1,
02/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,1005.68,
02/02/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,1218.42,
02/02/2024,AE Partners Limited (Trading as Personal Alarm Watch),LEWISHAM LINKLINE,INTERNAL PROVIDER SERVICES,"RESOURCES- EQUIPMENT, FURNITURE, MATERIALS",1813.44,
