PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT,DESCRIPTION,£ SPEND (EXCLUDING VAT),
01/03/2024,Access for Living,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DAYCARE - PRIVATE CONTRACTORS PAYMENT,1087.52,
01/03/2024,Achieve Together Ltd,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,7134.34,
01/03/2024,Achieve Together Ltd,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,7134.34,
01/03/2024,Achieve Together Ltd,LEARNING DISABILITY SUPPORT ALL NEIGHBOURHOODS - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,8403.58,
01/03/2024,Acorn Care & Educational Ltd,CWCN: SEN INDEPENDENT SCHOOL PLACEMENTS,CHILDREN WITH COMPLEX NEEDS,PAYMENT TO OTHER ESTABLISHMENTS - GENERAL,5974.05,
01/03/2024,Acorn Homes (UK) Ltd,CLA PLACEMENTS ,CORPORATE PARENTING,RESIDENTIAL PLACEMENTS,14872.98,
01/03/2024,Active Care Group,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,5456.35,
01/03/2024,Active Care Group,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,11589.53,
01/03/2024,Active Care Group,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,10644.07,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,484.76,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,1100,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,1000,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,1150,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,1892,
01/03/2024,Advance Demand Side Management Ltd,FEASIBILITY WORKS,SGM CAPITAL PROGRAMME,RESPONSIVE REPAIRS - BUILDING,1700,
01/03/2024,Advance Demand Side Management Ltd,PARKS - BECKENHAM PLACE PARK,GREEN SCENE,RESPONSIVE REPAIRS - BUILDING,3215,
01/03/2024,Advance Demand Side Management Ltd,PARKS - BECKENHAM PLACE PARK,GREEN SCENE,RESPONSIVE REPAIRS - BUILDING,9630,
01/03/2024,Advantage Healthcare Ltd,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,4383.1,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,960,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,830,
01/03/2024,Redacted,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",DIRECT PAYMENTS,1083.04,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,950,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,735,
01/03/2024,All Seasons Lettings and Management Ltd,PRIVATELY MANAGED ACCOMODATION,PRIVATE SECTOR HOUSING,RENTS PAYABLE,1628.12,
01/03/2024,Allen Lane Limited,CORE ACCOUNTING,HEADS OF FINANCE,PROFESSIONAL SERVICES ,2625,
01/03/2024,Allen Lane Limited,"FINANCIAL STRATEGY, PLANNING AND COMMERCIAL",HEADS OF FINANCE,PROFESSIONAL SERVICES ,3625,
01/03/2024,Allen Lane Limited,CORE ACCOUNTING,HEADS OF FINANCE,PROFESSIONAL SERVICES ,2625,
01/03/2024,Allen Lane Limited,"FINANCIAL STRATEGY, PLANNING AND COMMERCIAL",HEADS OF FINANCE,PROFESSIONAL SERVICES ,2900,
01/03/2024,Allen Lane Limited,CORE ACCOUNTING,HEADS OF FINANCE,PROFESSIONAL SERVICES ,5250,
