Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
23/07/2023,II,4133933,650.52,HC126587,Education Shed Ltd,202404,Schools,Supplies & Services,No
12/07/2023,II,4131954,9871.88,HC126605,J&G Johnson Ltd T/A Mountain Perspective,202404,Economy and Growth,Supplies & Services,No
12/07/2023,II,4131503,12581.46,HC126616,OpenView Security Solutions Ltd,202404,Economy and Growth,Supplies & Services,No
19/07/2023,II,4132454,7295.78,HC126616,OpenView Security Solutions Ltd,202404,Economy and Growth,Supplies & Services,No
05/07/2023,II,4130298,13000,HC126648,Ross on Wye RFC,202404,Capital Planning Delivery Board,Capital Expenditure,No
31/07/2023,II,4135368,13000,HC126648,Ross on Wye RFC,202404,Capital Planning Delivery Board,Capital Expenditure,No
26/07/2023,II,4134253,500,HC126668,F  R Willetts Ltd,202404,Schools,Transport-Related Expenditure,No
26/07/2023,II,4134254,516,HC126668,F  R Willetts Ltd,202404,Schools,Transport-Related Expenditure,No
26/07/2023,II,4134255,530,HC126668,F  R Willetts Ltd,202404,Schools,Transport-Related Expenditure,No
26/07/2023,II,4134258,575,HC126668,F  R Willetts Ltd,202404,Schools,Transport-Related Expenditure,No
12/07/2023,II,4129602,1980,HC126763,PFI Bidco 1 Ltd  t/a  Gardners,202404,Economy and Growth,Supplies & Services,No
12/07/2023,II,4131853,1170,HC126791,Medical Expert Witness Alliance (MEWA) LLP,202404,Safeguarding and Family Support,Supplies & Services,No
12/07/2023,II,4131837,681.68,HC126791,Medical Expert Witness Alliance (MEWA) LLP,202404,Safeguarding and Family Support,Supplies & Services,No
12/07/2023,II,4131936,1185.6,HC126963,3P Learning Limited,202404,Schools,Supplies & Services,No
24/07/2023,II,4133307,24787.87,HC127046,Queenswood School - Woodbury House Priory,202404,Dedicated Schools Grant,Supplies & Services,No
24/07/2023,II,4133311,30164.67,HC127046,Queenswood School - Woodbury House Priory,202404,Dedicated Schools Grant,Supplies & Services,No
24/07/2023,II,4133313,26487.87,HC127046,Queenswood School - Woodbury House Priory,202404,Dedicated Schools Grant,Supplies & Services,No
24/07/2023,II,4133314,26804.54,HC127046,Queenswood School - Woodbury House Priory,202404,Dedicated Schools Grant,Supplies & Services,No
18/07/2023,II,4132945,5668.45,HC127073,Young Foundations Ltd,202404,Dedicated Schools Grant,Supplies & Services,No
24/07/2023,II,4133978,1110.82,HC127131,Bidvest Noonan,202404,Schools,Premises-Related Expenditure,No
25/07/2023,II,4134201,1718.4,HC127131,Bidvest Noonan,202404,Schools,Premises-Related Expenditure,No
06/07/2023,II,4130665,1723.18,HC127171,Askews & Holts Library Services Ltd,202404,Cultural Services,Supplies & Services,No
11/07/2023,II,4131706,1358.55,HC127171,Askews & Holts Library Services Ltd,202404,Cultural Services,Supplies & Services,No
26/07/2023,II,4134407,2177.78,HC127171,Askews & Holts Library Services Ltd,202404,Cultural Services,Supplies & Services,No
12/07/2023,II,4132099,1000,HC127174,Avril Rushe,202404,Governance and Legal Services,Supplies & Services,No
12/07/2023,II,4132109,750,HC127174,Avril Rushe,202404,Governance and Legal Services,Supplies & Services,No
28/07/2023,II,4134874,2580,HC127231,Cross-Curricular Orienteering Ltd,202404,Schools,Supplies & Services,No
24/07/2023,II,4133958,4148.82,HC127234,Wavenet Limited,202404,Corporate Support Services,Supplies & Services,No
26/07/2023,II,4134206,37724.43,HC127234,Wavenet Limited,202404,Strategic Finance,Supplies & Services,No
27/07/2023,GI,3231460,506.67,HC127283,Redacted,202404,Education and Commissioning,Transport-Related Expenditure,Yes
12/07/2023,II,4132059,6498.5,HC127328,Mace Limited,202404,Corporate Property Programme Board,Capital Expenditure,No
17/07/2023,II,4130069,23415.63,HC127328,Mace Limited,202404,Towns Fund Delivery Board,Capital Expenditure,No
11/07/2023,II,4131631,3492.6,HC127451,Redacted,202404,Education and Commissioning,Transport-Related Expenditure,Yes
11/07/2023,II,4131633,2800,HC127451,Redacted,202404,Education and Commissioning,Transport-Related Expenditure,Yes
11/07/2023,II,4131634,1560,HC127451,Redacted,202404,Education and Commissioning,Transport-Related Expenditure,Yes
11/07/2023,II,4131636,2964,HC127451,Redacted,202404,Education and Commissioning,Transport-Related Expenditure,Yes
28/07/2023,II,4134807,1170,HC127451,Redacted,202404,Education and Commissioning,Transport-Related Expenditure,Yes
28/07/2023,II,4134809,2100,HC127451,Redacted,202404,Education and Commissioning,Transport-Related Expenditure,Yes
28/07/2023,II,4134810,2948.71,HC127451,Redacted,202404,Education and Commissioning,Transport-Related Expenditure,Yes
28/07/2023,II,4134811,2451,HC127451,Redacted,202404,Education and Commissioning,Transport-Related Expenditure,Yes
11/07/2023,II,4131683,2594,HC127451,Redacted,202404,"Highways, Environment and Waste",Transport-Related Expenditure,Yes
28/07/2023,II,4134784,600,HC127470,Redacted,202404,Schools,Transport-Related Expenditure,Yes
20/07/2023,GI,3226659,5271.29,HC127500,Foxes Academy,202404,Dedicated Schools Grant,Support Services,No
19/07/2023,II,4133019,450,HC127516,Dyslexia Wise,202404,Schools,Supplies & Services,No
26/07/2023,II,4134428,495,HC127516,Dyslexia Wise,202404,Schools,Supplies & Services,No
14/07/2023,II,4132515,5220,HC127536,Wonde Ltd,202404,Schools,Supplies & Services,No
04/07/2023,GI,3221920,375000,HC127536,Wonde Ltd,202404,Strategic Finance,Supplies & Services,No
06/07/2023,II,4130678,5940,HC127543,McBains Limited,202404,Children & Young People Capital,Capital Expenditure,No
17/07/2023,II,4132460,4290.76,HC127543,McBains Limited,202404,Economic Development Delivery Board,Capital Expenditure,No
18/07/2023,II,4132988,2363.13,HC127626,JNA Property Ltd,202404,Economy and Growth,Supplies & Services,No
18/07/2023,II,4132999,3670.1,HC127626,JNA Property Ltd,202404,Economy and Growth,Supplies & Services,No
02/07/2023,II,4130268,460,HC127629,drb Schools and Academies Services Ltd,202404,Schools,Employees,No
25/07/2023,II,4134177,3080,HC127633,Megan Baker House,202404,Schools,Supplies & Services,No
27/07/2023,II,4134762,900,HC127633,Megan Baker House,202404,Schools,Supplies & Services,No
28/07/2023,II,4134906,480,HC127633,Megan Baker House,202404,Schools,Supplies & Services,No
11/07/2023,II,4131680,855,HC127682,Heartfelt Therapy,202404,Schools,Supplies & Services,No
13/07/2023,II,4132126,1045,HC127716,Maxxia Ltd,202404,Schools,Supplies & Services,No
04/07/2023,II,4130461,14058.1,HC127849,Friends of Castle Green CIC,202404,Holding Codes,Holding Codes,No
13/07/2023,II,4132410,1548.8,HC127849,Friends of Castle Green CIC,202404,Holding Codes,Holding Codes,No
13/07/2023,GI,3225261,178000,HC127849,Friends of Castle Green CIC,202404,Holding Codes,Holding Codes,No
25/07/2023,II,4134236,36642.1,HC127849,Friends of Castle Green CIC,202404,Holding Codes,Holding Codes,No
10/07/2023,II,4131404,677.75,HC127962,Redacted,202404,Transformation and Improvement,Supplies & Services,Yes
10/07/2023,II,4131342,621.76,HC128133,RE:Recruitment / People Ltd,202404,Education and Commissioning,Transport-Related Expenditure,No
19/07/2023,II,4133088,740,HC128133,RE:Recruitment / People Ltd,202404,Education and Commissioning,Transport-Related Expenditure,No
05/07/2023,II,4126461,1383.93,HC128173,The Answering Service Ltd,202404,Corporate Support Services,Supplies & Services,No
18/07/2023,II,4132857,130047.91,HC128185,Turning Point Services Ltd,202404,Public Health,Supplies & Services,No
18/07/2023,II,4132858,3388,HC128185,Turning Point Services Ltd,202404,Public Health,Supplies & Services,No
20/07/2023,II,4133371,15750,HC128199,IESE Innovation Limited,202404,Central Childrens Directorate Costs,Third Party Payments,No
12/07/2023,II,4132022,2000,HC128214,Hawkes & Edwards,202404,Corporate Property Programme Board,Capital Expenditure,No
25/07/2023,II,4134110,1500,HC128214,Hawkes & Edwards,202404,Corporate Property Programme Board,Capital Expenditure,No
21/07/2023,II,4133517,2640,HC128237,Andy Williams Tree Services Ltd,202404,"Highways, Environment and Waste",Supplies & Services,No
27/07/2023,II,4133643,2200,HC128237,Andy Williams Tree Services Ltd,202404,Major Infrastructure Programme Board,Capital Expenditure,No
04/07/2023,II,4130203,450,HC128237,Andy Williams Tree Services Ltd,202404,Strategic Assets,Third Party Payments,No
06/07/2023,II,4130613,450,HC128237,Andy Williams Tree Services Ltd,202404,Strategic Assets,Third Party Payments,No
28/07/2023,II,4134777,480,HC128237,Andy Williams Tree Services Ltd,202404,Strategic Assets,Third Party Payments,No
21/07/2023,II,4133527,1150,HC128259,The Drama Geezers,202404,Schools,Supplies & Services,No
04/07/2023,II,4130168,600,HC128278,Metro Rod,202404,Strategic Assets,Third Party Payments,No
12/07/2023,II,4130167,600,HC128278,Metro Rod,202404,Strategic Assets,Third Party Payments,No
17/07/2023,II,4132632,650,HC128278,Metro Rod,202404,Strategic Assets,Third Party Payments,No
17/07/2023,II,4132633,450,HC128278,Metro Rod,202404,Strategic Assets,Third Party Payments,No
17/07/2023,II,4132634,2400,HC128278,Metro Rod,202404,Strategic Assets,Third Party Payments,No
17/07/2023,II,4132656,650,HC128278,Metro Rod,202404,Strategic Assets,Third Party Payments,No
19/07/2023,II,4133010,2400,HC128278,Metro Rod,202404,Strategic Assets,Third Party Payments,No
28/07/2023,II,4134802,4350,HC128278,Metro Rod,202404,Strategic Assets,Third Party Payments,No
31/07/2023,II,4135082,650,HC128278,Metro Rod,202404,Strategic Assets,Third Party Payments,No
31/07/2023,II,4135084,455,HC128278,Metro Rod,202404,Strategic Assets,Third Party Payments,No
12/07/2023,II,4129616,11135.38,HC128280,Inside Out,202404,Strategic Assets,Third Party Payments,No
13/07/2023,II,4129617,11505,HC128280,Inside Out,202404,Strategic Assets,Third Party Payments,No
05/07/2023,II,4130594,600,HC128290,Redacted,202404,Governance and Legal Services,Supplies & Services,Yes
06/07/2023,II,4130730,843.2,HC128292,Udall-Martin Associates,202404,Children & Young People Capital,Capital Expenditure,No
13/07/2023,II,4132164,683.95,HC128292,Udall-Martin Associates,202404,Children & Young People Capital,Capital Expenditure,No
13/07/2023,II,4132270,683.95,HC128292,Udall-Martin Associates,202404,Children & Young People Capital,Capital Expenditure,No
21/07/2023,II,4133559,851.8,HC128292,Udall-Martin Associates,202404,Children & Young People Capital,Capital Expenditure,No
12/07/2023,II,4131962,483.25,HC128292,Udall-Martin Associates,202404,Sustainable Living Programme Board,Capital Expenditure,No
13/07/2023,II,4132318,692.75,HC128292,Udall-Martin Associates,202404,Sustainable Living Programme Board,Capital Expenditure,No
13/07/2023,II,4131075,1463,HC128303,Dudley Fencing & Landscaping Ltd,202404,Strategic Assets,Third Party Payments,No
27/07/2023,II,4133952,14647,HC128303,Dudley Fencing & Landscaping Ltd,202404,Strategic Assets,Third Party Payments,No
28/07/2023,II,4134901,4932,HC128303,Dudley Fencing & Landscaping Ltd,202404,Strategic Assets,Third Party Payments,No
04/07/2023,II,4129022,2680,HC128317,Malvern Scaffolding Ltd,202404,Strategic Assets,Third Party Payments,No
07/07/2023,II,4131101,1635,HC128419,Rise Partnership Developments,202404,Community Wellbeing Delivery Board,Capital Expenditure,No
10/07/2023,II,4131420,895,HC128419,Rise Partnership Developments,202404,Community Wellbeing Delivery Board,Capital Expenditure,No
10/07/2023,II,4131476,1335,HC128419,Rise Partnership Developments,202404,Community Wellbeing Delivery Board,Capital Expenditure,No
28/07/2023,II,4134936,2545.4,HC128485,The Spotted Penguin Company Ltd (Just for Schools),202404,Schools,Premises-Related Expenditure,No
11/07/2023,II,4131316,864.1,HC128490,INCIC Independence Community Interest Company,202404,Community Wellbeing Delivery Board,Capital Expenditure,No
04/07/2023,II,4129772,2532.86,HC128520,AHR Building Consultancy Ltd,202404,Children & Young People Capital,Capital Expenditure,No
07/07/2023,II,4130944,1280.3,HC128535,OAKS Ltd,202404,Talk Community Programme,Transfer Payments,No
07/07/2023,II,4130954,3100,HC128535,OAKS Ltd,202404,Talk Community Programme,Transfer Payments,No
07/07/2023,II,4131013,1495,HC128598,Bryant & Co Hereford Ltd,202404,Schools,Premises-Related Expenditure,No
03/07/2023,II,4130306,22126.3,HC128665,Odgers Interim & Odgers Connect,202404,Central Childrens Directorate Costs,Employees,No
31/07/2023,II,4135132,18791.67,HC128665,Odgers Interim & Odgers Connect,202404,Central Childrens Directorate Costs,Employees,No
10/07/2023,II,4131381,4666.5,HC128665,Odgers Interim & Odgers Connect,202404,Central Childrens Directorate Costs,Supplies & Services,No
17/07/2023,II,4132753,3066.21,HC128730,Tims Transport Ltd,202404,Education and Commissioning,Transport-Related Expenditure,No
18/07/2023,II,4132844,3500,HC128730,Tims Transport Ltd,202404,Education and Commissioning,Transport-Related Expenditure,No
31/07/2023,II,4135282,2625,HC128730,Tims Transport Ltd,202404,Education and Commissioning,Transport-Related Expenditure,No
31/07/2023,II,4135284,3165.12,HC128730,Tims Transport Ltd,202404,Education and Commissioning,Transport-Related Expenditure,No
24/07/2023,II,4133979,3736.34,HC128754,Fizzi productions Ltd,202404,Schools,Premises-Related Expenditure,No
04/07/2023,II,4129205,7238.46,HC128758,Ingson Ltd,202404,Central Childrens Directorate Costs,Employees,No
18/07/2023,II,4132726,7430.2,HC128758,Ingson Ltd,202404,Central Childrens Directorate Costs,Employees,No
27/07/2023,II,4134571,7393.02,HC128758,Ingson Ltd,202404,Central Childrens Directorate Costs,Employees,No
13/07/2023,II,4132199,1150,HC128764,Redacted,202404,Governance and Legal Services,Supplies & Services,Yes
13/07/2023,II,4132250,2500,HC128830,Redacted,202404,Corporate Property Programme Board,Capital Expenditure,Yes
13/07/2023,II,4132317,1945,HC128830,Redacted,202404,Corporate Transformation,Capital Expenditure,Yes
07/07/2023,II,4130828,2875,HC128890,Precision Resource Group Limited,202404,All Ages Commissioning,Supplies & Services,No
07/07/2023,II,4130829,2875,HC128890,Precision Resource Group Limited,202404,All Ages Commissioning,Supplies & Services,No
12/07/2023,II,4132023,718.75,HC128890,Precision Resource Group Limited,202404,All Ages Commissioning,Supplies & Services,No
12/07/2023,II,4132024,2875,HC128890,Precision Resource Group Limited,202404,All Ages Commissioning,Supplies & Services,No
20/07/2023,II,4133159,2300,HC128890,Precision Resource Group Limited,202404,All Ages Commissioning,Supplies & Services,No
20/07/2023,II,4133160,2875,HC128890,Precision Resource Group Limited,202404,All Ages Commissioning,Supplies & Services,No
27/07/2023,II,4134332,2875,HC128890,Precision Resource Group Limited,202404,All Ages Commissioning,Supplies & Services,No
27/07/2023,II,4134333,2875,HC128890,Precision Resource Group Limited,202404,All Ages Commissioning,Supplies & Services,No
07/07/2023,II,4130845,22100,HC128890,Precision Resource Group Limited,202404,All Ages Commissioning,Third Party Payments,No
14/07/2023,II,4132360,13650,HC128890,Precision Resource Group Limited,202404,All Ages Commissioning,Third Party Payments,No
20/07/2023,II,4133234,10230,HC128890,Precision Resource Group Limited,202404,"Highways, Environment and Waste",Third Party Payments,No
06/07/2023,II,4130830,1950,HC128890,Precision Resource Group Limited,202404,Transport & Place Making Delivery Board,Capital Expenditure,No
20/07/2023,II,4133235,1950,HC128890,Precision Resource Group Limited,202404,Transport & Place Making Delivery Board,Capital Expenditure,No
12/07/2023,II,4132018,3000,HC128901,Wright Silverwood Ltd,202404,Strategic Assets,Supplies & Services,No
17/07/2023,II,4132825,1500,HC128901,Wright Silverwood Ltd,202404,Strategic Assets,Supplies & Services,No
17/07/2023,II,4132826,5000,HC128901,Wright Silverwood Ltd,202404,Strategic Assets,Supplies & Services,No
17/07/2023,II,4132827,1500,HC128901,Wright Silverwood Ltd,202404,Strategic Assets,Supplies & Services,No
04/07/2023,II,4130390,810,HC128917,Signworx Hereford Ltd,202404,Chief Executive's Office,Supplies & Services,No
20/07/2023,II,4133376,4275,HC128936,Vivid Resourcing,202404,Strategic Assets,Supplies & Services,No
13/07/2023,II,4132284,420,HC128950,Jackson Lifts,202404,Strategic Assets,Third Party Payments,No
13/07/2023,II,4132285,870.66,HC128950,Jackson Lifts,202404,Strategic Assets,Third Party Payments,No
13/07/2023,II,4130965,1641.6,HC128998,The Woonton Goodlife,202404,Schools,Supplies & Services,No
13/07/2023,II,4131917,818.4,HC128998,The Woonton Goodlife,202404,Schools,Supplies & Services,No
13/07/2023,II,4131918,816,HC128998,The Woonton Goodlife,202404,Schools,Supplies & Services,No
14/07/2023,II,4132159,18300,HC129007,Tile Hill Interim & Executive Ltd,202404,Central Childrens Directorate Costs,Third Party Payments,No
13/07/2023,II,4132161,16830,HC129007,Tile Hill Interim & Executive Ltd,202404,Chief Executive's Office,Third Party Payments,No
14/07/2023,II,4132416,17340,HC129007,Tile Hill Interim & Executive Ltd,202404,Corporate Support Services,Supplies & Services,No
19/07/2023,II,4132160,12627,HC129007,Tile Hill Interim & Executive Ltd,202404,Education and Commissioning,Third Party Payments,No
14/07/2023,II,4132162,16107.46,HC129007,Tile Hill Interim & Executive Ltd,202404,Safeguarding and Family Support,Employees,No
14/07/2023,II,4132511,5484,HC129007,Tile Hill Interim & Executive Ltd,202404,Talk Community Programme,Supplies & Services,No
14/07/2023,II,4132414,14278,HC129007,Tile Hill Interim & Executive Ltd,202404,"Transformation, PMO and Performance",Employees,No
12/07/2023,II,4131886,6500,HC129007,Tile Hill Interim & Executive Ltd,202404,"Transformation, PMO and Performance",Third Party Payments,No
13/07/2023,II,4132405,19008,HC129007,Tile Hill Interim & Executive Ltd,202404,"Transformation, PMO and Performance",Third Party Payments,No
13/07/2023,II,4132156,7080,HC129007,Tile Hill Interim & Executive Ltd,202404,"Transformation, PMO and Performance",Third Party Payments,No
14/07/2023,II,4132455,8142,HC129007,Tile Hill Interim & Executive Ltd,202404,"Transformation, PMO and Performance",Third Party Payments,No
31/07/2023,II,4135202,450,HC129029,Redacted,202404,Schools,Supplies & Services,Yes
06/07/2023,II,4130874,600,HC129030,Hodnett Legal Services Ltd,202404,Governance and Legal Services,Supplies & Services,No
10/07/2023,II,4131413,600,HC129030,Hodnett Legal Services Ltd,202404,Governance and Legal Services,Supplies & Services,No
10/07/2023,II,4131357,784,HC129045,Redacted,202404,Schools,Supplies & Services,Yes
11/07/2023,II,4131751,3767.2,HC129064,Brown's Transport Company,202404,"Highways, Environment and Waste",Transport-Related Expenditure,No
31/07/2023,II,4135434,2825.4,HC129064,Brown's Transport Company,202404,"Highways, Environment and Waste",Transport-Related Expenditure,No
13/07/2023,II,4132368,2500,HC129101,Redacted,202404,Schools,Supplies & Services,Yes
25/07/2023,II,4134214,2000,HC129101,Redacted,202404,Schools,Supplies & Services,Yes
13/07/2023,II,4132235,5833.33,HC129121,JBP Associates Ltd,202404,"Highways, Environment and Waste",Supplies & Services,No
20/07/2023,II,4133402,1733.82,HC129121,JBP Associates Ltd,202404,"Highways, Environment and Waste",Supplies & Services,No
28/07/2023,II,4135022,1375,HC129124,Eleventh Hour Group,202404,Dedicated Schools Grant,Supplies & Services,No
06/07/2023,II,4130664,5922.28,HC129144,Ashdown Group Limited,202404,HR and Organisational Development,Employees,No
17/07/2023,II,4131710,18330,HC129163,Project Centre Ltd,202404,Economic Development Delivery Board,Capital Expenditure,No
27/07/2023,GI,3231443,500,HC129166,Martin Saunders Property Services Ltd,202404,Commissioned Services,Supplies & Services,No
27/07/2023,GI,3231444,600,HC129166,Martin Saunders Property Services Ltd,202404,Commissioned Services,Supplies & Services,No
