Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
17/11/2023,II,4148698,930,HC127611,Malvern Tutoring,202408,Dedicated Schools Grant,Supplies & Services,No
17/11/2023,II,4148700,7380,HC114648,Bike Right! Ltd,202408,"Highways, Environment and Waste",Supplies & Services,No
17/11/2023,II,4148701,2500,HC114648,Bike Right! Ltd,202408,"Highways, Environment and Waste",Supplies & Services,No
20/11/2023,II,4148702,3480,HC132151,Starfish Search Limited,202408,"Transformation, PMO and Performance",Supplies & Services,No
17/11/2023,II,4148703,548,HC126668,F  R Willetts Ltd,202408,Schools,Transport-Related Expenditure,No
17/11/2023,II,4148706,440,HC104118,How Caple Sollershope & Yatton Gpc,202408,"Highways, Environment and Waste",Third Party Payments,No
17/11/2023,II,4148708,5087.44,HC132454,Gaucho Ninja Leather UK,202408,Towns Fund Delivery Board,Capital Expenditure,No
17/11/2023,II,4148709,6224.46,HC115217,NHS Herefords & Worc ICB,202408,Physical Disabilities,Third Party Payments,No
17/11/2023,II,4148714,2135.2,HC122547,Network Data Services Limited,202408,Schools Devolved Capital,Capital Expenditure,No
17/11/2023,II,4148716,1968.86,HC126977,Redacted,202408,Major Infrastructure Programme Board,Capital Expenditure,Yes
17/11/2023,II,4148717,2580,HC131556,Cathedral Cars Worcester Limited,202408,"Highways, Environment and Waste",Transport-Related Expenditure,No
23/11/2023,II,4148724,560,HC128434,Redacted,202408,Strategic Assets,Third Party Payments,Yes
17/11/2023,II,4148726,8235.85,HC115532,Enigma CCTV Ltd,202408,Economy and Growth,Third Party Payments,No
17/11/2023,II,4148727,1250,HC116850,Bruton Knowles,202408,Transport & Place Making Delivery Board,Capital Expenditure,No
22/11/2023,II,4148730,974,HC100787,Aymestrey Parish Council,202408,"Highways, Environment and Waste",Third Party Payments,No
17/11/2023,II,4148733,597,HC101611,CCS Media Ltd,202408,Corporate Support Services,Supplies & Services,No
28/11/2023,II,4148738,949,HC118096,Twinkl Educational Publishing Ltd,202408,Schools,Supplies & Services,No
17/11/2023,II,4148742,4590,HC125844,Schools'Mutual Sickness Cost Pooling Scheme,202408,Schools,Employees,No
20/11/2023,II,4148744,8752.28,HC115722,The Nationwide Community Learning Partnership (NCLP),202408,Education and Commissioning,Supplies & Services,No
