Organisation Name,Organisation Code,Organisational Structure Tier 1(T),Cost Centre(T),Cost Centre,Supplier ID(T),Supplier ID,Pay Date,Trans Number,Net Amount,Account(T),Account,Proclass Level 1,Proclass Level 1 - code,Proclass Level 2,Proclass Level 2 - code,Proclass Level 3,Proclass Level 3 - code
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,"Public Health, Intelligence and Commissioning Staffing",R203000,Nhs Pensions,12505061,45110,12300183067,2028.5,Services - Fees and Charges,R4401,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Health & Safety,R302140,Stephen Flanagan,12530982,45110,12300183056,1925,Services - Fees and Charges,R4401,Consultancy,P1006,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,AJ And Friends C.I.C,12527571,45110,12300182830,1720,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,PLO Chester,R160700,MSB Solicitors Ltd,12534790,45110,12300183169,1569,Services - Professional Fees,R4400,Financial Services,P1011,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Highways,C300003,Groundwork & Leisure Services Ltd,12500998,45110,12300181539,1500,"Conversion, Renovation & Improvement",C1101,Horticultural,P1016,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,StreetCare Delivery,R300201,Origin Amenity Solutions Limited,12502935,45110,12300182845,1378,Services - Fees and Charges,R4401,"Works - Construction, Repair & Maintenance",P1031,Open Spaces,P2235,Open Spaces,P3401
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,HR Staff,R403000,Bevan Brittan LLP,12505276,45110,12300176370,1230,Services - Professional Fees,R4400,Legal Services,P1020,General Support,P2168,General Support,P3251
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Public Conveniences,R300608,Nirvana Managed Services Limited,12508078,45110,12300183181,1216.66,Services - Fees and Charges,R4401,Environmental Services,P1009,Street Cleansing,P2075,Street Cleansing,P3103
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Love Nursing Ltd,12534094,45110,12300182783,1200,Services - Professional Fees,R4400,Healthcare,P1014,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Statutory Nuisance,R302160,JCOS Services,12506095,45110,12300183055,1050,Services - Fees and Charges,R4401,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Additonal Learning Needs,R161070,Jane Mullen Speech Therapy Ltd,12503977,45110,12300183011,980,Services - Professional Fees,R4400,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Additonal Learning Needs,R161070,Exclusive Education,12504315,45110,12300182950,904,Services - Professional Fees,R4400,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Mental Capacity Act,R202302,REDACTED,12505425,45110,12300183305,883.15,Services - Professional Fees,R4400,Healthcare,P1014,Services,P2120,Services,P3176
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,School Finance Leases,R162078,PEAC (UK) Limited,12501300,45110,12300183198,849,Photocopier Operating Lease,R4304,Information Communication Technology,P1019,Office & Reprographics Equipment,P2163,Office & Reprographics Equipment,P3230
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,TuVida TA Crossroads Together,12501420,45110,12300182780,841.6,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Additonal Learning Needs,R161070,Jane Mullen Speech Therapy Ltd,12503977,45110,12300183009,840,Services - Professional Fees,R4400,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Economic Growth,C300009,Cheshire Scaffolds Ltd,12510063,45110,12300182738,800,External Professional Fees,C6002,"Works - Construction, Repair & Maintenance",P1031,Buildings,P2231,Construction,P3394
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Mental Capacity Act,R202302,Mew Care Ltd,12506914,45110,12300183191,787,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Mental Capacity Act,R202302,CJM Social Work Limited,12529011,45110,12300183194,766.65,Services - Professional Fees,R4400,Social Community Care Supplies & Services - Adult,P1024,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Lion Salt Works,R308212,Donald Insall Associates Chartered Architects,12500511,45110,12300183124,750,Services - Fees and Charges,R4401,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Lion Salt Works,R308212,Donald Insall Associates Chartered Architects,12500511,45110,12300183125,750,Services - Fees and Charges,R4401,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Lion Salt Works,R308212,Donald Insall Associates Chartered Architects,12500511,45110,12300183127,750,Services - Fees and Charges,R4401,Consultancy,P1006,Business,P2047,Business,P3067
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,CP PP Court Care Plan Chester,R160324,Wrixon Care Services,12504347,45110,12300183204,708.9,Client Transport,R3042,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Ellesmere Port Market,R309301,Nirvana Managed Services Limited,12508078,45110,12300183113,650,Contract Cleaning,R2700,Environmental Services,P1009,Street Cleansing,P2075,Street Cleansing,P3103
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Additonal Learning Needs,R161070,Exclusive Education,12504315,45110,12300182951,620,Services - Professional Fees,R4400,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,PLO Children in Care,R160703,Westbury Health Limited,12504178,45110,12300183170,598.9,Allowances and Assistance,R6304,Healthcare,P1014,Counselling,P2123,Counselling,P3178
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,PLO Children in Care,R160703,Westbury Health Limited,12504178,45110,12300183072,575.45,Services - Professional Fees,R4400,Healthcare,P1014,Counselling,P2123,Counselling,P3178
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,PLO Children in Care,R160703,Westbury Health Limited,12504178,45110,12300183180,575.45,Services - Professional Fees,R4400,Healthcare,P1014,Counselling,P2123,Counselling,P3178
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Property and Systems,R305202,Idox Software Limited,12503055,45110,12300182870,550,Services - Fees and Charges,R4401,Information Communication Technology,P1019,Software,P2164,Software,P3241
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Crematorium General,R302410,F G Marshall Ltd,12504233,45110,12300183106,503.07,Services - Fees and Charges,R4401,Information Communication Technology,P1019,Services,P2120,Services,P3176
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Waste Collection Contract,R304453,Cheshire West Recycling,12523080,45111,12300183433,655046.69,TPP - Private Contractors,R5700,Environmental Services,P1009,Waste Management,P2079,Waste Management,P3114
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Central Billing - Com&Dev,R401400,West Mercia Energy,12503963,45111,12300182229,637994.92,Electricity,R2100,Utilities,P1029,Electricity,P2217,Electricity,P3380
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Central Billing - Com&Dev,R401400,West Mercia Energy,12503963,45111,12300182230,197638.58,Gas,R2101,Utilities,P1029,Electricity,P2217,Electricity,P3380
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Learning Disability CH&EP Team,R202108,Archangel Enterprises Ltd,12501574,45111,129000436506,187075.16000000003,TPP - Care Expense,R5701,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Central Billing - Com&Dev,R401400,Comensura,12503843,45111,12300182231,180436.83,Agency Staff,R1100,Human Resources,P1018,Temporary & Agency Staff,P2157,Temporary & Agency Staff,P3215
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Capital - Places,C300001,Curtins Consulting Limited,12503341,45111,12300183068,78057.5,External Professional Fees,C6002,Consultancy,P1006,Technical & Feasibility,P2053,Technical & Feasibility,P3075
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Infection Control,R203300,Cheshire & Wirral Partnership Nhs Foundation Trust,12514791,45111,12300183330,41666.67,Services - Fees and Charges,R4401,Healthcare,P1014,Public Health,P2128,Public Health,P3183
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Countess of Chester Hospital,R202111,Weatherstones House Care Ltd,12513870,45111,129000436510,36783.26,TPP - Care Expense,R5701,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Learning Disability CH&EP Team,R202108,Community Integrated Care,12502644,45111,129000436508,35138.62,TPP - Care Expense,R5701,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Residential,R160602,Bluestones Medical Complex Care Limited,12530684,45111,129000436666,25151.030000000002,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Leaving Care,R160600,Moving Up,12504190,45111,129000436605,24000,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Specialist Needs,P2203,Leaving Care Services,P3341
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Residential,R160602,Bluestones Medical Complex Care Limited,12530684,45111,129000436676,20547.44,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Residential,R160602,Bluestones Medical Complex Care Limited,12530684,45111,129000436675,18151.07,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Capital - Corporate,C400001,Cowest Services Limted T/A Qwest Services,12505847,45111,12300183396,15559.74,"Conversion, Renovation & Improvement",C1101,Facilities & Management Services,P1010,Property Management,P2091,Property Management,P3137
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Northwich Adult Community Social Care team,R202105,One 2 One Support Ltd,12514817,45111,129000436513,14760.630000000003,TPP - Care Expense,R5701,Social Community Care Supplies & Services - Adult,P1024,Mental Health Services,P2192,Mental Health Services,P3286
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Leaving Care,R160600,Moving Up,12504190,45111,129000436611,14000,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Specialist Needs,P2203,Leaving Care Services,P3341
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Residential,R160602,Bluestones Medical Complex Care Limited,12530684,45111,129000436674,13451.28,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,StreetCare Delivery,R300201,Vale Engineering (York) Ltd,12512711,45111,12300177475,11445,Equipment - Purchase,R4000,Horticultural,P1016,Tools & Equipment,P2143,Hire,P3017
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Home to School Transport SEN Special,R162108,Denbighshire County Council,12501474,45111,129000436538,9359,Vehicle Operating Lease,R3204,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,StreetCare Delivery,R300201,UK Landscapes Limited,12505699,45111,12300180368,8538.02,Materials,R4007,Horticultural,P1016,Tree Trimming,P2144,Tree Trimming,P3202
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Rural Adult Community Social Care Team,R202103,Weatherstones House Care Ltd,12513870,45111,129000436511,8375.64,TPP - Care Expense,R5701,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Leaving Care,R160600,Moving Up,12504190,45111,129000436580,8000,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Specialist Needs,P2203,Leaving Care Services,P3341
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Leaving Care,R160600,Moving Up,12504190,45111,129000436591,8000,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Specialist Needs,P2203,Leaving Care Services,P3341
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Leaving Care,R160600,Moving Up,12504190,45111,129000436593,8000,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Specialist Needs,P2203,Leaving Care Services,P3341
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Leaving Care,R160600,Moving Up,12504190,45111,129000436604,8000,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Specialist Needs,P2203,Leaving Care Services,P3341
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Residential,R160602,Moving Up,12504190,45111,129000436603,7857.14,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Specialist Needs,P2203,Leaving Care Services,P3341
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Housing,C300011,Dataloft Limited,12534247,45111,12300182348,7100,External Professional Fees,C6002,Consultancy,P1006,Property,P2051,Property,P3073
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Residential,R160602,Bluestones Medical Complex Care Limited,12530684,45111,129000436670,6892,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Residential,R160602,Bluestones Medical Complex Care Limited,12530684,45111,129000436673,6892,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Indep Fostering,R160603,Fostering Solutions Ltd,12503243,45111,129000436573,6875,TPP - Care Expense,R5701,Social Community Care Supplies & Services - Children,P1025,Residential Services,P2202,Foster Care,P3331
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Leaving Care,R160600,Moving Up,12504190,45111,129000436587,6380,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Specialist Needs,P2203,Leaving Care Services,P3341
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,Management and Compliance,R307114,West March Systems Ltd,12513594,45111,12300183190,5600,Services - Professional Fees,R4400,Education,P1008,School Services,P2066,School Services,P3088
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Indep Fostering,R160603,Fostering Solutions Ltd,12503243,45111,129000436572,5500,TPP - Care Expense,R5701,Social Community Care Supplies & Services - Children,P1025,Residential Services,P2202,Foster Care,P3331
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Indep Fostering,R160603,Foster Care Associates Limited (Fca),12501154,45111,129000436570,5363,TPP - Care Expense,R5701,Social Community Care Supplies & Services - Children,P1025,Residential Services,P2202,Foster Care,P3331
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Residential,R160602,Moving Up,12504190,45111,129000436602,5142.86,TPP - Private Contractors,R5700,Social Community Care Supplies & Services - Children,P1025,Specialist Needs,P2203,Leaving Care Services,P3341
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,CP PP Court Team Winsford,R160526,Cheshire Contract Cars Ltd,12507364,45111,129000436523,5092,Vehicle Operating Lease,R3204,Passenger Transport,P1022,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Residential,R160602,Continuum Support Care Services Ltd,12508745,45111,129000436617,4928.52,TPP - Private Contractors,R5700,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,AJ And Friends C.I.C,12527571,45111,12300182831,4653,Services - Professional Fees,R4400,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Domm and Comm,R160903,Countess Of Chester Nhs Foundation Trust,12501497,45111,12300182784,4433.49,Services - Professional Fees,R4400,Unclassified Non trade,P1032,Unclassified Non trade,P2238,Unclassified Non trade,P3910
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Corporate,Capital - Corporate,C400001,Cowest Services Limted T/A Qwest Services,12505847,45111,12300183393,4370.1,"Conversion, Renovation & Improvement",C1101,Facilities & Management Services,P1010,Property Management,P2091,Property Management,P3137
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,AA pre-2018 services,R160999,Moving Up,12504190,45111,129000436601,4285.71,Transfer Payments - Non Schools,R6306,Social Community Care Supplies & Services - Children,P1025,Specialist Needs,P2203,Leaving Care Services,P3341
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Community Environment and Economy,StreetCare Delivery,R300201,UK Landscapes Limited,12505699,45111,12300182107,4267.51,Materials,R4007,Horticultural,P1016,Tree Trimming,P2144,Tree Trimming,P3202
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Residential,R160602,New Horizons Stockport Ltd,12513759,45111,129000436621,4200,TPP - Private Contractors,R5700,Social Community Care Supplies & Services,P1023,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Agency Places Indep Fostering,R160603,Fostering Solutions Ltd,12503243,45111,129000436571,4122.31,TPP - Care Expense,R5701,Social Community Care Supplies & Services - Children,P1025,Residential Services,P2202,Foster Care,P3331
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Home to School Transport Mainstream Secondary,R162102,Evans Coaches,12500376,45111,129000436530,4050,Vehicle Operating Lease,R3204,Passenger Transport,P1022,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
Cheshire West and Chester Council,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,People,Home to School Transport SEN Post 16 (16-18),R162109,Parkers Mini Buses (Ellesmere Port) Ltd,12500498,45111,129000436559,4050,Vehicle Operating Lease,R3204,Passenger Transport,P1022,Not Elsewhere Classified,P2007,Not Elsewhere Classified,P3008
