Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,21-Jul-23,51500948590,£843.60,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500948764,£843.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,14-Jul-23,51500946100,"£1,349.76",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500948775,£843.68,Intrust Care Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,12-Jul-23,51500943522,"£1,349.76",Redacted Personal Data,Adult Services,Physical Disability,Direct Payments
Milton Keynes City Council,21-Jul-23,51500948761,£843.68,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-23,51500943524,"£1,349.76",Redacted Personal Data,Adult Services,Physical Disability,Direct Payments
Milton Keynes City Council,21-Jul-23,51500948963,£844.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500949340,"£1,349.76",Turning Point (Services) Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,21-Jul-23,51500949170,"£1,349.92",NSSL Holding t/a Next Step Support Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,21-Jul-23,51500948964,£844.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500947732,£848.80,Macintyre Care,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,17-Jul-23,51500939551,"£1,350.00",BN Property Consultants Ltd,Environment & Property,Head of Service - Env and Waste,Professional Fees and Hired Services
Milton Keynes City Council,21-Jul-23,51500947001,"£1,350.00",Peach Care Services,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,27-Jul-23,51500909450,"£1,350.00",Peach Care Services,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,21-Jul-23,51500947599,£848.80,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,21-Jul-23,51500947620,£848.80,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,19-Jul-23,51500946636,"£1,353.00","Vivid Resourcing, a division of G2V Recruitment Group Limited",Planning and Placemaking,Planning,Agency Staff
Milton Keynes City Council,21-Jul-23,51500947733,£848.80,Macintyre Care,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,21-Jul-23,51500947687,£848.80,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,21-Jul-23,51500947593,£848.80,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,12-Jul-23,51500943604,"£1,359.28",Redacted Personal Data,Adult Services,Mental Health,Direct Payments
Milton Keynes City Council,21-Jul-23,51500947598,£848.80,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,21-Jul-23,51500947395,£858.26,Sandi-Ann Johnson t/a Little Pride Day Care,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500949173,"£1,362.24",NSSL Holding t/a Next Step Support Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,21-Jul-23,51500948864,£864.69,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500949313,£873.40,Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500946993,£879.70,The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,07-Jul-23,51500933434,"£1,373.80",Andrew Millard t/a Ederra Consultancy Ltd,Planning and Placemaking,Planning,Consultancy
Milton Keynes City Council,26-Jul-23,51500950684,"£1,374.16",Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,21-Jul-23,51500947141,"£1,374.56",Emberton Day Nursery,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500947901,£885.00,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Jul-23,51500928607,"£1,378.94",Matchtech,Environment & Property,Head of Service - Highways and Transport,Professional Fees and Hired Services
Milton Keynes City Council,10-Jul-23,51500932323,"£1,378.94",Matchtech,Environment & Property,Head of Service - Highways and Transport,Professional Fees and Hired Services
Milton Keynes City Council,21-Jul-23,51500947902,£885.00,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,21-Jul-23,51500947900,£885.00,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,21-Jul-23,51500947133,£886.08,Ducklings Pre-School Group,Children's Services,Early Years Block,Grants
Milton Keynes City Council,05-Jul-23,51500939570,"£1,382.75",British Gas Trading Limited (Misc Billing),Env & Prop (HRA),HRA Asset Management and Investment,Electricity
Milton Keynes City Council,21-Jul-23,51500947180,£886.08,Milton Keynes Montessori Community Interest Company,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500947147,£886.08,Greenleys Community Pre-School,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500938881,£900.00,Kirkby Diamond LLP,Environment & Property,Head of Service - Property,Professional Fees and Hired Services
Milton Keynes City Council,21-Jul-23,51500949183,"£1,391.94",NSSL Holding t/a Next Step Support Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,26-Jul-23,51500950697,"£1,391.96",Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,21-Jul-23,51500948996,£905.92,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500949136,£911.56,Lumsden Living Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,21-Jul-23,51500949135,£911.56,Lumsden Living Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,24-Jul-23,51500939328,"£1,399.42",Baily Garner LLP,Children and Families,"Education, Effectiveness & Participation",Construction - External Professional Fees
Milton Keynes City Council,24-Jul-23,51500950269,"£1,400.00",Rushbrook & Rathbone Ltd-Client account,Customer and Community Services,Policy & Performance,Rents and Leases
Milton Keynes City Council,31-Jul-23,51500954188,"£1,400.00",Redacted Personal Data,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,14-Jul-23,51500946214,"£1,400.00",Lavendon School,Children's Services,Education Outcome Service,Schools Professional Services (Curriculum)
Milton Keynes City Council,10-Jul-23,51500940965,"£1,400.00",Act 2 Improve,Children's Services,Children's Social Work,Other Service User Support
Milton Keynes City Council,17-Jul-23,51500934837,"£1,401.60",Park Avenue Recruitment Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,14-Jul-23,51500946141,"£1,402.64",Prevention and Recovery Care and Support (PARCS) Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,12-Jul-23,51500943574,"£1,402.96",Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,21-Jul-23,51500949086,£927.96,Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500949057,£927.96,Macintyre Care,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500949046,£927.96,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500948592,£927.96,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500948591,£927.96,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500948929,£928.60,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,26-Jul-23,51500950755,"£1,410.32",Redacted Personal Data,Adult Services,Mental Health,Direct Payments
Milton Keynes City Council,21-Jul-23,51500948952,£928.84,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,26-Jul-23,51500939891,"£1,416.00",Flitwick Surgery,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,21-Jul-23,51500947192,£930.38,River Meadow Pre-School & Out of School Clubs,Children's Services,Early Years Block,Grants
Milton Keynes City Council,14-Jul-23,51500946144,"£1,417.80",Prevention and Recovery Care and Support (PARCS) Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,21-Jul-23,51500947412,"£1,418.99",Redacted Personal Data,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500949137,£934.92,Lumsden Living Limited,Adult Services,Autism,Living support grants
Milton Keynes City Council,24-Jul-23,51500939024,"£1,420.80",Park Avenue Recruitment Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,10-Jul-23,51500934838,"£1,420.80",Park Avenue Recruitment Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,21-Jul-23,51500947913,£940.98,Randall Care Homes Ltd,Adult Services,Mental Health,Residential Care
Milton Keynes City Council,24-Jul-23,51500950267,"£1,425.00",Redacted Personal Data,Customer and Community Services,Policy & Performance,Rents and Leases
Milton Keynes City Council,21-Jul-23,51500947165,£945.16,Lavendon Pavilion Pre School,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500948985,£946.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jul-23,51500940157,"£1,428.20",Redacted Personal Data,Adult Services,"Assessment, Review and Hospital Discharge",Direct Payments
Milton Keynes City Council,12-Jul-23,51500943599,"£1,428.56",Redacted Personal Data,Adult Services,"Assessment, Review and Hospital Discharge",Direct Payments
Milton Keynes City Council,21-Jul-23,51500949175,"£1,428.64",NSSL Holding t/a Next Step Support Ltd,Adult Services,Mental Health,Living support grants
