Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation ,Expense Type
Milton Keynes City Council,08-Dec-23,51501014450,£679.04,Macintyre Care,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014452,£679.04,Macintyre Care,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014449,£679.04,Macintyre Care,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014291,£679.04,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014290,£679.04,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014288,£679.04,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014289,£679.04,MK SNAP,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014389,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014393,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014390,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014394,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014392,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014391,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014387,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014385,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014388,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014386,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014397,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014399,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014398,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014395,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014396,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014402,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014403,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014400,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014401,£679.04,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014771,£689.68,HC-One No 1 Limited t/a Highclere Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,08-Dec-23,51501014772,£689.68,HC-One No 1 Limited t/a Highclere Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,08-Dec-23,51501014773,£689.68,HC-One No 1 Limited t/a Highclere Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,08-Dec-23,51501015267,£692.96,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501014696,£696.43,Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,08-Dec-23,51501002345,£698.10,Houghton Regis Medical Centre,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,08-Dec-23,51501014753,£706.88,Greensleeves Homes Trust Re: Tickford Abbey,Adult Services,Mental Health,Client Care Contributions
Milton Keynes City Council,08-Dec-23,51501014538,£710.64,Thrift Activity Farm Ltd,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501015206,£717.06,Infinate Limited,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015776,£717.06,Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015446,£720.44,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015800,£720.84,Lumsden Support Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,08-Dec-23,51501014732,£728.57,Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,08-Dec-23,51501015944,£731.52,SSA Quality Care ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,08-Dec-23,51501012547,£736.84,Access UK Limited t/a Adam,Adult Services,Mental Health,Domiciliary Care
