Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation,Expense Type
Milton Keynes City Council,05-Jan-24,51501028026,"£4,003.32",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501028058,"£4,023.56",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501027366,"£4,049.28",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501028397,"£4,075.60",Accomplish Group Support Ltd,Adult Services,Mental Health,Nursing Care
Milton Keynes City Council,05-Jan-24,51501028065,"£4,075.60",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028322,"£4,092.20",Macintyre Care,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,05-Jan-24,51501027183,"£4,093.76",Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501028270,"£4,102.68",Apex Care Homes Ltd Re Crescent Nursing Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501028182,"£4,121.16",Acer Healthcare Operations Limited,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501027367,"£4,133.64",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027527,"£4,133.64",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,05-Jan-24,51501028025,"£4,141.40",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501028064,"£4,171.64",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028063,"£4,171.64",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028156,"£4,171.64",Acer Healthcare Operations Limited,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028083,"£4,171.64",Greensleeves Homes Trust Re: Tickford Abbey,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028061,"£4,171.64",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028006,"£4,171.64",Tyringham Care Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028018,"£4,171.64",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028157,"£4,171.64",Acer Healthcare Operations Limited,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501022013,"£4,186.24",County Fostering Services Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,05-Jan-24,51501022012,"£4,186.24",County Fostering Services Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,05-Jan-24,51501027797,"£4,196.91",Blessings Care Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501028333,"£4,200.00",Cinnabar Support and Living Ltd Re: The Stratfords Residential Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028235,"£4,215.56",Amberley Healthcare Ltd Re: Devon Lodge Retirement Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501027243,"£4,218.00",Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027368,"£4,218.00",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027610,"£4,218.00",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501028234,"£4,256.44",Parklands Nursing Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028153,"£4,281.44",Acer Healthcare Operations Limited,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028172,"£4,300.00",Acer Healthcare Operations Limited,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501027998,"£4,315.32",Cinnabar Support and Living Ltd Re: The Beeches,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028154,"£4,325.32",Acer Healthcare Operations Limited,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028228,"£4,346.00",Adara Healthcare Ltd t/a Burlington Hall,Adult Services,Commissioning & Contracts,Residential Care
