Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Individual Supplier(T)
02/02/2023,II,4110024,"14,027.07",HC102778,Zurich Municipal,202311,Schools,Premises-Related Expenditure,No
13/02/2023,II,4110025,"5,692.32",HC102778,Zurich Municipal,202311,Schools,Premises-Related Expenditure,No
02/02/2023,II,4110027,"1,257.00",HC111380,Welsh Water,202311,Schools,Premises-Related Expenditure,No
02/02/2023,II,4110029,"1,800.00",HC128936,Vivid Resourcing,202311,Public Health,Third Party Payments,No
02/02/2023,II,4110030,921.92,HC103526,Gough Bailey Wright,202311,Planning & Development Control,Supplies & Services,No
02/02/2023,II,4110034,534.66,HC106975,Hoople Ltd,202311,Schools,Support Services,No
02/02/2023,II,4110035,"2,734.30",HC127439,Redacted,202311,"Finance, Legal & Governance",Supplies & Services,Yes
02/02/2023,II,4110036,"3,000.00",HC103869,Wye Valley NHS Trust,202311,Public Health,Supplies & Services,No
06/02/2023,II,4110037,"5,309.00",HC103869,Wye Valley NHS Trust,202311,Public Health,Supplies & Services,No
02/02/2023,II,4110039,"207,843.98",HC103869,Wye Valley NHS Trust,202311,Public Health,Third Party Payments,No
20/02/2023,II,4110041,"1,640.10",HC128643,Turnstone Ecology Ltd,202311,Integrated Commissioning,Capital Expenditure,No
02/02/2023,II,4110042,"1,748.00",HC111508,Wigmore High School (Academy),202311,Schools,Supplies & Services,No
02/02/2023,II,4110045,"4,758.75",HC102778,Zurich Municipal,202311,Schools,Premises-Related Expenditure,No
02/02/2023,II,4110057,525,HC129906,Summer Hill Speech Therapy,202311,Schools,Support Services,No
02/02/2023,II,4110059,"7,291.00",HC103952,Herefordshire & Worcestershire Group Training,202311,"Finance, Legal & Governance",Premises-Related Expenditure,No
02/02/2023,II,4110080,"2,566.00",HC130574,Redacted,202311,Safeguarding and Family Support,Supplies & Services,No
07/02/2023,II,4110083,449.42,HC100879,Barrettine Environmental Health,202311,Regulatory & Technical Services,Supplies & Services,No
02/02/2023,II,4110084,"1,250.00",HC130603,Redacted,202311,"Finance, Legal & Governance",Supplies & Services,Yes
02/02/2023,II,4110092,857.8,HC128535,OAKS Ltd,202311,Talk Community Programme,Transfer Payments,No
02/02/2023,II,4110093,"1,315.00",HC127948,Redacted,202311,Talk Community Programme,Transfer Payments,Yes
03/02/2023,II,4110094,"2,900.00",HC126616,OpenView Security Solutions Ltd,202311,Economic Growth,Supplies & Services,No
03/02/2023,II,4110098,"236,024.48",HC106975,Hoople Ltd,202311,Commissioned Services,Third Party Payments,No
02/02/2023,II,4110104,465,HC108866,Education Property Partnership Ltd,202311,Schools,Premises-Related Expenditure,No
02/02/2023,II,4110106,"4,630.00",HC114748,PJB Merchants Ltd,202311,Schools,Premises-Related Expenditure,No
02/02/2023,II,4110115,"1,940.40",HC102778,Zurich Municipal,202311,Schools,Supplies & Services,No
06/02/2023,II,4110122,"5,031.07",HC202889,Three Counties Academy Trust (St Peter큦 Primary),202311,Capital Planning Delivery Board,Capital Expenditure,No
02/02/2023,II,4110125,"1,771,924.00",HC111421,West Mercia Police & Crime Commissioner,202311,Collection Fund,Collection Fund Accounts,No
02/02/2023,II,4110127,"23,000.00",HC202935,Phil Jones Associates Park Point,202311,Highways & Transport,Third Party Payments,No
02/02/2023,II,4110128,"2,910.00",HC128201,Redacted,202311,Integrated Commissioning,Capital Expenditure,Yes
02/02/2023,II,4110130,"5,000.00",HC130124,Hereford in Bloom,202311,Highways & Transport,Third Party Payments,No
02/02/2023,II,4110132,807.09,HC110065,St James Primary School,202311,Schools,Premises-Related Expenditure,No
02/02/2023,II,4110132,"2,081.10",HC110065,St James Primary School,202311,Schools,Supplies & Services,No
02/02/2023,II,4110133,"7,349.51",HC106749,D M Gray Plumbing,202311,Community Wellbeing Delivery Board,Capital Expenditure,No
02/02/2023,II,4110135,"6,286.04",HC100792,B & B Services Ltd,202311,Community Wellbeing Delivery Board,Capital Expenditure,No
02/02/2023,II,4110137,"10,786.40",HC110046,SRJ Plumbing & Heating,202311,Community Wellbeing Delivery Board,Capital Expenditure,No
02/02/2023,II,4110138,"20,482.00",HC103268,G B Electrical And Building Services Ltd,202311,Community Wellbeing Delivery Board,Capital Expenditure,No
03/02/2023,II,4110153,"5,622.00",HC128201,Redacted,202311,Integrated Commissioning,Capital Expenditure,Yes
06/02/2023,II,4110154,798.84,HC109671,Sciprint Limited,202311,"Finance, Legal & Governance",Supplies & Services,No
03/02/2023,II,4110162,"7,005.00",HC112885,Ian Williams Ltd,202311,Property Services,Premises-Related Expenditure,No
03/02/2023,II,4110163,"1,200.00",HC100813,Be Bold Media Ltd,202311,Economic Growth,Supplies & Services,No
03/02/2023,II,4110181,549,HC106299,Monmouth School Enterprises Ltd,202311,Schools,Premises-Related Expenditure,No
03/02/2023,II,4110182,"2,800.00",HC123950,Paces,202311,Schools,Supplies & Services,No
03/02/2023,II,4110183,"3,540.00",HC129516,Activate Sports Education Ltd,202311,Schools,Supplies & Services,No
03/02/2023,II,4110186,663.99,HC109835,Siemens Financial Services Ltd,202311,Schools,Supplies & Services,No
03/02/2023,II,4110191,"5,554.66",HC107194,Enviro Technology Services PLC,202311,Regulatory & Technical Services,Supplies & Services,No
03/02/2023,II,4110191,"55,693.00",HC107194,Enviro Technology Services PLC,202311,Sustainable Living Programme Board,Capital Expenditure,No
08/02/2023,II,4110192,"2,291.60",HC110250,RJ & RB Mailes,202311,Schools,Supplies & Services,No
06/02/2023,II,4110195,"7,623.31",HC106975,Hoople Ltd,202311,Schools,Support Services,No
06/02/2023,II,4110196,800,HC103189,Create Safer Organisations,202311,Schools,Employees,No
07/02/2023,II,4110197,495,HC100495,C M D Travel Hereford,202311,Schools,Supplies & Services,No
06/02/2023,II,4110200,"3,500.00",HC129302,Torchlight Education Initiative,202311,Schools,Supplies & Services,No
07/02/2023,II,4110201,"3,409.47",HC129492,Progress Housing Group Association Ltd T/A Progress Lifeline,202311,Prevention and Support,Supplies & Services,No
06/02/2023,II,4110202,"1,242.00",HC100385,Alliance In Partnership,202311,Schools,Supplies & Services,No
06/02/2023,II,4110204,"2,601.76",HC202943,Ballicom Ltd,202311,Corporate Property Programme Board,Capital Expenditure,No
07/02/2023,II,4110205,"4,339.00",HC111373,Wellington Parish Council,202311,Highways & Transport,Third Party Payments,No
07/02/2023,II,4110207,"4,100.00",HC105536,Lower Bullingham Parish Council,202311,Highways & Transport,Third Party Payments,No
06/02/2023,II,4110209,420,HC117099,Alpha Biolabs Limited,202311,Safeguarding and Family Support,Supplies & Services,No
07/02/2023,II,4110212,"23,743.34",HC129902,Broad Oak Properties Limited,202311,Sustainable Living Programme Board,Capital Expenditure,No
06/02/2023,II,4110214,740,HC109259,CADline Ltd,202311,People & Performance,Supplies & Services,No
08/02/2023,II,4110216,"3,050.00",HC130744,Carrington West Ltd,202311,Planning & Development Control,Third Party Payments,No
08/02/2023,II,4110218,773.6,HC128901,Wright Silverwood Ltd,202311,Property Services,Supplies & Services,No
08/02/2023,II,4110219,"111,446.26",HC108143,Nottingham Rehab Ltd,202311,Commissioned Services,Supplies & Services,No
08/02/2023,II,4110219,"23,292.25",HC108143,Nottingham Rehab Ltd,202311,Commissioned Services,Transport-Related Expenditure,No
06/02/2023,II,4110221,"5,500.00",HC129302,Torchlight Education Initiative,202311,Schools,Supplies & Services,No
06/02/2023,II,4110222,550.66,HC102156,D & D Network Services Ltd,202311,Schools,Supplies & Services,No
08/02/2023,II,4110224,"1,911.40",HC111347,WFL (UK) t/a Watson Fuels,202311,Schools,Premises-Related Expenditure,No
06/02/2023,II,4110227,"2,000.00",HC129302,Torchlight Education Initiative,202311,Schools,Supplies & Services,No
06/02/2023,II,4110228,"1,500.00",HC129302,Torchlight Education Initiative,202311,Schools,Supplies & Services,No
06/02/2023,II,4110229,"2,500.00",HC129302,Torchlight Education Initiative,202311,Schools,Supplies & Services,No
06/02/2023,II,4110230,"6,000.00",HC129302,Torchlight Education Initiative,202311,Schools,Supplies & Services,No
06/02/2023,II,4110232,"6,000.00",HC129302,Torchlight Education Initiative,202311,Schools,Supplies & Services,No
06/02/2023,II,4110233,"4,000.00",HC129302,Torchlight Education Initiative,202311,Schools,Supplies & Services,No
06/02/2023,II,4110240,"1,090.00",HC107466,Hfds & Worcs. Health & Care NHS Trust,202311,Education and Commissioning,Third Party Payments,No
06/02/2023,II,4110241,"2,328.00",HC107466,Hfds & Worcs. Health & Care NHS Trust,202311,Education and Commissioning,Third Party Payments,No
06/02/2023,II,4110242,"2,250.00",HC130625,Redacted,202311,Safeguarding and Family Support,Supplies & Services,No
06/02/2023,II,4110243,968,HC107466,Hfds & Worcs. Health & Care NHS Trust,202311,Education and Commissioning,Third Party Payments,No
08/02/2023,II,4110244,724.5,HC129637,Community Housing,202311,Care Operations,Supplies & Services,No
06/02/2023,II,4110254,"2,635.00",HC131198,Redacted,202311,Highways & Transport,Transfer Payments,Yes
