Directorate Name,Process Used,Purchasing Body,Contract Reference,Contract Title,Contract Description,Supplier Company Name,Supplier Postcode, Annual Value , Total Contract Value (including extensions) ,OJEU?,Start Date,End Date,Contract Duration (months),Option to extend (months),How many extensions,Extension 1 Taken?,Extension 2 Taken?,Current Expiry Date,SME Supplier?,ProClass Classification,ProClass Description,Company Number,Visibility
Place,CSO Exception,Salford City Council,S1034,The Servicing and Maintenance of Air Conditioning and Air Handling Units ,The Servicing and Maintenance of Air Conditioning and Air Handling Units ,ECG Facilities Services Ltd,G72 0ND,"£16,433.94","£16,433.94",No,01/04/2022,31/03/2025,36,12,2,,,31/03/2025,Yes,101700,Heating and Air Conditioning,SC298533,Public
Place,ITT,Salford City Council,S1034,Service and Preventative Maintenance and Repair of Air Handling and Air Conditioning System ,Two service visits for air conditioning units (both internal and external units) to each authorised property,ECG Facilities Services Ltd,G2 8JX,"£44,068.97","£132,206.91",No,01/04/2022,31/03/2025,36,24,2,Yes,Yes,31/03/2025,Yes,190000,Facilities & Management Services,SG298533,Public
People,CSO Exception,Salford City Council,S1035,Children’s Centre Services by Aguda NW at the Hershel Weiss Centre,Children’s Centre Services by Aguda NW at the Hershel Weiss Centre,Aguda NW,M7 4DQ,"£183,041.25","£732,165.00",No,01/04/2022,31/03/2027,60,12,2,,,31/03/2027,No,170000,Education,5407721,Public
Service Reform,Mini-Comp,GMCA,S1036,Provision of Temporary and Agency Workers,Provision of Temporary and Agency Workers,Reed PLC,WC2A 1DT,"£3,000,000.00","£9,000,000.00",Yes,29/01/2022,28/01/2025,36,12,1,,,28/01/2025,No,260000,Human Resources,6903140,Public
Service Reform,Direct Call-Off,Salford City Council,S1039,Environmental Liability Insurance for Transferred Housing Stock,Environmental Liability Insurance for Transferred Housing Stock,AON UK Ltd,EC2M 4PL,"£250,000.00","£250,000.00",Yes,02/04/2014,01/04/2024,120,0,0,N/A,N/A,01/04/2024,No,200000,Financial Services,210725,Public
Service Reform,ITT,Salford City Council,S1039,Insurance Brokerage,Insurance Brokerage,Aon UK Ltd,EC2M 4PL,"£9,500.00","£47,500.00",No,01/10/2019,30/09/2024,60,0,0,N/A,N/A,30/09/2024,No,200000,Financial Services,210725,Public
Place,Mini-Comp,Salford City Council,S1042,Supply of Compostable Liners,Supply of Compostable Liners,Cromwell Polythene Ltd,LS25 6PL,"£98,000.00","£392,000.00",No,01/12/2017,30/11/2021,24,24,2,Yes,Yes,30/11/2021,Yes,180000,Environmental Services,2230104,Public
Place,ITT,Salford City Council,S1043/S1044,"Maintenance and Repair of Corporate and School Boiler, Plant and Heating Systems","The contract will cover all items of heating/hot water and associated boiler equipment located in the various plant rooms, including but not limited to gas fired wall hung or centrally sited heaters (including radiant plaque and tube) and gas instantaneous water heaters ",J Fletchers (Engineering) Ltd,M30 0SF,"£57,156.25","£285,781.25",No,01/06/2020,31/05/2023,36,24,2,Yes,,31/05/2024,Yes,390000,"Works - Construction, Repair & Maintenance ",4072464,Public
Place,Mini-Comp,Salford City Council,S1045,Maintenance of New Pay + Display Machines,Maintenance of New Pay + Display Machines,International Parking Systems Ltd,KT15 2LE,"£8,800.00","£8,800.00",No,01/05/2023,30/04/2024,12,0,0,N/A,N/A,30/04/2024,Yes,351100,Equipment,9971838,Public
Service Reform,Direct Call-Off,Salford City Council,S1047,Committee and Decisions Management System,Committee and Decisions Management System,Civica UK Ltd,N8 0NW,"£30,584.67","£91,754.00",No,01/02/2023,31/01/2025,36,12,1,,,31/01/2025,Yes,270000,Information Communication Technology,2208130,Public
Place,ITT,Salford City Council,S1048,Environmental Enforcement,Environmental Enforcement,NSL Ltd,B3 2JR,"£85,696.00","£257,088.00",Yes,01/04/2018,31/03/2024,36,12,2,Yes,Yes,31/03/2024,Yes,350000,Street & Traffic Management, 09360642,Public
Service Reform,Other,Salford City Council,S1049,Supply of Paper & Card,Supply of Paper & Card,Premier Paper,M41 7PA,"£29,205.80","£116,823.20",No,01/04/2017,31/03/2019,24,24,1,,,31/03/2019,No,340000,Stationery  ,3672117,Public
Place,Direct Call-Off,Salford City Council,S1050,Contract for the supply of natural gas,Contract for the supply of natural gas,Corona Energy,WD18 8YA,"£2,791,888.00","£5,583,776.00",No,01/07/2023,30/06/2025,48,0,0,N/A,N/A,30/06/2024,No,371100,Gas,3241012,Public
Place,Direct Call-Off,Salford City Council,S1051,Contract for the Supply of Electricity - Non Half Hourly ,Salford City Council has utilised the Manchester multi-supplier electricity framework set up by Manchester in order to carry out the renewal of the electricity contract. ,Scottish & Southern Electric (SSE),RG1 3JH,"£671,201.00","£2,684,804.00",No,01/04/2020,31/03/2024,48,0,0,N/A,N/A,31/03/2024,No,370000,Utilities ,101100,Public
Place,ITT,Salford City Council,S1051,Half-Hourly Electricty (over 100KW sites),Half-Hourly Electricty (over 100KW sites),Drax Energy Solutions,IP3 9SJ,"£4,676,038.00","£4,676,038.00",Yes,01/10/2023,30/09/2024,12,0,0,N/A,N/A,30/09/2024,Yes,370000,Utilities ,7489052,Public
Place,ITT,Salford City Council,S1051,Unmetered Street Lighting Supply (UMS),Unmetered Street Lighting Supply (UMS),DRAX,RG1 3JH,"£980,000.00","£3,368,829.00",Yes,01/04/2019,31/03/2024,48,12,0,1,1,31/03/2024,Yes,350000,Street & Traffic Management,2228297,Public
Place,ITT,Salford City Council,S1052,Salford City Council’s Bus Lane Enforcement Equipment and Maintenance Support Contract,Salford City Council’s Bus Lane Enforcement Equipment and Maintenance Support Contract,Yunex Ltd,GU16 8QD,"£24,250.00","£97,000.00",No,01/04/2023,31/03/2025,24,0,0,N/A,N/A,31/03/2025,No,190000,Facilities & Management Services,351400,Public
Place,ITT,Salford City Council,S1054,Window Cleaning ,The contract covers window cleaning for the operational estate.,Champion Cleaning Services ,BL1 3BD,"£22,899.50","£91,598.00",No,01/10/2021,30/09/2024,36,12,1,,N/A,30/09/2024,Yes,130000,Cleaning & Janitorial,9108276,Public
Service Reform,ITT,Salford City Council,S1055,Office Products,Office Products,Banner,S9 1XU,"£28,180.93","£112,723.72",No,01/09/2022,31/08/2024,24,12,2,,,31/08/2024,Yes,340000,Stationery  ,2405637,Public
Place,Other,Salford City Council,S1058,Salford Community Leisure Management Agreement,Salford Community Leisure Management Agreement,Salford Community Leisure Ltd,M27 5DA,"£4,100,000.00","£4,100,000.00",Yes,01/04/2004,31/03/2025,192,59,,,,31/03/2025,Yes,290000,Arts & Leisure Services,IP29627R,Public 
People ,CSO Exception,Salford City Council,S1059,Leading Salford Leadership Development Programme - Supported accomondations (Lane End and Claremont),Leading Salford Leadership Development Programme - Supported accomondations (Lane End and Claremont),Foundations Support and Care Services UK Limited,BL1 3NT,"£527,020.68","£3,162,124.08",Yes,01/01/2016,31/03/2022,48,24,2,Yes,Yes,31/03/2024,Yes,321100,Social Community Care Supplies & Services - Children,5546372,Public
Place,ITT,Salford City Council,S1060,CCTV Supply Only Framework,Provision of CCTV and associated equipment for SCC in partnership with Trafford Council,EzCCTV.com Limited,SG6 1TN,"£47,500.00","£95,000.00",No,01/02/2021,31/01/2024,36,12,,,N/A,31/01/2024,Yes,190000,Facilities & Management Services,4541701,Public
Service Reform,CSO Exception,Salford City Council,S1061,Documentum & Captiva,Documentum & Captiva,OpenText UK Limited,RG6 1PT,"£73,578.00","£73,578.00",No,03/02/2023,02/02/2024,12,0,0,N/A,N/A,02/02/2024,No,270000,Information Communication Technology, 03148093,Public
Place,ITT,Salford City Council,S1062,Servicing and Maintenance of Cold Water Booster Sets,"Servicing and Maintenance of Cold Water Booster Sets, Pressurization Units and Associated Equipment",Pressboost Limited,M25 3HB,"£9,500.00","£47,500.00",No,01/04/2020,31/03/2025,36,24,2,Yes,Yes,31/03/2025,Yes,180000,Utilities ,7842756,Public
Place,Mini-Comp,Salford City Council,S1063,Open Access Self Service Solutions in Libraries,Open Access Self Service Solutions in Libraries,Bibliotheca LTD,SK8 7BS,"£20,883.00","£20,883.00",No,01/06/2018,31/05/2022,48,0,0,N/A,N/A,31/05/2022,No,270000,Information Communication Technology,2983151,Public
People,ITT,Salford City Council,S1064,"Special Educational Needs and Disabilities Brokerage, Support, Training and Advice Service for schools and families in the Orthodox Jewish Communities in Salford","Special Educational Needs and Disabilities Brokerage, Support, Training and Advice Service for schools and families in the Orthodox Jewish Communities in Salford","The Centre for Specialist Educational Assistance
Ltd (known as Binoh of Manchester)",M7 4GP,"£63,664.00","£63,664.00",No,01/09/2023,31/08/2024,0,0,0,n/a,n/a,31/08/2024,Yes,170000,Education,3228893,Public
People,CSO Exception,Salford City Council,S1065,"IAG Service to support Jewish residents living in Salford, Bury and Manchester","IAG Service to support Jewish residents living in Salford, Bury and Manchester",The Jewel Foundation,M25 9JY,"£62,500.00","£125,000.00",No,01/07/2023,30/06/2025,24,12,1,,,30/06/2025,Yes,321000,Social Community Care Supplies & Services - Adult ,10677798,Public
Place,Direct Call-Off,ESPO 860,S1066,Supply of Plastic Wheeled Bins,Supply of Plastic Wheeled Bins,MGB Plastics,S61 4RJ,"£160,000.00","£600,000.00",Yes,01/02/2018,31/01/2023,48,24,2,Yes,Yes,31/01/2023,Yes,180000,Environmental Services,4109399,Public
Service Reform,Direct Call-Off,Salford City Council,S1067,Mobile Voice and Data Services,Mobile Voice and Data Services,Virgin Media Limited,RG2 6uu,"£60,000.00","£180,000.00",Yes,01/05/2023,30/04/2026,36,24,1,n/a,n/a,30/04/2026,No,270000,Information Communication Technology,2591237,Public
People,ITT,Salford City Council,S1068,Delivery of Step Up to Social Work Programme,To provide academic teaching to 35 students on Cohort 8 of the Step Up to Social Work Programme,The University of Salford,M5 4WT,"£153,600.00","£1,382,400.00",Yes,01/04/2017,31/03/2025,108,24,1,Yes,N/A,31/03/2025,No,170000,Education,RC000666,Public
Place,CSO Exception,Salford City Council,S1069,"Engagement, Support and Influence and Promoting Volunteering in Salford","Engagement, Support and Influence and Promoting Volunteering in Salford","Salford Community and Voluntary
Services (SCVS)",M30 0FN,"£265,568.00","£1,705,498.00",Yes,01/04/2017,01/04/2025,36,12,2,Yes,Yes,01/04/2025,No,321100,Social Community Care Supplies & Services - Children, 01948293,Public
Service Reform,Mini-Comp,Salford City Council,S1072,IT Hardware,IT Hardware,XMA Limited,NG11 7EP,"£146,184.00","£146,184.00",Yes,09/12/2021,09/12/2023,24,12,2,,,09/12/2023,Yes,270000,Information Communication Technology,2051703,Public
Public Health,CSO Exception,Salford City Council,S1075,Greater Manchester Sexual Health Improvement Programme (GMSHIP),Greater Manchester Sexual Health Improvement Programme (GMSHIP),BHA for Equality,M16 0QA,"£138,000.00","£276,000.00",No,01/07/2022,30/06/2024,24,0,0,N/A,N/A,30/06/2024,Yes,310000,Healthcare,3818058,Public
Public Health,ITT,Salford City Council,S1075,Greater Manchester Sexual Health Improvement Programme (GMSHIP),Greater Manchester Sexual Health Improvement Programme (GMSHIP),BHA for Equality,M16 0QA,"£1,041,914.67","£5,209,573.33",Yes,01/07/2016,30/06/2024,36,36,3,Yes,Yes,30/06/2024,Yes,310000,Healthcare,3818058,Public
Public Health,ITT,Salford City Council,S1077,"Integrated Substance Misuse and Recovery Services in Bolton, Salford and Trafford","Integrated Substance Misuse and Recovery Services in Bolton, Salford and Trafford",Greater Manchester West Mental Health NHS Foundation Trust,M25 3BL,"£7,239,982.43","£50,679,877.00",Yes,15/01/2023,31/03/2025,24,0,0,N/A,N/A,31/03/2025,No,310000,Healthcare,50188721,Public
Service Reform,CSO Exception,Salford City Council,S1079,Internet Provision (Corporate),Internet Provision (Corporate),Virgin Media Business Ltd,RG2 6UU,"£30,000.00","£30,000.00",No,01/04/2021,31/03/2022,12,0,0,N/A,N/A,31/03/2022,No,270000,Information Communication Technology,1785381,Public
Service Reform,ITT,Salford City Council,S1080,Microsoft Licencing ,Microsoft Licencing ,Phoenix Software,KT22 7TW,"£1,105,779.00","£2,211,558.00",Yes,01/06/2023,31/05/2025,24,0,0,N/A,N/A,31/05/2025,No,270000,Information Communication Technology,2548628,Public
Service Reform,CSO Exception,Salford City Council,S1081,Provision of Solarwinds Software,Provision of Solarwinds Software,Loop1 UK,GL7 1XD,"£32,675.00","£32,675.00",No,12/05/2023,11/05/2024,12,0,0,N/A,N/A,11/05/2024,No,271440,Software,2631536,Public
Service Reform,Other,Salford City Council,S1082,SIP Trunks & Call Charges,SIP Trunks & Call Charges,Virgin Media Business Ltd,RG2 6UU,"£78,000.00","£78,000.00",No,01/01/2022,31/12/2022,12,0,0,N/A,N/A,31/12/2022,No,270000,Information Communication Technology,1785381,Public
Place,ITT,Salford City Council,S1083,Framework Agreement for Demolition and Associated ,Lot 1 - Planned Demolition,Various Suppliers,Various,"£2,352,500.00","£1,176,250.00",Yes,15/08/2022,14/08/2024,48,24,1,,,14/08/2024,Yes,181000,Demolition & Asbestos Removal,"6233056
3057185
01719179
6426331",Public
Place,ITT,Salford City Council,S1083,Framework Agreement for Demolition and Associated ,Lot 2 - Emergancy Response in hours only,Connell Brothers Limited,M6 6FL,"£2,352,500.00","£1,176,250.00",Yes,15/08/2022,14/08/2024,48,24,1,,,14/08/2024,Yes,181000,Demolition & Asbestos Removal,6233056,Public
Place,ITT,Salford City Council,S1083,Framework Agreement for Demolition and Associated ,Lot 3 - Demolitions enabling and emergency security 24hrs with the inclusion of security services,Alan Franklin Builders,M30 0EZ ,"£2,352,500.00","£1,176,250.00",Yes,15/08/2022,14/08/2024,48,24,1,,,14/08/2024,Yes,181000,Demolition & Asbestos Removal,4804728,Public
People,CSO Exception,Salford City Council,S1085,Safe Families for Children Service,Safe Families for Children Programme,Safe Families For Children,NE3 2EN,"£60,000.00","£420,000.00",Yes,01/04/2016,31/03/2023,48,12,3,Yes,Yes,31/03/2023,No,321100,Social Community Care Supplies & Services - Children,8134971,Public
Service Reform,RFQ,Salford City Council,S1086,VMware Enterprise License Agreement ,VMware Enterprise License Agreement ,Pheonix Software,KT22 7TW,"£48,373.00","£48,373.00",No,08/06/2023,07/06/2024,12,0,0,N/A,N/A,29/03/2023,No,271440,Software,2548628,Public
Service Reform,CSO Exception,Salford City Council,S1087,Enterprise Resource Planning Solution Software Package,Enterprise Resource Planning Solution Software Package,SAP UK Ltd,TW14 8HD,"£245,426.00","£1,227,130.00",Yes,01/04/2016,31/03/2021,60,0,0,N/A,N/A,31/03/2021,No,270000,Information Communication Technology,2152073,Public
Service Reform,Mini-Comp,Salford City Council,S1087,Software Enterprise Licence & Support,Software Enterprise Licence & Support,Arch Consulting Limited,W4 1PF,"£15,884.32","£31,768.64",No,16/12/2022,15/12/2024,24,12,2,N/A,N/A,15/12/2024,No,271440,Software,3261503,Public
Service Reform,ITT,Salford City Council,S1088,Leased Lines (Wireless),Leased Lines (Wireless),Ingenitech Ltd,SK8 5LL,"£225,000.00","£225,000.00",Yes,01/07/2014,30/06/2018,48,0,0,N/A,N/A,30/06/2018,No,270000,Information Communication Technology,4598488,Public
Place,ITT,Salford City Council,S1089,Electrical Fixed Wire Inspection and Testing ,Electrical Fixed Wire Inspection and Testing ,Veriserve (Electrosafe Ltd),M6 6AJ,"£24,462.50","£27,913.50",No,01/04/2021,31/03/2024,24,0,0,N/A,N/A,31/03/2024,Yes,390000,"Works - Construction, Repair & Maintenance",2403551,Public 
Place,CSO Exception,Salford City Council,S1091,Kennelling of Stray Dogs,Kennelling of Stray Dogs,Manchester and Cheshire Dogs' Home,M9 5PG,"£3,000.00","£9,000.00",No,01/11/2020,31/10/2023,36,0,0,N/A,N/A,31/10/2023,Yes,180000,Environmental Services,1001346,Public
