Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,03/09/2024,6003963947,1729.2,0,1729.2,Jenx Limited,People (Childrens),Equipment Purchase
Salford City Council,03/09/2024,601532788,1992,0,1992,Letsmove Lettings Ltd,People (Adults),Rents
Salford City Council,03/09/2024,1600741923,21688.8,3614.8,18074,Manchester Ship Canal Company,Capital Expenditure,External Fees - Other
Salford City Council,03/09/2024,1600742301,2400,400,2000,Marketing Manchester,Resources & Transformation,Marketing & Publicity
Salford City Council,03/09/2024,601532812,1140.11,190.02,950.09,Mast Lift Project Co (No2) Ltd,Resources & Transformation,Premises Insurance
Salford City Council,03/09/2024,601532810,1817.18,302.86,1514.32,Mast Lift Project Co (No2) Ltd,Resources & Transformation,Premises Insurance
Salford City Council,03/09/2024,601532795,2600,0,2600,Redacted Data,People (Adults),Rents
Salford City Council,03/09/2024,1600742337,1530,255,1275,Reed Talent Solutions,People (Childrens),Other Professional Fees
Salford City Council,03/09/2024,1600742146,2550,425,2125,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,03/09/2024,1600742303,2550,425,2125,Reed Talent Solutions,People (Childrens),Agency Fees
Salford City Council,03/09/2024,601532777,970.38,0,970.38,Refreshment Systems Ltd,Place,Food and refreshments
Salford City Council,03/09/2024,601532766,6326.61,0,6326.61,Rundles Enforcement Agents,Resources & Transformation,VAT Adjustment
Salford City Council,03/09/2024,1600741736,82293.16,13715.53,68577.63,Schofield & Sons Ltd,Capital Expenditure,Works & Building
Salford City Council,03/09/2024,1600741866,11114.4,1852.4,9262,Sico Europe Ltd,Capital Expenditure,Works & Building
Salford City Council,03/09/2024,1600742309,5629.2,938.2,4691,Stannah Stairlifts Ltd,Capital Expenditure,Miscellaneous Grants
Salford City Council,03/09/2024,601532790,1460.69,0,1460.69,T/A Marlborough Road Academy,People (Childrens),Maternity Supply
Salford City Council,03/09/2024,601532545,1164,194,970,Time Recruitment Solutions Ltd,People (Childrens),Agency Fees
Salford City Council,03/09/2024,601532546,1200,200,1000,Time Recruitment Solutions Ltd,People (Childrens),Agency Fees
Salford City Council,03/09/2024,1600742285,6620.7,0,6620.7,Upwards Care Solutions Limited,People (Childrens),Payments to Agencies
Salford City Council,03/09/2024,1600742292,6272.44,0,6272.44,Vita Spirit Limited,People (Childrens),Payments to Agencies
Salford City Council,03/09/2024,6003963895,800,0,800,Zettle_*Kevin Booth Pa,People (Adults),Other Professional Fees
Salford City Council,04/09/2024,1600742397,598.43,99.74,498.69,Alliance Disposables Ltd,Place,Cleaning Materials
Salford City Council,04/09/2024,1600742395,639.6,106.6,533,Alliance Disposables Ltd,Place,Cleaning Materials
Salford City Council,04/09/2024,6003964326,638,0,638,Amznmktplace*Wq2Kl4J25,People (Childrens),Equipment Purchase
Salford City Council,04/09/2024,601532840,23400,3900,19500,Ask Real Estate Limited,Capital Expenditure,External Fees - Other
Salford City Council,04/09/2024,601532838,42822.48,7137.08,35685.4,Ask Real Estate Limited,Capital Expenditure,External Fees - Other
Salford City Council,04/09/2024,1600742355,24274.71,0,24274.71,Birtenshaw Hall,People (Childrens),Payments to Agencies
Salford City Council,04/09/2024,1600742356,24274.71,0,24274.71,Birtenshaw Hall,People (Childrens),Payments to Agencies
Salford City Council,04/09/2024,1600742357,24274.71,0,24274.71,Birtenshaw Hall,People (Childrens),Payments to Agencies
Salford City Council,04/09/2024,1600742358,24274.71,0,24274.71,Birtenshaw Hall,People (Childrens),Payments to Agencies
Salford City Council,04/09/2024,601532874,2000,0,2000,Cadishead Sports Jfc,Place,Payments to Voluntary Organisations
Salford City Council,04/09/2024,601532875,3000,0,3000,Cadishead Sports Jfc,Capital Expenditure,Other Works
Salford City Council,04/09/2024,1600742374,1983.91,0,1983.91,Child Action Northwest,People (Childrens),Payments to Agencies
Salford City Council,04/09/2024,601532833,24869.24,4144.87,20724.37,Cushman& Wakefield Debenham Tie Lun,Capital Expenditure,Legal Fees
Salford City Council,04/09/2024,601532844,691.7,115.28,576.42,Deepstore Ltd,Place,Hire of Facilities
Salford City Council,04/09/2024,601532847,851.41,141.9,709.51,Deepstore Ltd,Place,Hire of Facilities
Salford City Council,04/09/2024,6003964272,1514.4,0,1514.4,Divrse Ltd,People (Adults),Rents
Salford City Council,04/09/2024,601532831,1306.2,217.7,1088.5,Forbes Solicitors,Resources & Transformation,Provision for Liability Insurance
Salford City Council,04/09/2024,601532850,720,120,600,Hub 4 Leaders Ltd - The School Bus,People (Childrens),Subscriptions
Salford City Council,04/09/2024,601532851,1086.55,181.09,905.46,Mainline Private Hire Ltd,People (Childrens),Pupil Assistance
Salford City Council,04/09/2024,1600742350,5735,0,5735,Montrose Living,People (Childrens),Payments to Agencies
Salford City Council,04/09/2024,1600740837,958.74,159.79,798.95,Randstad Solutions Ltd,People (Childrens),Agency Fees
Salford City Council,04/09/2024,1600741391,958.74,159.79,798.95,Randstad Solutions Ltd,People (Childrens),Agency Fees
Salford City Council,04/09/2024,1600742158,958.74,159.79,798.95,Randstad Solutions Ltd,People (Childrens),Agency Fees
Salford City Council,04/09/2024,1600742435,61667.75,10277.96,51389.79,Reed Specialist Recruitment Ltd,People (Childrens),Payments to Agencies
