Authority,Paid date,Document number,Gross,VAT,Net,Supplier,Directorate,GL description
Salford City Council,01/02/2023,601482395,923.40,153.90,769.50,T/A Office Furniture Online,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,01/02/2023,601482186,1485.00,0.00,1485.00,Talmud Torah Yetev Lev,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482289,1284.80,0.00,1284.80,Tdr Homes Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482202,1848.00,308.00,1540.00,Time Recruitment Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/02/2023,601482191,963.00,0.00,963.00,Tinytots Vision Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,601482192,752.40,0.00,752.40,Tinytots Vision Nursery Ltd,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,1600703635,18748.16,0.00,18748.16,Together Trust,People (Childrens) Service Group,Non-Maintained Special Schools
Salford City Council,01/02/2023,601482193,693.00,0.00,693.00,Toras Emes Primary School,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,6003645880,674.43,0.00,674.43,Travelodge Gb0000,People (Adults) - CHSC,Staff Travel
Salford City Council,01/02/2023,601482242,592.88,0.00,592.88,Travis Property Development Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482238,610.23,0.00,610.23,Travis Property Development Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482275,610.23,0.00,610.23,Travis Property Development Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482229,799.61,0.00,799.61,Travis Property Development Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482244,799.61,0.00,799.61,Travis Property Development Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482251,799.61,0.00,799.61,Travis Property Development Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482273,799.61,0.00,799.61,Travis Property Development Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,601482241,570.43,0.00,570.43,Triple Bee Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2023,1600700421,9901.63,1650.27,8251.36,Verizon Uk Ltd,Capital Expenditure,External Fees - Other
Salford City Council,01/02/2023,1600703659,664.80,110.80,554.00,Viatec (Uk) Ltd,Place Directorate,Materials
Salford City Council,01/02/2023,1600703658,3988.80,664.80,3324.00,Viatec (Uk) Ltd,Place Directorate,Materials
Salford City Council,01/02/2023,1600703660,4653.60,775.60,3878.00,Viatec (Uk) Ltd,Place Directorate,Materials
