Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description,
Salford City Council,03/07/2024,1600737642,5280.00,880.00,4400.00,Reach Publishing Services Ltd,Place,Legal Fees,
Salford City Council,03/07/2024,601527964,560.00,0.00,560.00,Redacted Data,Place,Other Professional Fees,
Salford City Council,03/07/2024,601527963,580.00,0.00,580.00,Redacted Data,Place,Other Professional Fees,
Salford City Council,03/07/2024,601527966,560.00,0.00,560.00,Redacted Data,Place,Other Professional Fees,
Salford City Council,03/07/2024,601527965,880.00,0.00,880.00,Redacted Data,Place,Other Professional Fees,
Salford City Council,03/07/2024,601527961,688.00,0.00,688.00,Redacted Data,People (Adults),Rents,
Salford City Council,03/07/2024,1600737630,1100.00,0.00,1100.00,Sally Richardson Edtech Psychology,People (Childrens),Other Professional Fees,
Salford City Council,03/07/2024,1600737138,778.38,129.73,648.65,Schofield & Sons Ltd,Place,UV Day to Day Repairs,
Salford City Council,03/07/2024,1600737722,51608.98,8601.50,43007.48,Seddon Construction Ltd,Capital Expenditure,Works & Building,
Salford City Council,03/07/2024,6003932281,4320.00,0.00,4320.00,Sp Aldi Grocery Vouc,People (Childrens),Food and refreshments,
Salford City Council,03/07/2024,6003932210,515.00,0.00,515.00,Sq *Property Services Mcr,People (Adults),General Repairs,
Salford City Council,03/07/2024,6003932224,1220.00,0.00,1220.00,Sq *Property Services Mcr,People (Adults),General Repairs,
Salford City Council,03/07/2024,6003932189,1279.44,0.00,1279.44,Sq *Property Services Mcr,People (Adults),General Repairs,
Salford City Council,03/07/2024,6003932184,1390.00,0.00,1390.00,Sq *Property Services Mcr,People (Adults),General Repairs,
Salford City Council,03/07/2024,6003932209,1526.40,0.00,1526.40,Sq *Property Services Mcr,People (Adults),General Repairs,
Salford City Council,03/07/2024,6003932214,4925.00,0.00,4925.00,Sumup *Property Services,People (Adults),Other Professional Fees,
Salford City Council,03/07/2024,1600737538,3600.00,600.00,3000.00,T/A Galliford Try Building North We,Capital Expenditure,Works & Building,
Salford City Council,03/07/2024,1600737684,1847.88,307.98,1539.90,Teaching Personnel Ltd,People (Childrens),Agency Fees,
Salford City Council,03/07/2024,601528011,2583.35,430.56,2152.79,Teaching Personnel Ltd,People (Childrens),Agency Fees,
Salford City Council,03/07/2024,601528015,3156.00,526.00,2630.00,Tes Global Ltd,People (Childrens),IT  Licence Fees,
Salford City Council,03/07/2024,601527992,69756.17,0.00,69756.17,The Lowry Centre Trust,Place,Salaries and Wages reallocated,
Salford City Council,03/07/2024,1600737626,1610.00,0.00,1610.00,Women With Wings Cic,People (Childrens),Sub Contractors,
Salford City Council,03/07/2024,1600737713,5336.00,0.00,5336.00,Ymca Training Ltd,People (Childrens),Mandat Student,
Salford City Council,04/07/2024,1600737857,1575.00,262.50,1312.50,Acoustic Calibration Laboratory,Place,Equipment Repair,
Salford City Council,04/07/2024,1600737757,835.20,139.20,696.00,Alliance Disposables Ltd,Place,Catering Materials,
Salford City Council,04/07/2024,1600737852,1867.39,311.23,1556.16,Allied Publicity Services (M/Cr)Ltd,Resources & Transformation,Other Professional Fees,
Salford City Council,04/07/2024,1600737766,8726.40,1454.40,7272.00,Apem Ltd,Place,General Contractor Work,
Salford City Council,04/07/2024,1600737883,2165.04,360.84,1804.20,Apem Ltd,Place,non -UV Building Repairs & Maintenance,
Salford City Council,04/07/2024,1600737833,894.24,149.04,745.20,Bradshaw International,Place,UV Day to Day Repairs,
Salford City Council,04/07/2024,1600737853,4994.40,832.40,4162.00,Bradshaw International,Place,UV Day to Day Repairs,
Salford City Council,04/07/2024,1600737694,2100.00,350.00,1750.00,Buymemedia,Place,Marketing & Publicity,
Salford City Council,04/07/2024,1600737735,1903.03,317.17,1585.86,Capita Business Services Ltd,Place,Printing & Photocopying,
Salford City Council,04/07/2024,1600737878,2012.02,335.34,1676.68,Capita Business Services Ltd,Place,Printing & Photocopying,
Salford City Council,04/07/2024,1600737858,681.00,0.00,681.00,Chartered Institute Of Environmenta,Place,Training of Staff,
Salford City Council,04/07/2024,1600737854,599.95,99.99,499.96,Click Fire & Security Ltd - 24 Acco,Resources & Transformation,UV Lighting and Fire Detection,
Salford City Council,04/07/2024,1600737855,599.95,99.99,499.96,Click Fire & Security Ltd - 24 Acco,Resources & Transformation,UV Lighting and Fire Detection,
Salford City Council,04/07/2024,1600737860,599.40,99.90,499.50,Click4Assistance Limited,Resources & Transformation,Computer Software (no annual fee),
Salford City Council,04/07/2024,1600737839,1170.00,0.00,1170.00,Community Doosti Friendship (Cic),People (Childrens),Sub Contractors,
Salford City Council,04/07/2024,601528042,1575.60,262.60,1313.00,Cowburn Watson-Box Ltd,People (Childrens),non -UV Building Repairs & Maintenance,
Salford City Council,04/07/2024,1600737851,1680.00,0.00,1680.00,Discover The Wild,Place,Materials,
Salford City Council,04/07/2024,1600737843,1599.60,266.60,1333.00,Exclusec Group Ltd,Resources & Transformation,Contract Hire,
Salford City Council,04/07/2024,1600737891,9102.00,1517.00,7585.00,Family Rights Group Ltd - Frg Ltd,People (Childrens),Other Professional Fees,
Salford City Council,04/07/2024,1600737875,4333.68,722.28,3611.40,General Utilities North West Ltd,Capital Expenditure,Payments to Contractors - Improvements,
Salford City Council,04/07/2024,1600737850,750.00,125.00,625.00,Hcl Safety Ltd,People (Childrens),non -UV Building Repairs & Maintenance,
Salford City Council,04/07/2024,601528090,3000.00,500.00,2500.00,In Control Partnerships,People (Adults),Payments to Agencies,
Salford City Council,04/07/2024,1600737836,1123.86,187.31,936.55,J Fletcher Engineers Ltd,Place,UV Day to Day Repairs,
Salford City Council,04/07/2024,1600737814,505.76,84.29,421.47,J Fletcher Engineers Ltd,Place,UV Heating Repairs,
Salford City Council,04/07/2024,1600737829,509.75,84.96,424.79,J Fletcher Engineers Ltd,Place,UV Heating Repairs,
Salford City Council,04/07/2024,1600737835,978.60,163.10,815.50,J Fletcher Engineers Ltd,Place,UV Heating Repairs,
Salford City Council,04/07/2024,1600737834,706.01,117.67,588.34,J Fletcher Engineers Ltd,Place,UV Oil / Gas Programme,
Salford City Council,04/07/2024,1600737753,2088.00,348.00,1740.00,J. G. Redford Ltd,Capital Expenditure,Other Works,
Salford City Council,04/07/2024,601528073,936.00,156.00,780.00,Joelec Ltd,People (Adults),Contractors,
Salford City Council,04/07/2024,601528065,19650.00,0.00,19650.00,Justh Ltd Co,People (Childrens),Payments to Agencies,
Salford City Council,04/07/2024,1600737762,750.00,125.00,625.00,M & A Brown (Engravers) Ltd,Place,Equipment Purchase,
Salford City Council,04/07/2024,1600737832,720.00,120.00,600.00,Malcolm Hughes Land Surveyors Ltd,Capital Expenditure,External Fees - Other,
Salford City Council,04/07/2024,1600737807,2363.64,0.00,2363.64,Navigators College,People (Childrens),Pupil Assistance,
Salford City Council,04/07/2024,1600737808,2363.64,0.00,2363.64,Navigators College,People (Childrens),Pupil Assistance,
Salford City Council,04/07/2024,1600737809,2363.64,0.00,2363.64,Navigators College,People (Childrens),Pupil Assistance,
Salford City Council,04/07/2024,1600737821,2363.64,0.00,2363.64,Navigators College,People (Childrens),Pupil Assistance,
Salford City Council,04/07/2024,1600737826,2363.64,0.00,2363.64,Navigators College,People (Childrens),Mandat Student,
Salford City Council,04/07/2024,1600737846,2363.64,0.00,2363.64,Navigators College,People (Childrens),Mandat Student,
Salford City Council,04/07/2024,1600737887,2363.64,0.00,2363.64,Navigators College,People (Childrens),Mandat Student,
Salford City Council,04/07/2024,1600737848,3000.00,0.00,3000.00,Navigators College,People (Childrens),Mandat Student,
Salford City Council,04/07/2024,601528047,1597.61,0.00,1597.61,Nijjar Dairies Ltd,Place,Food and refreshments,
Salford City Council,04/07/2024,1600737754,8495.41,1415.90,7079.51,Pavement Testing Services Ltd (Pts),Place,Contractors,
Salford City Council,04/07/2024,1600737849,1728.00,288.00,1440.00,Pressboost Ltd,Place,UV Day to Day Repairs,
Salford City Council,04/07/2024,601528045,600.00,100.00,500.00,Property Services Mcr Ltd,People (Adults),Furniture,
Salford City Council,04/07/2024,1600737756,840.00,140.00,700.00,Qa Ltd,Resources & Transformation,Training expenses,
Salford City Council,04/07/2024,1600737745,4500.00,0.00,4500.00,Reach-In For Care Ltd,People (Childrens),Payments to Agencies,
Salford City Council,04/07/2024,1600737746,4500.00,0.00,4500.00,Reach-In For Care Ltd,People (Childrens),Payments to Agencies,
Salford City Council,04/07/2024,6003933395,722.52,0.00,722.52,Redacted Data,People (Childrens),Short Break-Non Disability,
Salford City Council,04/07/2024,6003933381,550.00,0.00,550.00,Redacted Data,People (Childrens),Foster Care - Contract Top Up's,
Salford City Council,04/07/2024,6003933147,509.00,0.00,509.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933405,509.00,0.00,509.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933411,509.00,0.00,509.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933440,509.00,0.00,509.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933053,586.00,0.00,586.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933063,600.00,0.00,600.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933079,600.00,0.00,600.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933492,618.00,0.00,618.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932989,636.00,0.00,636.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933498,636.00,0.00,636.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933044,665.00,0.00,665.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933365,665.00,0.00,665.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933460,665.00,0.00,665.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932925,694.00,0.00,694.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933035,694.00,0.00,694.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933421,694.00,0.00,694.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933491,726.00,0.00,726.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933445,726.50,0.00,726.50,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933077,734.00,0.00,734.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932908,752.00,0.00,752.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933067,752.00,0.00,752.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933027,753.90,0.00,753.90,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933472,754.00,0.00,754.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933222,755.50,0.00,755.50,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933284,755.50,0.00,755.50,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933309,755.50,0.00,755.50,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933434,755.50,0.00,755.50,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933468,755.50,0.00,755.50,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933428,755.50,0.00,755.50,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933228,770.75,0.00,770.75,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932979,778.00,0.00,778.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932744,781.00,0.00,781.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933461,781.00,0.00,781.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932802,785.50,0.00,785.50,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933347,795.50,0.00,795.50,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933195,810.75,0.00,810.75,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933367,821.00,0.00,821.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932936,825.75,0.00,825.75,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933243,832.00,0.00,832.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932734,838.00,0.00,838.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933164,838.00,0.00,838.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933171,838.00,0.00,838.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933173,838.00,0.00,838.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933134,840.00,0.00,840.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933455,840.10,0.00,840.10,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933180,862.00,0.00,862.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933184,876.00,0.00,876.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933059,880.00,0.00,880.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933452,880.00,0.00,880.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933443,890.00,0.00,890.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932740,891.43,0.00,891.43,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933149,891.43,0.00,891.43,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933448,893.26,0.00,893.26,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933095,894.00,0.00,894.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933211,898.30,0.00,898.30,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933100,900.00,0.00,900.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932843,909.00,0.00,909.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933158,909.00,0.00,909.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933267,909.00,0.00,909.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933462,909.00,0.00,909.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933109,913.00,0.00,913.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933084,918.00,0.00,918.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933471,936.00,0.00,936.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933182,938.00,0.00,938.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933255,938.00,0.00,938.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933326,938.00,0.00,938.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933357,938.00,0.00,938.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933456,938.00,0.00,938.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933469,938.00,0.00,938.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933024,954.00,0.00,954.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932812,956.76,0.00,956.76,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933143,978.00,0.00,978.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933333,978.00,0.00,978.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933396,978.00,0.00,978.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933483,978.00,0.00,978.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933011,983.00,0.00,983.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933290,998.00,0.00,998.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932727,1050.90,0.00,1050.90,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933465,1052.00,0.00,1052.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933040,1110.00,0.00,1110.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933480,1110.00,0.00,1110.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933031,1121.00,0.00,1121.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933488,1186.00,0.00,1186.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932943,1197.00,0.00,1197.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933476,1197.00,0.00,1197.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932901,1237.98,0.00,1237.98,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933282,1255.00,0.00,1255.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933486,1292.00,0.00,1292.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933153,1296.00,0.00,1296.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933358,1302.00,0.00,1302.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933359,1320.00,0.00,1320.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933451,1320.00,0.00,1320.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933136,1325.00,0.00,1325.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933178,1331.00,0.00,1331.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933230,1340.00,0.00,1340.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933370,1371.00,0.00,1371.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933204,1378.00,0.00,1378.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933382,1407.00,0.00,1407.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933391,1421.00,0.00,1421.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933093,1483.50,0.00,1483.50,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933390,1526.00,0.00,1526.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933418,1566.76,0.00,1566.76,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933202,1570.50,0.00,1570.50,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933400,1753.00,0.00,1753.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933406,1760.00,0.00,1760.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933169,1936.75,0.00,1936.75,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933372,2041.00,0.00,2041.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003932764,2151.00,0.00,2151.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933156,2208.48,0.00,2208.48,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933412,2214.40,0.00,2214.40,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933151,2306.00,0.00,2306.00,Redacted Data,People (Childrens),Foster Parent Skills Payment,
Salford City Council,04/07/2024,6003933474,506.20,0.00,506.20,Redacted Data,People (Childrens),Foster Parents-Basic Allowances,
Salford City Council,04/07/2024,6003932738,508.00,0.00,508.00,Redacted Data,People (Childrens),Foster Parents-Basic Allowances,
Salford City Council,04/07/2024,6003933097,800.00,0.00,800.00,Redacted Data,People (Childrens),Foster Parents-Basic Allowances,
Salford City Council,04/07/2024,6003933131,878.00,0.00,878.00,Redacted Data,People (Childrens),Foster Parents-Basic Allowances,
Salford City Council,04/07/2024,6003933119,989.00,0.00,989.00,Redacted Data,People (Childrens),Foster Parents-Basic Allowances,
Salford City Council,04/07/2024,601528094,2605.66,0.00,2605.66,Redacted Data,Resources & Transformation,Money in Possession,
Salford City Council,04/07/2024,601528051,100000.00,0.00,100000.00,Salford Community & Voluntary Servi,People (Adults),Payments to Voluntary Organisations,
Salford City Council,04/07/2024,601528106,780.00,0.00,780.00,Scg Sporting Chance Group Ltd,People (Childrens),Classroom Supplies Capitation,
Salford City Council,04/07/2024,601528048,8591.27,1431.88,7159.39,Securitas Technology Ltd,People (Childrens),non -UV Building Repairs & Maintenance,
Salford City Council,04/07/2024,1600737879,1800.00,0.00,1800.00,Songsmith Records Ltd,Resources & Transformation,Equipment Hire,
Salford City Council,04/07/2024,1600737804,2730.00,455.00,2275.00,Spectra Security,Place,UV Day to Day Repairs,
Salford City Council,04/07/2024,1600737805,3600.00,600.00,3000.00,Spectra Security,Capital Expenditure,Works & Building,
Salford City Council,04/07/2024,1600736789,5241.60,873.60,4368.00,Starfish Search Ltd,Resources & Transformation,Other Professional Fees,
Salford City Council,04/07/2024,1600736820,5241.60,873.60,4368.00,Starfish Search Ltd,Resources & Transformation,Other Professional Fees,
Salford City Council,04/07/2024,1600736080,5896.80,982.80,4914.00,Starfish Search Ltd,Resources & Transformation,Other Professional Fees,
Salford City Council,04/07/2024,1600736690,5896.80,982.80,4914.00,Starfish Search Ltd,Resources & Transformation,Other Professional Fees,
Salford City Council,04/07/2024,1600737687,5896.80,982.80,4914.00,Starfish Search Ltd,Resources & Transformation,Other Professional Fees,
Salford City Council,04/07/2024,1600737704,5896.80,982.80,4914.00,Starfish Search Ltd,Resources & Transformation,Other Professional Fees,
Salford City Council,04/07/2024,1600735308,10483.20,1747.20,8736.00,Starfish Search Ltd,Resources & Transformation,Other Professional Fees,
Salford City Council,04/07/2024,601528074,2264.52,377.42,1887.10,Steve Bore Specialist Services Ltd,People (Childrens),Training expenses,
Salford City Council,04/07/2024,601528055,860.16,143.36,716.80,Teaching Personnel Ltd,People (Childrens),Agency Fees,
Salford City Council,04/07/2024,601528058,894.54,149.09,745.45,Teaching Personnel Ltd,People (Childrens),Agency Fees,
Salford City Council,04/07/2024,601528059,894.54,149.09,745.45,Teaching Personnel Ltd,People (Childrens),Agency Fees,
Salford City Council,04/07/2024,601528060,894.54,149.09,745.45,Teaching Personnel Ltd,People (Childrens),Agency Fees,
Salford City Council,04/07/2024,601528056,958.03,159.67,798.36,Teaching Personnel Ltd,People (Childrens),Agency Fees,
Salford City Council,04/07/2024,601528061,1555.38,259.23,1296.15,Teaching Personnel Ltd,People (Childrens),Agency Fees,
Salford City Council,04/07/2024,601528054,1792.50,298.75,1493.75,Teaching Personnel Ltd,People (Childrens),Agency Fees,
Salford City Council,04/07/2024,1600737870,8100.00,1350.00,6750.00,The Uk Firework Company Ltd,Resources & Transformation,Contract Hire,
Salford City Council,04/07/2024,1600737806,2576.00,0.00,2576.00,Together Trust,People (Childrens),Pupil Assistance,
Salford City Council,04/07/2024,1600737841,546.00,91.00,455.00,Toilets On The Go,Resources & Transformation,Contract Hire,
Salford City Council,04/07/2024,1600737844,2058.00,343.00,1715.00,Toilets On The Go,Resources & Transformation,Contract Hire,
Salford City Council,04/07/2024,601528062,1200.00,0.00,1200.00,Uk Emergency Medical Transport,People (Childrens),Staffed Security Service,
Salford City Council,04/07/2024,1600737777,976.80,162.80,814.00,Wesley Music,Place,General Resaleable Items,
Salford City Council,04/07/2024,1600737751,9742.86,0.00,9742.86,Young People First Limited,People (Childrens),Payments to Agencies,
Salford City Council,04/07/2024,1600737743,864.00,144.00,720.00,Zebra Training Services Ltd,Resources & Transformation,Training of Staff,
Salford City Council,05/07/2024,1600736898,137450.99,22908.50,114542.49,A E Yates Ltd,Capital Expenditure,External Fees - Other,
Salford City Council,05/07/2024,1600736727,12528.00,2088.00,10440.00,Acfallon Limited,Public Health,Agency Fees,
Salford City Council,05/07/2024,1600736860,11487.60,1914.60,9573.00,Aecom Ltd - Europe,Capital Expenditure,External Fees - Other,
Salford City Council,05/07/2024,6003933695,6840.00,0.00,6840.00,Age Concern Salford T/A Age Uk Salford,People (Adults),Day Care,
Salford City Council,05/07/2024,1600735975,996.00,166.00,830.00,Alan Franklin Builders Ltd,Place,UV Day to Day Repairs,
Salford City Council,05/07/2024,1600736883,662.40,110.40,552.00,Bid Group Ltd,Place,UV Minor Decoration and Flooring,
Salford City Council,05/07/2024,1600737931,869.40,144.90,724.50,Bloom Procurement Services Ltd,Capital Expenditure,Works & Building,
Salford City Council,05/07/2024,601528212,35105.00,0.00,35105.00,Bolton College,People (Childrens),Mandat Student,
Salford City Council,05/07/2024,1600736891,12375.00,2062.50,10312.50,Brightly Software Ltd,Place,Computer Software (no annual fee),
Salford City Council,05/07/2024,1600737009,10308.60,1718.10,8590.50,C L Redfern T/A Clr Electrical,People (Childrens),UV Lighting and Fire Detection,
Salford City Council,05/07/2024,1600737936,1198.80,199.80,999.00,Caci - Social Software Ltd,People (Childrens),Computer Maintenance,
Salford City Council,05/07/2024,6003933700,14376.73,0.00,14376.73,Care Direct Salford Ltd,People (Adults),Day Care,
Salford City Council,05/07/2024,601528185,1380.00,230.00,1150.00,Choice Teachers Ltd,People (Childrens),Agency Fees,
Salford City Council,05/07/2024,601528198,1380.00,230.00,1150.00,Choice Teachers Ltd,People (Childrens),Agency Fees,
Salford City Council,05/07/2024,1600737943,33936.00,5656.00,28280.00,Connell Bros Ltd,Capital Expenditure,Works & Building,
