GESTION;2017;;;;;;;;
TYPE BUDGET;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2016;AEPLF; CPLF 2016; CPPLF
Défense;146;7;Commandement et maîtrise de l'information;28;Commander et conduire - Autres opérations;27 701 010;258 624 322;27 154 306;37 500 607
Défense;146;7;Commandement et maîtrise de l'information;29;Commander et conduire - Système d'information des armées (SIA);0;0;109 113 570;100 293 242
Défense;146;7;Commandement et maîtrise de l'information;32;Communiquer - Moyens de communication satellitaire;106 580 000;578 553 000;101 056 836;193 518 629
Défense;146;7;Commandement et maîtrise de l'information;35;Communiquer - Autres opérations;417 792 000;242 672 800;404 483 285;256 669 837
Défense;146;7;Commandement et maîtrise de l'information;36;Communiquer - CONTACT;513 402 402;0;118 218 401;150 948 997
Défense;146;7;Commandement et maîtrise de l'information;39;Renseigner, surveiller, acquérir et reconnaître - Autres opérations;572 012 262;68 271 786;489 496 291;345 392 723
Défense;146;7;Commandement et maîtrise de l'information;40;Renseigner, surveiller, acquérir et reconnaître - MUSIS;0;0;133 003 605;138 066 345
Défense;146;7;Commandement et maîtrise de l'information;41;Communiquer - DESCARTES;150 000 000;0;30 671 121;48 589 084
Défense;146;7;Commandement et maîtrise de l'information;42;Renseigner, surveiller, acquérir et reconnaître - CERES;200 500 000;0;93 008 082;70 134 546
Défense;146;8;Projection - mobilité - soutien;42;Projeter les forces - Avion de transport futur (A400M);255 360 000;57 923 333;316 380 464;325 774 240
Défense;146;8;Projection - mobilité - soutien;43;Projeter les forces - Autres opérations;364 717 015;180 649 126;237 688 935;203 787 748
Défense;146;8;Projection - mobilité - soutien;46;Assurer la mobilité - Rénovation Cougar;0;0;35 178 623;31 594 801
Défense;146;8;Projection - mobilité - soutien;47;Assurer la mobilité - Hélicoptère NH 90;260 000 000;0;319 797 543;337 029 587
Défense;146;8;Projection - mobilité - soutien;48;Assurer la mobilité - Autres opérations;72 256 650;347 689 121;52 879 735;77 766 016
Défense;146;8;Projection - mobilité - soutien;51;Maintenir le potentiel ami et autre - Porteur polyvalent terrestre (PPT);0;0;101 046 595;78 221 603
Défense;146;8;Projection - mobilité - soutien;53;Maintenir le potentiel ami et autre - Autres opérations;256 258 612;29 616 794;37 004 009;49 779 100
Défense;146;8;Projection - mobilité - soutien;55;Maintenir le potentiel ami et autre - MRTT;1 625 600 000;0;173 945 060;180 806 077
Défense;146;9;Engagement et combat;56;Frapper à distance - Missile de croisière naval (MDCN);0;0;167 254 384;57 861 799
Défense;146;9;Engagement et combat;59;Frapper à distance - RAFALE;428 528 710;59 330 489;538 683 194;482 997 888
Défense;146;9;Engagement et combat;61;Frapper à distance - Autres opérations;289 222 561;68 209 571;302 356 804;293 634 798
Défense;146;9;Engagement et combat;66;Opérer en milieu hostile - Véhicule blindé de combat d'infanterie (VBCI);0;0;76 463 610;48 381 979
Défense;146;9;Engagement et combat;68;Opérer en milieu hostile - Hélicoptère HAP/HAD TIGRE;151 500 000;26 360 000;218 134 568;299 817 626
Défense;146;9;Engagement et combat;69;Opérer en milieu hostile - Future torpille lourde (FTL);0;0;43 802 460;53 382 770
Défense;146;9;Engagement et combat;71;Opérer en milieu hostile - Evolution Exocet;0;0;43 379 509;33 859 118
Défense;146;9;Engagement et combat;73;Opérer en milieu hostile - Frégates multi-missions (FREMM);100 000 000;682 000 000;351 078 285;306 268 872
Défense;146;9;Engagement et combat;74;Opérer en milieu hostile - SNA Barracuda;1 124 000 000;950 000 000;645 404 230;571 698 594
Défense;146;9;Engagement et combat;75;Opérer en milieu hostile - Autres opérations et conduire des opérations spéciales;602 927 329;3 079 616 112;697 033 713;776 733 093
Défense;146;9;Engagement et combat;77;Opérer en milieu hostile -  SCORPION;1 139 000 000;100 000 000;154 549 553;190 787 391
Défense;146;9;Engagement et combat;78;Frapper à distance - Mirage 2000;0;85 585 271;0;143 930 750
Défense;146;9;Engagement et combat;88;Opérer en milieu hostile - missile moyenne portée MMP;0;0;78 548 823;86 846 894
Défense;146;10;Protection et sauvegarde;79;Assurer la sûreté des approches - Autres opérations et assurer la sécurité de l'Etat, de la nation et des citoyens;243 434 374;302 520 691;234 029 322;204 045 573
Défense;146;10;Protection et sauvegarde;80;Assurer la sûreté des approches - Alerte avancée;0;0;0;0
Défense;146;10;Protection et sauvegarde;82;Assurer la protection des forces et des sites - Famille de systèmes sol-air futurs (FSAF);519 800 000;0;107 357 126;90 235 677
Défense;146;10;Protection et sauvegarde;86;Assurer la protection des forces et des sites - Autres opérations et assurer la protection de l'homme;109 274 800;105 050 082;88 343 800;97 763 394
Défense;146;11;Préparation et conduite des opérations d'armement;89;Fonctionnement et soutien DGA;77 910 631;82 428 072;89 151 048;84 903 182
Défense;146;11;Préparation et conduite des opérations d'armement;90;Investissements pour les opérations d'armement;110 105 760;127 461 825;110 730 695;110 250 529
Défense;146;12;Parts étrangères et programmes civils;96;Parts étrangères;0;0;0;0
Défense;146;12;Parts étrangères et programmes civils;97;Programmes civils;0;0;0;0
Défense;178;1;Planification  des moyens et conduite des opérations;10;Emploi des forces;234 785 692;257 830 822;231 350 856;252 776 493
Défense;178;1;Planification  des moyens et conduite des opérations;11;Renseignement d'intérêt militaire;36 855 763;45 501 137;36 309 409;44 608 957
Défense;178;1;Planification  des moyens et conduite des opérations;14;Systèmes d'information et de communication;164 798 680;177 865 064;175 069 525;187 220 652
Défense;178;2;Préparation des forces terrestres;1;Commandement et activités des forces terrestres;151 078 780;177 354 016;132 615 129;174 834 089
Défense;178;2;Préparation des forces terrestres;5;Ressources humaines des forces terrestres;107 050 934;79 956 006;94 358 037;78 382 598
Défense;178;2;Préparation des forces terrestres;7;Maintien en condition opérationnelle du matériel des forces terrestres;786 510 484;919 772 067;712 118 263;776 371 499
Défense;178;2;Préparation des forces terrestres;8;Environnement opérationnel des forces terrestres;371 018 653;158 196 240;303 722 462;196 761 020
Défense;178;3;Préparation des forces navales;1;Commandement et activités des forces navales;292 080 716;260 998 295;278 693 625;305 474 124
Défense;178;3;Préparation des forces navales;5;Ressources humaines des forces navales;36 286 377;43 628 588;36 650 205;42 636 378
Défense;178;3;Préparation des forces navales;7;Maintien en condition opérationnelle du matériel des forces navales;2 497 301 792;1 510 913 729;1 572 993 267;1 585 332 909
Défense;178;3;Préparation des forces navales;8;Environnement opérationnel des forces navales;75 183 416;67 757 794;76 460 170;66 363 530
Défense;178;4;Préparation des forces aériennes;2;Commandement et activités centralisées des forces aériennes;12 322 404;7 405 740;12 365 398;7 040 660
Défense;178;4;Préparation des forces aériennes;3;Activités des forces aériennes;278 548 814;259 496 788;277 685 021;258 241 106
Défense;178;4;Préparation des forces aériennes;4;Activités des forces aériennes stratégiques;141 387 291;147 833 139;139 737 291;145 418 859
Défense;178;4;Préparation des forces aériennes;5;Ressources humaines des forces aériennes;71 671 710;75 803 759;71 105 194;75 368 235
Défense;178;4;Préparation des forces aériennes;6;Entretien et équipements des forces aériennes;2 144 295 251;2 466 801 264;1 504 325 679;1 490 343 939
Défense;178;4;Préparation des forces aériennes;9;Service industriel aéronautique (SIAé);0;0;0;0
Défense;178;5;Logistique et soutien interarmées;80;Fonction santé;240 366 669;221 768 951;136 559 678;120 358 703
Défense;178;5;Logistique et soutien interarmées;82;Soutien des forces par les bases de défense;710 354 215;621 691 444;660 339 810;647 462 759
Défense;178;5;Logistique et soutien interarmées;83;Soutiens complémentaires;147 947 891;140 097 818;147 366 684;146 468 449
Défense;178;5;Logistique et soutien interarmées;84;Service interarmées des munitions;11 889 504;14 984 704;11 731 014;14 690 886
Défense;178;5;Logistique et soutien interarmées;85;Service du commissariat aux armées;391 369 974;436 045 724;385 617 618;400 853 102
Défense;212;6;Politiques des ressources humaines;3;Reconversion;34 792 284;36 472 386;34 792 284;36 472 386
Défense;212;6;Politiques des ressources humaines;4;Action sociale et autres politiques de ressources humaines (hors rémunérations des agents);95 707 033;105 347 317;95 707 033;105 347 317
Défense;212;8;Politique culturelle et éducative;1;Actions culturelles et mise en valeur du patrimoine;27 818 877;22 234 138;27 818 877;22 234 138
Défense;212;8;Politique culturelle et éducative;2;Gestion et communication des archives historiques de la défense;5 052 425;3 470 251;5 025 426;3 723 918
Défense;212;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";1;Renseignement extérieur;412 889 922;426 629 485;412 889 922;426 629 485
Défense;212;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";2;Renseignement de sécurité et de défense;84 694 268;105 547 900;84 694 268;105 547 900
Défense;212;51;"Prospective de défense - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";1;DGRIS / Administration  centrale;23 690 487;25 702 225;23 690 487;25 702 225
Défense;212;52;Relations internationales;1;DGA / Soutien aux exportations;4 422 987;7 764 526;4 422 987;7 764 526
Défense;212;52;Relations internationales;2;DGRIS / Diplomatie de défense;34 558 512;78 675 589;34 558 512;78 675 589
Défense;212;53;"Préparation et conduite des opérations d'armement - Personnel travaillant  pour le programme  ""Équipement des forces """;1;Soutien aux opérations d'armement;1 925 309 477;1 899 094 275;1 925 309 477;1 899 094 275
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";1;Commandement des armées;77 714 504;101 650 374;77 714 504;101 650 374
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";2;Organismes interarmées à vocation opérationnelle;112 044 719;228 098 384;112 044 719;228 098 384
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";3;Organismes interarmées à vocation prospective et maitrise des armements;8 784 261;33 663 496;8 784 261;33 663 496
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";4;Enseignement interarmées;28 939 245;55 098 392;28 939 245;55 098 392
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";5;EMA / Relations internationales militaires / PPE;92 163 740;148 383 549;92 163 740;148 383 549
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";6;Renseignement d'intérêt militaire;136 933 810;147 148 640;136 933 810;147 148 640
Défense;212;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";7;Systèmes d'information et de communication;533 706 347;503 145 685;533 706 347;503 145 685
Défense;212;55;"Préparation des forces terrestres - Personnel travaillant pour le programme ""Préparation et emploi des forces""";1;Ressources humaines des forces terrestres;6 114 631 428;6 866 799 415;6 114 631 428;6 866 799 415
Défense;212;56;"Préparation des forces navales - Personnel travaillant pour le programme ""Préparation et emploi des forces""";1;Ressources humaines des forces navales;2 262 543 603;2 416 844 649;2 262 543 603;2 416 844 649
Défense;212;56;"Préparation des forces navales - Personnel travaillant pour le programme ""Préparation et emploi des forces""";2;Rémunérations des ouvriers de l'Etat de la DCNS;0;0;0;0
Défense;212;57;"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";1;Ressources humaines des forces aériennes;2 334 595 041;2 555 533 552;2 334 595 041;2 555 533 552
Défense;212;57;"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";2;Service industriel aéronautique(SIAé);0;0;0;0
