Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,CORPORATE FINANCE,Payments to Private Contractors,45399,2200214771,28708.75,Ernst & Young LLP
Hampshire & Isle of Wight Constabulary,Corporate insights,Technical and Professional Consultant F,45392,2200214350,22000,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,COSHAM POLICE STATION (PN),Uniform Business Rates,45383,3500004172,4914,Portsmouth City Council
Hampshire & Isle of Wight Constabulary,Cowes (AMP),Other premises related costs,45406,2200215251,880,Commercial and Industrial Services
Hampshire & Isle of Wight Constabulary,CRABWOOD MAST,Non System - Electricity,45401,3110122152,619.13,NPOWER
Hampshire & Isle of Wight Constabulary,CRABWOOD MAST,Uniform Business Rates,45387,3500004208,760.75,WINCHESTER CITY COUNCIL
Hampshire & Isle of Wight Constabulary,CUSTODY EASTERN PIC,Equipment,45383,2200213762,681.55,Charles Fellows Suppliers Limited
Hampshire & Isle of Wight Constabulary,CUSTODY EASTERN PIC,Equipment,45386,2200214020,891,Charles Fellows Suppliers Limited
Hampshire & Isle of Wight Constabulary,CUSTODY EASTERN PIC,Equipment,45391,2200214189,633.5,Charles Fellows Suppliers Limited
Hampshire & Isle of Wight Constabulary,CUSTODY EASTERN PIC,Equipment,45397,2200214541,673.8,WA PRODUCTS Trading as Scenesafe
Hampshire & Isle of Wight Constabulary,CUSTODY EASTERN PIC,Equipment,45405,2200215095,994,Charles Fellows Suppliers Limited
Hampshire & Isle of Wight Constabulary,CUSTODY EASTERN PIC,Equipment,45405,2200215098,580.75,Charles Fellows Suppliers Limited
Hampshire & Isle of Wight Constabulary,CUSTODY EASTERN PIC,Forensic and pathology testing,45397,2200214546,1275,WA PRODUCTS Trading as Scenesafe
Hampshire & Isle of Wight Constabulary,CUSTODY EASTERN PIC,Forensic and pathology testing,45397,2200214549,787.5,WA PRODUCTS Trading as Scenesafe
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Cleaning services,45385,2200213911,1448.71,N-VIRO
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Cleaning services,45397,2200214548,699.1,N-VIRO
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Cleaning services,45398,2200214721,4844.01,N-VIRO
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Cleaning services,45405,2200215114,585,N-VIRO
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Laundry and Dry Cleaning,45385,2200213910,4125.4,Berendsen Uk Ltd
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Medical and Counselling Fees,45385,2200213872,139994.17,Partnering Health Limited
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Non-Staff Subsistence and Expenses,45386,2200214030,2392.95,AQUA CARS LTD
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Technical and Professional Consultant F,45392,2200214368,-1313.14,D.A. LANGUAGES
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Technical and Professional Consultant F,45392,2200214369,-1586.3,D.A. LANGUAGES
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Technical and Professional Consultant F,45398,2200214699,37594.59,D.A. LANGUAGES
Hampshire & Isle of Wight Constabulary,CUSTODY HEAD OFFICE,Technical and Professional Consultant F,45408,2200215389,2131.3,LIPSPEAKER UK
Hampshire & Isle of Wight Constabulary,CUSTODY IOW PIC,Forensic and pathology testing,45392,2200214305,502.5,WA PRODUCTS Trading as Scenesafe
Hampshire & Isle of Wight Constabulary,CUSTODY NORTHERN PIC,Equipment,45394,2200214520,816.4,Charles Fellows Suppliers Limited
Hampshire & Isle of Wight Constabulary,CUSTODY WESTERN PIC,Equipment,45385,2200213887,4942.4,WA PRODUCTS Trading as Scenesafe
Hampshire & Isle of Wight Constabulary,CUSTODY WESTERN PIC,Equipment,45385,2200213888,1919.72,WA PRODUCTS Trading as Scenesafe
Hampshire & Isle of Wight Constabulary,CUSTODY WESTERN PIC,Equipment,45411,2200215426,835.5,Charles Fellows Suppliers Limited
Hampshire & Isle of Wight Constabulary,Cybercrime Team,Other Training Courses and Qualification,45383,2200213779,730,CJS EVENT SOLUTIONS LTD
Hampshire & Isle of Wight Constabulary,Cybercrime Team,Technical and Professional Consultant F,45411,2200215418,1495,ARMSTRONG WATSON LLP
Hampshire & Isle of Wight Constabulary,D.I.S. conts 9 - K.W Feb 24,Grant Aid and Donations,45405,3110122218,747,One Time Vendor
Hampshire & Isle of Wight Constabulary,DA GSA Perpetrator Fund,Grant Aid and Donations,45386,2200020917,102607.57,Southern Health NHS Foundation Trus
Hampshire & Isle of Wight Constabulary,DA GSA Perpetrator Fund,Grant Aid and Donations,45390,2200020957,16157,SOUTHERN DOMESTIC ABUSE SERVICE
Hampshire & Isle of Wight Constabulary,DA GSA Perpetrator Fund,Grant Aid and Donations,45397,2200021000,6004.5,University of Southampton
Hampshire & Isle of Wight Constabulary,DCC HEAD OFFICE,Professional Subscriptions,45393,3110121820,2800,CPOSA Ltd
Hampshire & Isle of Wight Constabulary,DCC HEAD OFFICE,Professional Subscriptions,45393,3110121821,500,CPOSA Ltd
Hampshire & Isle of Wight Constabulary,DCC INITIATIVE/PROJECTS,Grant Aid and Donations,45411,3110122370,3095,One Time Vendor
Hampshire & Isle of Wight Constabulary,DCC INITIATIVE/PROJECTS,Technical and Professional Consultant F,45405,2200215138,1040.4,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,Depreciation Operational Buildings,Other expenses,45401,2200021043,905,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Depreciation Operational Buildings,Payments to main contractor,45397,2200021003,6477.94,SHOWCASE PSR PORTSDOWN LIMITED
