,,,,April 2023 £500 spend data,,,,
Payment Date,Transaction Number,Non Recoverable VAT,Amount,Supplier,Supplier Number,Expense Type,Directorate,Service Area
04/04/2023,857790,0,520,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857791,0,520,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857792,0,520,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857800,0,624,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857801,0,624,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857803,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857805,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857806,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857807,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857808,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857809,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857810,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857811,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857812,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857813,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857814,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857815,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857816,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857819,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857829,0,832,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
04/04/2023,857928,0,3437.06,REDACTED PERSONAL DATA,7100000000,LBB Share NNDR Debtor,Finance & Corporate,Central Finance
04/04/2023,858086,0,814,REDACTED PERSONAL DATA,4200010601,3 & 4 year old funding,Children's Services,Schools
04/04/2023,858287,0,1491.6,REDACTED PERSONAL DATA,1000003400,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858288,0,575.6,REDACTED PERSONAL DATA,1000005100,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858290,0,504.02,REDACTED PERSONAL DATA,1000006900,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858305,0,2132.92,REDACTED PERSONAL DATA,1000007200,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858293,0,661.12,REDACTED PERSONAL DATA,1000012000,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858289,0,601.18,REDACTED PERSONAL DATA,1000013100,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858274,0,668.42,REDACTED PERSONAL DATA,1000032800,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858292,0,721.92,REDACTED PERSONAL DATA,1000033000,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858310,0,735.9,REDACTED PERSONAL DATA,1000041100,Adoption Allowance,Children's Services,Children Social Care & Safegua
