,,,,April 2023 £500 spend data,,,,
Payment Date,Transaction Number,Non Recoverable VAT,Amount,Supplier,Supplier Number,Expense Type,Directorate,Service Area
26/04/2023,856161,0,20376,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
26/04/2023,856164,0,20700,MY LIFE SEMI-INDEPENDENT PROJECT,8140600,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
26/04/2023,856195,0,1137,NEC SOFTWARE SOLUTIONS UK LTD,8380302,ICT Other Expenditure,Children's Services,Education Services
26/04/2023,856204,0,2767.83,NETPEX LTD,5854900,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
26/04/2023,856206,0,3269.45,NETPEX LTD,5854900,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
26/04/2023,856211,0,3985.7,NETPEX LTD,5854900,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
26/04/2023,856213,0,4295.7,NETPEX LTD,5854900,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
26/04/2023,856215,0,4406.65,NETPEX LTD,5854900,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
26/04/2023,856218,0,22967.11,NETPEX LTD,5854900,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
26/04/2023,856225,0,1034,NEW FOUNDATIONS DAY NURSERY LTD,4200001800,2 year old funding,Children's Services,Schools
26/04/2023,856229,0,9290,NEW FOUNDATIONS DAY NURSERY LTD,4200001800,3 & 4 year old funding,Children's Services,Schools
26/04/2023,856239,0,517,NEXT GENERATION DAY NURSERY,4200016300,2 year old funding,Children's Services,Schools
26/04/2023,856242,0,13599,NEXT GENERATION DAY NURSERY,4200016300,3 & 4 year old funding,Children's Services,Schools
26/04/2023,856279,0,8890.22,NHS SOUTH EAST LONDON ICB,8750600,Sexual Health Payments,Adults & Health,Health & Wellbeing
26/04/2023,856281,0,2069,NICKIE'S NIPPERS PRE SCHOOL LTD,4200026900,2 year old funding,Children's Services,Schools
26/04/2023,856283,0,5889,NICKIE'S NIPPERS PRE SCHOOL LTD,4200026900,3 & 4 year old funding,Children's Services,Schools
26/04/2023,856287,0,1629,NIKOLES CHILDMINDING,4200006200,3 & 4 year old funding,Children's Services,Schools
26/04/2023,856554,0,853.56,NONSTOP CONSULTING LTD,10055500,Agency Staff,Children's Services,Children Social Care & Safegua
26/04/2023,856563,0,914.27,NONSTOP CONSULTING LTD,10055500,Agency Staff,Children's Services,Children Social Care & Safegua
26/04/2023,856633,0,931.68,NONSTOP CONSULTING LTD,10055500,Leaving Care Subsistence,Children's Services,Children Social Care & Safegua
26/04/2023,856933,0,1200,NWB Homes Ltd,9999999800,Leaving Care Housing Costs,Children's Services,Children Social Care & Safegua
26/04/2023,857012,0,3277.14,OWNLIFE LTD,10092900,Specialist Placements Semi Ind,Children's Services,Children Social Care & Safegua
26/04/2023,857124,0,1276.5,PARK AVENUE RECRUITMENT LTD,10052000,Agency Staff,Place,Housing and Strategic Planning
26/04/2023,857463,0,680,PECULIAR CARE HOMES LIMITED,8502700,DisabledChildrenRespiteSupport,Children's Services,Children Social Care & Safegua
26/04/2023,857517,0,4200,PELLING LLP,6848400,Other Fees,Finance & Corporate,Central Finance
26/04/2023,857604,0,1131.66,PINDEN LIMITED,5864301,Asbestos Waste,Place,Neighbourhoods
26/04/2023,857636,0,1728,PRECISION RESOURCE GROUP LIMITED,10094600,Agency Staff,Finance & Corporate,Legal and Democratic Services
26/04/2023,857760,0,573.02,PRISM MEDICAL UK LTD,6929900,Grants Paid,Finance & Corporate,Central Finance
26/04/2023,857772,0,1170,PRO CLEAN BINS,8433900,RepairRecyclingContainersWaste,Place,Neighbourhoods
26/04/2023,857785,0,520,PROSPERO GROUP LIMITED,10127500,Top-up funding Primary,Children's Services,Schools
26/04/2023,857786,0,500,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
26/04/2023,857796,0,520,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
26/04/2023,857823,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
26/04/2023,857824,0,780,PROSPERO GROUP LIMITED,10127500,Top-up funding Secondary,Children's Services,Schools
26/04/2023,857941,0,12245,R-COM CONSULTING LTD,8470200,Private Contractors - ICT serv,Finance & Corporate,Corporate Services
26/04/2023,858000,0,517,REDACTED PERSONAL DATA,4200010000,2 year old funding,Children's Services,Schools
26/04/2023,858012,0,517,REDACTED PERSONAL DATA,4200011900,2 year old funding,Children's Services,Schools
26/04/2023,857983,0,776,REDACTED PERSONAL DATA,4200021700,2 year old funding,Children's Services,Schools
26/04/2023,857986,0,504,REDACTED PERSONAL DATA,4200023300,2 year old funding,Children's Services,Schools
26/04/2023,858009,0,517,REDACTED PERSONAL DATA,4200025300,2 year old funding,Children's Services,Schools
26/04/2023,857989,0,517,REDACTED PERSONAL DATA,4200027600,2 year old funding,Children's Services,Schools
26/04/2023,858173,0,611,REDACTED PERSONAL DATA,6414600,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858116,0,2307,REDACTED PERSONAL DATA,8131100,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858198,0,1384,REDACTED PERSONAL DATA,8200100,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858189,0,814,REDACTED PERSONAL DATA,8202600,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858145,0,2443,REDACTED PERSONAL DATA,8299000,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858148,0,814,REDACTED PERSONAL DATA,8315200,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858131,0,1018,REDACTED PERSONAL DATA,4200003300,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858255,0,1832,REDACTED PERSONAL DATA,4200006100,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858125,0,1629,REDACTED PERSONAL DATA,4200008100,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858234,0,1859,REDACTED PERSONAL DATA,4200009600,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858186,0,4479,REDACTED PERSONAL DATA,4200010000,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858075,0,719,REDACTED PERSONAL DATA,4200010300,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858031,0,1073,REDACTED PERSONAL DATA,4200010400,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858087,0,1222,REDACTED PERSONAL DATA,4200010601,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858244,0,1629,REDACTED PERSONAL DATA,4200011900,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858159,0,814,REDACTED PERSONAL DATA,4200013100,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858122,0,814,REDACTED PERSONAL DATA,4200014700,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858265,0,611,REDACTED PERSONAL DATA,4200015100,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858028,0,611,REDACTED PERSONAL DATA,4200015300,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858046,0,1221,REDACTED PERSONAL DATA,4200015400,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858099,0,1120,REDACTED PERSONAL DATA,4200015900,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858246,0,608,REDACTED PERSONAL DATA,4200016000,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858042,0,611,REDACTED PERSONAL DATA,4200017200,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858203,0,611,REDACTED PERSONAL DATA,4200017800,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858241,0,1018,REDACTED PERSONAL DATA,4200017900,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858014,0,814,REDACTED PERSONAL DATA,4200020000,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858258,0,1832,REDACTED PERSONAL DATA,4200020300,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858210,0,1269,REDACTED PERSONAL DATA,4200020700,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858251,0,611,REDACTED PERSONAL DATA,4200021000,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858127,0,1018,REDACTED PERSONAL DATA,4200021700,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858101,0,1289,REDACTED PERSONAL DATA,4200022101,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858168,0,1629,REDACTED PERSONAL DATA,4200022200,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858049,0,570,REDACTED PERSONAL DATA,4200022800,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858134,0,7590,REDACTED PERSONAL DATA,4200023300,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858153,0,1018,REDACTED PERSONAL DATA,4200024700,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858217,0,1181,REDACTED PERSONAL DATA,4200025300,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858220,0,7220,REDACTED PERSONAL DATA,4200025300,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858091,0,17685,REDACTED PERSONAL DATA,4200026700,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858108,0,1018,REDACTED PERSONAL DATA,4200027100,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858138,0,2647,REDACTED PERSONAL DATA,4200027600,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858230,0,528,REDACTED PERSONAL DATA,4200028600,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858026,0,1222,REDACTED PERSONAL DATA,4200029600,3 & 4 year old funding,Children's Services,Schools
26/04/2023,858277,0,745.8,REDACTED PERSONAL DATA,1000003400,Adoption Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,858295,0,1066.46,REDACTED PERSONAL DATA,1000007200,Adoption Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,858306,0,1318.4,REDACTED PERSONAL DATA,1000045000,Adoption Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,858414,0,740.8,REDACTED PERSONAL DATA,8300080700,CommServs-DirectPayOP,Adults & Health,Bexley Care
26/04/2023,859326,0,915.36,REDACTED PERSONAL DATA,8300011001,CommServs-DirectPayWA,Adults & Health,Bexley Care
26/04/2023,859328,0,1170.24,REDACTED PERSONAL DATA,8300011001,CommServs-DirectPayWA,Adults & Health,Bexley Care
26/04/2023,859849,0,574.27,REDACTED PERSONAL DATA,7000000000,CTax Receipts Ctrl,Finance & Corporate,Central Finance
26/04/2023,859889,0,1509.54,REDACTED PERSONAL DATA,7000000000,CTax Receipts Ctrl,Finance & Corporate,Central Finance
26/04/2023,859937,0,938.6,REDACTED PERSONAL DATA,7000000000,CTax Receipts Ctrl,Finance & Corporate,Central Finance
26/04/2023,859994,0,2350.32,REDACTED PERSONAL DATA,7000000000,CTax Receipts Ctrl,Finance & Corporate,Central Finance
26/04/2023,860001,0,560.02,REDACTED PERSONAL DATA,7000000000,CTax Receipts Ctrl,Finance & Corporate,Central Finance
26/04/2023,860012,0,2000,REDACTED PERSONAL DATA,9999999800,Discretionary Housing Payment,Place,Housing and Strategic Planning
26/04/2023,860647,0,1158.42,REDACTED PERSONAL DATA,1000001000,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860527,0,688.19,REDACTED PERSONAL DATA,1000005200,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860448,0,682.16,REDACTED PERSONAL DATA,1000006100,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860304,0,864.2,REDACTED PERSONAL DATA,1000006700,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860551,0,1370.37,REDACTED PERSONAL DATA,1000007200,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860194,0,864.2,REDACTED PERSONAL DATA,1000007900,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860680,0,1064.73,REDACTED PERSONAL DATA,1000016800,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860546,0,1988.91,REDACTED PERSONAL DATA,1000022000,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860592,0,642.23,REDACTED PERSONAL DATA,1000026600,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860372,0,527.44,REDACTED PERSONAL DATA,1000028500,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860569,0,566,REDACTED PERSONAL DATA,1000028600,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860136,0,1013.56,REDACTED PERSONAL DATA,1000029000,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860477,0,527.44,REDACTED PERSONAL DATA,1000030000,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860276,0,1082.13,REDACTED PERSONAL DATA,1000030100,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860318,0,1204.38,REDACTED PERSONAL DATA,1000031300,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860348,0,709.82,REDACTED PERSONAL DATA,1000032700,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860489,0,551.72,REDACTED PERSONAL DATA,1000033000,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860215,0,551.72,REDACTED PERSONAL DATA,1000034000,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860397,0,527.44,REDACTED PERSONAL DATA,1000034900,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860635,0,972.24,REDACTED PERSONAL DATA,1000036200,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860294,0,787.01,REDACTED PERSONAL DATA,1000038100,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860501,0,598.09,REDACTED PERSONAL DATA,1000040100,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860336,0,527.44,REDACTED PERSONAL DATA,1000042100,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860256,0,510.3,REDACTED PERSONAL DATA,1000043700,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860384,0,709.82,REDACTED PERSONAL DATA,1000044000,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860073,0,1242.73,REDACTED PERSONAL DATA,1000046000,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860425,0,695.99,REDACTED PERSONAL DATA,1000046200,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860360,0,1000,REDACTED PERSONAL DATA,1000047100,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860126,0,588.5,REDACTED PERSONAL DATA,1000048300,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860106,0,1441.02,REDACTED PERSONAL DATA,1000049300,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860460,0,527.44,REDACTED PERSONAL DATA,1000051200,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860157,0,859.2,REDACTED PERSONAL DATA,1000051600,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860706,0,772.28,REDACTED PERSONAL DATA,1000051900,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860694,0,769.48,REDACTED PERSONAL DATA,1000052900,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860253,0,934.46,REDACTED PERSONAL DATA,1000055100,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860065,0,700.78,REDACTED PERSONAL DATA,1000055900,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860170,0,1219.11,REDACTED PERSONAL DATA,1000059200,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860580,0,818.24,REDACTED PERSONAL DATA,1000060000,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860514,0,588.5,REDACTED PERSONAL DATA,1000060600,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860280,0,551.72,REDACTED PERSONAL DATA,1000072100,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860623,0,727.22,REDACTED PERSONAL DATA,1000073600,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860037,0,1050.9,REDACTED PERSONAL DATA,1000076400,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860086,0,818.24,REDACTED PERSONAL DATA,1002513300,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860607,0,1064.73,REDACTED PERSONAL DATA,1002513500,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860052,0,709.82,REDACTED PERSONAL DATA,1002513600,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860662,0,1450.87,REDACTED PERSONAL DATA,1002513700,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860674,0,564.95,REDACTED PERSONAL DATA,1002515200,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860436,0,695.58,REDACTED PERSONAL DATA,1002520300,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860228,0,666.7,REDACTED PERSONAL DATA,1002529000,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860075,0,772.28,REDACTED PERSONAL DATA,1002529800,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860604,0,916,REDACTED PERSONAL DATA,1002532800,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,860241,0,1380.04,REDACTED PERSONAL DATA,1002533000,Fostering Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861485,0,666.66,REDACTED PERSONAL DATA,1002514700,Leaving Care Univ Bursary,Children's Services,Children Social Care & Safegua
26/04/2023,861521,0,688.19,REDACTED PERSONAL DATA,1000013000,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
26/04/2023,861532,0,500,REDACTED PERSONAL DATA,1000032300,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
26/04/2023,861506,0,506.09,REDACTED PERSONAL DATA,1000038000,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
26/04/2023,861495,0,750,REDACTED PERSONAL DATA,1000044300,LeavingCareOver18AsylumSupport,Children's Services,Children Social Care & Safegua
26/04/2023,861538,0,592,REDACTED PERSONAL DATA,1002532200,Looked After Child U18 Support,Children's Services,Children Social Care & Safegua
26/04/2023,861562,0,2383,REDACTED PERSONAL DATA,8560700,Major Repairs and Structural,Place,Housing and Strategic Planning
26/04/2023,861766,0,629.58,REDACTED PERSONAL DATA,1000000100,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861823,0,709.82,REDACTED PERSONAL DATA,1000002000,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861877,0,870.47,REDACTED PERSONAL DATA,1000008900,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861700,0,730.64,REDACTED PERSONAL DATA,1000016900,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861794,0,695.99,REDACTED PERSONAL DATA,1000018800,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861845,0,1095.96,REDACTED PERSONAL DATA,1000019400,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861890,0,675.14,REDACTED PERSONAL DATA,1000026700,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861903,0,885.18,REDACTED PERSONAL DATA,1000029400,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861739,0,600.05,REDACTED PERSONAL DATA,1000030600,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861657,0,1590.8,REDACTED PERSONAL DATA,1000042500,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861724,0,772.28,REDACTED PERSONAL DATA,1000047600,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861778,0,690.84,REDACTED PERSONAL DATA,1000048001,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861685,0,728.9,REDACTED PERSONAL DATA,1000049300,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861672,0,1036.07,REDACTED PERSONAL DATA,1000057600,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861860,0,737.41,REDACTED PERSONAL DATA,1000059900,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861664,0,739.28,REDACTED PERSONAL DATA,1000064300,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861754,0,911.06,REDACTED PERSONAL DATA,1000065400,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861808,0,588.5,REDACTED PERSONAL DATA,1000066000,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861717,0,1416.93,REDACTED PERSONAL DATA,1000068800,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861916,0,1023.24,REDACTED PERSONAL DATA,1000071500,Special Guardianship Allowance,Children's Services,Children Social Care & Safegua
26/04/2023,861937,0,570,REDACTED PERSONAL DATA,10149000,Top-up funding Post-16,Children's Services,Schools
26/04/2023,861956,0,704,REDACTED PERSONAL DATA,8499500,Top-up funding Secondary,Children's Services,Schools
26/04/2023,862031,0,750,REDACTED PERSONAL DATA,1000024100,Under18 Asylum Seekers Accom,Children's Services,Children Social Care & Safegua
26/04/2023,862002,0,818.24,REDACTED PERSONAL DATA,1000027600,Under18 Asylum Seekers Accom,Children's Services,Children Social Care & Safegua
26/04/2023,862042,0,1700.84,REDACTED PERSONAL DATA,10071100,Your Choice CBT grant,Children's Services,Education Services
26/04/2023,862821,0,6137.68,RELISH CATERING FOR EVENTS,8001600,Activities,Place,Neighbourhoods
26/04/2023,863109,0,3333.33,RIVERVIEW JUNIOR SCHOOL,8745400,MS top-up funding Primary,Children's Services,Schools
26/04/2023,863117,0,681,ROBUST DEVELOPMENTS LIMITED,9999999800,Section 50 Deposits,Finance & Corporate,Central Finance
26/04/2023,863394,0,31666.63,SHAW TRUST,6724200,Employment Advice,Children's Services,Education Services
26/04/2023,863395,0,31666.67,SHAW TRUST,6724200,Employment Advice,Children's Services,Education Services
26/04/2023,863443,0,1260,SHERBETS MINI CABS,6472900,Postage and Courier Services,Children's Services,Education Services
26/04/2023,864065,0,7083.33,SPIRE HOUSING LIMITED,5739900,Housing Temporary Accommodatio,Place,Housing and Strategic Planning
26/04/2023,864090,0,1932.92,SPRING PARTNERSHIP TRUST,10138200,MS top-up funding Primary,Children's Services,Schools
26/04/2023,864420,0,517,ST MARY'S PLAYGROUP,4200021300,2 year old funding,Children's Services,Schools
26/04/2023,864423,0,4886,ST MARY'S PLAYGROUP,4200021300,3 & 4 year old funding,Children's Services,Schools
26/04/2023,864492,0,13476,STUDIO ONB LIMITED,10151000,Prof Services external fees,Finance & Corporate,Central Finance
26/04/2023,864693,0,921.6,TEACHING PERSONNEL LTD,8428000,Top-up funding Post-16,Children's Services,Schools
26/04/2023,864738,0,776,THE BEXLEY DAY NURSERY,4200000700,2 year old funding,Children's Services,Schools
26/04/2023,864740,0,15065,THE BEXLEY DAY NURSERY,4200000700,3 & 4 year old funding,Children's Services,Schools
26/04/2023,864742,0,1963.31,THE BIG WORD,10002601,Professional Services General,Finance & Corporate,Finance & Corporate Management
26/04/2023,864751,0,1671.58,THE BIGWORD INTERPRETING SERVICES LTD,7166700,Professional Services General,Finance & Corporate,Finance & Corporate Management
26/04/2023,864756,0,2781,THE BIGWORD INTERPRETING SERVICES LTD,7166700,Professional Services General,Finance & Corporate,Finance & Corporate Management
26/04/2023,864771,0,15920,THE CPD CERTIFICATION SERVICE,10013800,Staff Development and Training,Adults & Health,Bexley Care
26/04/2023,864798,0,11741.12,THE EXCHANGE ERITH LTD,8551900,Prof Services external fees,Finance & Corporate,Central Finance
26/04/2023,864879,0,3981.33,THE NATIONAL FOSTERING AGENCY LIMITED,6164202,Specialist Placements IFA's,Children's Services,Children Social Care & Safegua
26/04/2023,864883,0,6382.28,THE NATIONAL FOSTERING AGENCY LIMITED,6164202,Specialist Placements IFA's,Children's Services,Children Social Care & Safegua
26/04/2023,864944,0,1800,THE OYSTER PARTNERSHIP LTD,8352800,Agency Staff,Place,Housing and Strategic Planning
26/04/2023,864954,0,2440.63,THE OYSTER PARTNERSHIP LTD,8352800,Agency Staff,Place,Housing and Strategic Planning
26/04/2023,864956,0,2475,THE OYSTER PARTNERSHIP LTD,8352800,Agency Staff,Place,Housing and Strategic Planning
26/04/2023,864985,0,48916.48,THE PRIMARY FIRST TRUST (MAYPLACE),4000012600,Schools Transfer Payment,Children's Services,Schools
26/04/2023,865047,0,11998.33,THE WRITE TIME,10044700,SP top-up funding Secondary,Children's Services,Schools
26/04/2023,865067,0,692,TINEY LTD,4200020801,3 & 4 year old funding,Children's Services,Schools
26/04/2023,865070,0,855,TINEY LTD,4200020801,3 & 4 year old funding,Children's Services,Schools
26/04/2023,865228,0,29500,TUCKWELLS,10044100,Grounds Maintenance Costs,Place,Neighbourhoods
26/04/2023,865237,0,2297.14,TUSKERDIRECT LTD,8350900,Car Leasing Control Account,Finance & Corporate,Central Finance
26/04/2023,865240,0,19365.93,TUSKERDIRECT LTD,8350900,Car Leasing Control Account,Finance & Corporate,Central Finance
26/04/2023,865242,0,2327,TWINNIE DAY NURSERY,4200004800,2 year old funding,Children's Services,Schools
26/04/2023,865246,0,12418,TWINNIE DAY NURSERY,4200004800,3 & 4 year old funding,Children's Services,Schools
26/04/2023,865276,0,1708.92,UNDER MY ROOF LTD,8319800,Housing Temporary Accommodatio,Place,Housing and Strategic Planning
26/04/2023,865277,0,7234.56,UNDER MY ROOF LTD,8319800,Housing Temporary Accommodatio,Place,Housing and Strategic Planning
26/04/2023,865324,0,5700,UPLAND PRIMARY SCHOOL,4000002900,3 & 4 year old funding,Children's Services,Schools
26/04/2023,865451,0,3002.8,VIRGIN MEDIA LTD,8076501,Highways Fees & Charges,Place,Neighbourhoods
26/04/2023,865471,0,1800,VIVID RESOURCING LTD,8179700,Agency Staff,Finance & Corporate,Finance & Property
26/04/2023,865474,0,1980,VIVID RESOURCING LTD,8179700,Agency Staff,Finance & Corporate,Legal and Democratic Services
26/04/2023,865491,0,3000,VIVID RESOURCING LTD,8179700,Agency Staff,Finance & Corporate,Finance & Property
26/04/2023,865505,0,2000,VIVID RESOURCING LTD,8179700,Salaries Gross,Adults & Health,Health & Wellbeing
26/04/2023,865519,0,4500,VIVID RESOURCING LTD,8179700,Salaries Gross,Adults & Health,Health & Wellbeing
26/04/2023,865546,0,2100,WATERLAND MANAGEMENT LTD,10048800,Building Maintenance,Place,Neighbourhoods
26/04/2023,865547,0,5995,WATERLAND MANAGEMENT LTD,10048800,Building Maintenance,Place,Neighbourhoods
26/04/2023,865549,0,9834.3,WATERMAN INFRASTRUCTURE & ENVIRONMENT LT,8482300,InsuranceExclPremises&Trans,Place,Neighbourhoods
26/04/2023,865574,0,2379.4,WATERMAN INFRASTRUCTURE & ENVIRONMENT LT,8482300,Programmed Roads Expenditure,Place,Neighbourhoods
26/04/2023,865733,0,2160,WONKY ARCHITECTURE LTD,8749600,Prof Services external fees,Finance & Corporate,Central Finance
26/04/2023,865774,0,4137,YARNTON WAY NURSERY,4200021400,2 year old funding,Children's Services,Schools
26/04/2023,865779,0,12956,YARNTON WAY NURSERY,4200021400,3 & 4 year old funding,Children's Services,Schools
27/04/2023,865049,0,2480,THETFORD COMPACTORS FINANCE LTD,dd,Waste Incidentals,Place,Neighbourhoods
