DCC Transparency Report Supplier Payment over ï¿½500,,,,,,,,,,,,,
,,,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,,Purpose of Spend,Procurement Classification,Selection Code 3 Description,,
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,18/04/2023,609,1859,540,CIC Leaving Care Team,,Individual (Non Business),,
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,18/04/2023,759,1863,726.84,Leaving & After Care,,Sole Trader,,
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,REDACTED,18/04/2023,1037,1922,"1,000.00",Fostering Allowances,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,18/04/2023,397,2054,"4,773.64",East OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,18/04/2023,909,2055,505.8,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,18/04/2023,834,2057,646.88,Central OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,18/04/2023,397,2366,"4,513.52",East OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,18/04/2023,909,2447,505.8,East Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,18/04/2023,909,2448,505.8,East Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,18/04/2023,909,2449,505.8,East Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,18/04/2023,909,2450,505.8,East Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,18/04/2023,909,2451,505.8,East Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,18/04/2023,909,2454,505.8,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,18/04/2023,909,2455,505.8,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,18/04/2023,397,2456,511.46,East OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,18/04/2023,909,2457,505.8,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,18/04/2023,397,2458,"4,432.67",East OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,813,2493,"1,034.06",Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,813,2494,"1,007.05",Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,813,2495,987.33,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,813,2496,"1,291.31",Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,813,2497,815.32,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,813,2498,748.39,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,813,2500,"1,005.49",Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,813,2511,654.75,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,813,2512,907.73,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,813,2515,942.35,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,18/04/2023,808,2517,990.82,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST,18/04/2023,867,2521,549.23,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,GRIFFE FIELD PRIMARY SCHOOL,18/04/2023,870,2526,588.08,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,GRIFFE FIELD PRIMARY SCHOOL,18/04/2023,870,2527,660.1,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,GRIFFE FIELD PRIMARY SCHOOL,18/04/2023,870,2529,695.31,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,GRIFFE FIELD PRIMARY SCHOOL,18/04/2023,870,2537,534.89,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,GRIFFE FIELD PRIMARY SCHOOL,18/04/2023,870,2539,712.99,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,GRIFFE FIELD PRIMARY SCHOOL,18/04/2023,870,2540,955.76,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,GRIFFE FIELD PRIMARY SCHOOL,18/04/2023,870,2541,"1,038.11",Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,GRIFFE FIELD PRIMARY SCHOOL,18/04/2023,870,2545,892.69,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,WYNDHAM PRIMARY ACADEMY,18/04/2023,526,2547,515.02,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,WYNDHAM PRIMARY ACADEMY,18/04/2023,526,2551,947.55,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ANTHEM SCHOOLS TRUST,18/04/2023,1027,2553,947.59,High Needs Contingency,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ANTHEM SCHOOLS TRUST,18/04/2023,1027,2554,968.43,High Needs Contingency,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ANTHEM SCHOOLS TRUST,18/04/2023,1027,2557,983.77,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ANTHEM SCHOOLS TRUST,18/04/2023,1027,2558,983.77,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ANTHEM SCHOOLS TRUST,18/04/2023,1027,2559,983.77,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ANTHEM SCHOOLS TRUST,18/04/2023,1027,2560,"1,102.25",Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ANTHEM SCHOOLS TRUST,18/04/2023,1027,2561,947.55,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ANTHEM SCHOOLS TRUST,18/04/2023,1027,2567,947.55,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ANTHEM SCHOOLS TRUST,18/04/2023,1027,2568,965.12,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ANTHEM SCHOOLS TRUST,18/04/2023,1027,2571,947.55,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,BISHOP LONSDALE CE AIDED PRIMARY SCHOOL AND NURSERY,18/04/2023,413,2574,983.8,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST DE24 9BB (INTERFACE),18/04/2023,1103,2579,947.59,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST DE24 9BB (INTERFACE),18/04/2023,1103,2580,735.87,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST DE24 9BB (INTERFACE),18/04/2023,1103,2583,630.02,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST DE24 9BB (INTERFACE),18/04/2023,1103,2585,923,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST DE24 9BB (INTERFACE),18/04/2023,1103,2587,983.77,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,FIRS PRIMARY SCHOOL,18/04/2023,795,2589,"1,005.53",High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,FIRS PRIMARY SCHOOL,18/04/2023,795,2591,"1,122.20",High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,FIRS PRIMARY SCHOOL,18/04/2023,795,2593,983.77,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,FIRS PRIMARY SCHOOL,18/04/2023,795,2594,"2,088.54",Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,AKAAL ACADEMY TRUST DERBY LTD,18/04/2023,720,2597,691.86,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,AKAAL ACADEMY TRUST DERBY LTD,18/04/2023,720,2598,802.21,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,AKAAL ACADEMY TRUST DERBY LTD,18/04/2023,720,2601,787.06,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,AKAAL ACADEMY TRUST DERBY LTD,18/04/2023,720,2603,899.97,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ONE ACADEMY TRUST DERWENT PRIMARY SCHOOL,18/04/2023,1032,2605,635.14,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,PEAR TREE JUNIOR SCHOOL,18/04/2023,757,2607,983.8,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,PEAR TREE JUNIOR SCHOOL,18/04/2023,757,2609,570.92,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,BREADSALL HILLTOP PRIMARY SCHOOL,18/04/2023,778,2611,"1,194.51",High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,BREADSALL HILLTOP PRIMARY SCHOOL,18/04/2023,778,2613,"1,463.80",Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. REIGATE PARK PRIMARY ACADEMY,18/04/2023,815,2615,"1,090.59",High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. REIGATE PARK PRIMARY ACADEMY,18/04/2023,815,2617,"1,079.71",Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),18/04/2023,866,2620,914.64,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),18/04/2023,866,2621,914.64,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),18/04/2023,866,2622,914.64,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),18/04/2023,866,2623,914.64,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),18/04/2023,866,2624,914.64,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),18/04/2023,866,2625,914.64,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),18/04/2023,866,2626,684.99,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),18/04/2023,866,2639,914.64,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),18/04/2023,866,2642,"1,320.24",Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),18/04/2023,866,2643,"1,673.32",Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ASHWOOD SPENCER ACADEMY (INTERFACE),18/04/2023,866,2644,947.55,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,813,2653,564.94,High Needs Contingency,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,RIDGEWAY INFANT SCHOOL,18/04/2023,560,2657,836.68,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,RIDGEWAY INFANT SCHOOL,18/04/2023,560,2658,776.92,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE SHEFFIELD UTC ACADEMY TRUST,18/04/2023,1031,2660,"2,463.05",High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ARCHWAY LEARNING TRUST ALVASTON MOOR ACADEMY,18/04/2023,802,2662,855.81,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ARCHWAY LEARNING TRUST ALVASTON MOOR ACADEMY,18/04/2023,802,2668,629.98,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ARCHWAY LEARNING TRUST ALVASTON MOOR ACADEMY,18/04/2023,802,2671,947.55,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ARCHWAY LEARNING TRUST ALVASTON MOOR ACADEMY,18/04/2023,802,2674,739.18,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD.,18/04/2023,814,2690,588.05,High Needs Contingency,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,WEST PARK SCHOOL,18/04/2023,409,2692,657.84,High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,WALTER EVANS CE PRIMARY,18/04/2023,708,2696,"1,174.27",High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,WALTER EVANS CE PRIMARY,18/04/2023,708,2698,"1,099.02",High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,WALTER EVANS CE PRIMARY,18/04/2023,708,2700,"1,174.20",High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST BEAUFORT PRIMARY SCHOOL,18/04/2023,882,2702,658.95,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST BEAUFORT PRIMARY SCHOOL,18/04/2023,882,2706,639.93,Element 3 Funding,,SME,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CHADDESDEN PARK PRIMARY SCHOOL,18/04/2023,821,2729,"1,444.67",High Needs Contingency,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CHADDESDEN PARK PRIMARY SCHOOL,18/04/2023,821,2731,703,Element 3 Funding,,Public/Government Agency,,
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CHADDESDEN PARK PRIMARY SCHOOL,18/04/2023,821,2732,976.63,Element 3 Funding,,Public/Government Agency,,
