,,,,,,,,,,
Organisation name,Organisation Code,Directorate,Service Category label,Service Category code,Supplier name,Payment date,Transaction number,Net Amount,Purpose of spend,Procurement category name
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,ALYSON HOUSE RCH LTD,03/12/2024,12075997,"14,168.92",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1671,ALYSON HOUSE RCH LTD,03/12/2024,12075997,"10,827.20",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,AMA GENERIC LTD,03/12/2024,12075997,"8,170.56",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1079,AMA GENERIC LTD,03/12/2024,12075997,"2,723.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1192,AMA GENERIC LTD,03/12/2024,12075997,"2,723.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,AMA GENERIC LTD,03/12/2024,12075997,"2,723.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1386,AMA GENERIC LTD,03/12/2024,12075997,"2,723.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1115,AMA GENERIC LTD,03/12/2024,12075997,"2,723.52",Contractor - Programmed Works,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1266,REDACTED PERSONAL DATA,03/12/2024,12075997,"1,492.68",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,ANCHOR HANOVER GROUP RE ST EDITHS COURT FEES ACCOUNT,03/12/2024,12075997,"19,564.44",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,03/12/2024,12075997,751.24,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,03/12/2024,12075997,598.95,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6505,ANTONY HODARI HOLDINGS LTD CLIENT ACCOUNT T/A ANTONY HODARI SOLICITORS,03/12/2024,12075997,"1,000.00",Insurance Premises,Premises Insurance
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,ARAN HOMES LTD,03/12/2024,12075997,"2,028.16",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1391,ARAN HOMES LTD,03/12/2024,12075997,"16,959.08",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1065,ASHTONLEIGH HOMES LTD T/A ELDERLEY CARE HOME LTD,03/12/2024,12075997,"5,600.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,ASTRAL LODGE LTD,03/12/2024,12075997,"22,155.88",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1076,ASTRAL LODGE LTD,03/12/2024,12075997,"4,857.14",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,ASTRAL LODGE LTD,03/12/2024,12075997,"1,500.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Highways And Transport Services,5124,ATG ACCESS LTD,03/12/2024,12075997,"23,133.50",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,AURORA CARE AND EDUCATION OPCO LIMITED,03/12/2024,12075997,"18,827.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,AUTISM ANGLIA,03/12/2024,12075997,"7,833.56",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,AUTISM ANGLIA,03/12/2024,12075997,"8,525.68",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,AVOCET CARE & SUPPORT LTD,03/12/2024,12075997,"24,198.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1079,AVOCET CARE & SUPPORT LTD,03/12/2024,12075997,"3,014.76",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,AVOCET CARE & SUPPORT LTD,03/12/2024,12075997,"7,371.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,AVONDALE CARE HOME LTD,03/12/2024,12075997,"33,291.30",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1266,REDACTED PERSONAL DATA,03/12/2024,12075997,"2,398.16",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1266,REDACTED PERSONAL DATA,03/12/2024,12075997,"3,343.84",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,BIFFINS RESIDENTIAL HOME,03/12/2024,12075997,"24,434.95",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1611,BLACK SWAN INTERNATIONAL LTD,03/12/2024,12075997,"4,336.68",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1065,BOSCOMBE LODGE NURSING HOME,03/12/2024,12075997,"15,067.48",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1068,BOSCOMBE LODGE NURSING HOME,03/12/2024,12075997,"2,938.80",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,BOSCOMBE LODGE NURSING HOME,03/12/2024,12075997,"6,926.80",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,BOSCOMBE LODGE NURSING HOME,03/12/2024,12075997,"3,262.48",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1185,BOSCOMBE LODGE NURSING HOME,03/12/2024,12075997,"6,713.56",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,BRAEMAR LODGE,03/12/2024,12075997,"8,424.20",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1079,BRAEMAR LODGE,03/12/2024,12075997,"2,723.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1641,BRAEMAR LODGE,03/12/2024,12075997,"4,400.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1115,BRAEMAR LODGE,03/12/2024,12075997,"6,323.52",Contractor - Programmed Works,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,BRAMBLES CARE HOME LIMITED,03/12/2024,12075997,"20,196.94",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1076,BRAMBLES CARE HOME LIMITED,03/12/2024,12075997,"6,971.43",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1380,BRAMLEY HEALTH LTD RE FOREST LODGE CARE HOME,03/12/2024,12075997,"5,249.76",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1386,BRAMLEY HEALTH LTD RE FOREST LODGE CARE HOME,03/12/2024,12075997,"-7,689.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1640,BRAMLEY HEALTH LTD RE FOREST LODGE CARE HOME,03/12/2024,12075997,"5,195.12",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1065,BROOKLANDS CARE HOME LTD,03/12/2024,12075997,"17,545.12",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1068,BROOKLANDS CARE HOME LTD,03/12/2024,12075997,"3,845.24",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,BROOKLANDS CARE HOME LTD,03/12/2024,12075997,"6,052.78",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1076,BROOKLANDS CARE HOME LTD,03/12/2024,12075997,"2,900.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,BROOKLANDS CARE HOME LTD,03/12/2024,12075997,"22,634.14",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1192,BROOKLANDS CARE HOME LTD,03/12/2024,12075997,"4,400.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1115,BROOKLANDS CARE HOME LTD,03/12/2024,12075997,"5,923.52",Contractor - Programmed Works,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,BROOKVALE,03/12/2024,12075997,"2,869.40",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,BUPA CARE HOMES (CFHCARE) LTD,03/12/2024,12075997,"3,094.12",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,CABLE TEST LTD,03/12/2024,12075997,880.50,Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,CABLE TEST LTD,03/12/2024,12075997,"2,887.67",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,CABLE TEST LTD,03/12/2024,12075997,"4,535.54",Contractors General,Contractors General
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Highways And Transport Services,5170,CABLE TEST LTD,03/12/2024,12075997,"1,599.93",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,REDACTED PERSONAL DATA,03/12/2024,12075997,751.00,Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,CANARY HOUSE CARE LIMITED,03/12/2024,12075997,"1,600.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,CANARY HOUSE CARE LIMITED,03/12/2024,12075997,750.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3307,CANARY HOUSE CARE LIMITED,03/12/2024,12075997,"2,195.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3308,CANARY HOUSE CARE LIMITED,03/12/2024,12075997,"1,400.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3791,CANARY HOUSE CARE LIMITED,03/12/2024,12075997,800.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1065,CANARYFORD LTD T/A PARKLANDS NURSING HOME,03/12/2024,12075997,"9,360.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,CANARYFORD LTD T/A PARKLANDS NURSING HOME,03/12/2024,12075997,"3,200.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,CANARYFORD LTD T/A PARKLANDS NURSING HOME,03/12/2024,12075997,"7,428.78",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1260,CARE IN STYLE T/AS LIGHTHOUSE,03/12/2024,12075997,"53,853.45",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,CARE UK COMMUNITY PARTNERSHIPS LTD,03/12/2024,12075997,"6,396.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,03/12/2024,12075997,932.00,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,CATHERINE MILLER HOUSE LTD,03/12/2024,12075997,"7,325.88",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1266,REDACTED PERSONAL DATA,03/12/2024,12075997,"1,492.68",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,CHIGWELL HOMES LIMITED T/A MERRIE LOOTS FARM RESIDENTIAL HOME,03/12/2024,12075997,"2,900.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1391,CHOICE SUPPORT,03/12/2024,12075997,"11,617.04",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1644,CHOICE SUPPORT,03/12/2024,12075997,"16,539.75",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1070,CHURCHGATE HEALTHCARE LTD T/AS CEDARS CARE CENTRE,03/12/2024,12075997,"25,389.64",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1083,CHURCHGATE HEALTHCARE LTD T/AS CEDARS CARE CENTRE,03/12/2024,12075997,"18,144.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1641,CHURCHGATE HEALTHCARE LTD T/AS CEDARS CARE CENTRE,03/12/2024,12075997,"4,173.04",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,03/12/2024,12075997,851.24,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1065,COASTAL REST CARE LTD,03/12/2024,12075997,"4,976.32",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1380,COASTAL REST CARE LTD,03/12/2024,12075997,"3,009.64",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,COBHAM SUPPORTED LIVING LIMITED,03/12/2024,12075997,"6,689.04",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1391,COBHAM SUPPORTED LIVING LIMITED,03/12/2024,12075997,"6,860.80",Private Contractors,Other Agencies
