Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Voluntary Associations,05/04/2023,5761644,"22,500.00",Streets of Growth
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Voluntary Associations,17/04/2023,5764778,"3,750.00",Volunteer Centre Tower Hamlets
Chief Executive�s Office,Planning Services,Community Development,Match Funding Schemes,Third Party Payments - Voluntary Associations,28/04/2023,5772166,"4,995.00",The Consultation Institute
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,03/04/2023,5759329,776.00,Tutaev Design
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,05/04/2023,5761598,480.00,Broadway Publishing Limited t/a Printloft
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,05/04/2023,5761601,325.00,Broadway Publishing Limited t/a Printloft
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,05/04/2023,5763332,275.00,Visual Print and Design
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,17/04/2023,5763976,390.00,Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,17/04/2023,5763977,280.00,Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,17/04/2023,5763978,"1,880.00",Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,17/04/2023,5763980,990.00,Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,17/04/2023,5763981,282.00,Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,19/04/2023,5766619,"2,052.00",Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,19/04/2023,5766620,600.00,Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,19/04/2023,5766621,"3,975.00",Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,19/04/2023,5766715,780.00,Medialink World LTD
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5767188,465.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5767189,935.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5767190,630.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5767191,630.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5767192,280.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5767193,425.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5767194,260.80,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5767195,350.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5767196,355.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5767197,355.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5767530,"1,398.00",Cubiquity Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,17/04/2023,5767745,282.00,Billboard Posters T/A Augustus Martin
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5770007,576.00,Tutaev Design
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5770008,365.00,Tutaev Design
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,12/04/2023,5770291,986.49,Collector Set Printers Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/04/2023,5770342,"1,088.00",Broadway Publishing Limited t/a Printloft
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,28/04/2023,5770846,951.25,Cubiquity Ltd
Children & Culture,Cultural and Related Services,Recreation & Sport,In Sourcing Leisure Services,Services - Professional Fees - Consultants Fees,17/04/2023,5774830,"10,128.00",BLAKE MORGAN LLP
Children & Culture,Cultural and Related Services,Recreation & Sport,In Sourcing Leisure Services,Services - Professional Fees - Consultants Fees,17/04/2023,5774831,"6,098.00",BLAKE MORGAN LLP
Children & Culture,Cultural and Related Services,Recreation & Sport,Recreational Services Central,Staff Advertising,14/04/2023,5764754,"2,833.33",Osborne Thomas Ltd
Children & Culture,Cultural and Related Services,Recreation & Sport,Recreational Services Central,Staff Advertising,28/04/2023,5766708,"2,835.00",Osborne Thomas Ltd
Children & Culture,Cultural and Related Services,Recreation & Sport,Recreational Services Central,Staff Advertising,28/04/2023,5766709,"2,833.33",Osborne Thomas Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Parks & Open Spaces Man&Admin,Repairs and Maintenance - Responsive - Drainage & Sewers,12/04/2023,5764710,"1,450.00",J&L Coster (Drainage) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Parks & Open Spaces Man&Admin,Repairs and Maintenance - Responsive - Drainage & Sewers,17/04/2023,5764711,"20,610.00",J&L Coster (Drainage) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Parks & Open Spaces Man&Admin,Repairs and Maintenance - Responsive - Drainage & Sewers,26/04/2023,5769840,"1,280.00",J&L Coster (Drainage) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Parks & Open Spaces Man&Admin,Repairs and Maintenance - Responsive - Repair & Maintenance,05/04/2023,5761536,"25,284.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Parks & Open Spaces Man&Admin,Repairs and Maintenance - Responsive - Repair & Maintenance,05/04/2023,5761782,"1,030.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Parks & Open Spaces Man&Admin,Services - Professional Fees - Environmental Services Fees,05/04/2023,5761539,"4,118.00",Keep Britain Tidy
Children & Culture,Cultural and Related Services,Open Spaces,Parks & Open Spaces Man&Admin,Payments to Private Contractors - Private Contractor,05/04/2023,5770822,"1,378.68",The Bromley by Bow Centre
Children & Culture,Cultural and Related Services,Open Spaces,Parks & Open Spaces Man&Admin,Payments to Private Contractors - Sports Club Support,24/04/2023,5769374,830.00,The Great Outdoor Gym Company
Children & Culture,Cultural and Related Services,Recreation & Sport,St.Georges Baths,Repairs and Maintenance - Responsive - Repair & Maintenance,24/04/2023,5767136,"9,800.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Recreation & Sport,Sports Development,Recreational Activities,03/04/2023,5759552,"3,600.00",Our Parks Ltd
Children & Culture,Cultural and Related Services,Recreation & Sport,Sports Development,Recreational Activities,05/04/2023,5761059,320.00,Disability Sports Coach Ltd.
Children & Culture,Cultural and Related Services,Recreation & Sport,Sports Development,Recreational Activities,05/04/2023,5761535,470.00,Newitt & Co Ltd
Children & Culture,Cultural and Related Services,Recreation & Sport,Sports Development,Recreational Activities,17/04/2023,5763942,400.00,Rehan Jamil Photography
Children & Culture,Cultural and Related Services,Recreation & Sport,Sports Development,Recreational Activities,17/04/2023,5763942,400.00,Rehan Jamil Photography
Children & Culture,Cultural and Related Services,Recreation & Sport,Sports Development,Recreational Activities,14/04/2023,5766746,"1,500.00",Leaders in Community
Children & Culture,Cultural and Related Services,Recreation & Sport,Sports Development,Recreational Activities,12/04/2023,5769934,600.00,Tower Hamlets Cycling Club
Children & Culture,Cultural and Related Services,Recreation & Sport,Sports Development,Recreational Activities,28/04/2023,5770401,315.00,KEALYS MINDFUL LIFESTYLES
Children & Culture,Cultural and Related Services,Recreation & Sport,Sports Development,Recreational Activities,28/04/2023,5770402,560.00,KEALYS MINDFUL LIFESTYLES
Children & Culture,Cultural and Related Services,Recreation & Sport,Sports Development,Recreational Activities,26/04/2023,5773691,714.00,Tower Hamlets Cycling Club
Children & Culture,Cultural and Related Services,Recreation & Sport,Sports Development,Recreational Activities,19/04/2023,5774308,"4,495.00",NEWARK YOUTH LONDON
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Repairs and Maintenance - Responsive - Play Equipment Maintenance,26/04/2023,5769936,976.46,Landscape Supply Company
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Repairs and Maintenance - Responsive - Play Equipment Maintenance,26/04/2023,5769937,530.70,Landscape Supply Company
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Repairs and Maintenance - Responsive - Play Equipment Maintenance,28/04/2023,5770982,344.38,Landscape Supply Company
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Repairs and Maintenance - Responsive - Repair & Maintenance,03/04/2023,5759520,"5,240.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Repairs and Maintenance - Responsive - Repair & Maintenance,24/04/2023,5767134,"6,900.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Repairs and Maintenance - Responsive - Repair & Maintenance,21/04/2023,5767157,"1,900.00",Origin Amenity solutions Ltd (Rigby Taylor Ltd)
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Repairs and Maintenance - Responsive - Repair & Maintenance,26/04/2023,5770260,"5,825.70",Origin Amenity solutions Ltd (Rigby Taylor Ltd)
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Repairs and Maintenance - Responsive - Water Features,24/04/2023,5767503,"11,560.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Electricity,17/04/2023,5775477,304.80,EDF Energy Customer Field Services
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Electricity,17/04/2023,5775479,304.80,EDF Energy Customer Field Services
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Tools and Equipment - Purchase,26/04/2023,5770294,976.11,Groundsman Tools Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Tools and Equipment - Purchase,26/04/2023,5770295,921.23,Groundsman Tools Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Events & Exhibitions,03/04/2023,5759514,"3,660.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Events & Exhibitions,03/04/2023,5759515,"6,260.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Events & Exhibitions,03/04/2023,5759516,"8,480.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Events & Exhibitions,03/04/2023,5759517,"4,120.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Events & Exhibitions,19/04/2023,5766711,"4,100.00",JOSH JENNER LTD
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Events & Exhibitions,12/04/2023,5773694,335.86,ESPO
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Services - Professional Fees - Security Fees,05/04/2023,5761349,"3,360.00",MPD FM Limited
Children & Culture,Cultural and Related Services,Open Spaces,Victoria Park,Services - Professional Fees - Security Fees,26/04/2023,5769789,"3,750.00",MPD FM Limited
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Repairs and Maintenance - Responsive - Drainage & Sewers,12/04/2023,5764708,"1,440.00",J&L Coster (Drainage) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Repairs and Maintenance - Responsive - Drainage & Sewers,17/04/2023,5764712,"8,910.00",J&L Coster (Drainage) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Repairs and Maintenance - Responsive - Drainage & Sewers,19/04/2023,5766667,"6,850.00",J&L Coster (Drainage) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Repairs and Maintenance - Responsive - Drainage & Sewers,26/04/2023,5769839,"5,360.00",J&L Coster (Drainage) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Repairs and Maintenance - Responsive - General,17/04/2023,5763934,"6,520.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Repairs and Maintenance - Responsive - General,17/04/2023,5764627,"1,860.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Repairs and Maintenance - Responsive - General,19/04/2023,5766559,"4,000.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Repairs and Maintenance - Responsive - Horticultural Maintenance,05/04/2023,5769735,619.45,Origin Amenity solutions Ltd (Rigby Taylor Ltd)
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Repairs and Maintenance - Responsive - Repair & Maintenance,05/04/2023,5760817,"2,105.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Repairs and Maintenance - Responsive - Repair & Maintenance,05/04/2023,5760818,"9,260.00",JC Coster (Metalworks) Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Events & Exhibitions,05/04/2023,5771817,357.50,Amethyst Horticulture Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Services - Professional Fees - Security Fees,17/04/2023,5765673,304.20,A P SECURITY (APS) LTD
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Services - Professional Fees - Security Fees,17/04/2023,5765674,253.50,A P SECURITY (APS) LTD
Children & Culture,Cultural and Related Services,Open Spaces,Mile End Park,Services - Professional Fees - Security Fees,24/04/2023,5767740,270.40,A P SECURITY (APS) LTD
Children & Culture,Cultural and Related Services,Open Spaces,Stepney Green,Services - Professional Fees - Security Fees,05/04/2023,5769770,"4,002.65",MPD FM Limited
Children & Culture,Cultural and Related Services,Open Spaces,Stepney Green,Services - Professional Fees - Security Fees,26/04/2023,5769787,"3,973.75",MPD FM Limited
Children & Culture,Cultural and Related Services,Culture & Heritage,Filming,Events & Exhibitions,12/04/2023,5761806,"16,289.55",Strictly Tables and Chairs Ltd
Children & Culture,Cultural and Related Services,Culture & Heritage,Filming,Events & Exhibitions,05/04/2023,5762844,"3,403.50","Clarity in Sound, Light & Vision Ltd"
Children & Culture,Cultural and Related Services,Culture & Heritage,Filming,Events & Exhibitions,12/04/2023,5763619,"2,000.00",RAINBOW FILM SOCIETY
Children & Culture,Cultural and Related Services,Culture & Heritage,Filming,Events & Exhibitions,21/04/2023,5767249,"3,403.50","Clarity in Sound, Light & Vision Ltd"
Children & Culture,Cultural and Related Services,Culture & Heritage,Brady Arts Centre,Training Expenses - Staff External Training (UK Based),19/04/2023,5766721,520.00,Pulse First Aid Ltd
Children & Culture,Cultural and Related Services,Open Spaces,Parks Projects,Events & Exhibitions,26/04/2023,5769884,450.00,MOUNTAIN EVENTS AND MAINTENANCE LTD
Children & Culture,Cultural and Related Services,Culture & Heritage,Arts-Park Events,Events & Exhibitions,05/04/2023,5761385,"4,000.00",A Team Arts Education C.I.C
Children & Culture,Cultural and Related Services,Culture & Heritage,Arts-Park Events,Events & Exhibitions,21/04/2023,5767124,800.00,Half Moon Young People's Theatre
Children & Culture,No Service Specified,No Division Specified,Culture - CAP,Other External Fees - Project Management Fees,12/04/2023,5763781,"2,250.00",THREEDAY GROUP LTD
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,05/04/2023,5760815,"24,965.00",JC Coster (Metalworks) Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,05/04/2023,5760816,"15,264.00",JC Coster (Metalworks) Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,05/04/2023,5760902,"4,350.00",Comfort Zone
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,03/04/2023,5761400,"2,750.00",Lubbe & Sons (Bulbs) Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,17/04/2023,5763931,480.00,JC Coster (Metalworks) Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,17/04/2023,5763936,"11,640.00",JC Coster (Metalworks) Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,17/04/2023,5764626,"13,680.00",JC Coster (Metalworks) Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,17/04/2023,5764628,850.00,JC Coster (Metalworks) Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,24/04/2023,5767502,"14,750.00",JC Coster (Metalworks) Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,24/04/2023,5767550,"22,100.00",Natural Elements UK Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,26/04/2023,5770255,"10,100.00",JC Coster (Metalworks) Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,28/04/2023,5770284,"6,456.60",M&L Sign Makers Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,12/04/2023,5772303,"3,073.67",Martin Arnold LTD
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,26/04/2023,5776678,440.00,Broxap Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Other Capital Payments - Other capital costs,12/04/2023,5772294,"34,900.00",CIA Fire & Security Limited
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Internal Staff Recharges - Other Internal Fees,14/04/2023,5763228,"1,711.80",Bevan Brittan LLP Client Account
Children & Culture,Education Services,Management and Support Services,Learning & Achievm't M&A GF,Training Expenses - Staff Internal Training,24/04/2023,5770956,"1,975.00",Know Wonder Ltd
Children & Culture,Education Services,Early Years,EYS Mangt & Admin GF,Services - Professional Fees - Consultants Fees,26/04/2023,5770842,"1,750.00",SFP Property
Children & Culture,Education Services,Early Years,3&4 Year old PVI�s,Third Party Payments - Voluntary Associations,14/04/2023,5774391,"6,660.00",ABERTOTS PLAY
Children & Culture,Education Services,Early Years,3&4 Year old PVI�s,Third Party Payments - Voluntary Associations,14/04/2023,5774392,"3,330.00",Allen Gardens Playgroup
