Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274368,1511.16,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274371,2816,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274375,5843.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274378,985.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274381,8870.4,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274383,3942.4,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274385,4276.8,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274388,3660.8,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274389,5438.4,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274391,4963.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274393,8377.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274395,1511.16,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274397,5280,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274400,2059.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274423,6652.8,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274424,9363.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274426,4576,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274429,7251.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274433,10348.8,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274434,5104,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274435,543.04,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274437,8377.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274438,9363.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274442,5033.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274443,5843.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274446,1187.92,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274449,7392,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274451,6688,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274453,1511.16,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274456,5843.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274457,985.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274458,8870.4,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274460,3942.4,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274461,4276.8,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274463,3660.8,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274465,844.8,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274468,5104,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274469,4963.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274473,8377.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274475,1511.16,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274478,5280,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274480,2059.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274495,6652.8,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274496,9363.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274505,4576,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274506,7251.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274509,8377.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274513,9363.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274515,5033.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274517,7392,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274518,6688,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274520,1511.16,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274526,5843.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274527,985.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274528,8870.4,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274529,3942.4,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274531,3660.8,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274532,844.8,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274535,4382.4,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274536,4963.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274538,8377.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274539,1511.16,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274540,5280,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274541,2059.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274543,6652.8,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274545,9363.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274548,4576,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274549,7251.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274551,543.04,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274552,5843.2,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Health Authorities,30.04.2014,2210274556,1187.92,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,15.04.2014,2210203570,750,R,ALL CARE (GB) LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,10.04.2014,2210199589,654.72,R,APEX CARE (WINCHESTER)
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,04.04.2014,2210192658,629.22,R,BASING CARE LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,14.04.2014,2210203002,6082.54,R,CARE OPPORTUNITIES LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,17.04.2014,2210209858,507.64,R,GLYN (DOMICILIARY) LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,16.04.2014,2210206998,840,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,16.04.2014,2210207008,840,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,16.04.2014,2210207014,900,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,16.04.2014,2210207032,900,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,17.04.2014,2210209714,580.8,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,17.04.2014,2210209737,1200,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,17.04.2014,2210210615,3750.88,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,17.04.2014,2210210624,3660,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,17.04.2014,2210210662,510,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,22.04.2014,2210211383,4080,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,24.04.2014,2210217806,510,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,30.04.2014,2210229056,585,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,24.04.2014,2210217874,3400,R,LOGA CARE LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,03.04.2014,2210188288,1039.8,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,03.04.2014,2210188389,1238.1,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,03.04.2014,2210189527,891.3,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,03.04.2014,2210188456,816,R,SOMERSET CARE LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,03.04.2014,2210188718,536,R,SOMERSET CARE LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,03.04.2014,2210188724,952,R,SOMERSET CARE LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,03.04.2014,2210188917,518.5,R,SOMERSET CARE LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,04.04.2014,2210192937,875.5,R,SOMERSET CARE LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,28.04.2014,2210222420,536,R,SOMERSET CARE LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,02.04.2014,2210186651,670.5,R,THE REGARD PARTNERSHIP-LATYMER
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,02.04.2014,2210186660,931.71,R,THE REGARD PARTNERSHIP-LATYMER
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,02.04.2014,2210186670,1706.88,R,THE REGARD PARTNERSHIP-LATYMER
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,02.04.2014,2210187724,2016,R,VOYAGE (DCA) SOUTH
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,02.04.2014,2210187724,560,R,VOYAGE (DCA) SOUTH
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,02.04.2014,2210187743,3864,R,VOYAGE (DCA) SOUTH
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Private Contractors,02.04.2014,2210187743,560,R,VOYAGE (DCA) SOUTH
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,03.04.2014,2210188848,1080.8,R,DIMENSIONS (NSO) LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,03.04.2014,2210188870,1080.8,R,DIMENSIONS (NSO) LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,23.04.2014,2210214819,1995.25,R,DIMENSIONS (NSO) LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,24.04.2014,2210215933,744.49,R,DIMENSIONS (NSO) LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,24.04.2014,2210215938,1876.14,R,DIMENSIONS (NSO) LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,24.04.2014,2210215943,2858.88,R,DIMENSIONS (NSO) LTD
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,03.04.2014,2210188990,1896.56,R,ENHAM
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,23.04.2014,2210214575,955.64,R,FITZROY SUPPORT
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,04.04.2014,2210196033,2922.32,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,28.04.2014,2210222858,612,R,MCCH SOCIETY
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,15.04.2014,2210204419,1003,R,ROOM 29/30  BASEPOINT WINCHESTER
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,10.04.2014,2210198981,580,R,ROYAL MENCAP SOCIETY
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,14.04.2014,2210201970,870,R,ROYAL MENCAP SOCIETY
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,10.04.2014,2210198962,957,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,10.04.2014,2210199010,580,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,10.04.2014,2210199018,580,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,14.04.2014,2210201959,2233,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,14.04.2014,2210201976,580,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,14.04.2014,2210201980,841,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,14.04.2014,2210202289,754,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,15.04.2014,2210204135,2146,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Bas,Payments to Voluntary bodies,25.04.2014,2210219361,580,R,ROYAL MENCAP SOCIETY (FAREHAM)
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Client Contributions - Non Resident,11.04.2014,3110505450,777.61,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Client Contributions - Non Resident,24.04.2014,3110506274,1620.62,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,02.04.2014,2210185253,8552.88,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,02.04.2014,2210187728,21857.36,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,02.04.2014,2210187745,5829.19,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,03.04.2014,2210189046,39098.88,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,03.04.2014,2210191680,8552.88,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,03.04.2014,2210191748,4276.44,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,03.04.2014,2210191766,8552.88,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,03.04.2014,2210192027,1203.44,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,03.04.2014,2210192040,4648,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,03.04.2014,2210192067,3610.32,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,11.04.2014,2210199962,11392.69,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,11.04.2014,2210199962,893.64,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,14.04.2014,2210203194,1883.28,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,14.04.2014,2210203194,4247,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203512,4061,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203512,1564.08,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203514,1691.76,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203514,5053,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203517,2138.64,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203517,5611,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203522,4309,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203522,3511.2,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203528,5490.24,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203528,1860,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203760,5378.4,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203799,3503,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203799,2234.4,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203818,1385.6,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203820,2234.4,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203820,3286,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203831,3351.6,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203831,1643,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203834,12422.04,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203838,12422.04,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203839,893.76,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203849,12422.04,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203857,13440.24,R,HAMPSHIRE PARTNERSHIP NHS TRUST
Hampshire County Council,ADULT SERVICES,LD-Domiciliary Care-Eastleigh& Test Vall,Payments to Health Authorities,15.04.2014,2210203889,5710.4,R,HAMPSHIRE PARTNERSHIP NHS TRUST
