Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,ADULT SERVICES,LD Day Services-Havant,Contract Cleaning,17.04.2014,3400135270,862.79,R,HAYWARD SERVICES LTD
Hampshire County Council,ADULT SERVICES,LD Day Services-Havant,Contract Cleaning,17.04.2014,3400135270,862.79,R,HAYWARD SERVICES LTD
Hampshire County Council,ADULT SERVICES,LD Day Services-Havant,Contract Cleaning,17.04.2014,3400135270,862.79,R,HAYWARD SERVICES LTD
Hampshire County Council,ADULT SERVICES,LD Day Services-Romsy & Watersde-Non Del,Day To Day Maint - General,28.04.2014,3400135401,2268.19,R,SSE CONTRACTING LTD
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Client Contributions - Non Resident,03.04.2014,3110505158,4702.15,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,29.04.2014,2210224324,755.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,29.04.2014,2210224334,740.48,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,29.04.2014,2210224341,740.48,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,29.04.2014,2210224350,740.48,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,29.04.2014,2210224360,755.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,29.04.2014,2210224367,755.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,30.04.2014,2210226909,3363.36,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,30.04.2014,2210226919,3363.36,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,30.04.2014,2210226929,3363.36,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,30.04.2014,2210273968,4187.6,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,30.04.2014,2210274173,3432,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,30.04.2014,2210274430,3432,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,30.04.2014,2210274508,3432,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,30.04.2014,2210274550,3432,R,LODDON ALLIANCE
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210188239,11088,R,ARK HOME HEALTHCARE LTD
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,28.04.2014,2210222743,11088,R,ARK HOME HEALTHCARE LTD
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,25.04.2014,2210220441,2741.96,R,IN CHORUS DOMICILIARY CARE SERVICES
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,25.04.2014,2210220441,945.52,R,IN CHORUS DOMICILIARY CARE SERVICES
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,16.04.2014,2210207107,530.91,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,17.04.2014,2210209677,1639,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,24.04.2014,2210217846,733.4,R,J&K CARE SPECIALISTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,24.04.2014,2210217704,1251.76,R,LOGA CARE LTD
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210188769,1250.4,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210189060,1311,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210189675,1101.6,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210188340,1453.5,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210188667,986.4,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210188421,1056,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210189351,1088.1,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210188358,1031.4,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210189222,964.8,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,25.04.2014,2210218365,7350,R,PRECIOUS HOMES EAST LONDON
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,01.04.2014,2210178375,1668.38,R,THE REGARD PARTNERSHIP
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,25.04.2014,2210219970,1668.38,R,THE REGARD PARTNERSHIP
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,25.04.2014,2210219986,1668.38,R,THE REGARD PARTNERSHIP
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,28.04.2014,2210221576,1659.82,R,THE REGARD PARTNERSHIP
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210188638,2540.8,R,THE REGARD PARTNERSHIP LIMITED
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Private Contractors,03.04.2014,2210188653,2540.8,R,THE REGARD PARTNERSHIP LIMITED
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,02.04.2014,2210187423,647.92,R,ADVANCE HOUSING & SUPPORT
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,02.04.2014,2210187423,1364,R,ADVANCE HOUSING & SUPPORT
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,02.04.2014,2210187440,647.92,R,ADVANCE HOUSING & SUPPORT
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,02.04.2014,2210187440,1240,R,ADVANCE HOUSING & SUPPORT
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,14.04.2014,2210202326,1267.46,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222047,1226.57,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222053,1267.46,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222056,1226.57,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222066,1267.46,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222071,1267.46,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222076,1226.57,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222079,1267.46,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Voluntary bodies,28.04.2014,2210222080,1226.57,R,BELLS PIECE CHESHIRE HOME
