Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation (MKC only),Service Division Categorisation (MKC only),Expense Type
Milton Keynes City Council,01-Mar-23,51500868698,"£1,509.60","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500868337,"£1,530.00",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500868313,"£1,530.00",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500868422,"£1,530.00",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500868404,"£1,530.00",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500868384,"£1,530.00",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500868415,"£1,530.00",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500868387,"£1,530.00",The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500868728,"£1,545.97",Anglian Water Business (National) Limited,Adult Services,Housing Operations (GF),Water charges
Milton Keynes City Council,01-Mar-23,51500868666,"£1,559.94","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500868664,"£1,563.18","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,01-Mar-23,51500857358,"£1,663.03",Health Management Ltd,Finance & Resources - Services,HR,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500861219,"£1,738.80",Clearwater People Ltd,Environment & Property,Property,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500864462,"£1,761.10",Courtcare Flexi Ltd,Children's Services,Children's Social Work,Day Care
Milton Keynes City Council,01-Mar-23,51500868588,"£1,911.90",PATROL Parking and Traffic Regulations,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,01-Mar-23,51500868364,"£1,938.00",North Northamptonshire Council,Finance & Resources - Services,HR,Professional Fees and Hired Services
