Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation (MKC only),Service Division Categorisation (MKC only),Expense Type
Milton Keynes City Council,27-Mar-23,51500869928,£600.00,SABA Park Services UK Ltd,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500876158,£600.00,Toddler Time,Children's Services,Children's Centres Services,Care & Ed Childcare Settings
Milton Keynes City Council,27-Mar-23,51500871938,£601.44,Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,27-Mar-23,51500871248,£602.48,JCW Energy Services Ltd,Environment & Property,Property,Building Repair and Maintenance
Milton Keynes City Council,27-Mar-23,51500869930,£604.32,SABA Park Services UK Ltd,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500869394,£612.10,Limesquare Vehicle Rental Ltd,Environment & Property,Head of Service - Env and Waste,Vehicle and Plant hire
Milton Keynes City Council,27-Mar-23,51500876242,£618.24,Skyline Taxi & Private Hire,Children's Services,"Access to Education, Employment and Training",Social Care Transport
Milton Keynes City Council,27-Mar-23,51500875317,£620.50,Redacted Personal Data,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500883320,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883282,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883286,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883322,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883635,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883638,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883277,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883631,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883294,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883641,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883328,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883288,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883308,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883310,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883334,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883623,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883285,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883292,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883627,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883633,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883326,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883330,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883276,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883283,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883280,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883295,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883316,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883629,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883625,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883306,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883271,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883270,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883314,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883318,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883324,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883289,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883304,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883291,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883312,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883338,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883336,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883279,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883274,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883273,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883332,£623.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500871554,£627.24,John Gillman & Sons (Electrical) Ltd t/a D.A.D.,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,27-Mar-23,51500871219,£630.00,CaseWare UK Ltd,Finance & Resources - Services,Internal Audit,Computer software - annual licence agreement
Milton Keynes City Council,27-Mar-23,51500869106,£631.93,The Oyster Partnership Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,27-Mar-23,51500874858,£634.19,Arrow Business Communications Ltd,Finance & Resources - Services,ICT,Data Line - Rental
Milton Keynes City Council,27-Mar-23,51500869927,£638.00,Cedar Family Services Ltd,Law & Governance,Legal,Testing
Milton Keynes City Council,27-Mar-23,51500876490,£646.73,Aqua Include Ltd,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500883359,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883353,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883072,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883362,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883347,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883068,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883070,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883074,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883356,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883080,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883371,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883064,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883350,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883365,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883066,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883368,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883078,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883076,£649.64,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883469,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883480,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883478,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883485,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883494,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883455,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883473,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883476,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883464,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883445,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883452,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883434,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883443,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883450,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883466,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883448,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883490,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883459,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883462,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883483,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883438,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883471,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883457,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883492,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883436,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883487,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883441,£649.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500869235,£650.00,ASE Removals,Adult Services,Director - Adult Services,Building Cleaning
Milton Keynes City Council,27-Mar-23,51500875383,£657.48,Chiltern Invadex (UK) Limited,Children's Services,Corporate Parenting,Specialist Servicing and Maintenance
Milton Keynes City Council,27-Mar-23,51500871836,£660.00,C S Cleaning (Milton Keynes) Ltd,Children's Services,Children's Social Work,Building Repair and Maintenance
Milton Keynes City Council,27-Mar-23,51500883507,£664.81,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500871944,£684.00,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,27-Mar-23,51500869502,£686.89,Limesquare Vehicle Rental Ltd,Environment & Property,Head of Service - Env and Waste,Vehicle and Plant hire
Milton Keynes City Council,27-Mar-23,51500883509,£690.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883382,£690.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883513,£690.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883379,£690.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883087,£690.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883520,£690.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883516,£690.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883085,£690.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883518,£690.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883511,£690.40,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500869379,£693.00,Limesquare Vehicle Rental Ltd,Environment & Property,Head of Service - Env and Waste,Vehicle and Plant hire
Milton Keynes City Council,27-Mar-23,51500869264,£698.77,Limesquare Vehicle Rental Ltd,Environment & Property,Head of Service - Env and Waste,Vehicle and Plant hire
Milton Keynes City Council,27-Mar-23,51500871610,£708.00,J P McDougall & Co Ltd t/a Dulux Decorator Centre,Adult Services (HRA),Housing Operations (HRA),Decoration Allowances
Milton Keynes City Council,27-Mar-23,51500881432,£708.94,Hilltops Medical Centre,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500869341,£709.79,Limesquare Vehicle Rental Ltd,Environment & Property,Head of Service - Env and Waste,Vehicle and Plant hire
Milton Keynes City Council,27-Mar-23,51500869372,£709.79,Limesquare Vehicle Rental Ltd,Environment & Property,Head of Service - Env and Waste,Vehicle and Plant hire
Milton Keynes City Council,27-Mar-23,51500869123,£713.17,Limesquare Vehicle Rental Ltd,Environment & Property,Head of Service - Env and Waste,Vehicle and Plant hire
Milton Keynes City Council,27-Mar-23,51500883418,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883394,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883111,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883600,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883581,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883576,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883553,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883115,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883616,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883618,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883558,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883614,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883409,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883424,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883579,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883595,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883565,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883574,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883113,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883400,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883539,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883403,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883093,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883391,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883593,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883602,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883537,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883548,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883415,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883421,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883607,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883609,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883544,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883588,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883562,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883567,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883109,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883406,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883412,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883560,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883569,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883101,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883586,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883397,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883597,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883541,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883105,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883555,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883572,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883546,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883551,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883611,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883097,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883095,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883583,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883604,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883590,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883103,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883107,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883099,£723.32,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500871444,£730.26,Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,27-Mar-23,51500883117,£733.56,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883010,£733.56,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883486,£764.36,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883458,£764.36,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883493,£764.36,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883465,£764.36,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883444,£764.36,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883479,£764.36,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883437,£764.36,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883451,£764.36,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883472,£764.36,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500869119,£778.49,Limesquare Vehicle Rental Ltd,Environment & Property,Head of Service - Env and Waste,Vehicle and Plant hire
Milton Keynes City Council,27-Mar-23,51500871431,£790.80,Zaynah Carpets & Furniture Limited,Finance & Resources - Services,Revenue & Benefits,Furniture
Milton Keynes City Council,27-Mar-23,51500871473,£802.08,National World Publishing Limited,Environment & Property,Head of Service - Highways,Advertising / Publicity (non Recruitment)
Milton Keynes City Council,27-Mar-23,51500874843,£806.40,JBA Management Ltd t/a John Burke Associates,Housing & Regeneration - HRA,New Council Housing,Construction - External Professional Fees
Milton Keynes City Council,27-Mar-23,51500871270,£810.00,Matchtech,Environment & Property,Head of Service - Highways,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500877472,£812.00,360 Play (MK) Limited,Children's Services,Special Education Needs & Disabilities,Rehabilitation And Respite Care
Milton Keynes City Council,27-Mar-23,51500883130,£812.02,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883519,£812.52,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883512,£812.52,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500871288,£822.40,Salisbury House Surgery,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500871470,£837.72,Look Ahead Care and Support Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,27-Mar-23,51500883433,£846.12,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500882954,£850.68,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500882953,£850.68,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883603,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883554,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883610,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883540,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883596,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883547,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883568,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883575,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883582,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883589,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883617,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500883561,£851.44,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500868823,£857.78,National Grid Electricity Distribution (East Midlands) PLC,Housing & Regeneration - HRA,Asset Management,Buildings - Structure
Milton Keynes City Council,27-Mar-23,51500868884,£858.00,Christian Centre t/a Tiny Steps Nursery,Children's Services,Corporate Parenting,Other Service User Support
Milton Keynes City Council,27-Mar-23,51500868582,£860.00,Cornerstone (North East) Adoptuion and Fostering Service,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,27-Mar-23,51500869427,£864.00,The Yaboo Company Limited T/a Wesley Music,Customer and Community Services,Head of Service - Regulatory,Specialist Supplies and Materials
Milton Keynes City Council,27-Mar-23,51500883536,£875.18,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,27-Mar-23,51500871214,£890.40,"G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,27-Mar-23,51500875314,£891.00,Redacted Personal Data,Children's Services,Corporate Parenting,Professional Fees and Hired Services
