﻿Unique ID,Payment Date,Department,Beneficiary,Purpose of expenditure,Amount,VAT,VAT code,Merchant category
27690,2023-04-19,Adults,Thurn Court Residential Care Home,Residential Permanent,1324.8,0.0,,Residential Care
27692,2023-04-19,Adults,FSHC NEWCO LTD T/AS: THE LAWNS,Residential Permanent,2376.0,0.0,,Residential Care
27695,2023-04-19,Adults,Orchard Court Leicester Ltd,Residential Permanent,1904.0,0.0,,Residential Care
27697,2023-04-19,Adults,ORCHARD MANOR VIEW,Residential Permanent,1018.29,0.0,,Residential Care
27722,2023-04-19,Adults,Castle Donington Nusing Home,Residential Permanent,671.0,0.0,,Residential Care
27725,2023-04-19,Adults,Castle Donington Nusing Home,Nursing Permanent,1902.0,0.0,,Nursing Care
27733,2023-04-19,Adults,Five Rivers Living,Residential Permanent,2684.0,0.0,,Residential Care
27736,2023-04-19,Adults,Innova House -CBIR,Residential Permanent,5993.0,0.0,,Residential Care
27747,2023-04-19,Adults,Dignus Healthcare Limited t/as Gilburn,Residential Permanent,22600.0,0.0,,Residential Care
27750,2023-04-19,Adults,Hallaton Manor Ltd,Residential Permanent,958.57,0.0,,Residential Care
27765,2023-04-19,Education & Childrens Services,TeacherActive Limited,Education and Training Services,1069.95,213.99,,Education & Training Services
27773,2023-04-19,Adults,Prime Life Ltd,Residential Permanent,567.0,0.0,,Residential Care
27778,2023-04-19,Adults,Prime Life Plc,Residential Permanent,716.0,0.0,,Residential Care
27781,2023-04-19,Adults,Aarons Unit,Residential Permanent,8998.12,0.0,,Residential Care
27787,2023-04-19,Adults,Prime Life Ltd,Residential Permanent,2172.0,0.0,,Residential Care
27797,2023-04-19,Adults,Sanctuary Care Ltd t/a Asra House,Residential Permanent,612.0,0.0,,Residential Care
27804,2023-04-19,Adults,Ideal Care Homes Ltd T/a Beaumont Hall,Residential Permanent,2013.0,0.0,,Residential Care
27808,2023-04-19,Adults,Prime Life Plc,Residential Permanent,1024.0,0.0,,Residential Care
27813,2023-04-19,Adults,CLARENDON MEWS CARE LIMITED,Residential Permanent,2684.0,0.0,,Residential Care
27866,2023-04-19,Adults,Milligan Court,Residential Permanent,2424.0,0.0,,Residential Care
27879,2023-04-19,Adults,Mymil Ltd T/a Scraptoft Court Care Home,Nursing Permanent,2536.0,0.0,,Nursing Care
27947,2023-04-19,Adults,Heathcotes Care Limited T/A Heathcotes (Carrington Park),Residential Permanent,7454.32,0.0,,Residential Care
27953,2023-04-19,Adults,Prime Life Limited T/As Oval House,Residential Permanent,1449.43,0.0,,Residential Care
27956,2023-04-19,Adults,Prime Life Limited T/As Oval House,Residential Permanent,671.0,0.0,,Residential Care
27968,2023-04-19,Adults,Prime Life Ltd,Residential Permanent,1117.0,0.0,,Residential Care
27988,2023-04-19,Adults,Hamilton House,Residential Permanent,2136.0,0.0,,Residential Care
28003,2023-04-19,Adults,Evington Home - Pilgrims' Friend Society,Residential Permanent,2684.0,0.0,,Residential Care
28004,2023-04-19,Adults,Chestnuts (Arnesby) Ltd,Residential Permanent,14112.0,0.0,,Residential Care
28016,2023-04-19,Adults,Dane View Care Home With Nursing,Residential Respite,671.0,0.0,,Residential Care
28019,2023-04-19,Adults,Castle Donington Nusing Home,Residential Permanent,3496.03,0.0,,Residential Care
28022,2023-04-19,Adults,Autumn Lodge Hove Ltd,Residential Permanent,2680.0,0.0,,Residential Care
28029,2023-04-19,Adults,Stonebridge Nursing Home,Nursing Permanent,5355.76,0.0,,Nursing Care
28039,2023-04-19,Adults,Prime Life Plc,Residential Permanent,3024.0,0.0,,Residential Care
28046,2023-04-19,Adults,Prime Life Ltd,Residential Permanent,1971.0,0.0,,Residential Care
28077,2023-04-19,Adults,Prime Life Plc,Continuing Health Care Contribution - Residential Care,1073.6,0.0,,Continuing Health Care Contribution - Residential Care
28081,2023-04-19,Adults,Prime Life Ltd,Residential Permanent,2628.0,0.0,,Residential Care
28108,2023-04-19,Adults,Prime Life Plc,Residential Permanent,2684.0,0.0,,Residential Care
28117,2023-04-19,Adults,Rushclife Care Ltd T/A Jasmine Court,Nursing Permanent,2096.0,0.0,,Nursing Care
28122,2023-04-19,Adults,Prime Life Limited T/As Oval House,Residential Permanent,534.0,0.0,,Residential Care
28127,2023-04-19,Adults,Prime Life Ltd,Residential Permanent,594.0,0.0,,Residential Care
28131,2023-04-19,Adults,Prime Life Plc,Residential Permanent,756.0,0.0,,Residential Care
28144,2023-04-21,Adults,NDH CARE LTD,Personal Care / Generic,1278.21,0.0,,Home Care
28150,2023-04-21,Adults,NDH CARE LTD,Personal Care / Generic,2390.16,0.0,,Home Care
28152,2023-04-21,Adults,NDH CARE LTD,Personal Care / Generic,606.2,0.0,,Home Care
28178,2023-04-21,Adults,NDH CARE LTD,Personal Care / Generic,1212.4,0.0,,Home Care
28189,2023-04-21,City Developments and Neighbourhood,AT Services Ltd,Responsive,7661.8,1532.36,,Building Works & Repairs/Maintenance/Alterations
28203,2023-04-21,Adults,NDH CARE LTD,Personal Care / Generic,1658.39,0.0,,Home Care
28496,2023-04-25,City Developments and Neighbourhood,Tarmac Ltd,Materials Purchase,1924.25,384.85,,Materials Purchase
28500,2023-04-25,Education & Childrens Services,ESPO,Stationery,554.5,110.9,,Stationery & Office Supplies
28554,2023-04-25,Adults,Social Care Institute for Excellence,Consultants Fees,12000.0,2400.0,,Consultant Fees
28576,2023-04-25,City Developments and Neighbourhood,Edwards & Edwards Consultancy Ltd,Engineering / Research / Technology / Science Services,634.5,126.9,,Engineering / Research / Technology / Science Services
28640,2023-04-25,Education & Childrens Services,Leicester Islamic Academy,Primary Schools Standard Fund,3492.92,0.0,,Primary Schools Standard Fund
28643,2023-04-25,Education & Childrens Services,FreeVA,Direct Payments,39096.39,0.0,,Other Establishments
28673,2023-04-25,City Developments and Neighbourhood,Castle Water Limited,Metered Sewage,865.76,0.0,,Sewage Utilities
28676,2023-04-25,Adults,Care4U (Leicestershire) Ltd,Day Support Hours,968.0,0.0,,Supported Living
28685,2023-04-25,Education & Childrens Services,Leicester BSF Company 1 Ltd,BSF - Unitary Charge,4537.92,907.58,,BSF - Unitary Charge
28686,2023-04-25,Education & Childrens Services,Leicester BSF Company 2 Ltd,BSF - Unitary Charge,3184.67,636.93,,BSF - Unitary Charge
28689,2023-04-25,Adults,Medequip Assistive Technology Ltd,ICES Pre Planned Maintenance,148780.5,29756.1,,Voluntary Organisations
28693,2023-04-25,Public Health Department,Castle Water Limited,Unmetered Sewage,702.4,0.0,,Sewage Utilities
28702,2023-04-25,Adults,Melton Care services,Personal Care / Generic,622.57,0.0,,Home Care
28707,2023-04-25,Adults,Pathfinders Community Support Ltd FA SL&SFB,Day Support Hours,2396.01,0.0,,Supported Living
28717,2023-04-26,City Developments and Neighbourhood,Total Gas & Power Ltd,Gas Bills,1371.83,274.37,,Gas Utilities
28730,2023-04-26,City Developments and Neighbourhood,Total Gas & Power Ltd,Gas Bills,2770.71,554.14,,Gas Utilities
28735,2023-04-26,Education & Childrens Services,Total Gas & Power Ltd,Gas Bills,555.55,111.11,,Gas Utilities
28751,2023-04-26,City Developments and Neighbourhood,Total Gas & Power Ltd,Gas Bills,1335.01,267.0,,Gas Utilities
28753,2023-04-26,City Developments and Neighbourhood,OverDrive,Gift certificates / vouchers / cards,816.5,0.0,,Printed & Electronic Media
28763,2023-04-26,Adults,Adaptus Cares Limited,Personal Care / Generic,576.41,0.0,,Home Care
28770,2023-04-26,Adults,Carers Direct Homecare Ltd,Personal Care / Generic,1136.52,0.0,,Home Care
28778,2023-04-26,Adults,Carers Direct Homecare Ltd,Personal Care / Generic,848.18,0.0,,Home Care
28780,2023-04-26,Adults,Carers Direct Homecare Ltd,Personal Care / Generic,803.98,0.0,,Home Care
28791,2023-04-26,Adults,Carers Direct Homecare Ltd,Personal Care / Generic,572.77,0.0,,Home Care
28799,2023-04-26,Adults,Carers Direct Homecare Ltd,Personal Care / Generic,631.4,0.0,,Home Care
28801,2023-04-26,Adults,Carers Direct Homecare Ltd,Personal Care / Generic,1262.8,0.0,,Home Care
28802,2023-04-26,Adults,Carers Direct Homecare Ltd,Personal Care / Generic,505.12,0.0,,Home Care
28807,2023-04-26,City Developments and Neighbourhood,Lift & Engineering Services Ltd,Responsive,2534.83,506.97,,Building Works & Repairs/Maintenance/Alterations
28815,2023-04-26,Education & Childrens Services,Total Gas & Power Ltd,Gas Bills,661.65,132.33,,Gas Utilities
28832,2023-04-26,City Developments and Neighbourhood,Total Gas & Power Ltd,Gas Bills,2034.43,101.72,,Gas Utilities
28843,2023-04-26,City Developments and Neighbourhood,Total Gas & Power Ltd,Gas Bills,1927.24,385.45,,Gas Utilities
28844,2023-04-26,City Developments and Neighbourhood,Total Gas & Power Ltd,Gas Bills,1604.73,80.24,,Gas Utilities
28857,2023-04-26,Adults,Adaptus Cares Limited,Personal Care / Generic,1350.25,0.0,,Home Care
28859,2023-04-26,Adults,Adaptus Cares Limited,Personal Care / Generic,1227.5,0.0,,Home Care
28881,2023-04-26,Adults,Adaptus Cares Limited,Personal Care / Generic,1001.64,0.0,,Home Care
28910,2023-04-26,Adults,Carers Direct Homecare Ltd,Personal Care / Generic,1010.24,0.0,,Home Care
28939,2023-04-26,Adults,Carers Direct Homecare Ltd,Personal Care / Generic,1010.24,0.0,,Home Care
28958,2023-04-26,,NRA Roofing and Flooring Services Ltd,Building Works - Alterations,4774.0,954.8,,Building Works - Alterations
28960,2023-04-26,City Developments and Neighbourhood,ENVA England Ltd,Environmental Services,671.46,134.29,,Environment Related Services
28963,2023-04-26,Adults,Dr Faqir Muhammad,Mental Health Assessors (MHA),560.85,0.0,,Healthcare Services
28975,2023-04-26,City Developments and Neighbourhood,Gowing Law Solicitors t/a Coupland Cavendish Limited,Compensation,500.0,0.0,,Compensation
28982,2023-04-26,,Couch Perry Wilkes Ltd,Consultant Fees,6500.0,1300.0,,Consultant Fees
29180,2023-04-28,City Developments and Neighbourhood,Lowe Electrical,Responsive,3212.38,642.48,,Building Works & Repairs/Maintenance/Alterations
29184,2023-04-28,Adults,Bonney Care Agency Ltd CONTROC TEAM USE ONLY,Personal Care / Generic,952.08,0.0,,Home Care
29194,2023-04-28,Adults,MiLife Homecare,Personal Care / Generic,558.01,0.0,,Home Care
29206,2023-04-28,Adults,MiLife Homecare,Personal Care / Generic,606.62,0.0,,Home Care
29207,2023-04-28,Adults,MiLife Homecare,Personal Care / Generic,501.99,0.0,,Home Care
29222,2023-04-28,Adults,Domiciliary Care Services UK Ltd,Personal Care / Generic,1293.92,0.0,,Home Care
29246,2023-04-28,Adults,Select Care Services Ltd,Personal Care / Generic,1116.36,0.0,,Home Care
29265,2023-04-28,Adults,Select Care Services Ltd,Personal Care / Generic,620.2,0.0,,Home Care
29269,2023-04-28,City Developments and Neighbourhood,Redacted,Asylum Adults,700.0,0.0,,Other Establishments
29273,2023-04-28,City Developments and Neighbourhood,Exterior Lighting Solutions Ltd,Responsive,14897.25,2979.45,,Transport Infrastructure
29286,2023-04-28,,Perfect Circle JV Ltd,Consultant Fees,2456.81,491.36,,Consultant Fees
29304,2023-04-28,City Developments and Neighbourhood,AT Services Ltd,Responsive,6278.92,1255.78,,Building Services / Repairs & Maintenance  Fixtures & Fittings
29318,2023-04-28,,Oliveti Construction Ltd,Building Works - Alterations,10131.0,2026.2,,Building Works - Alterations
29573,2023-05-10,City Developments and Neighbourhood,SEVERN TRENT WATER,Unmetered Sewage,3238.29,0.0,,Sewage Utilities
29577,2023-05-12,Education & Childrens Services,Acclaim Driving,Extra Lessons / Clubs,615.0,0.0,,Other Agencies
29582,2023-05-12,Public Health Department,Harmless CIC,Mental Health,12062.5,0.0,,Community Engagement
29595,2023-05-12,Adults,Redacted,Interim Residential (Delayed Discharges),783.6,0.0,,Residential Care
29602,2023-05-12,Corporate Resources & Support,Redacted,Translation/Interpretation Fees,1925.0,0.0,,Management & Business & Administrative Services
29620,2023-05-12,Adults,The Willow (The Lant),Interim Residential (Delayed Discharges),1252.1,0.0,,Residential Care
29790,2023-05-19,City Developments and Neighbourhood,Twin Employment & Training,Books,8500.0,0.0,,Printed & Electronic Media
29791,2023-05-23,City Developments and Neighbourhood,ACCESS HIRE NATIONWIDE,Hire Vehicles,1542.86,308.57,,Hire Vehicles
29797,2023-05-23,City Developments and Neighbourhood,Redacted,Responsive,711.3,142.26,,Transport Infrastructure
29799,2023-05-23,City Developments and Neighbourhood,Redacted,Catering - Provisions,3115.15,623.03,,Catering Provisions / Food & Drink
29808,2023-05-23,City Developments and Neighbourhood,Redacted,Equipment Hire/Lease,555.0,0.0,,Equipment Hire / Lease
29809,2023-05-23,City Developments and Neighbourhood,Redacted,Newspapers,1247.0,0.0,,Printed & Electronic Media
29814,2023-05-23,Corporate Resources & Support,Redacted,Room & Space Hire & Entertainment Services,650.0,0.0,,Room & Space Hire & Entertainment Services
29821,2023-05-23,Corporate Resources & Support,"St Theodores Church, Rushey Mead",Room & Space Hire & Entertainment Services,500.0,0.0,,Room & Space Hire & Entertainment Services
29826,2023-05-24,Public Health Department,Brenntag,Materials Purchase,1758.4,351.68,,Materials Purchase
29842,2023-05-26,Corporate Resources & Support,Redacted,Printing,1000.0,200.0,,Printing & Copying
29851,2023-05-26,Corporate Resources & Support,Redacted,LCC External Barristers Fees,750.0,150.0,,Legal Fees & Charges
29867,2023-05-30,City Developments and Neighbourhood,Redacted,Asylum Adults,500.0,0.0,,Other Establishments
29881,2023-05-31,Education & Childrens Services,Sense,Education and Training Services,7633.33,0.0,,Education & Training Services
29887,2023-05-02,City Developments and Neighbourhood,AT Services Ltd,Responsive,1341.96,268.39,,Building Services / Repairs & Maintenance  Fixtures & Fittings
29897,2023-05-02,City Developments and Neighbourhood,Tarmac Ltd,Materials Purchase,1159.42,231.88,,Materials Purchase
29910,2023-05-03,City Developments and Neighbourhood,Allroads Asphalt Solutions Ltd,Responsive,5602.16,1120.43,,Transport Infrastructure
29920,2023-05-03,Adults,Amicare Domiciliary Services Ltd,Personal Care / Generic,505.46,0.0,,Home Care
29929,2023-05-03,Adults,Aspire UK,Personal Care / Generic,573.68,0.0,,Home Care
29935,2023-05-03,Adults,Aspire UK,Personal Care / Generic,759.58,0.0,,Home Care
29961,2023-05-03,Adults,Aspire UK,Personal Care / Generic,1251.32,0.0,,Home Care
29980,2023-05-03,Adults,Aspire UK,Personal Care / Generic,759.59,0.0,,Home Care
29986,2023-05-03,Adults,Aspire UK,Personal Care / Generic,1376.2,0.0,,Home Care
29990,2023-05-03,Adults,Aspire UK,Personal Care / Generic,518.35,0.0,,Home Care
29996,2023-05-03,Adults,Aspire UK,Personal Care / Generic,1424.24,0.0,,Home Care
40028,2023-06-14,Adults,Prime Life Ltd,Residential Permanent,2364.0,0.0,,Residential Care
40029,2023-06-14,Adults,Prime Life Ltd,Residential Permanent,777.0,0.0,,Residential Care
40055,2023-06-14,Adults,Prime Life Ltd,Residential Permanent,2972.0,0.0,,Residential Care
40063,2023-06-14,Adults,Prime Life Ltd,Residential Permanent,3496.24,0.0,,Residential Care
40080,2023-06-14,Adults,Prime Life Ltd,Residential Permanent,2684.0,0.0,,Residential Care
40093,2023-06-14,Adults,Prime Life Ltd,Residential Permanent,785.32,0.0,,Residential Care
40107,2023-06-14,Adults,Prime Life Plc,Residential Permanent,1386.36,0.0,,Residential Care
40110,2023-06-14,Adults,Prime Life Plc,Residential Permanent,2684.0,0.0,,Residential Care
40116,2023-06-14,Adults,Prime Life Plc,Residential Permanent,2972.0,0.0,,Residential Care
40124,2023-06-14,Adults,Prime Life Plc,Residential Permanent,2972.0,0.0,,Residential Care
40141,2023-06-14,Adults,Prime Life Plc,Residential Permanent,2364.0,0.0,,Residential Care
40154,2023-06-14,Adults,Prime Life Plc,Residential Permanent,1123.12,0.0,,Residential Care
40155,2023-06-14,Adults,Prime Life Plc,Residential Permanent,785.32,0.0,,Residential Care
40165,2023-06-14,Adults,Prime Life Plc,Residential Permanent,2972.0,0.0,,Residential Care
40194,2023-06-14,Adults,Prime Life Plc,Continuing Health Care Contribution - Residential Care,850.9,0.0,,Continuing Health Care Contribution - Residential Care
40204,2023-06-14,Adults,Prime Life Plc,Residential Permanent,785.32,0.0,,Residential Care
40210,2023-06-14,Adults,Prime Life Plc,Residential Permanent,2364.0,0.0,,Residential Care
40224,2023-06-14,Adults,Prime Life Plc,Residential Permanent,716.0,0.0,,Residential Care
40236,2023-06-14,Adults,Prime Life Plc,Residential Permanent,2972.0,0.0,,Residential Care
40250,2023-06-14,Adults,Rosedale Care Home Ltd,Residential Permanent,2972.0,0.0,,Residential Care
40255,2023-06-14,Adults,Royal Leics Rut & Wycliffe Soc,Residential Permanent,2684.0,0.0,,Residential Care
