Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,619.2,£0.00,Redacted - personal info,221001,Revenue,STC158989
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,03-Jan-23,624,£0.00,Redacted - personal info,213800,Revenue,STC159001
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,627.56,£0.00,Redacted - personal info,221001,Revenue,STC159023
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Social Support for Social Isolation,03-Jan-23,628.96,£0.00,Redacted - personal info,221009,Revenue,STC159025
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,629.64,£0.00,Redacted - personal info,221004,Revenue,STC159027
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Contributions - Fairer Charging,Physical Support,03-Jan-23,633.88,£0.00,Redacted - personal info,221001,Revenue,STC159039
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,03-Jan-23,642,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC159049
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,03-Jan-23,643.2,£0.00,St Annes Community Services,221004,Revenue,STC159050
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Regeneration & Property,03-Jan-23,650.25,£0.00,Phoenix Eye Limited,232810,Revenue,STC159053
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,651.36,£0.00,Redacted - personal info,221004,Revenue,STC159056
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,652.88,£0.00,Redacted - personal info,221004,Revenue,STC159060
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,656.68,£0.00,Redacted - personal info,221004,Revenue,STC159063
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,660,£0.00,Redacted - personal info,221001,Revenue,STC159068
South Tyneside Council,00CL,Economic Regeneration Group,Schools Maintenance Non-Buyback,R&M Non-Buyback,03-Jan-23,662.7,£0.00,S Davison (Electricals) Ltd,232870,Revenue,STC159072
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Mental Health Support,03-Jan-23,668.36,£0.00,Redacted - personal info,221005,Revenue,STC159120
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Contributions - Fairer Charging,Support with Memory and Cognition,03-Jan-23,670.2,£0.00,Redacted - personal info,221003,Revenue,STC159134
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,670.8,£0.00,Redacted - personal info,221001,Revenue,STC159136
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,672,£0.00,Redacted - personal info,221004,Revenue,STC159139
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,672.96,£0.00,Redacted - personal info,221001,Revenue,STC159142
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,03-Jan-23,673.92,£0.00,Mencap,221004,Revenue,STC159144
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,677.06,£0.00,Redacted - personal info,221001,Revenue,STC159149
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,03-Jan-23,681.44,£0.00,Redacted - personal info,213800,Revenue,STC159157
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Social Support for Social Isolation,03-Jan-23,681.96,£0.00,Redacted - personal info,221009,Revenue,STC159160
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,687.68,£0.00,Redacted - personal info,221004,Revenue,STC159169
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,689.08,£0.00,Redacted - personal info,221001,Revenue,STC159174
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,03-Jan-23,691.2,£0.00,Lifeways Community Care Limited,221004,Revenue,STC159182
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,03-Jan-23,691.2,£0.00,Mencap,221004,Revenue,STC159183
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,03-Jan-23,691.2,£0.00,Mencap,221004,Revenue,STC159184
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,697.34,£0.00,Redacted - personal info,221001,Revenue,STC159193
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,03-Jan-23,708.48,£0.00,Mencap,221004,Revenue,STC159203
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Support with Memory and Cognition,03-Jan-23,712.76,£0.00,Redacted - personal info,221003,Revenue,STC159205
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,03-Jan-23,714,£0.00,Redacted - personal info,213800,Revenue,STC159209
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Contributions - Fairer Charging,Mental Health Support,03-Jan-23,714.92,£0.00,Redacted - personal info,221005,Revenue,STC159212
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,717.48,£0.00,Redacted - personal info,221004,Revenue,STC159221
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Support with Memory and Cognition,03-Jan-23,721.16,£0.00,Redacted - personal info,221003,Revenue,STC159229
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,721.76,£0.00,Redacted - personal info,221001,Revenue,STC159231
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,722.4,£0.00,Redacted - personal info,221001,Revenue,STC159233
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,722.4,£0.00,Redacted - personal info,221004,Revenue,STC159234
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,722.4,£0.00,Redacted - personal info,221001,Revenue,STC159235
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Mental Health Support,03-Jan-23,722.4,£0.00,Redacted - personal info,221005,Revenue,STC159236
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Mental Health Support,03-Jan-23,722.4,£0.00,Redacted - personal info,221005,Revenue,STC159237
South Tyneside Council,00CL,Business & Resources Group,Materials General,Market Income,03-Jan-23,725,£0.00,Arndale Group of Companies,226820,Revenue,STC159245
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,728.76,£0.00,Redacted - personal info,221004,Revenue,STC159253
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,743.56,£0.00,Redacted - personal info,221001,Revenue,STC159269
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,03-Jan-23,760.32,£0.00,Ashdown Care Homes Ltd,221004,Revenue,STC159282
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Learning Disability Support,03-Jan-23,762.08,£0.00,Pulse t/a Pulse Health Care Limited,221004,Revenue,STC159284
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Home Care - Other Cases,Learning Disability Support,03-Jan-23,762.08,£0.00,Pulse t/a Pulse Health Care Limited,221004,Revenue,STC159285
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,03-Jan-23,762.88,£0.00,Redacted - personal info,213800,Revenue,STC159287
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,763.8,£0.00,Redacted - personal info,221001,Revenue,STC159290
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,03-Jan-23,772.08,£0.00,Mencap,221004,Revenue,STC159299
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,03-Jan-23,772.08,£0.00,Mencap,221004,Revenue,STC159300
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,773.88,£0.00,Redacted - personal info,221001,Revenue,STC159303
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,774,£0.00,Redacted - personal info,221001,Revenue,STC159305
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,774,£0.00,Redacted - personal info,221004,Revenue,STC159306
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,774,£0.00,Redacted - personal info,221001,Revenue,STC159307
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,774,£0.00,Redacted - personal info,221004,Revenue,STC159308
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,774,£0.00,Redacted - personal info,221004,Revenue,STC159309
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,775.96,£0.00,Redacted - personal info,221001,Revenue,STC159326
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,782.16,£0.00,Redacted - personal info,221004,Revenue,STC159335
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,782.36,£0.00,Redacted - personal info,221001,Revenue,STC159337
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,786.16,£0.00,Redacted - personal info,221004,Revenue,STC159341
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,789.48,£0.00,Redacted - personal info,221004,Revenue,STC159344
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,03-Jan-23,795.44,£0.00,Redacted - personal info,213800,Revenue,STC159351
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,03-Jan-23,805.71,£0.00,Redacted - personal info,213800,Revenue,STC159372
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Contributions - Fairer Charging,Physical Support,03-Jan-23,812.82,£0.00,Redacted - personal info,221001,Revenue,STC159378
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,817.16,£0.00,Redacted - personal info,221001,Revenue,STC159380
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,820.04,£0.00,Redacted - personal info,221004,Revenue,STC159383
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,825.6,£0.00,Redacted - personal info,221001,Revenue,STC159390
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,827.68,£0.00,Redacted - personal info,221004,Revenue,STC159392
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,827.68,£0.00,Redacted - personal info,221004,Revenue,STC159393
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,833.76,£0.00,Redacted - personal info,221004,Revenue,STC159407
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,834.28,£0.00,Redacted - personal info,221004,Revenue,STC159410
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,834.28,£0.00,Redacted - personal info,221004,Revenue,STC159411
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Physical Support,03-Jan-23,834.32,£0.00,Redacted - personal info,221001,Revenue,STC159414
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,840.12,£0.00,Redacted - personal info,221004,Revenue,STC159419
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,842.48,£0.00,Redacted - personal info,221004,Revenue,STC159422
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Learning Disability Support,03-Jan-23,847,£0.00,Redacted - personal info,221004,Revenue,STC159425
South Tyneside Council,00CL,Housing Revenue Account,Grant Payments - General,Support Services,03-Jan-23,849.36,£0.00,Mencap,700200,Revenue,STC159430
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Support with Memory and Cognition,03-Jan-23,851.4,£0.00,Redacted - personal info,221003,Revenue,STC159435
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Mental Health Support,03-Jan-23,851.4,£0.00,Redacted - personal info,221005,Revenue,STC159436
