Supplier Name,Unique Reference,Invoice Amount,Invoice Date,Payment Date,Division,Service
Thomas Ridley and Son Ltd,Sept 23/21,516.83,11-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Reddo Care and Support C.I.C.,Sept 23/22,520.2,07-AUG-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Sept 23/23,520.2,19-SEP-2023,19-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Reddo Care and Support C.I.C.,Sept 23/24,520.2,14-AUG-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Reddo Care and Support C.I.C.,Sept 23/25,520.2,31-JUL-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Reddo Care and Support C.I.C.,Sept 23/26,520.2,24-JUL-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Reddo Care and Support C.I.C.,Sept 23/27,520.86,14-AUG-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Unique Care Uk,Sept 23/28,521.3,18-JUN-2023,12-SEP-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Munchkinz Childminding,Sept 23/29,521.6,01-AUG-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6028E-Placement and Resource Services
William White Meats Ltd,Sept 23/30,521.82,11-SEP-2023,19-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
P J Bingham & Co Ltd,Sept 23/31,522,14-APR-2022,19-SEP-2023,B4000C-Resources Directorate,B4062E-Legal Services
Thomas Ridley and Son Ltd,Sept 23/32,523.17,15-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Sept 23/33,523.87,11-SEP-2023,19-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/34,524.01,27-SEP-2023,27-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Reddo Care and Support C.I.C.,Sept 23/35,525,31-JUL-2023,18-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Fenix Recruitment Solutions Ltd,Sept 23/36,527.1,25-JUL-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Thomas Ridley and Son Ltd,Sept 23/37,527.5,11-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Cyclehoop Ltd,Sept 23/38,531,31-AUG-2023,20-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Sept 23/39,531,27-JUL-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Sept 23/40,531,08-AUG-2023,20-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Sept 23/41,531,31-AUG-2023,20-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Sept 23/42,531,27-JUL-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Sept 23/43,531,08-AUG-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Sept 23/44,531,30-AUG-2023,20-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Sept 23/45,531,31-JUL-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Sept 23/46,531,27-JUL-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Imperial College Projects Ltd,Sept 23/47,531,31-JUL-2023,05-SEP-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Cyclehoop Ltd,Sept 23/48,531,31-JUL-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Sept 23/49,531,27-JUL-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Sept 23/50,531,08-AUG-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Thomas Ridley and Son Ltd,Sept 23/51,532.23,19-SEP-2023,19-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Marieco Care Ltd,Sept 23/52,533.2,18-SEP-2023,28-SEP-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Marieco Care Ltd,Sept 23/53,533.2,18-SEP-2023,28-SEP-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Fair to Trade Ltd,Sept 23/54,534.6,15-AUG-2023,25-SEP-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Thomas Ridley and Son Ltd,Sept 23/55,534.65,05-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/56,534.92,26-SEP-2023,26-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/57,536.92,04-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
P J Bingham & Co Ltd,Sept 23/58,540,11-JUL-2023,13-SEP-2023,B4000C-Resources Directorate,B4062E-Legal Services
Imperial College Projects Ltd,Sept 23/59,540,11-AUG-2023,05-SEP-2023,B4000C-Resources Directorate,B4065E-Coroners Service
P J Bingham & Co Ltd,Sept 23/60,540,11-JUL-2023,13-SEP-2023,B4000C-Resources Directorate,B4062E-Legal Services
Institute of Cemetery & Crematorium,Sept 23/61,540,15-AUG-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
My Local Pitch Ltd,Sept 23/62,540,10-AUG-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5143E-Leisure
MKB Care Ltd,Sept 23/63,540,13-JUL-2023,26-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Sept 23/64,541.46,12-SEP-2023,13-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Cubiquity Limited,Sept 23/65,541.85,24-AUG-2023,15-SEP-2023,B1000C-Chief Executive Directorate,B2023E-Communications
Fair to Trade Ltd,Sept 23/66,541.99,15-AUG-2023,29-SEP-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Central and North West London,Sept 23/67,542.72,04-JAN-2023,15-SEP-2023,B2100C-Stronger Communities Directorate,B2092E-Children and Families Early Help 
William White Meats Ltd,Sept 23/68,544.25,18-SEP-2023,25-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Reddo Care and Support C.I.C.,Sept 23/69,545.24,31-JUL-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Care Central Ltd,Sept 23/70,546,13-AUG-2023,28-SEP-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
ESPO-Eastern Shires Purchasing,Sept 23/71,546.6,26-JUN-2023,13-SEP-2023,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Munchkinz Childminding,Sept 23/72,547.2,01-SEP-2023,14-SEP-2023,B6200C-Childrens Services Directorate,B6028E-Placement and Resource Services
Allen Lane Financial Recruitment,Sept 23/73,547.8,08-AUG-2023,05-SEP-2023,B4000C-Resources Directorate,B4071E-Director of Return on Investment Service
Askews and Holt Library Services Ltd,Sept 23/74,548.08,31-JUL-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Thomas Ridley and Son Ltd,Sept 23/75,549.24,15-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Hags-SMP Limited,Sept 23/76,551.14,03-AUG-2023,08-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
By Education (Waltham Forest) Ltd,Sept 23/77,551.95,21-AUG-2023,05-SEP-2023,B5000C-Place Directorate,B5094E-PFI
Imperial College Projects Ltd,Sept 23/78,552,11-AUG-2023,05-SEP-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Askews and Holt Library Services Ltd,Sept 23/79,554.52,21-AUG-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Van-Haaren & Son,Sept 23/80,554.99,19-AUG-2023,22-SEP-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Hags-SMP Limited,Sept 23/81,556.08,31-JUL-2023,08-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
Askews and Holt Library Services Ltd,Sept 23/82,556.35,07-AUG-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
William White Meats Ltd,Sept 23/83,557.24,01-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/84,559.11,18-SEP-2023,18-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Unique Care Uk,Sept 23/85,561.4,16-JUL-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Askews and Holt Library Services Ltd,Sept 23/86,562.59,14-AUG-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Thomas Ridley and Son Ltd,Sept 23/87,565.1,29-AUG-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/88,565.77,26-SEP-2023,26-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Express Vending Ltd,Sept 23/89,570,03-AUG-2021,05-SEP-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Reddo Care and Support C.I.C.,Sept 23/90,572.22,24-JUL-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Sept 23/91,572.25,13-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Imperial College Projects Ltd,Sept 23/92,574,02-AUG-2023,05-SEP-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Cubiquity Limited,Sept 23/93,574.28,22-JUN-2023,20-SEP-2023,B1000C-Chief Executive Directorate,B2052E-Change Service
William White Meats Ltd,Sept 23/94,575.98,22-SEP-2023,25-SEP-2023,B6100C-Adult Social Care Directorate,B6071E-Provider Services
CTM Hire Ltd,Sept 23/95,576,28-JUN-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5147E-Transport
Kids Kitchen Collective CIC,Sept 23/96,578.4,14-AUG-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B2092E-Children and Families Early Help 
Thomas Ridley and Son Ltd,Sept 23/97,581.89,28-SEP-2023,28-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Woodlodge Products Ltd,Sept 23/98,582.62,11-AUG-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Thomas Ridley and Son Ltd,Sept 23/99,583.49,19-SEP-2023,19-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Askews and Holt Library Services Ltd,Sept 23/100,585.47,31-JUL-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Thomas Ridley and Son Ltd,Sept 23/101,585.55,20-SEP-2023,20-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Newsquest Media Group,Sept 23/102,588.38,18-AUG-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Newsquest Media Group,Sept 23/103,588.38,18-AUG-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
William White Meats Ltd,Sept 23/104,589.63,04-SEP-2023,13-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Sept 23/105,591.45,18-SEP-2023,25-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Sysco GB Limited t/a Brakes,Sept 23/106,592.1,05-JUL-2023,12-SEP-2023,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Thomas Ridley and Son Ltd,Sept 23/107,592.74,15-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
DSI Billing Services Ltd,Sept 23/108,593.32,23-AUG-2023,15-SEP-2023,B5000C-Place Directorate,B5503E-Housing Access
Harlex Haulage Services,Sept 23/109,594,31-JUL-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
SDD Limited,Sept 23/110,594,22-AUG-2023,05-SEP-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Fenix Recruitment Solutions Ltd,Sept 23/111,597.3,02-AUG-2023,08-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Shared Care Services Ltd,Sept 23/112,598,18-MAY-2023,20-SEP-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Thomas Ridley and Son Ltd,Sept 23/113,599.51,15-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Premier Consult Ltd,Sept 23/114,600,17-AUG-2023,27-SEP-2023,B6100C-Adult Social Care Directorate,B6077E-Adult Safeguarding and DOLS
J Scott & Sons Ltd,Sept 23/115,602.09,14-AUG-2023,12-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/116,602.68,15-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Imperial College Projects Ltd,Sept 23/117,603,07-AUG-2023,05-SEP-2023,B4000C-Resources Directorate,B4065E-Coroners Service
William White Meats Ltd,Sept 23/118,604.27,04-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/119,604.51,05-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Cubiquity Limited,Sept 23/120,604.91,22-JUN-2023,05-SEP-2023,B1000C-Chief Executive Directorate,B2023E-Communications
J B Riney & Co Ltd,Sept 23/121,606.44,11-AUG-2023,08-SEP-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Thomas Ridley and Son Ltd,Sept 23/122,607.46,14-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Parkguard Ltd,Sept 23/123,609.6,22-AUG-2023,15-SEP-2023,B5000C-Place Directorate,B5502E-Partnerships
Thomas Ridley and Son Ltd,Sept 23/124,610.64,08-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
H&I (Toiletries) Ltd,Sept 23/125,612,03-AUG-2023,08-SEP-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
11 KBW Legal Services,Sept 23/126,612,07-JAN-2022,28-SEP-2023,B4000C-Resources Directorate,B4061E-Director of Governance Service
Supreme Company and Sons Ltd,Sept 23/127,612,12-SEP-2023,28-SEP-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Thomas Ridley and Son Ltd,Sept 23/128,612.48,12-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Aggregate Industries,Sept 23/129,613.16,27-JUL-2023,08-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
Thomas Ridley and Son Ltd,Sept 23/130,613.46,21-SEP-2023,21-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/131,616.49,08-SEP-2023,11-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Reddo Care and Support C.I.C.,Sept 23/132,622.08,24-JUL-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
OCN Contract Services,Sept 23/133,622.44,11-JUL-2023,05-SEP-2023,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Thomas Ridley and Son Ltd,Sept 23/134,622.73,05-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Wilson Solicitors LLP,Sept 23/135,623.4,22-FEB-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6028E-Placement and Resource Services
Thomas Ridley and Son Ltd,Sept 23/136,623.43,13-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Sept 23/137,623.81,04-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
REDACTED PERSONAL DATA,Sept 23/138,624,05-AUG-2023,25-SEP-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Customworks Ltd,Sept 23/139,624,08-AUG-2023,25-SEP-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Aquajoy Limited,Sept 23/140,624,07-AUG-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
Thomas Ridley and Son Ltd,Sept 23/141,625.39,21-SEP-2023,21-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Sept 23/142,625.63,11-SEP-2023,19-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
My Active Practice CIC,Sept 23/143,630,14-AUG-2023,05-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5143E-Leisure
Thomas Ridley and Son Ltd,Sept 23/144,630.19,26-SEP-2023,26-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
The Every Space Studio,Sept 23/145,633.6,06-SEP-2023,21-SEP-2023,B5000C-Place Directorate,B5076E-Facilities Management and Compliance
Thomas Ridley and Son Ltd,Sept 23/146,633.65,14-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
British Heart Foundation,Sept 23/147,635,05-JUN-2023,06-SEP-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Tensid Uk Ltd,Sept 23/148,635.28,09-AUG-2023,13-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5144E-Waste Management
Bubbly Maths,Sept 23/149,636,23-AUG-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B5121E-Employment and Business
Thomas Ridley and Son Ltd,Sept 23/150,637.53,22-SEP-2023,22-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/151,639.26,05-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/152,639.43,21-SEP-2023,21-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
PEL UK Rentals Ltd,Sept 23/153,640.8,02-AUG-2023,25-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5144E-Waste Management
Thomas Ridley and Son Ltd,Sept 23/154,645.47,29-SEP-2023,29-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Imperial College Projects Ltd,Sept 23/155,646,11-AUG-2023,05-SEP-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Zoocha Ltd,Sept 23/156,648.02,14-JUL-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B2054E-Digital Innovation and Delivery
Midland Relocations Ltd,Sept 23/157,650,21-AUG-2023,05-SEP-2023,B5000C-Place Directorate,B5162E-Homelessness Service
Walthamstow Toy Library,Sept 23/158,650,19-SEP-2023,26-SEP-2023,B6200C-Childrens Services Directorate,B6045E-Education Early Years and Childcare
The Lyndhurst Surgery,Sept 23/159,652,26-APR-2023,20-SEP-2023,B2100C-Stronger Communities Directorate,B6082E-Partnership and Sexual Health
Thomas Ridley and Son Ltd,Sept 23/160,652.19,19-SEP-2023,19-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Sept 23/161,652.66,15-SEP-2023,19-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Sept 23/162,653.08,08-SEP-2023,18-SEP-2023,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Educating UK Ltd,Sept 23/163,655,30-JUN-2023,29-SEP-2023,B2100C-Stronger Communities Directorate,B5122E-Skills
Thomas Ridley and Son Ltd,Sept 23/164,658.29,14-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
REDACTED PERSONAL DATA,Sept 23/165,660,01-SEP-2023,13-SEP-2023,B6200C-Childrens Services Directorate,B6021E-Director of Childrens Social Care Service
Reddo Care and Support C.I.C.,Sept 23/166,660.24,31-JUL-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Reddo Care and Support C.I.C.,Sept 23/167,660.24,14-AUG-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Reddo Care and Support C.I.C.,Sept 23/168,660.24,24-JUL-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Reddo Care and Support C.I.C.,Sept 23/169,660.24,07-AUG-2023,05-SEP-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Sept 23/170,660.51,29-SEP-2023,29-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Sept 23/171,660.57,04-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Law Morgan Limited,Sept 23/172,662.28,10-AUG-2023,05-SEP-2023,B4000C-Resources Directorate,B4051E-Treasury and Pensions Management
Imperial College Projects Ltd,Sept 23/173,663,07-AUG-2023,05-SEP-2023,B4000C-Resources Directorate,B4065E-Coroners Service
REDACTED PERSONAL DATA,Sept 23/174,665,29-SEP-2023,29-SEP-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Thomas Ridley and Son Ltd,Sept 23/175,668.83,28-SEP-2023,28-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
CTM Hire Ltd,Sept 23/176,669.6,29-AUG-2023,20-SEP-2023,B7000C-Neighbourhoods and Environment Directorate,B5147E-Transport
REDACTED PERSONAL DATA,Sept 23/177,670,23-AUG-2023,05-SEP-2023,B5000C-Place Directorate,B5503E-Housing Access
Thomas Ridley and Son Ltd,Sept 23/178,670.11,04-SEP-2023,15-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Zoocha Ltd,Sept 23/179,670.56,15-AUG-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B2054E-Digital Innovation and Delivery
F1 Colour ltd,Sept 23/180,672,31-MAY-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Thomas Ridley and Son Ltd,Sept 23/181,673.04,29-SEP-2023,29-SEP-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Museums & Galleries Limited,Sept 23/182,674.93,15-AUG-2023,05-SEP-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Winged Heart Decorative Glass,Sept 23/183,675,14-AUG-2023,25-SEP-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Waltham Forest Services Limited_23266,Sept 23/184,676.8,30-SEP-2022,05-SEP-2023,B1000C-Chief Executive Directorate,B2026E-Mayors and Members Services
