Supplier Name,Unique Reference,Invoice Amount,Invoice Date,Payment Date,Division,Service
Thomas Ridley and Son Ltd,Oct 23/24,506.76,18-OCT-2023,18-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Cubiquity Limited,Oct 23/25,507.01,31-AUG-2023,16-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5146E-Traffic Management
Thomas Ridley and Son Ltd,Oct 23/26,507.8,19-JUL-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Association of Accounting Technicians,Oct 23/27,508,15-SEP-2023,16-OCT-2023,B2100C-Stronger Communities Directorate,B5122E-Skills
Thomas Ridley and Son Ltd,Oct 23/28,508.21,17-OCT-2023,17-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Carter Brown The Expert Services,Oct 23/29,509.04,31-AUG-2023,09-OCT-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
William White Meats Ltd,Oct 23/30,509.08,09-OCT-2023,17-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Oct 23/31,509.4,02-OCT-2023,10-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Evolve Norse,Oct 23/32,510,30-SEP-2023,26-OCT-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Pipeline Drain Solutions Ltd,Oct 23/33,510,20-SEP-2023,24-OCT-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Imperial College Projects Ltd,Oct 23/34,510,22-SEP-2023,17-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Supreme Company and Sons Ltd,Oct 23/35,510,20-OCT-2023,24-OCT-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Imperial College Projects Ltd,Oct 23/36,510,22-SEP-2023,17-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Imperial College Projects Ltd,Oct 23/37,510,12-SEP-2023,09-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Evolve Norse,Oct 23/38,510,31-AUG-2023,26-OCT-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Complete Intacare Hygiene Ltd,Oct 23/39,510.72,29-AUG-2023,04-OCT-2023,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Thomas Ridley and Son Ltd,Oct 23/40,511.08,09-OCT-2023,09-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/41,511.42,31-OCT-2023,31-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tiffin Sandwiches ltd,Oct 23/42,513.2,10-SEP-2023,06-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/43,515.77,12-JUL-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tiffin Sandwiches ltd,Oct 23/44,516.92,10-SEP-2023,06-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
I.J Beim & Associates Limited,Oct 23/45,517.2,26-SEP-2023,03-OCT-2023,B6200C-Childrens Services Directorate,B6021E-Director of Childrens Social Care Service
Reddo Care and Support C.I.C.,Oct 23/46,520.2,22-AUG-2023,13-OCT-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Reddo Care and Support C.I.C.,Oct 23/47,520.2,25-SEP-2023,30-OCT-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Oct 23/48,520.33,18-JUL-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Imperial College Projects Ltd,Oct 23/49,523,11-SEP-2023,05-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Aston Group,Oct 23/50,523.85,18-AUG-2023,12-OCT-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Aston Group,Oct 23/51,523.85,11-SEP-2023,12-OCT-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Cambridge House & Talbot,Oct 23/52,525,07-SEP-2023,05-OCT-2023,B6100C-Adult Social Care Directorate,B6077E-Adult Safeguarding and DOLS
Supreme Company and Sons Ltd,Oct 23/53,527,20-OCT-2023,24-OCT-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Sharpe Pritchard LLP,Oct 23/54,529.2,31-AUG-2023,04-OCT-2023,B4000C-Resources Directorate,B4062E-Legal Services
Thomas Ridley and Son Ltd,Oct 23/55,530.7,18-OCT-2023,18-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Cyclehoop Ltd,Oct 23/56,531,19-SEP-2023,17-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Cyclehoop Ltd,Oct 23/57,531,19-SEP-2023,17-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Thomas Ridley and Son Ltd,Oct 23/58,531.03,02-OCT-2023,02-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Valtech,Oct 23/59,531.58,26-JUN-2023,06-OCT-2023,B2100C-Stronger Communities Directorate,B2045E-Resident Experience and Business Support
Thomas Ridley and Son Ltd,Oct 23/60,531.81,04-OCT-2023,04-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/61,533.04,13-JUL-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Francis Taylor Building,Oct 23/62,537.5,20-OCT-2023,30-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5151E-Director Regulatory and Contingency Planning Service
P J Bingham & Co Ltd,Oct 23/63,540,14-JUN-2023,12-OCT-2023,B4000C-Resources Directorate,B4062E-Legal Services
My Local Pitch Ltd,Oct 23/64,540,03-SEP-2023,05-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5143E-Leisure
My Local Pitch Ltd,Oct 23/65,540,29-SEP-2023,26-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5143E-Leisure
WALTHAM ESTATES LTD,Oct 23/66,540,19-SEP-2023,27-OCT-2023,B4000C-Resources Directorate,B4075E-Commercial Client and Innovation
P J Bingham & Co Ltd,Oct 23/67,540,07-AUG-2023,18-OCT-2023,B4000C-Resources Directorate,B4062E-Legal Services
Environmental & Site Safety Solutions,Oct 23/68,540,27-JUL-2023,18-OCT-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Thomas Ridley and Son Ltd,Oct 23/69,542.22,02-OCT-2023,02-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Oct 23/70,544.01,25-SEP-2023,03-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/71,544.02,30-OCT-2023,30-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
J Scott & Sons Ltd,Oct 23/72,547.78,01-SEP-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Van-Haaren & Son,Oct 23/73,550,08-SEP-2023,05-OCT-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Imperial College Projects Ltd,Oct 23/74,552,22-SEP-2023,17-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Imperial College Projects Ltd,Oct 23/75,552,05-OCT-2023,31-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Sharpe Pritchard LLP,Oct 23/76,554.4,31-JUL-2023,26-OCT-2023,B4000C-Resources Directorate,B4062E-Legal Services
Askews and Holt Library Services Ltd,Oct 23/77,554.54,04-SEP-2023,05-OCT-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Van-Haaren & Son,Oct 23/78,555,18-MAR-2013,12-OCT-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Van-Haaren & Son,Oct 23/79,555,25-AUG-2023,03-OCT-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Fenix Recruitment Solutions Ltd,Oct 23/80,558.24,12-APR-2023,30-OCT-2023,B6200C-Childrens Services Directorate,B6024E-Safeguarding and Family Support 2
London Borough of Sutton,Oct 23/81,560,26-JUN-2023,12-OCT-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Imperial College Projects Ltd,Oct 23/82,561,11-SEP-2023,05-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
REDACTED PERSONAL DATA,Oct 23/83,561.82,18-OCT-2023,31-OCT-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Thomas Ridley and Son Ltd,Oct 23/84,562.92,16-OCT-2023,16-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Oct 23/85,563.38,02-OCT-2023,10-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
A.J's Beds and Furniture Ltd,Oct 23/86,564,30-AUG-2023,13-OCT-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
A.J's Beds and Furniture Ltd,Oct 23/87,564,18-AUG-2023,13-OCT-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Thomas Ridley and Son Ltd,Oct 23/88,564.86,18-JUL-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Fenix Recruitment Solutions Ltd,Oct 23/89,565.32,12-APR-2023,06-OCT-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Oct 23/90,568.96,17-JUL-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Imperial College Projects Ltd,Oct 23/91,569,28-SEP-2023,24-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Imperial College Projects Ltd,Oct 23/92,569,28-SEP-2023,24-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Thomas Ridley and Son Ltd,Oct 23/93,569.86,12-JUL-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Hags-SMP Limited,Oct 23/94,570,29-AUG-2023,05-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
Small Steps ABA Limited,Oct 23/95,570,03-APR-2023,20-OCT-2023,B6200C-Childrens Services Directorate,B6503E-Central Expenditure High Needs
Thomas Ridley and Son Ltd,Oct 23/96,572.02,10-OCT-2023,10-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
I.J Beim & Associates Limited,Oct 23/97,573.6,25-SEP-2023,03-OCT-2023,B6200C-Childrens Services Directorate,B6021E-Director of Childrens Social Care Service
Thomas Ridley and Son Ltd,Oct 23/98,574.22,09-OCT-2023,09-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Fenix Recruitment Solutions Ltd,Oct 23/99,574.8,30-AUG-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Midland Relocations Ltd,Oct 23/100,575.4,18-JUL-2023,19-OCT-2023,B5000C-Place Directorate,B5162E-Homelessness Service
One to One Office Solutions Ltd,Oct 23/101,576,25-JUL-2023,05-OCT-2023,B2100C-Stronger Communities Directorate,B5122E-Skills
Thomas Ridley and Son Ltd,Oct 23/102,577.25,09-OCT-2023,09-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tiffin Sandwiches ltd,Oct 23/103,580.84,24-SEP-2023,20-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/104,583.65,20-OCT-2023,20-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
J Scott & Sons Ltd,Oct 23/105,584.4,25-SEP-2023,23-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Fenix Recruitment Solutions Ltd,Oct 23/106,585.22,20-SEP-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Hags-SMP Limited,Oct 23/107,594,15-SEP-2023,16-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
P J Bingham & Co Ltd,Oct 23/108,594,04-APR-2023,16-OCT-2023,B4000C-Resources Directorate,B4062E-Legal Services
London Borough of Sutton,Oct 23/109,595,26-JUN-2023,12-OCT-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
CTM Hire Ltd,Oct 23/110,595.2,27-JUL-2023,04-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5147E-Transport
SG Path Limited,Oct 23/111,595.9,31-AUG-2023,19-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
REDACTED PERSONAL DATA,Oct 23/112,595.9,20-SEP-2023,17-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Environmental & Site Safety Solutions,Oct 23/113,597,27-JUL-2023,20-OCT-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
J.A.Steel and Son Ltd,Oct 23/114,597.6,29-SEP-2023,31-OCT-2023,B5000C-Place Directorate,B5502E-Partnerships
J.A.Steel and Son Ltd,Oct 23/115,597.6,22-AUG-2023,31-OCT-2023,B5000C-Place Directorate,B5502E-Partnerships
Thomas Ridley and Son Ltd,Oct 23/116,598.87,31-OCT-2023,31-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Oct 23/117,599.35,09-OCT-2023,17-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Phoenix Software Ltd,Oct 23/118,599.76,27-SEP-2023,24-OCT-2023,B6200C-Childrens Services Directorate,B6024E-Safeguarding and Family Support 2
Phoenix Software Ltd,Oct 23/119,599.76,15-SEP-2023,12-OCT-2023,B6200C-Childrens Services Directorate,B6029E-Youth and Family Resilience Service
Phoenix Software Ltd,Oct 23/120,599.76,05-OCT-2023,31-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B2071E-Director of Climate and Behaviour Change Service
Herts Handling Training Limited,Oct 23/121,600,21-JUL-2023,31-OCT-2023,B6100C-Adult Social Care Directorate,B6075E-Adult Care and Quality Standards Management
Playfinder,Oct 23/122,600,11-SEP-2023,27-OCT-2023,B2100C-Stronger Communities Directorate,B2092E-Children and Families Early Help 
CIPFA Business Ltd,Oct 23/123,600,31-JUL-2023,24-OCT-2023,B4000C-Resources Directorate,B4022E-Corporate Accountancy Service
Shared Care Services Ltd,Oct 23/124,600,20-SEP-2023,03-OCT-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Herts Handling Training Limited,Oct 23/125,600,21-JUL-2023,31-OCT-2023,B6100C-Adult Social Care Directorate,B6075E-Adult Care and Quality Standards Management
Inky Cuttlefish Studios,Oct 23/126,600,06-OCT-2023,27-OCT-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Shared Care Services Ltd,Oct 23/127,600,20-SEP-2023,03-OCT-2023,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Herts Handling Training Limited,Oct 23/128,600,29-SEP-2023,26-OCT-2023,B6100C-Adult Social Care Directorate,B6075E-Adult Care and Quality Standards Management
Herts Handling Training Limited,Oct 23/129,600,15-SEP-2023,12-OCT-2023,B6100C-Adult Social Care Directorate,B6075E-Adult Care and Quality Standards Management
City & Guilds,Oct 23/130,601.5,17-AUG-2023,06-OCT-2023,B2100C-Stronger Communities Directorate,B5122E-Skills
Fenix Recruitment Solutions Ltd,Oct 23/131,602.21,12-SEP-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Valtech,Oct 23/132,602.78,31-JUL-2023,06-OCT-2023,B2100C-Stronger Communities Directorate,B2045E-Resident Experience and Business Support
J Scott & Sons Ltd,Oct 23/133,604.32,25-AUG-2023,03-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Imperial College Projects Ltd,Oct 23/134,608,20-SEP-2023,17-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
Remedy Recruitment Group Ltd,Oct 23/135,612,18-AUG-2023,09-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Medical Expert Witness Alliance LLP,Oct 23/136,613.44,06-JUN-2022,04-OCT-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Adecco UK Ltd,Oct 23/137,614.4,25-AUG-2023,02-OCT-2023,B5000C-Place Directorate,B5162E-Homelessness Service
Thomas Ridley and Son Ltd,Oct 23/138,614.76,12-OCT-2023,12-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
REDACTED PERSONAL DATA,Oct 23/139,614.96,20-SEP-2023,16-OCT-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Thomas Ridley and Son Ltd,Oct 23/140,618.21,03-OCT-2023,03-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Oct 23/141,618.32,16-OCT-2023,23-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/142,619.11,18-OCT-2023,18-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Van-Haaren & Son,Oct 23/143,620,30-AUG-2023,05-OCT-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Thomas Ridley and Son Ltd,Oct 23/144,620.08,31-OCT-2023,31-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/145,620.2,10-OCT-2023,10-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Falco UK Ltd,Oct 23/146,621.13,30-SEP-2023,27-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Thomas Ridley and Son Ltd,Oct 23/147,623.25,19-OCT-2023,19-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Askews and Holt Library Services Ltd,Oct 23/148,623.55,28-AUG-2023,03-OCT-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Thomas Ridley and Son Ltd,Oct 23/149,623.62,17-OCT-2023,17-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Aquajoy Limited,Oct 23/150,624,12-SEP-2023,09-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
Pennington Choices Ltd,Oct 23/151,624,31-MAY-2023,03-OCT-2023,B5000C-Place Directorate,B5504E-Housing Management HRA
W .V Howe Limited,Oct 23/152,626.53,29-AUG-2023,03-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
W .V Howe Limited,Oct 23/153,626.53,29-AUG-2023,03-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/154,626.74,30-OCT-2023,30-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/155,626.98,14-JUL-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
My Active Practice CIC,Oct 23/156,627.5,03-OCT-2023,30-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5143E-Leisure
Smartfibre Broadband Ltd,Oct 23/157,628.01,31-JUL-2023,05-OCT-2023,B5000C-Place Directorate,B5103E-Physical Regeneration Programme Management
Smartfibre Broadband Ltd,Oct 23/158,628.01,30-SEP-2023,31-OCT-2023,B5000C-Place Directorate,B5103E-Physical Regeneration Programme Management
Smartfibre Broadband Ltd,Oct 23/159,628.01,31-AUG-2023,05-OCT-2023,B5000C-Place Directorate,B5103E-Physical Regeneration Programme Management
TPC Leadership Ltd,Oct 23/160,630,29-SEP-2022,31-OCT-2023,B4000C-Resources Directorate,B4062E-Legal Services
TPC Leadership Ltd,Oct 23/161,630,20-FEB-2023,31-OCT-2023,B4000C-Resources Directorate,B4062E-Legal Services
TPC Leadership Ltd,Oct 23/162,630,21-JUL-2022,31-OCT-2023,B4000C-Resources Directorate,B4062E-Legal Services
TPC Leadership Ltd,Oct 23/163,630,31-OCT-2022,31-OCT-2023,B4000C-Resources Directorate,B4062E-Legal Services
TPC Leadership Ltd,Oct 23/164,630,16-JUN-2022,31-OCT-2023,B4000C-Resources Directorate,B4062E-Legal Services
Thomas Ridley and Son Ltd,Oct 23/165,630.63,02-OCT-2023,02-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/166,630.85,02-OCT-2023,02-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Protocol National Limited,Oct 23/167,631.8,24-MAY-2023,23-OCT-2023,B2100C-Stronger Communities Directorate,B5122E-Skills
Tameside Metropolitan Borough,Oct 23/168,632.08,14-APR-2023,10-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5151E-Director Regulatory and Contingency Planning Service
Hags-SMP Limited,Oct 23/169,633.6,22-SEP-2023,23-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
London Borough of Sutton,Oct 23/170,635,14-JUN-2023,12-OCT-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Oct 23/171,636.01,30-OCT-2023,30-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Imperial College Projects Ltd,Oct 23/172,637,22-SEP-2023,17-OCT-2023,B4000C-Resources Directorate,B4065E-Coroners Service
I.J Beim & Associates Limited,Oct 23/173,638.4,25-SEP-2023,03-OCT-2023,B6200C-Childrens Services Directorate,B6021E-Director of Childrens Social Care Service
Thomas Ridley and Son Ltd,Oct 23/174,638.96,19-OCT-2023,19-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/175,639.44,03-OCT-2023,03-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
REDACTED PERSONAL DATA,Oct 23/176,640,23-AUG-2023,03-OCT-2023,B2100C-Stronger Communities Directorate,B2092E-Children and Families Early Help 
Thomas Ridley and Son Ltd,Oct 23/177,640.69,04-OCT-2023,04-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
PEL UK Rentals Ltd,Oct 23/178,640.8,12-SEP-2023,09-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5144E-Waste Management
Hags-SMP Limited,Oct 23/179,642,13-SEP-2023,10-OCT-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
William White Meats Ltd,Oct 23/180,642.91,02-OCT-2023,10-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/181,643.1,05-OCT-2023,05-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/182,645.98,12-OCT-2023,12-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Oct 23/183,646.31,13-OCT-2023,13-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Oct 23/184,647.22,05-SEP-2023,04-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Oct 23/185,647.22,05-SEP-2023,04-OCT-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
