Supplier Name,Unique Reference,Invoice Amount,Invoice Date,Payment Date,Division,Service
42 Bedford Row,Feb 24/51,540,06-NOV-2023,27-FEB-2024,B4000C-Resources Directorate,B4062E-Legal Services
REDACTED PERSONAL DATA,Feb 24/52,540,01-DEC-2023,02-FEB-2024,B6200C-Childrens Services Directorate,B6045E-Education Early Years and Childcare
P J Bingham & Co Ltd,Feb 24/53,540,30-OCT-2023,22-FEB-2024,B4000C-Resources Directorate,B4062E-Legal Services
Blackhorse Workshop CIC,Feb 24/54,540,21-FEB-2024,26-FEB-2024,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
The Project Centre Ltd,Feb 24/55,540,08-JAN-2024,19-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Thomas Ridley and Son Ltd,Feb 24/56,540.21,08-FEB-2024,08-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Askews and Holt Library Services Ltd,Feb 24/57,540.23,11-DEC-2023,13-FEB-2024,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
Thomas Ridley and Son Ltd,Feb 24/58,540.57,20-FEB-2024,20-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Hags-SMP Limited,Feb 24/59,544.8,31-JAN-2024,15-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
Thomas Ridley and Son Ltd,Feb 24/60,545.74,28-FEB-2024,28-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/61,545.95,06-FEB-2024,06-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
South Chingford Community,Feb 24/62,546,07-FEB-2024,08-FEB-2024,B2100C-Stronger Communities Directorate,B2063E-Communities and Participation
Digital ID Limited,Feb 24/63,547.02,18-OCT-2023,19-FEB-2024,B2100C-Stronger Communities Directorate,B2045E-Resident Experience and Business Support
Zen Internet Ltd,Feb 24/64,547.2,24-JAN-2024,19-FEB-2024,B5000C-Place Directorate,B5503E-Housing Access
Pee Jay Electrical,Feb 24/65,550,08-JAN-2024,01-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
4 Brick Court,Feb 24/66,550,07-FEB-2024,20-FEB-2024,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Pee Jay Electrical,Feb 24/67,550,27-JAN-2024,23-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Tiffin Sandwiches ltd,Feb 24/68,550.43,14-JAN-2024,09-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/69,550.82,27-FEB-2024,27-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/70,553.42,19-FEB-2024,19-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Waltham Forest Services Limited_23266,Feb 24/71,553.91,30-NOV-2023,19-FEB-2024,B5000C-Place Directorate,B5076E-Facilities Management and Compliance
J Scott & Sons Ltd,Feb 24/72,554.71,19-JAN-2024,13-FEB-2024,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Van-Haaren & Son,Feb 24/73,554.99,29-JAN-2024,22-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
4 Brick Court,Feb 24/74,555,17-JAN-2024,05-FEB-2024,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
Van-Haaren & Son,Feb 24/75,555,31-JAN-2024,26-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Outspoken Logistics T/A Zedify,Feb 24/76,558,31-OCT-2023,08-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Newsquest Media Group Ltd,Feb 24/77,559.87,02-FEB-2024,29-FEB-2024,B5000C-Place Directorate,B5032E-Head of Development and Building Control
PARSONS MARSHALL PYSCHOLOGY LTD,Feb 24/78,561.6,02-JUN-2023,12-FEB-2024,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Tiffin Sandwiches ltd,Feb 24/79,563.94,21-JAN-2024,15-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Field Court Chambers,Feb 24/80,564,07-DEC-2023,05-FEB-2024,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
Thomas Ridley and Son Ltd,Feb 24/81,565.51,05-FEB-2024,05-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
DABORA CONWAY LTD,Feb 24/82,565.9,29-JAN-2024,16-FEB-2024,B5000C-Place Directorate,B5502E-Partnerships
DABORA CONWAY LTD,Feb 24/83,565.9,29-JAN-2024,20-FEB-2024,B5000C-Place Directorate,B5502E-Partnerships
Sysco GB Limited t/a Brakes,Feb 24/84,568.51,15-NOV-2023,29-FEB-2024,B6100C-Adult Social Care Directorate,B6071E-Provider Services
4 Brick Court,Feb 24/85,570,10-JAN-2024,08-FEB-2024,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
Waltham Forest Services Limited_23266,Feb 24/86,572.4,30-NOV-2023,19-FEB-2024,B5000C-Place Directorate,B5076E-Facilities Management and Compliance
DABORA CONWAY LTD,Feb 24/87,573.5,01-AUG-2023,16-FEB-2024,B5000C-Place Directorate,B5502E-Partnerships
Thomas Ridley and Son Ltd,Feb 24/88,575.33,09-FEB-2024,09-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/89,575.51,27-FEB-2024,27-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
WALTHAM ESTATES LTD,Feb 24/90,576,06-FEB-2024,13-FEB-2024,B4000C-Resources Directorate,B4075E-Commercial Client and Innovation
King & McGaw Limited,Feb 24/91,576,01-FEB-2024,27-FEB-2024,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Leyton Sixth Form College,Feb 24/92,577.88,15-JAN-2024,08-FEB-2024,B2100C-Stronger Communities Directorate,B2063E-Communities and Participation
William White Meats Ltd,Feb 24/93,578.15,16-FEB-2024,21-FEB-2024,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Tiffin Sandwiches ltd,Feb 24/94,580.19,01-OCT-2023,06-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Calverts North Star Press Ltd,Feb 24/95,582,07-AUG-2023,26-FEB-2024,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Waltham Forest Services Limited_23266,Feb 24/96,582,31-JAN-2024,02-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
Woodlodge Products Ltd,Feb 24/97,582.62,02-FEB-2024,23-FEB-2024,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
DABORA CONWAY LTD,Feb 24/98,584.9,29-SEP-2023,20-FEB-2024,B5000C-Place Directorate,B5502E-Partnerships
DABORA CONWAY LTD,Feb 24/99,584.9,30-NOV-2023,16-FEB-2024,B5000C-Place Directorate,B5502E-Partnerships
DABORA CONWAY LTD,Feb 24/100,584.9,18-DEC-2023,16-FEB-2024,B5000C-Place Directorate,B5502E-Partnerships
Imperial College Projects Ltd,Feb 24/101,586,11-JAN-2024,06-FEB-2024,B4000C-Resources Directorate,B4065E-Coroners Service
Tippershire Self Drive Vehicle Hire,Feb 24/102,586.2,16-OCT-2023,06-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5147E-Transport
XMA Limited,Feb 24/103,586.87,30-JAN-2024,23-FEB-2024,B5000C-Place Directorate,B5503E-Housing Access
Thomas Ridley and Son Ltd,Feb 24/104,587.69,06-FEB-2024,06-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/105,588.07,05-FEB-2024,05-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/106,590.05,23-FEB-2024,23-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
DABORA CONWAY LTD,Feb 24/107,594,30-JAN-2024,16-FEB-2024,B5000C-Place Directorate,B5502E-Partnerships
J Scott & Sons Ltd,Feb 24/108,594.48,25-SEP-2023,23-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/109,594.52,07-FEB-2024,07-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
CTM Hire Ltd,Feb 24/110,595.2,29-AUG-2023,01-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5147E-Transport
CTM Hire Ltd,Feb 24/111,595.2,29-AUG-2023,01-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5147E-Transport
CTM Hire Ltd,Feb 24/112,595.2,29-AUG-2023,01-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5147E-Transport
J B Riney & Co Ltd,Feb 24/113,595.82,22-JAN-2024,15-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
Phoenix Software Ltd,Feb 24/114,599.76,02-FEB-2024,27-FEB-2024,B6100C-Adult Social Care Directorate,B6072E-Home First Services
Phoenix Software Ltd,Feb 24/115,599.76,18-JAN-2024,13-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5152E-Regulatory and Contingency Planning Service
Downsell Primary School,Feb 24/116,600,17-JAN-2024,12-FEB-2024,B6200C-Childrens Services Directorate,B6042E-Education Effectiveness
REDACTED PERSONAL DATA,Feb 24/117,600,10-JAN-2024,05-FEB-2024,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Uzair Associates Limited,Feb 24/118,600,20-JAN-2024,13-FEB-2024,B6100C-Adult Social Care Directorate,B6077E-Adult Safeguarding and DOLS
St Patricks Catholic Primary,Feb 24/119,600,11-JAN-2024,06-FEB-2024,B6200C-Childrens Services Directorate,B6042E-Education Effectiveness
REDACTED PERSONAL DATA,Feb 24/120,600,01-FEB-2024,06-FEB-2024,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
5 Paper Buildings,Feb 24/121,600,29-DEC-2023,01-FEB-2024,B4000C-Resources Directorate,B4062E-Legal Services
Thomas Bingham Chambers Limited,Feb 24/122,600,02-JAN-2024,16-FEB-2024,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
The Project Centre Ltd,Feb 24/123,600,23-JAN-2024,29-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5145E-Highways Service
APEX MEDICAL CONSULTING LIMITED,Feb 24/124,600,24-OCT-2023,08-FEB-2024,B6100C-Adult Social Care Directorate,B6077E-Adult Safeguarding and DOLS
Our Lady and St George's Catholic,Feb 24/125,600,05-JAN-2024,01-FEB-2024,B6200C-Childrens Services Directorate,B6042E-Education Effectiveness
St Marys Catholic Primary School,Feb 24/126,600,29-JAN-2024,22-FEB-2024,B6200C-Childrens Services Directorate,B6042E-Education Effectiveness
2 Dr Johnsons Buildings,Feb 24/127,600,17-OCT-2023,19-FEB-2024,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
FOREST HOMES LONDON LIMITED,Feb 24/128,600,05-FEB-2024,13-FEB-2024,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
APEX MEDICAL CONSULTING LIMITED,Feb 24/129,600,15-JAN-2024,08-FEB-2024,B6100C-Adult Social Care Directorate,B6077E-Adult Safeguarding and DOLS
Thomas Ridley and Son Ltd,Feb 24/130,600.13,27-FEB-2024,27-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/131,600.14,23-FEB-2024,23-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/132,601.15,07-FEB-2024,07-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/133,602.68,23-FEB-2024,23-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
DABORA CONWAY LTD,Feb 24/134,605.8,28-DEC-2023,16-FEB-2024,B5000C-Place Directorate,B5502E-Partnerships
Imperial College Projects Ltd,Feb 24/135,608,11-JAN-2024,06-FEB-2024,B4000C-Resources Directorate,B4065E-Coroners Service
NewSchools (Leyton) Ltd,Feb 24/136,611.4,08-FEB-2024,13-FEB-2024,B5000C-Place Directorate,B5094E-PFI
DABORA CONWAY LTD,Feb 24/137,611.5,27-JUN-2023,16-FEB-2024,B5000C-Place Directorate,B5502E-Partnerships
New Court Chambers,Feb 24/138,612,25-OCT-2023,07-FEB-2024,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
A.J's Beds and Furniture Ltd,Feb 24/139,612,30-JAN-2024,29-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
I.J Beim & Associates Limited,Feb 24/140,612,29-SEP-2023,08-FEB-2024,B4000C-Resources Directorate,B4062E-Legal Services
Marieco Care Ltd,Feb 24/141,613.18,19-FEB-2024,28-FEB-2024,B6200C-Childrens Services Directorate,B6113E-Provisions Team Short Breaks and Home School Transport
Adecco UK Ltd,Feb 24/142,614.92,17-NOV-2023,01-FEB-2024,B5000C-Place Directorate,B5162E-Homelessness Service
Thomas Ridley and Son Ltd,Feb 24/143,615.63,29-FEB-2024,29-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Van-Haaren & Son,Feb 24/144,620,16-JAN-2024,09-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Van-Haaren & Son,Feb 24/145,620,20-JAN-2024,13-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Thomas Ridley and Son Ltd,Feb 24/146,620.63,27-FEB-2024,27-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/147,621.81,05-FEB-2024,05-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tiffin Sandwiches ltd,Feb 24/148,622.78,10-DEC-2023,23-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Fenix Recruitment Solutions Ltd,Feb 24/149,622.8,23-JAN-2024,16-FEB-2024,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Aquajoy Limited,Feb 24/150,624,18-JAN-2024,13-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
A.J's Beds and Furniture Ltd,Feb 24/151,624,04-NOV-2023,22-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Thomas Ridley and Son Ltd,Feb 24/152,624.87,19-FEB-2024,19-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Van-Haaren & Son,Feb 24/153,625,23-JAN-2024,20-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Fenix Recruitment Solutions Ltd,Feb 24/154,626.16,31-JAN-2024,29-FEB-2024,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Regent Home of Sewing,Feb 24/155,627.5,22-JAN-2024,15-FEB-2024,B2100C-Stronger Communities Directorate,B5122E-Skills
Smartfibre Broadband Ltd,Feb 24/156,628.01,31-DEC-2023,06-FEB-2024,B5000C-Place Directorate,B5103E-Physical Regeneration Programme Management
Smartfibre Broadband Ltd,Feb 24/157,628.01,31-JAN-2024,19-FEB-2024,B5000C-Place Directorate,B5103E-Physical Regeneration Programme Management
Smartfibre Broadband Ltd,Feb 24/158,628.01,30-NOV-2023,06-FEB-2024,B5000C-Place Directorate,B5103E-Physical Regeneration Programme Management
REDACTED PERSONAL DATA,Feb 24/159,630,18-DEC-2023,27-FEB-2024,B4000C-Resources Directorate,B4068E-Complaints Team Service
Pee Jay Electrical,Feb 24/160,630,10-JAN-2024,06-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Tiffin Sandwiches ltd,Feb 24/161,631,10-DEC-2023,23-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/162,631.54,19-FEB-2024,19-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Complete Intacare Hygiene Ltd,Feb 24/163,633.6,09-FEB-2024,12-FEB-2024,B6100C-Adult Social Care Directorate,B6071E-Provider Services
A.J's Beds and Furniture Ltd,Feb 24/164,636,07-DEC-2023,20-FEB-2024,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Thomas Ridley and Son Ltd,Feb 24/165,637.08,23-FEB-2024,23-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Reddo Care and Support C.I.C.,Feb 24/166,637.89,02-JAN-2024,06-FEB-2024,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Post Adoption Centre,Feb 24/167,640.8,29-DEC-2023,06-FEB-2024,B6200C-Childrens Services Directorate,B6028E-Placement and Resource Services
PEL UK Rentals Ltd,Feb 24/168,640.8,01-DEC-2023,07-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5144E-Waste Management
PEL UK Rentals Ltd,Feb 24/169,640.8,03-NOV-2023,07-FEB-2024,B7000C-Neighbourhoods and Environment Directorate,B5144E-Waste Management
Thomas Ridley and Son Ltd,Feb 24/170,643.98,19-FEB-2024,19-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Imperial College Projects Ltd,Feb 24/171,646,11-JAN-2024,06-FEB-2024,B4000C-Resources Directorate,B4065E-Coroners Service
The Language Shop,Feb 24/172,646.34,05-FEB-2024,29-FEB-2024,B5000C-Place Directorate,B5162E-Homelessness Service
Thomas Ridley and Son Ltd,Feb 24/173,646.91,05-FEB-2024,05-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Chingford Medical Practice,Feb 24/174,648,21-NOV-2023,22-FEB-2024,B2100C-Stronger Communities Directorate,B6082E-Partnership and Sexual Health
Tiffin Sandwiches ltd,Feb 24/175,648.63,01-OCT-2023,06-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/176,649.01,20-FEB-2024,20-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/177,652.82,06-FEB-2024,06-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/178,653.07,20-FEB-2024,20-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Feb 24/179,653.92,09-FEB-2024,09-FEB-2024,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Walker Fire UK Ltd,Feb 24/180,654,27-NOV-2023,01-FEB-2024,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Walker Fire UK Ltd,Feb 24/181,654,28-NOV-2023,01-FEB-2024,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Walker Fire UK Ltd,Feb 24/182,654,14-NOV-2023,01-FEB-2024,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Walker Fire UK Ltd,Feb 24/183,654,16-NOV-2023,01-FEB-2024,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Walker Fire UK Ltd,Feb 24/184,654,29-NOV-2023,01-FEB-2024,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
HENRY - Healthy Eating & Nutrition,Feb 24/185,655,31-MAR-2023,22-FEB-2024,B2100C-Stronger Communities Directorate,B6083E-Health Care
REDACTED PERSONAL DATA,Feb 24/186,655.72,20-FEB-2024,26-FEB-2024,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
