Supplier Name,Unique Reference,Invoice Amount,Invoice Date,Payment Date,Division,Service
Thomas Ridley and Son Ltd,Nov 23/101,581.02,21-NOV-2023,21-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tiffin Sandwiches ltd,Nov 23/102,581.88,08-OCT-2023,03-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/103,582.2,30-NOV-2023,30-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/104,582.27,02-NOV-2023,02-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/105,582.58,28-NOV-2023,28-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/106,582.68,22-NOV-2023,22-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/107,584.81,17-NOV-2023,21-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Fenix Recruitment Solutions Ltd,Nov 23/108,585.22,26-SEP-2023,02-NOV-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Mbilla Arts CIC,Nov 23/109,586.02,04-AUG-2023,02-NOV-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
Thomas Ridley and Son Ltd,Nov 23/110,586.45,14-NOV-2023,14-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/111,587.58,17-NOV-2023,17-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/112,589.23,20-NOV-2023,20-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Reddo Care and Support C.I.C.,Nov 23/113,589.56,03-OCT-2023,03-NOV-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Reddo Care and Support C.I.C.,Nov 23/114,589.56,18-OCT-2023,16-NOV-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Nov 23/115,591.47,27-NOV-2023,27-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Knowledge Exchange Group Ltd,Nov 23/116,592.08,01-AUG-2023,08-NOV-2023,B4000C-Resources Directorate,B4068E-Complaints Team Service
Munchkinz Childminding,Nov 23/117,592.8,01-NOV-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6028E-Placement and Resource Services
Thomas Ridley and Son Ltd,Nov 23/118,592.84,08-NOV-2023,08-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Fletchers Trees Limited,Nov 23/119,594,19-OCT-2023,14-NOV-2023,B7000C-Neighbourhoods and Environment Directorate,B2071E-Director of Climate and Behaviour Change Service
Thomas Ridley and Son Ltd,Nov 23/120,594.64,01-NOV-2023,01-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/121,595.86,08-NOV-2023,08-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
The Language Shop,Nov 23/122,596,06-OCT-2023,02-NOV-2023,B5000C-Place Directorate,B5162E-Homelessness Service
Thomas Ridley and Son Ltd,Nov 23/123,597.11,21-NOV-2023,21-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
J.A.Steel and Son Ltd,Nov 23/124,597.6,25-OCT-2023,20-NOV-2023,B5000C-Place Directorate,B5502E-Partnerships
Tri-Star packaging Supplies Ltd,Nov 23/125,599.92,11-OCT-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
2 Dr Johnsons Buildings,Nov 23/127,600,23-OCT-2023,20-NOV-2023,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
5 Paper Buildings,Nov 23/131,600,24-OCT-2023,23-NOV-2023,B4000C-Resources Directorate,B4062E-Legal Services
Customerwise Ltd,Nov 23/128,600,07-NOV-2023,16-NOV-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Herts Handling Training Limited,Nov 23/129,600,20-OCT-2023,14-NOV-2023,B6100C-Adult Social Care Directorate,B6075E-Adult Care and Quality Standards Management
Herts Handling Training Limited,Nov 23/132,600,20-OCT-2023,14-NOV-2023,B6100C-Adult Social Care Directorate,B6075E-Adult Care and Quality Standards Management
Soundcastle Ltd,Nov 23/126,600,12-OCT-2023,09-NOV-2023,B6100C-Adult Social Care Directorate,B6075E-Adult Care and Quality Standards Management
Steel social work ltd,Nov 23/133,600,18-OCT-2023,24-NOV-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
TV Edwards LLP,Nov 23/130,600,21-SEP-2023,22-NOV-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Thomas Ridley and Son Ltd,Nov 23/134,602.14,29-NOV-2023,29-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/135,604.42,16-OCT-2023,16-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
DSI Billing Services Ltd,Nov 23/136,607.34,31-OCT-2023,24-NOV-2023,B5000C-Place Directorate,B5503E-Housing Access
Penna PLC,Nov 23/137,607.87,26-OCT-2023,10-NOV-2023,B2100C-Stronger Communities Directorate,B5122E-Skills
Thomas Ridley and Son Ltd,Nov 23/138,608.29,15-NOV-2023,15-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/139,610.31,06-NOV-2023,06-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Sysco GB Limited t/a Brakes,Nov 23/140,615.33,25-OCT-2023,30-NOV-2023,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Thomas Ridley and Son Ltd,Nov 23/141,615.88,27-NOV-2023,27-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/142,616.19,28-NOV-2023,28-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
William White Meats Ltd,Nov 23/143,616.86,20-NOV-2023,28-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Complete Intacare Hygiene Ltd,Nov 23/144,622.32,01-NOV-2023,06-NOV-2023,B6100C-Adult Social Care Directorate,B6071E-Provider Services
Alpha Biolaboratories Limited,Nov 23/145,624,31-AUG-2023,21-NOV-2023,B6200C-Childrens Services Directorate,B6026E-Looked After Childrens Service
Aquajoy Limited,Nov 23/146,624,24-OCT-2023,17-NOV-2023,B7000C-Neighbourhoods and Environment Directorate,B5148E-Parks and Open Spaces Service
Cubiquity Limited,Nov 23/147,624,05-OCT-2023,28-NOV-2023,B6200C-Childrens Services Directorate,B6028E-Placement and Resource Services
Van-Haaren & Son,Nov 23/148,625,16-OCT-2023,10-NOV-2023,B4000C-Resources Directorate,B4045E-CT Social Fund Service
Thomas Ridley and Son Ltd,Nov 23/149,627.33,28-NOV-2023,28-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/150,631.75,24-NOV-2023,24-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/151,635.25,03-NOV-2023,03-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Recognition Express Romford,Nov 23/152,635.82,12-OCT-2023,07-NOV-2023,B2100C-Stronger Communities Directorate,B2056E-Libraries Registrars Ceremonies
DSI Billing Services Ltd,Nov 23/153,635.83,31-OCT-2023,24-NOV-2023,B5000C-Place Directorate,B5503E-Housing Access
Thomas Ridley and Son Ltd,Nov 23/154,636.51,06-NOV-2023,06-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/155,639.34,10-NOV-2023,10-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/156,639.38,06-NOV-2023,06-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Thomas Ridley and Son Ltd,Nov 23/157,639.98,03-NOV-2023,03-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Waltham Forest Community Hub,Nov 23/158,640,22-OCT-2023,14-NOV-2023,B6200C-Childrens Services Directorate,B6028E-Placement and Resource Services
Thomas Ridley and Son Ltd,Nov 23/159,642.7,13-NOV-2023,14-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/160,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/161,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/162,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/163,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/164,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/165,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/166,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/167,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/168,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/169,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/170,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/171,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/172,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/173,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/174,647.22,04-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/175,647.22,04-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/176,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/177,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/178,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/179,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/180,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/181,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
Tri-Star packaging Supplies Ltd,Nov 23/182,647.22,05-SEP-2023,07-NOV-2023,B6200C-Childrens Services Directorate,B6106E-Waltham Forest Catering Service
My Local Pitch Ltd,Nov 23/183,648,02-NOV-2023,28-NOV-2023,B7000C-Neighbourhoods and Environment Directorate,B5143E-Leisure
Cubiquity Limited,Nov 23/184,652.5,02-JUN-2023,28-NOV-2023,B2100C-Stronger Communities Directorate,B2063E-Communities and Participation
Flying Hire Limited,Nov 23/191,654,25-OCT-2023,01-NOV-2023,B4000C-Resources Directorate,B4067E-Mortuary Service
Walker Fire UK Ltd,Nov 23/185,654,18-AUG-2023,09-NOV-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Walker Fire UK Ltd,Nov 23/186,654,02-AUG-2023,09-NOV-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Walker Fire UK Ltd,Nov 23/187,654,18-AUG-2023,09-NOV-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Walker Fire UK Ltd,Nov 23/188,654,26-JUN-2023,09-NOV-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Walker Fire UK Ltd,Nov 23/189,654,07-AUG-2023,09-NOV-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Walker Fire UK Ltd,Nov 23/190,654,02-AUG-2023,09-NOV-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Walker Fire UK Ltd,Nov 23/192,654,18-AUG-2023,09-NOV-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Nudge Education Limited,Nov 23/193,657.5,31-OCT-2023,23-NOV-2023,B6200C-Childrens Services Directorate,B6503E-Central Expenditure High Needs
CDS FURNITURE LTD,Nov 23/197,660,02-NOV-2023,28-NOV-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
Evercam Uk Limited,Nov 23/194,660,09-OCT-2023,02-NOV-2023,B0000C-Council Balance Sheet,B0000E-Council Balance Sheet Service
New Court Chambers,Nov 23/195,660,22-SEP-2023,24-NOV-2023,B6200C-Childrens Services Directorate,B6022E-Safeguarding and Family Support Group
New Court Chambers,Nov 23/196,660,31-AUG-2023,15-NOV-2023,B6200C-Childrens Services Directorate,B6021E-Director of Childrens Social Care Service
Reddo Care and Support C.I.C.,Nov 23/198,660.24,03-OCT-2023,03-NOV-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Reddo Care and Support C.I.C.,Nov 23/199,660.24,30-OCT-2023,30-NOV-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Reddo Care and Support C.I.C.,Nov 23/200,660.24,16-OCT-2023,23-NOV-2023,B6200C-Childrens Services Directorate,B6023E-Safeguarding and Family Support 1
Spartan Crew Ltd,Nov 23/201,662.4,26-SEP-2023,07-NOV-2023,B2100C-Stronger Communities Directorate,B5111E-Culture and Heritage Service
