PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£2,427.97"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£2,713.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£2,849.69"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£2,427.97"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£2,155.11"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£2,713.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£2,427.97"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£2,713.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£1,952.51"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£2,427.97"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£2,713.24"
01-Nov-24,C&FS (P),Baca Charity,TRADE SUPPLIER,5411-Private Contractors - General,"£3,053.24"
01-Nov-24,C&FS (P),Bespoke Transitions Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£4,414.28"
01-Nov-24,Environment & Transport (P),Biffa Waste Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,£737.23
01-Nov-24,Environment & Transport (P),Biffa Waste Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£1,075.74"
01-Nov-24,Environment & Transport (P),Biffa Waste Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£1,121.62"
01-Nov-24,Environment & Transport (P),Biffa Waste Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£1,078.60"
01-Nov-24,Environment & Transport (P),Biffa Waste Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£1,012.62"
01-Nov-24,C&FS (P),Bleep 360 Care Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£19,152.00"
01-Nov-24,Adults & Communities (P),Bolinda UK Ltd,TRADE SUPPLIER,4111-Books & Audio Visual,"£1,298.85"
01-Nov-24,Adults & Communities (P),Bolinda UK Ltd,TRADE SUPPLIER,4111-Books & Audio Visual,£956.82
