date,supplier,directorate,purpose,amount
2023-04-19,B-Skill Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,5166.54
2023-04-19,B-Skill Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1759.28
2023-04-19,CECOS,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,84735.57
2023-04-19,CECOS,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,8348.51
2023-04-19,DIP Batley,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,965.48
2023-04-19,DIP Batley,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,56497.66
2023-04-19,Learning Curve Group,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,98166.4
2023-04-19,Netcom Training Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,7103.81
2023-04-19,Pathway First Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,125171.94
2023-04-19,Pathway First Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,12497.71
2023-04-19,People Plus Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,105343.45
2023-04-19,People Plus Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,84817.1
2023-04-19,Realise Learning and Employment Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,125262.74
2023-04-19,Realise Learning and Employment Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,900
2023-04-19,Realise Learning and Employment Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,6027.33
2023-04-19,Talented Training,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,49514.07
2023-04-19,The Skills Network,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,49384.37
2023-04-19,Think Employment Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,6783.02
2023-04-19,Think Employment Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,671.99
2023-04-19,Total Training Provision,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,54972.19
2023-04-19,Total Training Provision,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,6386.21
2023-04-19,Waltham International College Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,23485.6
2023-04-19,Waltham International College Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,3855.52
2023-04-19,Waltham International College Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,5301.62
2023-04-19,Woodspeen Training Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,103537.53
2023-04-19,Woodspeen Training Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,9944.17
2023-05-19,Aim2Learn,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,54328.67
2023-05-19,Back2Work Complete Training Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,105200.56
2023-05-19,Back2Work Complete Training Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,123438.37
2023-05-19,B-Skill Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,11871.57
2023-05-19,B-Skill Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,1187.16
2023-05-19,CECOS,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,137073.52
2023-05-19,CECOS,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,13637.94
2023-05-19,DIP Batley,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,4350.02
2023-05-19,DIP Batley,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,796.85
2023-05-19,DIP Batley,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,43574.16
2023-05-19,Learning Curve Group,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,45240.06
2023-05-19,Learning Curve Group,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,4254.83
2023-05-19,Learning Curve Group,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,42930.65
2023-05-19,Netcom Training Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,4575.42
2023-05-19,Pathway First Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,159704.64
2023-05-19,Pathway First Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,15970.46
