Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Adult Social Care,SILVALEA LTD,15/07/2024,No,-420,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,15/07/2024,No,80,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,15/07/2024,No,-300,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,15/07/2024,No,300,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,15/07/2024,No,210,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,15/07/2024,No,90,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,15/07/2024,No,600,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,15/07/2024,No,-100,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/05/2024,No,-100,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,13/05/2024,No,600,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,03/09/2024,No,215,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,03/09/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,16/09/2024,No,391,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,16/09/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,27/09/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,27/09/2024,No,642.2,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,27/09/2024,No,-219,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,27/09/2024,No,219,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,27/09/2024,No,258.2,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,27/09/2024,No,-258.2,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,27/09/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,27/09/2024,No,219,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,27/09/2024,No,556,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,27/09/2024,No,-27.8,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,29/08/2024,No,200,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,29/08/2024,No,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Central Services to the Public,SHAW & SONS LTD,06/09/2024,No,240,STATIONERY SCHOOLS ONLY,Stationery - General
Environmental and Regulatory Services,BROXAP LTD,22/08/2024,No,8850,MATERIALS,Resale Materials (Bereavement)
Cultural & Related Services,BROXAP LTD,12/09/2024,No,1992,OTHER CONTRACTED SERVICES,Land Protection
Cultural & Related Services,BROXAP LTD,12/09/2024,No,355,OTHER CONTRACTED SERVICES,Land Protection
Planning & Development Services,Tandem Property Asset Management LLP,12/09/2024,No,1861.45,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,12/09/2024,No,-1861.45,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,12/09/2024,No,1551.21,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,16/09/2024,No,-11874.24,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,16/09/2024,No,11874.24,RENTS FOR PREMISES,Rents
Planning & Development Services,Tandem Property Asset Management LLP,16/09/2024,No,9895.2,RENTS FOR PREMISES,Rents
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,300,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/09/2024,No,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/09/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/09/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/09/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/09/2024,No,300,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/09/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/09/2024,No,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,06/09/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,SELDEN RESEARCH LTD,16/09/2024,No,126.6,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,16/09/2024,No,211.65,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,16/09/2024,No,136.5,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,16/09/2024,No,-12.27,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,16/09/2024,No,61.2,PAYABLES PRICE VARIANCE AC,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,16/09/2024,No,-61.2,PAYABLES PRICE VARIANCE AC,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,16/09/2024,No,12.27,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,16/09/2024,No,73.62,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,16/09/2024,No,-0.15,PAYABLES PRICE VARIANCE AC,Cleaning Materials - Chemical
Children & Education Services,TEACHER ACTIVE LIMITED,19/09/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,19/09/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,19/09/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,19/09/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,19/09/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,24/09/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,24/09/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,24/09/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,24/09/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,24/09/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Housing Revenue Account,ALLPAY.NET LTD,19/09/2024,No,1378.83,PAYMENT CHARGES,PAYMENT CHARGES
Central Services to the Public,ALLPAY.NET LTD,19/09/2024,No,1569.54,PROFESSIONAL FEES,PROFESSIONAL FEES
Children & Education Services,JP Safeguarding Improvement Consultancy Ltd,03/09/2024,No,2600,PROFESSIONAL FEES,Consultancy - Business
Adult Social Care,DRIVE DEVILBISS HEALTHCARE LTD,29/08/2024,No,604.3,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,DRIVE DEVILBISS HEALTHCARE LTD,06/09/2024,No,389.1,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,Redacted Personal Data,24/09/2024,No,275,CLEANING,Cleaning Materials - Other
Planning & Development Services,NSL LTD,16/09/2024,No,392.59,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Planning & Development Services,NSL LTD,16/09/2024,No,-392.59,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Planning & Development Services,NSL LTD,16/09/2024,No,327.16,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Corporate & Democratic Core,ELMDON HEATH & DISTRICT COMMUNITY CENTRE,16/09/2024,No,300,ROOM HIRE PREMISES HIRE,Room Hire
Central Services to the Public,ELMDON HEATH & DISTRICT COMMUNITY CENTRE,16/09/2024,No,120,ROOM HIRE PREMISES HIRE,Room Hire
Corporate & Democratic Core,ELMDON HEATH & DISTRICT COMMUNITY CENTRE,16/09/2024,No,120,ROOM HIRE PREMISES HIRE,Room Hire
Central Services to the Public,ELMDON HEATH & DISTRICT COMMUNITY CENTRE,16/09/2024,No,120,ROOM HIRE PREMISES HIRE,Room Hire
Cultural & Related Services,Redacted Personal Data,06/09/2024,No,1009.73,OTHER FEES & CHARGES,Events
Children & Education Services,Ivory Flake Limited,12/09/2024,No,250,OTHER FEES & CHARGES,Arts & Leisure Services - Other
Corporate & Democratic Core,BARCLAYCARD,19/09/2024,No,10994.28,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Corporate & Democratic Core,BARCLAYCARD,19/09/2024,No,925,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Corporate & Democratic Core,BARCLAYCARD,19/09/2024,No,230,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Planning & Development Services,Redacted Personal Data,20/09/2024,No,6583.33,RENTS FOR PREMISES,Rents
Children & Education Services,INCLUSIVE SPORTS ACADEMY CIC,04/09/2024,No,2395.5,OTHER GRANTS,OTHER GRANTS
Children & Education Services,INCLUSIVE SPORTS ACADEMY CIC,04/09/2024,No,6623.75,OTHER GRANTS,OTHER GRANTS
Children & Education Services,Entrust Care Partnership,30/09/2024,No,4147.75,OTHER GRANTS,OTHER GRANTS
Central Services to the Public,DEEPSTORE,06/09/2024,No,2210.27,GENERAL OFFICE EXPENSES,Document Archiving & Storage
Planning & Development Services,Shepherd Commercial Limited,06/09/2024,No,360,OTHER CONTRACTED SERVICES,Facilities & Management Services
Adult Social Care,SANDANT CARE LTD,06/09/2024,No,14180.56,BLOCK CONTRACTS,ASC - Block Contracts - Community and Voluntary Sector
Adult Social Care,SANDANT CARE LTD,12/09/2024,No,8346.64,BLOCK CONTRACTS,ASC - Block Contracts - Community and Voluntary Sector
Cultural & Related Services,"Christie, Owen & Davies Ltd",06/09/2024,No,4750,OTHER CONTRACTED SERVICES,Facilities & Management Services
Planning & Development Services,FUNDAMENTAL MOVEMENT ACADEMY,20/09/2024,No,3800,GRANTS & SUBSCRIPTIONS,Grants - Other
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,139.4,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,154.75,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,286.35,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,89.8,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,37.75,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,149.99,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,126.46,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,62.34,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,90.64,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,132.24,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,139.74,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,147.29,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,120.64,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,134.29,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,256.59,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,92,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,260.56,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,173.92,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,152.38,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,282.38,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,173.62,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,101.53,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,128.52,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,62.31,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,39.1,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,82.8,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,128.68,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,157.6,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,260.64,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,69.61,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,41.26,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,52.35,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,103.7,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,156.22,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,104.46,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,126.56,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,54.71,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,243.96,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,-95.92,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,64.85,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,109.84,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,95.9,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,231.03,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,99.94,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,85.72,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,152.2,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,235.91,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,104.26,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,99.64,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,317.64,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,39.57,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,36.98,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,112.49,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,95.05,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,109.98,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,160.68,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,129.66,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,68.4,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,66.25,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,125.12,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,75.61,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,153.15,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,122.91,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,201.11,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,150.33,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,96.17,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,156.69,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,298.65,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/09/2024,No,160.47,CATERING PROVISIONS,Catering - Food & Beverages
