Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,41.4,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,-41.4,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,136.6,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,141.1,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,41.4,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,123.9,PAYABLES ACCRUAL ACCOUNT,Hand Tools - Other
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,-20,PAYABLES PRICE VARIANCE AC,Hand Tools - Other
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,-0.02,PAYABLES PRICE VARIANCE AC,Cleaning Materials - Chemical
Children & Education Services,SELDEN RESEARCH LTD,08/11/2024,No,27.8,PAYABLES ACCRUAL ACCOUNT,Cleaning Materials - Chemical
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,21/11/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,22/11/2024,No,509.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,22/11/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,22/11/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,22/11/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,22/11/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,22/11/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,-382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,29/11/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Housing Revenue Account,ALLPAY.NET LTD,15/11/2024,No,1430.12,PAYMENT CHARGES,PAYMENT CHARGES
Central Services to the Public,ALLPAY.NET LTD,15/11/2024,No,1540.37,PROFESSIONAL FEES,PROFESSIONAL FEES
Adult Social Care,DRIVE DEVILBISS HEALTHCARE LTD,26/11/2024,No,389.1,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Highways & Transport Services,NSL LTD,08/11/2024,No,-24306.24,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,08/11/2024,No,24306.24,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,08/11/2024,No,20255.2,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,08/11/2024,No,52739.26,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,08/11/2024,No,-52739.26,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,08/11/2024,No,43949.38,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,08/11/2024,No,-5121.37,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,08/11/2024,No,5121.37,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,08/11/2024,No,4267.81,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,08/11/2024,No,1185.4,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,08/11/2024,No,-1185.4,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,08/11/2024,No,987.83,OTHER CONTRACTED SERVICES,Parking - Wardens
Children & Education Services,JP Safeguarding Improvement Consultancy Ltd,05/11/2024,No,1950,PROFESSIONAL FEES,Consultancy - Business
Children & Education Services,Perry and co Property Investment Limited,22/11/2024,No,4320,OTHER FEES & CHARGES,Fees - Other (Schools)
Adult Social Care,SOLIHULL CARS LTD,01/11/2024,No,210,CLIENTS TRANSPORT COSTS,Taxi - Adult Social Care
Children & Education Services,Solihull Schools Football Association,26/11/2024,No,1200,OTHER FEES & CHARGES,Fees - Other (Schools)
Corporate & Democratic Core,BARCLAYCARD,14/11/2024,No,230,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Corporate & Democratic Core,BARCLAYCARD,14/11/2024,No,1195.93,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Corporate & Democratic Core,BARCLAYCARD,14/11/2024,No,10724.07,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Adult Social Care,ASIST,28/11/2024,No,270,OTHER CONTRACTED SERVICES,ASC - Mental Health Services
Central Services to the Public,Around Again Charity,08/11/2024,No,4488,GRANTS & SUBSCRIPTIONS,Grants - Other
Children & Education Services,RAISE TO SHINE CHILDCARE,15/11/2024,No,3270,CLIENTS EXPENSES,ASC - Client Expenses
Adult Social Care,VSS & SONS LTD,19/11/2024,No,2136.25,OTHER CONTRACTED SERVICES,ASC - Mental Health Services
Adult Social Care,VSS & SONS LTD,19/11/2024,No,3463.5,OTHER CONTRACTED SERVICES,ASC - Mental Health Services
Children & Education Services,Signpost Inclusion,07/11/2024,No,1905,OTHER GRANTS,OTHER GRANTS
Children & Education Services,INCLUSIVE SPORTS ACADEMY CIC,07/11/2024,No,2395.5,OTHER GRANTS,OTHER GRANTS
Children & Education Services,STRIKE9T CIC,07/11/2024,No,6767.75,OTHER GRANTS,OTHER GRANTS
Children & Education Services,SOLIHULL MOORS FOUNDATION,07/11/2024,No,5692.5,OTHER GRANTS,OTHER GRANTS
Children & Education Services,MERIDEN ADVENTURE PLAYGROUND ASSOCIATION,07/11/2024,No,2250,OTHER GRANTS,OTHER GRANTS
Children & Education Services,ORDINARY MAGIC,07/11/2024,No,5390,OTHER GRANTS,OTHER GRANTS
Children & Education Services,URBAN HEARD CIC,07/11/2024,No,6762,OTHER GRANTS,OTHER GRANTS
Children & Education Services,Signpost Inclusion,07/11/2024,No,6833.35,OTHER GRANTS,OTHER GRANTS
Children & Education Services,Signpost Inclusion,07/11/2024,No,3043.5,OTHER GRANTS,OTHER GRANTS
Children & Education Services,Signpost Inclusion,07/11/2024,No,1542,OTHER GRANTS,OTHER GRANTS
Children & Education Services,INCLUSIVE SPORTS ACADEMY CIC,07/11/2024,No,6623.75,OTHER GRANTS,OTHER GRANTS
Children & Education Services,EDENRED,21/11/2024,No,3700.16,PROFESSIONAL FEES,CSC - Other
Central Services to the Public,DEEPSTORE,01/11/2024,No,1937.55,GENERAL OFFICE EXPENSES,Document Archiving & Storage
Children & Education Services,Local Radio Cars Ltd,06/11/2024,No,7450,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,Local Radio Cars Ltd,06/11/2024,No,43747,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Cultural & Related Services,Brizzle Productions,21/11/2024,No,1287,GENERAL RECEIPTS IN ADVANCE,Payment of 3rd Party Ticket Sales
Adult Social Care,SANDANT CARE LTD,21/11/2024,No,8346.64,BLOCK CONTRACTS,ASC - Block Contracts - Community and Voluntary Sector
Adult Social Care,SANDANT CARE LTD,27/11/2024,No,14180.56,BLOCK CONTRACTS,ASC - Block Contracts - Community and Voluntary Sector
Adult Social Care,SANDANT CARE LTD,27/11/2024,No,8346.64,BLOCK CONTRACTS,ASC - Block Contracts - Community and Voluntary Sector
Children & Education Services,Redacted Personal Data,14/11/2024,No,350,TRAINING,Training
Children & Education Services,Redacted Personal Data,01/11/2024,No,2200,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,Redacted Personal Data,15/11/2024,No,680,PROFESSIONAL FEES,CSC - Other
Children & Education Services,ILLUMINATE PSYCHOLOGY SERVICES LTD,01/11/2024,No,2200,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,188.36,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,44.68,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,158.7,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,215.32,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,101.73,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,36.2,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,141.42,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,64.87,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,89.81,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,141.89,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,112.84,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,43.96,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,154.72,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,126.93,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,188.62,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,157.85,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,85.68,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,108.95,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,106.65,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,151.1,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,273.87,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,126.95,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,106.29,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,88.04,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,75.17,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,119.91,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,125.17,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,156.7,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,128.48,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,39.84,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,59.21,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,36.47,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,105.18,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,90.91,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,79.9,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,194.18,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,162.15,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,72.58,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,86.72,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,53.09,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,208.15,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,85.9,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,79.41,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,134.22,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,70.42,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,214.92,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,107.2,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,101.04,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,280.06,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,54.07,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,116.68,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,92.8,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,-16.8,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,37,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,75.11,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,142.77,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,75.61,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,67.79,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,67.13,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,74.62,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,97.71,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,40.13,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,166.63,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,103.19,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,20.99,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,102.59,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,116.49,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,88.56,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,156.21,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,4.51,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,70.62,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,157.64,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,270.62,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,56.68,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,37.79,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,46.23,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,12/11/2024,No,124.77,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,Redacted Personal Data,21/11/2024,No,3908.75,RENTS FOR PREMISES,Rents
Cultural & Related Services,HAGS-SMP LTD,23/11/2023,No,874,OTHER CONTRACTED SERVICES,Land Protection
Cultural & Related Services,HAGS-SMP LTD,28/05/2024,No,1137.35,OTHER CONTRACTED SERVICES,Land Protection
Cultural & Related Services,HAGS-SMP LTD,14/10/2024,No,4387.53,OTHER CONTRACTED SERVICES,Land Protection
