Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Children & Education Services,PROSPERO TEACHING,27-08-2024,No,500,PROFESSIONAL FEES,CSC - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,1075.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,08-08-2024,No,879.58,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Cultural & Related Services,BULLIVANT MEDIA LTD,01-08-2024,No,300,MARKETING,Marketing
Housing Revenue Account,ALLPAY.NET LTD,19-08-2024,No,1413.86,PAYMENT CHARGES,Not Classified
Central Services to the Public,ALLPAY.NET LTD,19-08-2024,No,1580.26,PROFESSIONAL FEES,Not Classified
Children & Education Services,JP Safeguarding Improvement Consultancy Ltd,08-08-2024,No,5200,PROFESSIONAL FEES,Consultancy - Business
Children & Education Services,EDUCATION ACCESS LTD,08-08-2024,No,300,TRAINING,Training
Adult Social Care,DRIVE DEVILBISS HEALTHCARE LTD,19-08-2024,No,450,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,KEEN N CLEAN,05-08-2024,No,275,CLEANING,Cleaning Materials - Other
Highways & Transport Services,NSL LTD,19-08-2024,No,-54747.88,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,19-08-2024,No,54747.88,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,19-08-2024,No,45623.23,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,19-08-2024,No,21548.09,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,19-08-2024,No,-21548.09,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,19-08-2024,No,17956.74,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,E H SMITH (BUILDERS MERCHANTS) LTD,14-08-2024,No,690,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,E H SMITH (BUILDERS MERCHANTS) LTD,14-08-2024,No,712,MATERIALS,Street Lighting - Materials - Highways
Cultural & Related Services,REDACTED PERSONAL DATA,19-08-2024,No,500,OTHER FEES & CHARGES,Events
Cultural & Related Services,ALGECO UK LTD,06-08-2024,No,-542.59,OTHER CONTRACTED SERVICES,Facilities & Management Services
Cultural & Related Services,REDACTED PERSONAL DATA,14-08-2024,No,800,OTHER FEES & CHARGES,Events
Cultural & Related Services,REDACTED PERSONAL DATA,15-08-2024,No,850,OTHER FEES & CHARGES,Events
Planning & Development Services,REDACTED PERSONAL DATA,06-08-2024,No,2400,GRANTS & SUBSCRIPTIONS,Grants - Other
Planning & Development Services,REDACTED PERSONAL DATA,15-08-2024,No,700,GRANTS & SUBSCRIPTIONS,Grants - Other
Children & Education Services,Signpost Inclusion,23-08-2024,No,1905,OTHER GRANTS,Not Classified
Children & Education Services,SOLIHULL MOORS FOUNDATION,23-08-2024,No,5692.5,OTHER GRANTS,Not Classified
Children & Education Services,INCLUSIVE SPORTS ACADEMY CIC,23-08-2024,No,2395.5,OTHER GRANTS,Not Classified
Children & Education Services,MERIDEN ADVENTURE PLAYGROUND ASSOCIATION,23-08-2024,No,2250.5,OTHER GRANTS,Not Classified
Children & Education Services,STRIKE9T CIC,23-08-2024,No,6767.75,OTHER GRANTS,Not Classified
Children & Education Services,ORDINARY MAGIC,23-08-2024,No,5390,OTHER GRANTS,Not Classified
Children & Education Services,URBAN HEARD CIC,23-08-2024,No,6762,OTHER GRANTS,Not Classified
Children & Education Services,Signpost Inclusion,23-08-2024,No,6833.35,OTHER GRANTS,Not Classified
Children & Education Services,Signpost Inclusion,23-08-2024,No,1542,OTHER GRANTS,Not Classified
Children & Education Services,INCLUSIVE SPORTS ACADEMY CIC,23-08-2024,No,6623.75,OTHER GRANTS,Not Classified
Children & Education Services,Signpost Inclusion,23-08-2024,No,3043.5,OTHER GRANTS,Not Classified
Children & Education Services,EDENRED,05-08-2024,No,2093.12,PROFESSIONAL FEES,CSC - Other
Children & Education Services,EDENRED,05-08-2024,No,69164.49,PROFESSIONAL FEES,CSC - Other
Central Services to the Public,DEEPSTORE,05-08-2024,No,1765.88,GENERAL OFFICE EXPENSES,Document Archiving & Storage
Children & Education Services,Local Radio Cars Ltd,01-08-2024,No,6700,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,Local Radio Cars Ltd,01-08-2024,No,32300.86,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Environmental and Regulatory Services,VALID,01-08-2024,No,570,PROFESSIONAL FEES,Testing & Inspection
Central Services to the Public,LIQUIDLOGIC LTD,26-03-2024,No,57102.82,ICT GENERAL,ICT - Software
Central Services to the Public,LIQUIDLOGIC LTD,26-03-2024,No,0.01,ICT GENERAL,ICT - Software
Central Services to the Public,LIQUIDLOGIC LTD,14-08-2024,No,77611.31,ICT GENERAL,ICT - Software
Adult Social Care,SANDANT CARE LTD,08-08-2024,No,14180.56,BLOCK CONTRACTS,ASC - Block Contracts - Community and Voluntary Sector
Adult Social Care,SANDANT CARE LTD,15-08-2024,No,8346.64,BLOCK CONTRACTS,ASC - Block Contracts - Community and Voluntary Sector
Adult Social Care,SOLIHULL ACTION THROUGH ADVOCACY,13-08-2024,No,937.12,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Adult Social Care,SOLIHULL ACTION THROUGH ADVOCACY,13-08-2024,No,33617.93,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Children & Education Services,REDACTED PERSONAL DATA,22-08-2024,No,2000,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Central Services to the Public,REDACTED PERSONAL DATA,05-08-2024,No,709.4,TRAINING,Training
Corporate & Democratic Core,SPURCROFT CIVIC,27-08-2024,No,425,OTHER FEES & CHARGES,Arts & Leisure Services - Other
Corporate & Democratic Core,SPURCROFT CIVIC,27-08-2024,No,16.5,OTHER FEES & CHARGES,Not Classified
Highways & Transport Services,Dawson Group Environmental Municipal Civil Limited,15-08-2024,No,1557.93,OTHER TRANSPORT COSTS,Vehicles - Maintenance
Highways & Transport Services,Dawson Group Environmental Municipal Civil Limited,15-08-2024,No,262.98,OTHER TRANSPORT COSTS,Vehicles - Maintenance
Highways & Transport Services,Dawson Group Environmental Municipal Civil Limited,15-08-2024,No,335.34,OTHER TRANSPORT COSTS,Vehicles - Maintenance
Highways & Transport Services,Dawson Group Environmental Municipal Civil Limited,01-08-2024,No,2350,VEHICLE HIRE,Vehicles - Leasing
Children & Education Services,REDACTED PERSONAL DATA,22-08-2024,No,3000,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Central Services to the Public,REDACTED PERSONAL DATA,05-08-2024,No,680,TRAINING,Training
Children & Education Services,SOLIHULL CARS LTD,02-08-2024,No,32324.5,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,SOLIHULL CARS LTD,02-08-2024,No,19222.54,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,-2789.43,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,2789.43,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,679.36,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,-679.36,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,2615.09,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,-2615.09,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,871.7,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,-871.7,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,-466.29,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,466.29,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,-871.7,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,871.7,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,-2092.07,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,2092.07,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,989.31,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,-989.31,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,1404.4,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,-1404.4,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,1675.95,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,01-08-2024,No,1405.38,ELECTRICITY,Electricity
Central Services to the Public,TOTAL GAS & POWER LTD,15-08-2024,No,8746.02,GENERAL CREDITORS,Bulk Utilities Bills
Central Services to the Public,TOTAL GAS & POWER LTD,15-08-2024,No,237154.09,GENERAL CREDITORS,Bulk Utilities Bills
Children & Education Services,REDACTED PERSONAL DATA,21-08-2024,No,3908.75,RENTS FOR PREMISES,Rents
Cultural & Related Services,HAGS-SMP LTD,05-08-2024,No,600,OTHER CONTRACTED SERVICES,Land Protection
Central Services to the Public,ADARE LTD,08-08-2024,No,1412.13,POSTAGE  COURIER SERVICES,Postage
Central Services to the Public,ADARE LTD,08-08-2024,No,11130.78,POSTAGE  COURIER SERVICES,Postage
Central Services to the Public,ADARE LTD,08-08-2024,No,322.21,POSTAGE  COURIER SERVICES,Postage
Children & Education Services,TRINITY COLLEGE LONDON,08-08-2024,No,3182,CAPITATION,Education - Other
Central Services to the Public,CHERRY REAL ESTATES LTD,08-08-2024,No,1876,RENTS FOR PREMISES,Not Classified
Highways & Transport Services,TOTAL GAS & POWER LTD,02-08-2024,No,-434.44,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,02-08-2024,No,434.44,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,02-08-2024,No,1505.28,ELECTRICITY,Electricity
Highways & Transport Services,TOTAL GAS & POWER LTD,02-08-2024,No,1729.5,ELECTRICITY,Electricity
Planning & Development Services,Winnr Sports CIC,14-08-2024,No,1260,GRANTS & SUBSCRIPTIONS,Grants - Other
Children & Education Services,Halo Transfers Ltd,01-08-2024,No,4245,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Planning & Development Services,MOTT MACDONALD LTD,08-08-2024,No,5000,PROFESSIONAL FEES,Consultancy - Business
Planning & Development Services,MOTT MACDONALD LTD,08-08-2024,No,5739.76,PROFESSIONAL FEES,Consultancy - Business
Central Services to the Public,ST BASILS,16-08-2024,No,825.71,RENTS FOR PREMISES,Not Classified
Central Services to the Public,HOMEGROUP LTD,16-08-2024,No,1335.48,RENTS FOR PREMISES,Not Classified
Central Services to the Public,ST BASILS,16-08-2024,No,825.71,RENTS FOR PREMISES,Not Classified
Central Services to the Public,HAYS SPECIALIST RECRUITMENT LTD,01-08-2024,No,-632.4,AGENCY STAFF,Not Classified
Central Services to the Public,HEMISPHERE WEST EUROPE,05-08-2024,No,1272,ICT GENERAL,ICT - Application Service Provision
Children & Education Services,REDACTED PERSONAL DATA,12-08-2024,No,500,CLIENTS EXPENSES,Not Classified
Adult Social Care,Trulife Limited,22-07-2024,No,586,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,Trulife Limited,01-08-2024,No,792,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Children & Education Services,M & BG LTD,22-08-2024,No,548,GROUNDS MAINTENANCE,Playground & Pool Maintenance
Central Services to the Public,Cornerstone Training and Support Ltd,29-08-2024,No,1490,TRAINING,Training
Central Services to the Public,Cornerstone Training and Support Ltd,29-08-2024,No,-1490,TRAINING,Training
Central Services to the Public,Cornerstone Training and Support Ltd,29-08-2024,No,1200,TRAINING,Training
Central Services to the Public,Cornerstone Training and Support Ltd,29-08-2024,No,180,TRAINING,Training
Central Services to the Public,Cornerstone Training and Support Ltd,29-08-2024,No,70,TRAINING,Training
Central Services to the Public,Cornerstone Training and Support Ltd,29-08-2024,No,40,TRAINING,Training
Environmental and Regulatory Services,CENTSA,08-07-2024,No,5846,OTHER FEES & CHARGES,Environmental Services - Other
Environmental and Regulatory Services,CENTSA,22-07-2024,No,-5846,OTHER FEES & CHARGES,Environmental Services - Other
Environmental and Regulatory Services,CENTSA,22-07-2024,No,-5846,OTHER FEES & CHARGES,Environmental Services - Other
Environmental and Regulatory Services,CENTSA,22-07-2024,No,5846,OTHER FEES & CHARGES,Environmental Services - Other
Environmental and Regulatory Services,CENTSA,22-07-2024,No,3949,OTHER FEES & CHARGES,Environmental Services - Other
Environmental and Regulatory Services,CENTSA,22-07-2024,No,1432,OTHER FEES & CHARGES,Environmental Services - Other
Environmental and Regulatory Services,CENTSA,22-07-2024,No,465,OTHER FEES & CHARGES,Environmental Services - Other
Children & Education Services,ALISON EAREY LTD,15-08-2024,No,675,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Central Services to the Public,The Copyright Licensing Agency Ltd,25-06-2024,No,25235.65,LEGAL FEES,Legal Services - Other
Central Services to the Public,The Copyright Licensing Agency Ltd,01-08-2024,No,25100.7,LEGAL FEES,Legal Services - Other
Central Services to the Public,SECURITY PLUS + LTD,20-08-2024,No,332.5,OTHER CONTRACTED SERVICES,Cash Collection
Highways & Transport Services,Loxbrook Associates ,01-08-2024,No,660,TRAINING,Training
Highways & Transport Services,Loxbrook Associates ,01-08-2024,No,220,TRAINING,Training
Highways & Transport Services,Loxbrook Associates ,01-08-2024,No,220,TRAINING,Training
Highways & Transport Services,Loxbrook Associates ,01-08-2024,No,220,TRAINING,Training
Children & Education Services,Principle Lindsay Ltd,22-08-2024,No,1300,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Central Services to the Public,Anglian Water Business (National) t/as Wave Utilities,14-08-2024,No,29601.22,GENERAL CREDITORS,Bulk Utilities Bills
Central Services to the Public,VODAFONE CORPORATE LTD,01-08-2024,No,14492.52,GENERAL CREDITORS,Bulk Utilities Bills
Central Services to the Public,VODAFONE CORPORATE LTD,01-08-2024,No,0.12,GENERAL CREDITORS,Bulk Utilities Bills
Central Services to the Public,VODAFONE CORPORATE LTD,28-08-2024,No,14475.15,GENERAL CREDITORS,Bulk Utilities Bills
Central Services to the Public,VODAFONE CORPORATE LTD,28-08-2024,No,-14475.15,GENERAL CREDITORS,Bulk Utilities Bills
Central Services to the Public,VODAFONE CORPORATE LTD,28-08-2024,No,55.12,GENERAL CREDITORS,Bulk Utilities Bills
Central Services to the Public,VODAFONE CORPORATE LTD,28-08-2024,No,14420.03,GENERAL CREDITORS,Bulk Utilities Bills
Adult Social Care,Berkeley Scott Ltd,14-08-2024,No,-1102.48,AGENCY STAFF,Agency Staff - Other
Adult Social Care,Berkeley Scott Ltd,14-08-2024,No,1102.48,AGENCY STAFF,Agency Staff - Other
Adult Social Care,Berkeley Scott Ltd,14-08-2024,No,918.74,AGENCY STAFF,Agency Staff - Other
Adult Social Care,Berkeley Scott Ltd,14-08-2024,No,932.05,AGENCY STAFF,Agency Staff - Other
Adult Social Care,Berkeley Scott Ltd,01-08-2024,No,-1030.57,AGENCY STAFF,Agency Staff - Other
Adult Social Care,Berkeley Scott Ltd,01-08-2024,No,1030.57,AGENCY STAFF,Agency Staff - Other
Adult Social Care,Berkeley Scott Ltd,01-08-2024,No,858.81,AGENCY STAFF,Agency Staff - Other
Adult Social Care,Berkeley Scott Ltd,14-08-2024,No,-1105.12,AGENCY STAFF,Agency Staff - Other
Adult Social Care,Berkeley Scott Ltd,14-08-2024,No,1105.12,AGENCY STAFF,Agency Staff - Other
Adult Social Care,Berkeley Scott Ltd,14-08-2024,No,920.94,AGENCY STAFF,Agency Staff - Other
Adult Social Care,LIVING OPTIONS DEVON,01-08-2024,No,516.75,OTHER CONTRACTED SERVICES,ASC - Mental Health Services
Adult Social Care,LTT VENDING GROUP,28-08-2024,No,843.79,GENERAL BUILDING COSTS,General Materials
Environmental and Regulatory Services,SHELLIES FLOWERS,21-08-2024,No,350,PURCHASE OF EQUIPMENT/MACHINERY,"Office Business Equipment (Shredders, Guillotines, Laminators, etc)"
Highways & Transport Services,NUNEATON SIGNS,15-07-2024,No,297.76,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,29-07-2024,No,367.92,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,29-07-2024,No,215.67,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,29-07-2024,No,246.49,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,29-07-2024,No,246.49,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,29-07-2024,No,385,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,29-07-2024,No,100.13,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,29-07-2024,No,122.89,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,29-07-2024,No,122.89,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,29-07-2024,No,209.96,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,29-07-2024,No,248.01,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,01-08-2024,No,206.78,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,01-08-2024,No,44.4,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,05-08-2024,No,207.4,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,05-08-2024,No,106.08,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,NUNEATON SIGNS,05-08-2024,No,56.64,MATERIALS,Street Lighting - Materials - Highways
Children & Education Services,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,15-08-2024,No,265041,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Children & Education Services,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,15-08-2024,No,-265041,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Children & Education Services,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,15-08-2024,No,265039.83,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Children & Education Services,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,15-08-2024,No,1.17,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Highways & Transport Services,ALLWAG PROMOTIONS LTD,29-08-2024,No,262,OTHER FEES & CHARGES,Events
Highways & Transport Services,ALLWAG PROMOTIONS LTD,29-08-2024,No,305,OTHER FEES & CHARGES,Events
