Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Adult Care Support,Adult Social Care,Age UK Solihull,06/09/2022,,15820.75,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Age UK Solihull,22/09/2022,,180000.00,GRANTS & SUBSCRIPTIONS,Grants - Other
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,01/09/2022,,5400.00,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Non Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,01/09/2022,,2377.50,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,01/09/2022,,400.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,01/09/2022,,2500.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,06/09/2022,,0.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,06/09/2022,,874.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/09/2022,,1100.00,PURCHASE OF EQUIPMENT/MACHINERY,Social Community Care - Non Fitted Equipment
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/09/2022,,750.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/09/2022,,960.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/09/2022,,1150.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/09/2022,,0.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/09/2022,,1800.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/09/2022,,42.75,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/09/2022,,380.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/09/2022,,377.50,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,16/09/2022,,475.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Aidapt Bathrooms Ltd,20/09/2022,,432.25,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Resources,Central Services to the Public,AIT Partnership Group Ltd,05/09/2022,,2814.97,ICT GENERAL,ICT - Maintenance & Support
Solihull MBC,Economy and Infrastructure,Planning & Development Services,Alan Baxter Ltd,15/09/2022,,4465.00,PROFESSIONAL FEES,Consultancy - Business
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Alderbrook School,02/09/2022,,1664.50,OTHER CONTRACTED SERVICES,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,14/09/2022,,-874.35,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,14/09/2022,,971.50,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2720.20,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2583.56,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,1748.70,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,874.35,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2720.20,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2583.56,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2534.56,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2578.24,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Alexandra House - SJMT,12/09/2022,,2550.80,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Economy and Infrastructure,Highways & Transport Services,Alfa Tail Lifts,05/09/2022,,76.50,OTHER TRANSPORT COSTS,Vehicles - Maintenance
Solihull MBC,Economy and Infrastructure,Highways & Transport Services,Alfa Tail Lifts,05/09/2022,,57.38,OTHER TRANSPORT COSTS,Vehicles - Maintenance
