Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Children & Education Services,PROSPERO TEACHING,22/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,-400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26/09/2024,No,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,07/10/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,07/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,07/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,07/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,18/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,07/10/2024,No,-400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,07/10/2024,No,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,07/10/2024,No,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,09/10/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,09/10/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,09/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,09/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,09/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,14/10/2024,No,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,300,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,22/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,24/10/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,509.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,509.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,509.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,509.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,15/10/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,18/10/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,18/10/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,18/10/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,25/10/2024,No,509.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,25/10/2024,No,509.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,25/10/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,31/10/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,25/10/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,31/10/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,25/10/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Housing Revenue Account,ALLPAY.NET LTD,17/10/2024,No,1313.71,PAYMENT CHARGES,PAYMENT CHARGES
Central Services to the Public,ALLPAY.NET LTD,17/10/2024,No,1478.23,PROFESSIONAL FEES,PROFESSIONAL FEES
Adult Social Care,DRIVE DEVILBISS HEALTHCARE LTD,29/10/2024,No,232.8,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,Redacted Personal Data,28/10/2024,No,275,CLEANING,Cleaning Materials - Other
Highways & Transport Services,NSL LTD,16/09/2024,No,-55368.58,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/09/2024,No,55368.58,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/09/2024,No,46140.48,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/09/2024,No,-21774.4,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/09/2024,No,21774.4,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/09/2024,No,18145.33,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,07/10/2024,No,-23078.65,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,07/10/2024,No,23078.65,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,07/10/2024,No,19232.21,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,07/10/2024,No,51408.88,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,07/10/2024,No,-51408.88,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,07/10/2024,No,42840.73,OTHER CONTRACTED SERVICES,Parking - Wardens
Children & Education Services,JP Safeguarding Improvement Consultancy Ltd,28/10/2024,No,2275,PROFESSIONAL FEES,Consultancy - Business
Children & Education Services,Perry and co Property Investment Limited,14/10/2024,No,7200,OTHER FEES & CHARGES,Fees - Other (Schools)
Highways & Transport Services,E H SMITH (BUILDERS MERCHANTS) LTD,07/10/2024,No,712,MATERIALS,Street Lighting - Materials - Highways
Cultural & Related Services,MP Exercise,01/10/2024,No,590,OTHER CONTRACTED SERVICES,Facilities & Management Services
Cultural & Related Services,Redacted Personal Data,14/10/2024,No,2000,OTHER FEES & CHARGES,Events
Corporate & Democratic Core,BARCLAYCARD,02/10/2024,No,230,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Corporate & Democratic Core,BARCLAYCARD,02/10/2024,No,122.5,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Corporate & Democratic Core,BARCLAYCARD,02/10/2024,No,12101.77,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Corporate & Democratic Core,BARCLAYCARD,11/10/2024,No,10273.18,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Corporate & Democratic Core,BARCLAYCARD,11/10/2024,No,660.68,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Corporate & Democratic Core,BARCLAYCARD,11/10/2024,No,230,OTHER FEES & CHARGES,OTHER FEES & CHARGES
Planning & Development Services,JLL,07/10/2024,No,437.71,GENERAL BUILDING COSTS,"Construction, Repair & Maintenance - Works"
Cultural & Related Services,Redacted Personal Data,17/10/2024,No,525,GENERAL RECEIPTS IN ADVANCE,Payment of 3rd Party Ticket Sales
Cultural & Related Services,Redacted Personal Data,17/10/2024,No,350,GENERAL RECEIPTS IN ADVANCE,Payment of 3rd Party Ticket Sales
Adult Social Care,Redacted Personal Data,02/10/2024,No,726.22,OTHER CONTRACTED SERVICES,OTHER CONTRACTED SERVICES
Children & Education Services,EDENRED,30/08/2024,No,3873.76,PROFESSIONAL FEES,CSC - Other
Central Services to the Public,DEEPSTORE,02/10/2024,No,1895.66,GENERAL OFFICE EXPENSES,Document Archiving & Storage
Children & Education Services,Local Radio Cars Ltd,09/10/2024,No,7430,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,Local Radio Cars Ltd,09/10/2024,No,-7430,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,Local Radio Cars Ltd,09/10/2024,No,42183,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,Local Radio Cars Ltd,09/10/2024,No,-42183,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,Local Radio Cars Ltd,09/10/2024,No,7430,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,Local Radio Cars Ltd,09/10/2024,No,42183,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,The Social Workers Unions,18/10/2024,No,450,PROFESSIONAL FEES,Professional & Advisory Services - HR
Central Services to the Public,Renewal Christian Centre,18/10/2024,No,15131.32,GRANTS & SUBSCRIPTIONS,Grants - Other
Cultural & Related Services,Giraffe Dance,18/10/2024,No,2000,OTHER FEES & CHARGES,Events
Central Services to the Public,Renewal Christian Centre,18/10/2024,No,8879.89,GRANTS & SUBSCRIPTIONS,Grants - Other
Adult Social Care,"RMN, BIA and AMHP Services Ltd",22/10/2024,No,250,OTHER CONTRACTED SERVICES,ASC - Mental Health Services
Cultural & Related Services,Redacted Personal Data,28/10/2024,No,400,OTHER FEES & CHARGES,Events
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,153.05,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,153.19,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,147.24,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,20.88,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,74,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,46.6,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,100.28,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,68.61,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,20.81,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,60.6,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,85.77,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,3.9,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,192.62,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,81.36,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,17.78,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,36.55,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,158.62,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,108.71,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,-10.4,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,42.51,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,78.55,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,235.34,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,60.13,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,137.72,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,231.64,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,90.39,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,45.74,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,51.66,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,71.89,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,113.93,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,67.85,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,195.86,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,166.8,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,63.28,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,33.9,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,93.05,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,-11.76,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,64.78,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,76.02,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,130.46,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,159.76,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,76.38,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,89.48,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,119.82,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,141.14,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,94.35,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,92.81,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,36.12,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,-11.4,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,98.14,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,72.61,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,192.58,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,88.47,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,50.09,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,212.93,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,30.97,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,89.24,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,63.02,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,120.52,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,104.84,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,92.58,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,73.61,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,23.73,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,53.09,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,59.46,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,56.14,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,58.81,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,77.03,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,56.42,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,126.9,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,87.9,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,94.62,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,129.37,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,70.23,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,159.94,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,166.94,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,64.1,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,18.5,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,43.95,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,07/10/2024,No,123.05,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,CITY LINK TRANSFERS,29/10/2024,No,1602,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,CITY LINK TRANSFERS,09/10/2024,No,2169.86,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,CITY LINK TRANSFERS,29/10/2024,No,1691,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
