Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,3003.56,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,629.05,ASC RESIDENTIAL CARE RESPITE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,21/02/2023,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,Resources,Central Services to the Public,Ace Office Environments Ltd,27/02/2023,,4209.20,STATIONERY SCHOOLS ONLY,Stationery - General
Solihull MBC,Children and Education,Children & Education Services,Achieve Mentoring,17/02/2023,,950.30,CLIENTS EXPENSES,Not Classified
Solihull MBC,Children and Education,Children & Education Services,ACPAS Ltd,10/02/2023,,286.67,PROFESSIONAL FEES,CSC - Other
Solihull MBC,Children and Education,Children & Education Services,ACPAS Ltd,24/02/2023,,795.60,PROFESSIONAL FEES,Not Classified
Solihull MBC,Children and Education,Children & Education Services,ACPAS Ltd,10/02/2023,,849.91,PROFESSIONAL FEES,Not Classified
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Act On Energy,06/02/2023,,99387.00,GRANTS & SUBSCRIPTIONS,Not Classified
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Act On Energy,06/02/2023,,134950.00,GRANTS & SUBSCRIPTIONS,Not Classified
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Act On Energy,06/02/2023,,-134950.00,GRANTS & SUBSCRIPTIONS,Not Classified
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Act On Energy,06/02/2023,,-99387.00,GRANTS & SUBSCRIPTIONS,Not Classified
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Young People Ltd T/A Ivetsey Bank Hospital,03/02/2023,,1312.50,CAPITATION,Education - Other
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Young People Ltd T/A Ivetsey Bank Hospital,03/02/2023,,1400.00,CAPITATION,Education - Other
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Young People Ltd T/A Ivetsey Bank Hospital,03/02/2023,,1225.00,CAPITATION,Education - Other
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Young People Ltd T/A Ivetsey Bank Hospital,03/02/2023,,2187.50,CAPITATION,Education - Other
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Young People Ltd T/A Ivetsey Bank Hospital,03/02/2023,,1400.00,CAPITATION,Education - Other
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Young People Ltd T/A Ivetsey Bank Hospital,03/02/2023,,2362.50,CAPITATION,Education - Other
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Young People Ltd T/A Ivetsey Bank Hospital,06/02/2023,,700.00,CAPITATION,Education - Other
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Young People Ltd T/A Ivetsey Bank Hospital,03/02/2023,,2275.00,CAPITATION,Education - Other
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Active Young People Ltd T/A Ivetsey Bank Hospital,09/02/2023,,1050.00,CAPITATION,Education - Other
Solihull MBC,Resources,Central Services to the Public,Adare Ltd,15/02/2023,,2794.61,POSTAGE COURIER SERVICES,Postage
Solihull MBC,Resources,Central Services to the Public,Adare Ltd,15/02/2023,,1006.64,POSTAGE COURIER SERVICES,Postage
Solihull MBC,Resources,Central Services to the Public,Adare Ltd,15/02/2023,,6102.35,POSTAGE COURIER SERVICES,Postage
Solihull MBC,Resources,Central Services to the Public,Adecco UK Ltd,02/02/2023,,1124.06,AGENCY STAFF,Agency Staff - Professional
