Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Children & Education Services,PROSPERO TEACHING,10/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,10/12/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,270,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,360,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,499.5,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,450,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,16/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,23/12/2024,No,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,18/10/2024,No,1271.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,18/10/2024,No,-1271.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,18/10/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,18/10/2024,No,-1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,18/10/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,18/10/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,16/12/2024,No,509.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,16/12/2024,No,509.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,16/12/2024,No,509.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,19/12/2024,No,509.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,16/12/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,16/12/2024,No,1274.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,16/12/2024,No,382.43,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,16/12/2024,No,254.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,16/12/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,19/12/2024,No,559.9,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,19/12/2024,No,1147.28,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,19/12/2024,No,1399.75,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,19/12/2024,No,419.93,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,19/12/2024,No,279.95,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,TEACHER ACTIVE LIMITED,19/12/2024,No,637.38,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Housing Revenue Account,ALLPAY.NET LTD,18/12/2024,No,1335.59,PAYMENT CHARGES,PAYMENT CHARGES
Central Services to the Public,ALLPAY.NET LTD,18/12/2024,No,1463.51,PROFESSIONAL FEES,PROFESSIONAL FEES
Adult Social Care,DRIVE DEVILBISS HEALTHCARE LTD,16/12/2024,No,389.1,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,DRIVE DEVILBISS HEALTHCARE LTD,16/12/2024,No,232.8,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,Redacted Personal Data,04/12/2024,No,275,CLEANING,Cleaning Materials - Other
Planning & Development Services,NSL LTD,16/12/2024,No,261.47,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Planning & Development Services,NSL LTD,16/12/2024,No,-261.47,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Planning & Development Services,NSL LTD,16/12/2024,No,217.89,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Highways & Transport Services,NSL LTD,16/12/2024,No,-592.98,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/12/2024,No,592.98,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/12/2024,No,494.15,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/12/2024,No,-20067.17,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/12/2024,No,20067.17,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/12/2024,No,16722.64,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/12/2024,No,55176.5,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/12/2024,No,-55176.5,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,NSL LTD,16/12/2024,No,45980.42,OTHER CONTRACTED SERVICES,Parking - Wardens
Highways & Transport Services,E H SMITH (BUILDERS MERCHANTS) LTD,11/12/2024,No,712,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,E H SMITH (BUILDERS MERCHANTS) LTD,19/12/2024,No,907.4,MATERIALS,Street Lighting - Materials - Highways
Children & Education Services,JP Safeguarding Improvement Consultancy Ltd,04/12/2024,No,1950,PROFESSIONAL FEES,Consultancy - Business
Highways & Transport Services,Back To Original LTD,23/12/2024,No,1470,PURCHASE OF EQUIPMENT/MACHINERY,Parking - Equipment
Highways & Transport Services,Back To Original LTD,23/12/2024,No,4700,PURCHASE OF EQUIPMENT/MACHINERY,Parking - Equipment
Adult Social Care,SOLIHULL CARS LTD,02/12/2024,No,240,CLIENTS TRANSPORT COSTS,Taxi - Adult Social Care
Cultural & Related Services,Redacted Personal Data,04/12/2024,No,350,GENERAL RECEIPTS IN ADVANCE,Payment of 3rd Party Ticket Sales
Cultural & Related Services,Redacted Personal Data,16/12/2024,No,525,GENERAL RECEIPTS IN ADVANCE,Payment of 3rd Party Ticket Sales
Children & Education Services,GNG Nursery,19/12/2024,No,495,CLIENTS EXPENSES,ASC - Client Expenses
Children & Education Services,Local Radio Cars Ltd,23/12/2024,No,5900,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,Local Radio Cars Ltd,23/12/2024,No,48328,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Cultural & Related Services,Giraffe Dance,02/12/2024,No,2000,OTHER FEES & CHARGES,Events
Adult Social Care,LIQUIDLOGIC LTD,27/11/2024,No,6750,ICT GENERAL,ICT - Software
Children & Education Services,CITY LINK TRANSFERS,10/12/2024,No,1780,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,CITY LINK TRANSFERS,10/12/2024,No,700,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,CITY LINK TRANSFERS,19/12/2024,No,1335,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Children & Education Services,CITY LINK TRANSFERS,19/12/2024,No,2100,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Adult Social Care,SANDANT CARE LTD,23/12/2024,No,14180.56,BLOCK CONTRACTS,ASC - Block Contracts - Community and Voluntary Sector
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,187.24,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,87.2,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,166.12,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,141.51,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,106.39,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,122.65,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,46.63,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,51.9,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,101.1,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,120.55,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,70.44,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,57.27,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,83.86,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,91.24,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,187.46,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,218.2,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,72.43,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,269.22,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,104.83,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,130.31,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,220.61,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,169.05,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,77.76,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,105.84,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,126.18,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,38.3,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,153.79,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,42.58,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,145.17,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,207.38,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,2.78,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,56.57,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,12.23,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,53.79,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,25.95,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,59.94,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,71.44,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,58.83,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,6.33,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,231.26,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,72.27,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,46.51,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,112.56,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,113.79,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,125.99,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,5.72,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,98.73,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,127.01,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,75.96,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,50.91,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,195.59,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,99.82,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,51.84,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,422.24,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,36.74,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,95.37,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,116.9,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,129.38,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,144.77,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,80.27,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,111.77,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,57.52,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,109.56,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,62.12,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,57.26,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,117.9,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,71.59,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,105.25,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,102.04,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,100.64,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,112.95,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,67.64,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,9.3,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,202.1,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,200.51,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,50.85,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,139.42,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,101,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,162.44,CATERING PROVISIONS,Catering - Food & Beverages
Children & Education Services,ARTHUR BRETT CATERING LTD,10/12/2024,No,-2.95,CATERING PROVISIONS,Catering - Food & Beverages
Highways & Transport Services,XYLEM WATER SOLUTIONS UK LTD,21/11/2024,No,569,OTHER CONTRACTED SERVICES,Engineering
Highways & Transport Services,XYLEM WATER SOLUTIONS UK LTD,21/11/2024,No,743.13,OTHER CONTRACTED SERVICES,Engineering
Highways & Transport Services,XYLEM WATER SOLUTIONS UK LTD,10/12/2024,No,1250.73,OTHER CONTRACTED SERVICES,Engineering
Highways & Transport Services,XYLEM WATER SOLUTIONS UK LTD,10/12/2024,No,1250.73,OTHER CONTRACTED SERVICES,Engineering
Children & Education Services,Redacted Personal Data,10/12/2024,No,2200,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Central Services to the Public,HAGS-SMP LTD,07/11/2024,No,590,PROFESSIONAL FEES,Consultancy - Works
Central Services to the Public,ADARE LTD,10/12/2024,No,1345.16,POSTAGE  COURIER SERVICES,Postage
Central Services to the Public,CRITIQOM LTD,05/12/2024,No,9247.91,POSTAGE  COURIER SERVICES,Postage
