Body,Body name,Date,Transaction number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Registration Number,Expense Area,Expense Type,Expense Code,BVACOP,ProClass,ProClass Description,Extended Description,Profit Centre
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901617571,925574,-441.80,Redacted,Redacted,,LEARN DIS 18-64 LT,COMMUNITY CARE SERVI,330101,,,,Redacted,157003
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,1901620711,933344,"8,602.92",Redacted,Redacted,,LEARN DIS 18-64 LT,DIRECT PAYMENTS,230840,,,,Redacted,157003
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,1901620711,933344,-441.80,Redacted,Redacted,,LEARN DIS 18-64 LT,COMMUNITY CARE SERVI,330101,,,,Redacted,157003
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901618332,927389,"2,708.48",HC-1 (Pendleton Court),127029,,PHYS SUPP 75-84 LT,EXT NURS CARE FEES,230844,,321100,SOCIAL CARE : Children,Redacted,157020
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901617572,925574,"4,177.68",Redacted,Redacted,,PHYS SUPP 18-64 LT,DIRECT PAYMENTS,230840,,,,Redacted,157000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,1901620712,933344,"4,177.68",Redacted,Redacted,,PHYS SUPP 18-64 LT,DIRECT PAYMENTS,230840,,,,Redacted,157000
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901617573,925574,"2,723.16",Redacted,Redacted,,PHYS SUPP 65-74 LT,DIRECT PAYMENTS,230840,,,,Redacted,157010
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,04/12/2023,1901617573,925574,-27.68,Redacted,Redacted,,PHYS SUPP 65-74 LT,COMMUNITY CARE SERVI,330101,,,,Redacted,157010
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,1901620713,933344,"2,723.16",Redacted,Redacted,,PHYS SUPP 65-74 LT,DIRECT PAYMENTS,230840,,,,Redacted,157010
http://statistics.data.gov.uk/id/statistical-geography/E08000009 ,Trafford,22/12/2023,1901620713,933344,-27.68,Redacted,Redacted,,PHYS SUPP 65-74 LT,COMMUNITY CARE SERVI,330101,,,,Redacted,157010
