Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
Director of Network Resilience,31770,Marketing,20172,TC Branding Group,7043987,45259,8637.04
Executive Director WMRE,31770,Marketing,20172,TC Branding Group,7044741,45259,785.6
Metro Programme Director,60780,General Expenditure,20173,Eastside Projects Ltd,7041954,45240,24699
Metro Programme Director,60780,General Expenditure,20173,Eastside Projects Ltd,7041961,45240,24699
Commonwealth Games Legacy Fund,31571,External Advice,20174,Heart of England Community Foundation,7043990,45245,165383
Commonwealth Games Legacy Fund,31571,External Advice,20174,Heart of England Community Foundation,7044288,45245,4150
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20174,Heart of England Community Foundation,7043991,45245,1800000
Adult Education,31770,Marketing,20183,The Behaviours Agency Limited,7043654,45231,6100
Head of Policy & Public Affairs,31671,Revenue Contributions to Third Parties,20188,Barrow Cadbury Trust,7044070,45245,34750
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20188,Barrow Cadbury Trust,7044070,45245,215000
UKSPF,31571,External Advice,20205,Coventry University Enterprise Ltd,7042991,45231,1513
UKSPF,31767,Events / Exhibitions,20205,Coventry University Enterprise Ltd,7044794,45259,1507.5
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,20214,Penham Excel Ltd,7044562,45251,4800
Learning and Development,30112,Learning & Development,20234,Legacy Consultants Ltd,7043564,45239,3743.75
Sprint,60343,Site Office Costs,20246,West Wallasey Car Hire Ltd,7043796,45233,747.5
Sprint,60343,Site Office Costs,20246,West Wallasey Car Hire Ltd,7043797,45233,632
Adult Education,32751,Provider Delivery Fees - Grant,20249,"Herefordshire, Ludlow and North Shropshire College",7044318,45251,2225
Inclusion,30119,Staff Welfare,20259,New Leaf Health,7043977,45245,2015
Delivery Director - Rail,30008,Agency Staff ( Established Posts),20260,Constellia Public Limited,7044606,45257,50910.18
"Executive Director of Strategy, Integration and Ne",31572,Consultants,20260,Constellia Public Limited,7044204,45245,1400
"Executive Director of Strategy, Integration and Ne",31572,Consultants,20260,Constellia Public Limited,7044205,45245,5600
Director of Integrated Network Services,31572,Consultants,20260,Constellia Public Limited,7044547,45259,5472
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7043586,45231,8456.25
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7043587,45231,2166.15
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7043588,45231,2166.15
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7043589,45231,2166.15
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7043590,45231,2166.15
Metro Programme Director,60001,Project Support Costs,20260,Constellia Public Limited,7043750,45257,5538.46
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7043850,45239,2166.15
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7043988,45239,1680.54
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7043989,45239,1680.54
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7044000,45239,1680.54
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7044001,45239,1680.54
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7044002,45239,1680.54
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7044003,45239,1680.54
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044197,45245,2756.92
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044198,45245,2756.92
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044199,45245,2756.92
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044201,45245,2756.92
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044203,45245,2756.92
Delivery Director - Rail,60001,Project Support Costs,20260,Constellia Public Limited,7044258,45259,4800
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044334,45251,1969.23
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044335,45251,1969.23
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044336,45251,1969.23
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044337,45251,2196.73
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044453,45251,2756.92
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044553,45251,2756.92
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044554,45251,2756.92
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044555,45251,2756.92
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7044629,45257,2756.92
Sprint,60110,Financial & Commerical Advice,20260,Constellia Public Limited,7043585,45231,5000
"Director of Policy, Strategy & Innovation",31604,IT Software Licenses and Applications,20261,TMI Systems Limited,7043939,45239,1620
Director of Housing & Regeneration,31571,External Advice,20264,Coverdale Barclay,7043819,45239,2672
Tendered Bus Services,32425,Subsidised Services,20276,Solus Travel Ltd,40582,45252,4705
Tendered Bus Services,32425,Subsidised Services,20276,Solus Travel Ltd,40583,45252,1720.5
UKSPF,31571,External Advice,20293,Metro Dynamics,7043907,45239,27387.18
Energy Capital,31571,External Advice,20295,Wulfruna Consulting Ltd,7043206,45239,2450
Energy Capital,31572,Consultants,20295,Wulfruna Consulting Ltd,7043206,45239,2345
Energy Capital,31572,Consultants,20295,Wulfruna Consulting Ltd,7044265,45245,4795
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7043619,45231,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7043940,45240,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7044269,45245,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7044544,45251,2600
Capital Financing,33622,Debt Management,20327,TP ICAP Group Services Ltd,7044348,45247,1561.65
Capital Financing,33622,Debt Management,20327,TP ICAP Group Services Ltd,7044349,45247,2465.75
Capital Financing,33622,Debt Management,20327,TP ICAP Group Services Ltd,7044350,45247,2547.94
Bus Service Improvement Plan (BSIP),31767,Events / Exhibitions,20337,Brand Evolution Limited T/A Design One,7043748,45233,2380
Bus Service Improvement Plan (BSIP),31770,Marketing,20337,Brand Evolution Limited T/A Design One,7043709,45233,9335
Bus Service Improvement Plan (BSIP),31770,Marketing,20337,Brand Evolution Limited T/A Design One,7043710,45233,8725
Bus Service Improvement Plan (BSIP),31770,Marketing,20337,Brand Evolution Limited T/A Design One,7043736,45233,4429
Bus Service Improvement Plan (BSIP),31770,Marketing,20337,Brand Evolution Limited T/A Design One,7043749,45233,580
Net Zero Neighbourhood,31671,Revenue Contributions to Third Parties,20372,Solihull Community Housing Limited,7043583,45231,7349.44
Employment & Skills,31767,Events / Exhibitions,20374,Communication Workers Union,7043698,45233,800
Metro Programme Director,60780,General Expenditure,20375,Allelys Heavy Haulage Limited,7043984,45239,7400
Metro Programme Director,60780,General Expenditure,20375,Allelys Heavy Haulage Limited,7044652,45259,2228.6
Learning and Development,30112,Learning & Development,20381,Enna CIC,7044148,45240,750
UKSPF,31770,Marketing,20422,Lightyear Films Ltd,7044377,45247,900
Create Central Projects,31767,Events / Exhibitions,20423,Oval Digbeth Ltd,7043553,45231,566.6
Inclusion,30119,Staff Welfare,20434,Gaydio Community Interest Company,7044546,45251,1500
Head of Organisational Development,30115,Staff Recruitment Costs,20455,TrustID Limited,7044012,45240,1050
Inclusion,30119,Staff Welfare,20456,Wellity Ltd,7044603,45257,7863
Head of IT Delivery,31608,Software Maintenance,20462,Zoho Corporation Limited,7043737,45233,669
Sprint,60343,Site Office Costs,20466,SSE,3003936,45232,2687.94
Head of Swift,60001,Project Support Costs,20475,RG ITS,7043862,45239,10000
Head of Swift,60001,Project Support Costs,20475,RG ITS,7044719,45259,10000
Safety and Security Manager,30754,CCTV,20485,Grey rock innovations,7043723,45233,750
Net Zero Neighbourhood,60001,Project Support Costs,20489,Keegans Limted,7043379,45231,4980
ICT Project,31608,Software Maintenance,20494,Tisski Ltd,7043835,45239,15975
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,20496,Getmapping Plc,7044854,45259,26375.3
"Director of Policy, Strategy & Innovation",31571,External Advice,20498,The Knowledge Academy Limited,7044268,45245,7000
Head of Finance & Business Planning,30112,Learning & Development,20519,Edgbaston Park Hotel and Conference Centre,7044371,45247,1058.33
Director of Midlands Connect,31604,IT Software Licenses and Applications,20548,Haank Consulting with Cloud Constructions,7043715,45233,750
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7044156,45245,3054
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7044157,45245,3064
Investment Programme Financing,60541,Health & Safety,20582,MMRA Ltd,7043295,45251,16297.44
Investment Programme Financing,60541,Health & Safety,20582,MMRA Ltd,7043901,45247,5528.16
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7043649,45245,2584.54
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044238,45247,2511.29
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044239,45247,2896.04
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044245,45247,2826.09
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044246,45247,3064.38
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044270,45247,3380.73
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044271,45247,3380.73
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044272,45247,3326.75
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044273,45247,3475.64
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044274,45247,3528.37
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044298,45247,3380.73
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044454,45259,1967.68
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044602,45259,790.88
Investment Programme Financing,60191,Design Works,20610,CURRALL LEWIS & MARTIN CONSTRUCTION,7043657,45231,4781.31
Investment Programme Financing,60342,Site Investigation Works,20610,CURRALL LEWIS & MARTIN CONSTRUCTION,7041678,45231,18280
Tendered Bus Services,32425,Subsidised Services,20611,Chaserider Buses Ltd,40582,45252,27341.73
Tendered Bus Services,32425,Subsidised Services,20611,Chaserider Buses Ltd,40583,45252,7770.91
Energy Capital,31572,Consultants,20612,Greenfield Nordic,7042543,45239,13682
Executive Director WMRE,31769,Promotional Material,20625,Worcester Cathedral,7044154,45240,5000
UKSPF,31770,Marketing,20635,The Business Desk,7044624,45257,8000
Learning and Development,30112,Learning & Development,20639,Six Eighty Limited,7043656,45239,750
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20643,United by 2022 Legacy Charity,7044320,45245,343534
ICT Project,31608,Software Maintenance,20648,EBC Group,7044162,45245,2200
Director of Network Resilience,31571,External Advice,20660,Infinite You Limited,7044212,45247,845
Metro Programme Director,60633,Tram Purchase Payments,20713,Garic Limited,7043768,45239,950
Information Delivery Team,30504,Printing IBSS Timetables,20717,Cubiquity Limited,7043817,45245,16166.72
Information Delivery Team,30504,Printing IBSS Timetables,20717,Cubiquity Limited,7043818,45251,642.5
Careers,31571,External Advice,20737,J Rasmin Consultancy Ltd,7043584,45240,2778.38
Careers,31571,External Advice,20738,Julie Cornfield,7043842,45240,2613.8
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043548,45231,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043549,45231,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043778,45233,2340
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043944,45239,14755.03
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7044038,45245,2340
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7044367,45251,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7044681,45257,3900
Adult Education,32752,Provider Delivery Fees - Contract,20750,Goode Tutoring Ltd,8013911,45251,14234.09
Executive Director WMRE,60001,Project Support Costs,20751,Engineering Integration Ltd,7043911,45247,2500
Environment,31571,External Advice,20759,Treeconomics Limited,7044598,45257,16511
Adult Education,32752,Provider Delivery Fees - Contract,20779,Fairway Training Healthcare Ltd,8013911,45251,66715.35
Adult Education,32752,Provider Delivery Fees - Contract,20780,Free to Learn Ltd,8013911,45251,67495.3
Employment & Skills,31572,Consultants,20827,AoC Services Limited,7043790,45233,8126.4
Employment & Skills,31572,Consultants,20827,AoC Services Limited,7043791,45233,4025
Accessible Transport,31571,External Advice,20830,Kytes Consultancy Ltd,7043735,45239,5000
Accessible Transport,31571,External Advice,20830,Kytes Consultancy Ltd,7044569,45257,5000
Director of Housing & Regeneration,31571,External Advice,20853,Plan B Solutions Ltd,7044611,45257,1633.5
Director of Housing & Regeneration,31571,External Advice,20853,Plan B Solutions Ltd,7044612,45257,3811.1
Sprint,60191,Design Works,20855,Pavement Testing Services Limited,7043792,45257,4750
Energy Capital,31571,External Advice,20859,Elmhurst Energy Systems Limited,7044284,45245,540.75
Adult Education,32752,Provider Delivery Fees - Contract,20861,PTP Training Ltd,8013911,45251,1050.61
UKSPF,31767,Events / Exhibitions,20871,Coventry Arena Retail Limited,7044810,45259,43806.81
"Director of Policy, Strategy & Innovation",30112,Learning & Development,20882,Edinburgh Napier University,7044747,45259,1590
Head of Swift,60001,Project Support Costs,20886,Human8,3003941,45238,9989
DBT Growth Hub,31572,Consultants,20893,Yellow Door Education Solutions Ltd,7043856,45239,11027.45
Director of Housing & Regeneration,30010,Secondee Costs,20895,Legal & General,7044545,45251,9691.64
Head of Health & Communities,31767,Events / Exhibitions,20905,Pride Sports,7044264,45245,4000
Adult Education,32752,Provider Delivery Fees - Contract,20907,Imeta Training and Solutions Ltd,8013911,45251,326901.52
Adult Education,32752,Provider Delivery Fees - Contract,20910,CECOS Computing International Ltd,8013911,45251,10998.29
Adult Education,32752,Provider Delivery Fees - Contract,20911,MAXIMUS UK SERVICES LIMITED,8013911,45251,28588.2
Adult Education,32752,Provider Delivery Fees - Contract,20918,Realise Learning & Employment Limited,8013911,45251,19299.46
Director of Network Resilience,60870,Training,20928,Stennik Advertising Ltd,7044870,45259,10000
Director of Network Resilience,60801,IT Software - Capital,20931,Remark AI UK Limited,7042331,45257,4320
Director of Network Resilience,60801,IT Software - Capital,20931,Remark AI UK Limited,7042332,45257,3775
Director of Housing & Regeneration,30010,Secondee Costs,20943,YARDBIRD PLANNING LTD,7044410,45251,16304.17
DBT Growth Hub,31572,Consultants,20962,Oxford Innovation Advice,7043814,45233,5197.82
Director of Housing & Regeneration,30119,Staff Welfare,20963,Genius Within CIC,7043551,45240,3072
Mayoral Events,10286,Other Revenue Income,20968,Diva Partnerships Birmingham Limited,7044796,45259,1326.36
Head of IT Delivery,31611,Cyber Security,20974,CI-Centerprise International Ltd,7044365,45247,11700
Head of Research & Intelligence,30115,Staff Recruitment Costs,20982,Multiverse Group Limited,7043514,45231,1500
Commonwealth Games Legacy Fund,30010,Secondee Costs,20984,Historic England,7043941,45239,5814.09
Employment & Skills,31767,Events / Exhibitions,20991,Black Country Innovative Manufacturing Organisatio,7043639,45231,960
Procurement,31604,IT Software Licenses and Applications,21006,Virtual stock Ltd,7044871,45259,2500
Events & Stakeholder,31767,Events / Exhibitions,21018,Aramark Limited,7043681,45231,597.65
Employment & Skills,31767,Events / Exhibitions,21020,The Midlands Business Network,7043704,45233,510
Director of Network Resilience,30104,Subs to Trade Bodies,21023,PACTS,7044543,45251,1860
Future Mobility Zone to FTZ – DRT University of Warwick,31571,External Advice,21030,Pete Dyson (Transport For Humans),7044452,45251,2240
Employment & Skills,31767,Events / Exhibitions,21031,Iron House Ventures,7043976,45239,650
Commonwealth Games Legacy Fund,31767,Events / Exhibitions,21032,Midlands Arts Centre,7044346,45251,1011.63
Capital Financing,33622,Debt Management,21034,Imperial Treasury Services Limited,7044472,45251,1506.85
Mayoral Events,10286,Other Revenue Income,21043,Beghal Ltd,7044797,45259,1943.5
Mayoral Events,31767,Events / Exhibitions,21044,Outdoor Staging Company Ltd,7044852,45259,1250
Director of Housing & Regeneration,60391,Security Works,5010,ADT Fire & Security,7031160,45244,522.2
Director of Housing & Regeneration,60391,Security Works,5010,ADT Fire & Security,7031162,45244,725.97
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8013905,45251,850194.42
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8013913,45251,12098.59
Delivery Director - Sustainable Transport,60395,Physical Construction,5054,Birmingham City Council,7044683,45257,7428.75
CRSTS - Revenue,60563,Local Authority CRSTS Costs,5054,Birmingham City Council,3004065,45259,2469674.68
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40582,45252,516259.8
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40583,45252,163390.76
Concessions Schemes,32430,Child Travel Pass Concession,5055,Diamond Bus Ltd,40580,45252,7925.85
Bromsgrove Rail Station,31602,Telephone - Land Line,5070,British Telecommunications plc,3004006,45251,602.06
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7044684,45257,3344.08
Head of Bus,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7043557,45231,4200.88
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7044149,45240,6041.25
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7044150,45240,6041.25
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7044151,45240,4337.62
Learning and Development,30112,Learning & Development,5116,CIPFA,7044249,45245,690
Head of Bus,31671,Revenue Contributions to Third Parties,5134,Community Transport Birmingham,3003952,45239,38634.88
Head of Health & Communities,30010,Secondee Costs,5147,Coventry City Council,7043680,45231,58375.83
Homelessness,31671,Revenue Contributions to Third Parties,5147,Coventry City Council,7043880,45239,15000
Adult Education,32751,Provider Delivery Fees - Grant,5147,Coventry City Council,8013905,45251,440697.33
Adult Education,32751,Provider Delivery Fees - Grant,5147,Coventry City Council,8013913,45251,1691.92
