Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
Tendered Bus Services,32425,Subsidised Services,10669,Thandi Red Ltd,40592,45279,15800
Industrial Strategy,31572,Consultants,10681,Dr Pamela Waddell OBE,7045065,45271,2887.5
Director of Midlands Connect,31604,IT Software Licenses and Applications,10682,Phoenix Software,7045684,45281,2164.62
Director of Network Resilience,60820,Publicity and PR,10690,Clive Reeves Public Relations Limited,7045239,45274,2265
Metro Programme Director,60392,Enabling Works,10695,Svella Connect Limited,7045721,45281,8000
Metro Programme Director,60611,Telephone Utility Costs,10695,Svella Connect Limited,7045721,45281,6486.17
Create Central Projects,31572,Consultants,10703,Sarah Wood Media Ltd,7045667,45281,3334
Create Central Projects,31652,Miscellaneous Travel Expenses,10703,Sarah Wood Media Ltd,7044922,45261,640.27
Director of Midlands Connect,31767,Events / Exhibitions,10715,Meetings of Minds,7045173,45271,35000
Accessible Transport,31604,IT Software Licenses and Applications,20014,Liftango Ltd,7045113,45266,1300
Accessible Transport,31604,IT Software Licenses and Applications,20014,Liftango Ltd,7045484,45274,24050
Adult Education,32752,Provider Delivery Fees - Contract,20017,Twin Training International,8014329,45280,1302.67
Director of Midlands Connect,31652,Miscellaneous Travel Expenses,20059,Staffordshire County Council,7044784,45261,3600
Adult Education,31767,Events / Exhibitions,20093,Culture Coventry,7045485,45274,1383.75
Director of Communications,31571,External Advice,20130,iNHouse Communications Limited,7044971,45281,6250
Director of Communications,31571,External Advice,20130,iNHouse Communications Limited,7045843,45281,13000
ICT Project,31608,Software Maintenance,20158,Simpson Associates Information Services Limited,7041951,45281,1625
Transport Assets,30851,Management Agents Costs,20161,LAMBERT SMITH HAMPTON (NIRELAND) LIMITED,7045749,45278,765.73
Employment & Skills,31770,Marketing,20172,TC Branding Group,7045350,45281,637.04
Commonwealth Games Legacy Fund,31571,External Advice,20174,Heart of England Community Foundation,7045493,45274,16217
Community Green,31671,Revenue Contributions to Third Parties,20174,Heart of England Community Foundation,7045615,45281,83259.3
Director of Housing & Regeneration,60001,Project Support Costs,20181,Cushman & Wakefield,7045487,45274,10000
Multiply,31571,External Advice,20183,The Behaviours Agency Limited,7045532,45278,20000
Head of Systems Change & Inclusion,31770,Marketing,20185,Birmingham Pride (UK) Ltd,7045261,45271,10000
Metro Programme Director,60802,Licence Fees - Capital,20199,Natural England,7045396,45274,515.5
Create Central Projects,31572,Consultants,20228,Lorna Nickson - Brown,7045021,45274,2666.67
Create Central Projects,31572,Consultants,20228,Lorna Nickson - Brown,7045556,45278,2666.67
Sprint,60343,Site Office Costs,20246,West Wallasey Car Hire Ltd,7045051,45281,790
Sprint,60343,Site Office Costs,20246,West Wallasey Car Hire Ltd,7045052,45281,598
Director of Integrated Network Services,31572,Consultants,20260,Constellia Public Limited,7045133,45266,14000
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7045225,45271,1691.82
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7045226,45271,1692.03
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7045227,45271,1692.03
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7045228,45271,1692.03
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7045229,45271,1692.03
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7045230,45271,1692.03
Delivery Director - Rail,60001,Project Support Costs,20260,Constellia Public Limited,7045503,45278,4800
Sprint,60110,Financial & Commerical Advice,20260,Constellia Public Limited,7044777,45266,27179.49
Tendered Bus Services,32425,Subsidised Services,20276,Solus Travel Ltd,40593,45279,941
Tendered Bus Services,32425,Subsidised Services,20276,Solus Travel Ltd,40594,45279,2823
Energy Capital,31572,Consultants,20295,Wulfruna Consulting Ltd,7045086,45278,4795
Head of Operational Assets - Bus Stations,60191,Design Works,20298,Studio MUTT Ltd,7045369,45278,4875
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7044806,45274,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7045136,45274,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7045386,45274,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7045795,45281,2600
Head of Governance,31577,Professional Advice,20307,Keating Chambers,7044935,45261,4000
Net Zero Neighbourhood,31671,Revenue Contributions to Third Parties,20339,Orbit Group Limited,7045045,45266,10117.83
Net Zero Neighbourhood,31671,Revenue Contributions to Third Parties,20339,Orbit Group Limited,7045361,45278,228330.54
Net Zero Neighbourhood,31671,Revenue Contributions to Third Parties,20372,Solihull Community Housing Limited,7045690,45281,10457.42
Inclusion,30112,Learning & Development,20381,Enna CIC,7044567,45274,3300
Homelessness,31671,Revenue Contributions to Third Parties,20400,Andy Meakin Consultancy Services,7045296,45274,5000
Accessible Transport,31571,External Advice,20413,Two Happy Goats LTD,7045374,45278,4000
Create Central Projects,31654,Hospitality Expenses,20457,Oval Digbeth Ltd- Fazeley Events,7045497,45274,1170.75
Metro Programme Director,30601,Electricity,20466,SSE,7042091,45281,3088.33
Metro Programme Director,30601,Electricity,20466,SSE,7042092,45281,3242.68
Sprint,60343,Site Office Costs,20466,SSE,7044439,45281,1377.47
Sprint,60343,Site Office Costs,20466,SSE,7045735,45281,2026.9
Head of Swift,60001,Project Support Costs,20475,RG ITS,7045561,45281,10000
Net Zero Neighbourhood,60001,Project Support Costs,20489,Keegans Limted,7045010,45266,22255
Net Zero Neighbourhood,60001,Project Support Costs,20489,Keegans Limted,7045138,45266,21374
ICT Project,31608,Software Maintenance,20494,Tisski Ltd,7045156,45266,9225
Inclusion,30119,Staff Welfare,20534,Health@Work Consultancy Services Limited,7045265,45274,4400
Create Central Projects,31572,Consultants,20536,Burns Owens Partnership Ltd t/a BOP Consulting,7044865,45271,950
Director of Midlands Connect,31604,IT Software Licenses and Applications,20548,Haank Consulting with Cloud Constructions,7045313,45274,750
Industrial Strategy,31572,Consultants,20555,Birmingham City University (BCU),7045680,45281,6250
Industrial Strategy,31572,Consultants,20555,Birmingham City University (BCU),7045681,45281,12500
Environment,31572,Consultants,20579,Walking Projects Plus,7045507,45274,14200
Investment Programme Financing,60541,Health & Safety,20582,MMRA Ltd,7043902,45281,748.88
Investment Programme Financing,60541,Health & Safety,20582,MMRA Ltd,7044605,45271,1491.84
Accessible Transport - Customer Service,30009,Staff Agency Services,20589,Winner Recruitment Birmingham LTD,7044970,45274,2162.78
Industrial Strategy,31571,External Advice,20592,Naski LTD,7045573,45281,4950
Tendered Bus Services,32425,Subsidised Services,20611,Chaserider Buses Ltd,40593,45279,9113.91
Tendered Bus Services,32425,Subsidised Services,20611,Chaserider Buses Ltd,40594,45279,27341.73
Create Central Projects,31572,Consultants,20621,HDY Agency Ltd,7045782,45281,30000
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20643,United by 2022 Legacy Charity,7045321,45274,58967
ICT Project,31608,Software Maintenance,20648,EBC Group,7045323,45274,31610.23
Director of Network Resilience,31571,External Advice,20660,Infinite You Limited,7045491,45278,904.85
Energy Capital,60395,Physical Construction,20661,Cocuun Limited,7045724,45281,12891.15
Investment Programme Financing,60191,Design Works,20695,Rodney Melville & Partners,7045844,45281,15268.5
Learning and Development,30112,Learning & Development,20704,Coast Consulting,7044983,45266,750
Metro Programme Director,60633,Tram Purchase Payments,20711,SSG Support Services Group Ltd,7045154,45266,2755
Metro Programme Director,60633,Tram Purchase Payments,20713,Garic Limited,7045059,45266,950
Careers,31571,External Advice,20737,J Rasmin Consultancy Ltd,7045001,45274,2520
Careers,31571,External Advice,20738,Julie Cornfield,7045117,45274,3150
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7044926,45261,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7045223,45271,15212.06
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7045224,45271,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7045572,45281,3900
Adult Education,32752,Provider Delivery Fees - Contract,20750,Goode Tutoring Ltd,8014328,45280,10422.06
Executive Director WMRE,60001,Project Support Costs,20751,Engineering Integration Ltd,7045283,45274,4534.38
Head of Governance,31577,Professional Advice,20757,4-5 Gray's Inn,7045488,45274,3000
16 Summer Lane FM,31571,External Advice,20772,Healthy Buildings International,7045314,45274,1495
Adult Education,32752,Provider Delivery Fees - Contract,20779,Fairway Training Healthcare Ltd,8014328,45280,58441.5
Adult Education,32752,Provider Delivery Fees - Contract,20780,Free to Learn Ltd,8014328,45280,31793.72
Adult Education,32752,Provider Delivery Fees - Contract,20780,Free to Learn Ltd,8014329,45280,23642.23
Delivery Director - Metro,31571,External Advice,20789,SOUTHDOWN MATERIALS TESTING LIMITED,7043591,45261,800
"Director of Policy, Strategy & Innovation",31571,External Advice,20811,FOD Mobility group,7045390,45274,2500
"Director of Policy, Strategy & Innovation",31768,Market Research,20822,Bilendi,7045287,45271,3600
"Director of Policy, Strategy & Innovation",31768,Market Research,20822,Bilendi,7045288,45271,4425
Accessible Transport,31571,External Advice,20830,Kytes Consultancy Ltd,7045262,45271,5000
Director of Housing & Regeneration,31571,External Advice,20853,Plan B Solutions Ltd,7045376,45274,2730.25
Adult Education,32752,Provider Delivery Fees - Contract,20861,PTP Training Ltd,8014328,45280,1732.56
Careers,32752,Provider Delivery Fees - Contract,20866,Wolverhampton Racecourse Ltd,7045162,45266,1217.5
Commonwealth Games,31571,External Advice,20874,Participation People,7045259,45271,2595.53
Adult Education,32752,Provider Delivery Fees - Contract,20889,Impact Futures Training Limited,8014328,45280,6720.83
DBT Growth Hub,31572,Consultants,20893,Yellow Door Education Solutions Ltd,7045332,45274,8250
Director of Housing & Regeneration,30010,Secondee Costs,20895,Legal & General,7045222,45271,6922.6
Adult Education,32752,Provider Delivery Fees - Contract,20907,Imeta Training and Solutions Ltd,8014328,45280,95138.46
Adult Education,32752,Provider Delivery Fees - Contract,20910,CECOS Computing International Ltd,8014328,45280,25621.48
Adult Education,32752,Provider Delivery Fees - Contract,20911,MAXIMUS UK SERVICES LIMITED,8014329,45280,34467.11
Adult Education,32752,Provider Delivery Fees - Contract,20918,Realise Learning & Employment Limited,8014328,45280,9985.27
Adult Education,32752,Provider Delivery Fees - Contract,20918,Realise Learning & Employment Limited,8014329,45280,6778.52
Delivery Director - Sustainable Transport,60001,Project Support Costs,20923,Ramboll,7045258,45271,23332.5
Net Zero Neighbourhood,31671,Revenue Contributions to Third Parties,20924,Bromford Housing Association,7045044,45266,67168.88
Net Zero Neighbourhood,60001,Project Support Costs,20924,Bromford Housing Association,7045043,45278,44822.42
Metro Programme Director,60630,Land Acquisition,20929,Harrison Drury Solicitors,7045403,45278,7000
Employment & Skills,31572,Consultants,20932,FE Associates Ltd,7044866,45266,5468.75
Employment & Skills,31572,Consultants,20932,FE Associates Ltd,7045408,45274,6875
Director of Housing & Regeneration,30010,Secondee Costs,20943,YARDBIRD PLANNING LTD,7045371,45274,14580
ICT Project,31571,External Advice,20955,AbilityNet,7044930,45266,544
Inclusion,30119,Staff Welfare,20969,RSM UK Consulting LLP,7045180,45271,7500
Head of Swift,31572,Consultants,20971,MG and Family Ltd trading as Innovatious,7045066,45266,5615.54
Head of Swift,31572,Consultants,20971,MG and Family Ltd trading as Innovatious,7045190,45271,3344.69
Delivery Director - Rail,60395,Physical Construction,20973,Kier Integrated Services Ltd,7045320,45278,1223730.45
Head of IT Delivery,31611,Cyber Security,20974,CI-Centerprise International Ltd,7044711,45281,3000
Commonwealth Games Legacy Fund,30010,Secondee Costs,20984,Historic England,7045312,45274,5814.09
UKSPF,31767,Events / Exhibitions,20988,Associated Independent Stores,7045030,45266,3475
UKSPF,31767,Events / Exhibitions,20988,Associated Independent Stores,7045031,45266,4170
Energy Capital,31767,Events / Exhibitions,20991,Black Country Innovative Manufacturing Organisatio,7045082,45266,1412.5
Head of Governance,30112,Learning & Development,21007,Association of Electoral Administrators,7044455,45281,1000
Commonwealth Games Legacy Fund,30010,Secondee Costs,21008,The National Lottery Community Fund,7045685,45281,17079.36
Learning and Development,30112,Learning & Development,21019,Thinking Focus Limited,7045478,45274,1500
Mayoral Events,31767,Events / Exhibitions,21045,Lioncroft Wholesale Limited,7045814,45281,740
Mayoral Events,31767,Events / Exhibitions,21057,Mahirs Experience Ltd,7045202,45271,5925
Inclusion,30119,Staff Welfare,21062,IGPP Limited,7044978,45261,1194
Executive Director WMRE,31769,Promotional Material,21063,The Arts Society Worcester,7045686,45281,1800
Environment,31767,Events / Exhibitions,21064,The Exchange,7045754,45281,1195
Employment & Skills,31654,Hospitality Expenses,21068,Malmaison,7045274,45271,1155.7
Employment & Skills,31767,Events / Exhibitions,21074,Suzanne Russell of Artisan Epicurean,7045401,45274,1440
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045750,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045759,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045760,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045762,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045765,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045767,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045768,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045769,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045770,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045771,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045772,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045773,45281,606.67
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045775,45281,606.67
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,21081,Connor & Company Ltd,7045305,45274,5850
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,21081,Connor & Company Ltd,7045306,45274,3412.5
Learning and Development,30112,Learning & Development,21086,AKD Solutions Ltd,7045509,45278,5000
Learning and Development,30112,Learning & Development,21086,AKD Solutions Ltd,7045510,45278,2000
Mayoral Office Costs,31767,Events / Exhibitions,21088,Tapri,7045810,45281,1376.04
Head of Operational Assets - Bus Infrastructure,30755,EPI Maintenance,5006,VIX ACIS Ltd,7044802,45266,26783.32
Integrated Data Team,31608,Software Maintenance,5006,VIX ACIS Ltd,7044786,45261,30592.51
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8014326,45280,850194.42
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8014327,45280,20888.88
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40593,45279,160988.22
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40594,45279,495859.21
Concessions Schemes,32430,Child Travel Pass Concession,5055,Diamond Bus Ltd,40595,45279,7066.31
Head of Operational Assets - Bus Infrastructure,60395,Physical Construction,5077,Bus Shelters Ltd,7045034,45266,4487.98
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7044974,45261,3408.79
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7044975,45261,4001.62
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045033,45266,3935.09
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045789,45281,5316.98
Adult Education,32751,Provider Delivery Fees - Grant,5147,Coventry City Council,8014326,45280,440697.33
Adult Education,32751,Provider Delivery Fees - Grant,5147,Coventry City Council,8014327,45280,3568.95
European Structural & Investment Funding,32752,Provider Delivery Fees - Contract,5147,Coventry City Council,7044929,45261,101389.83
Director of Network Resilience,60054,Investigations and Surveys,5147,Coventry City Council,3004089,45266,20575.6
Head of Finance & Business Planning,30008,Agency Staff ( Established Posts),5229,Hays Specialist Recruitment,3004100,45271,3401.5
Head of Finance & Business Planning,30008,Agency Staff ( Established Posts),5229,Hays Specialist Recruitment,3004101,45271,1700.75
Head of Finance & Business Planning,30008,Agency Staff ( Established Posts),5229,Hays Specialist Recruitment,3004119,45278,1360.6
Commonwealth Games,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004081,45266,2758.8
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004100,45271,2545.45
Director of Midlands Connect,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004100,45271,1128.58
"Executive Director of Strategy, Integration and Ne",30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004100,45271,3730.43
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004100,45271,3654.7
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004100,45271,12632.55
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004100,45271,4242.45
Metro Programme Director,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004101,45271,4632.68
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004101,45271,3420.23
Director of Midlands Connect,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004101,45271,1144.04
"Executive Director of Strategy, Integration and Ne",30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004101,45271,1243.47
Technical Engagement,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004101,45271,2919.15
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004101,45271,10588.85
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004101,45271,12634.24
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004101,45271,2036.38
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004119,45278,2905.46
"Executive Director of Strategy, Integration and Ne",30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004119,45278,2486.96
Corporate Support Financing,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004119,45278,3628.32
Head of IT Delivery,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004119,45278,6247.46
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004119,45278,13859.35
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004119,45278,10142.05
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004119,45278,4044.47
Programme Support and Assurance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3004119,45278,1700.75
Head of IT Delivery,31608,Software Maintenance,5281,Hague Computer Supplies Ltd,7045568,45281,792
Head of IT Delivery,31608,Software Maintenance,5281,Hague Computer Supplies Ltd,7045569,45281,833
16 Summer Lane FM,30501,Fire Prevention & Safety,5331,Trios Facilities Management limited,7045481,45274,20865.95
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7044789,45266,786.6
16 Summer Lane FM,30502,Routine Maintenance,5331,Trios Facilities Management limited,7044869,45261,4560.79
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7044962,45281,1545.3
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7044963,45266,2113.68
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045203,45271,4813.92
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045207,45274,1305.3
16 Summer Lane FM,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045284,45278,2104.46
16 Summer Lane FM,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045285,45278,2141.98
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045340,45274,1075.15
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045341,45281,736.71
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045581,45281,1265
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045582,45281,565.98
16 Summer Lane FM,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045725,45281,5036.88
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045726,45281,1695.95
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045731,45281,679.8
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,5331,Trios Facilities Management limited,7045733,45281,741.44
Head of Operational Assets - Bus Stations,30751,Window & Door Maintenance,5331,Trios Facilities Management limited,7044965,45266,1383.58
16 Summer Lane FM,30752,Lift Maintenance,5331,Trios Facilities Management limited,7044911,45261,1568.88
Tendered Bus Services,32425,Subsidised Services,5337,Stagecoach,40593,45279,76589.02
Tendered Bus Services,32425,Subsidised Services,5337,Stagecoach,40594,45279,229767.06
Director of Midlands Connect,31571,External Advice,5349,SYSTRA Ltd,7045319,45274,2750
Ticketing Services Manager,31955,Commercial Card Processing,5372,Orion Security Print Ltd,7044867,45266,770.55
Capital Financing,31572,Consultants,5398,Price Waterhouse Coopers,7045358,45274,2400
Adult Education,32751,Provider Delivery Fees - Grant,5441,Sandwell MBC,8014326,45280,110833.33
Director of Midlands Connect,31571,External Advice,5476,Steer,7044785,45261,27450
Tendered Bus Services,32425,Subsidised Services,5533,Travel West Midlands,40592,45279,1000
Tendered Bus Services,32425,Subsidised Services,5533,Travel West Midlands,40593,45279,105242.41
Tendered Bus Services,32425,Subsidised Services,5533,Travel West Midlands,40594,45279,317512.99
