Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7049140,45373,6255.85
Director of Integrated Network Services,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7049141,45373,4988.47
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7049142,45373,2884.87
Head of Network Transformation,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7049143,45377,825.16
Create Central Projects,31572,Consultants,10454,Zanna Creative,7049251,45377,7083
Accessible Transport,31578,Management Fees,10456,Coach Scanner Limited,7048765,45366,41820
Director of Housing & Regeneration,31577,Professional Advice,10487,Currie & Brown UK Ltd,7048212,45358,1350
Director of Housing & Regeneration,31577,Professional Advice,10487,Currie & Brown UK Ltd,7048213,45358,1350
Director of Housing & Regeneration,31577,Professional Advice,10487,Currie & Brown UK Ltd,7048214,45358,3550
Head of Swift,31604,IT Software Licenses and Applications,10499,Atlassian Pty Ltd,7042478,45379,3186.21
"Director of Policy, Strategy & Innovation",60801,IT Software - Capital,10499,Atlassian Pty Ltd,3003819,45379,3365.61
Adult Education,32752,Provider Delivery Fees - Contract,10509,LEARNING INTO EMPLOYMENT ACADEMY LTD,8015652,45372,19945.36
Create Central Projects,31572,Consultants,10512,Culture Central,7049281,45377,1666.66
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7048348,45362,13802.32
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7048349,45362,3450.58
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7048350,45362,31055.21
Industrial Strategy,31572,Consultants,10537,West Midlands Health Technologies Cluster ltd,7048167,45358,12500
Industrial Strategy,31572,Consultants,10537,West Midlands Health Technologies Cluster ltd,7048288,45358,3125
UKSPF,31671,Revenue Contributions to Third Parties,10537,West Midlands Health Technologies Cluster ltd,7048287,45358,22500
Create Central Projects,31572,Consultants,10561,Martin Simms,7048923,45377,2667
Industrial Strategy,31572,Consultants,10587,Sustainability West Midlands,7048465,45364,4375
Industrial Strategy,31577,Professional Advice,10587,Sustainability West Midlands,7048315,45358,4937.5
Director of Integrated Network Services,30117,Health & Safety,10608,Maybo Limited,7048108,45352,790
Director of Integrated Network Services,30117,Health & Safety,10608,Maybo Limited,7049409,45377,790
IPS Programme,32752,Provider Delivery Fees - Contract,10668,Black Country Healthcare NHS Foundation Trust,7049177,45373,283878.38
Tendered Bus Services,32425,Subsidised Services,10669,Thandi Red Ltd,40634,45364,23700
Industrial Strategy,31572,Consultants,10681,Dr Pamela Waddell OBE,7048662,45371,2887.5
Director of Midlands Connect,31604,IT Software Licenses and Applications,10682,Phoenix Software,7049133,45377,3153.77
Cycling for Everyone,31571,External Advice,10686,Think Active CSW,7048558,45377,5000
Delivery Director - Sustainable Transport,60800,IT Hardware - Capital,10691,Cadventure Ltd,7048241,45358,2985
Metro Programme Director,60392,Enabling Works,10695,Svella Connect Limited,7048910,45373,42890.49
Metro Programme Director,60610,Gas Utility Costs,10695,Svella Connect Limited,7048910,45373,42500.79
Metro Programme Director,60611,Telephone Utility Costs,10695,Svella Connect Limited,7048910,45373,104863.31
Metro Programme Director,60612,Electricity Utility Costs,10695,Svella Connect Limited,7048910,45373,45551.83
Metro Programme Director,60613,Water Utility Costs,10695,Svella Connect Limited,7048910,45373,50135.9
Create Central Projects,31572,Consultants,10703,Sarah Wood Media Ltd,7047993,45358,3334
Director of Network Resilience,31769,Promotional Material,10707,Scribble Inc Ltd,7048386,45362,1850
Culture,31572,Consultants,10712,We Made That LLP,7049429,45377,25690.3
Culture,31572,Consultants,10712,We Made That LLP,7049430,45377,27075
Director of Midlands Connect,30112,Learning & Development,10725,Oxford Professional Education Group Limited,7049214,45377,1950
Adult Education,32752,Provider Delivery Fees - Contract,20003,Local Education and Development,8015652,45372,36620.36
Adult Education,32752,Provider Delivery Fees - Contract,20003,Local Education and Development,8015653,45372,3032.28
Accessible Transport,31604,IT Software Licenses and Applications,20014,Liftango Ltd,7048489,45364,1240
Adult Education,32752,Provider Delivery Fees - Contract,20017,Twin Training International,8015652,45372,15994.62
Digital Marketing,31770,Marketing,20022,BBC Birmingham,7048482,45364,1818.88
Digital Marketing,31770,Marketing,20022,BBC Birmingham,7049090,45373,1818.88
Careers,32752,Provider Delivery Fees - Contract,20025,Sandwell Metropolitan Borough Council,7048762,45366,14050
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,20025,Sandwell Metropolitan Borough Council,3004403,45352,2100000
DBT Growth Hub,31767,Events / Exhibitions,20029,Compass Services (UK),7049136,45373,11089.5
Environment,30112,Learning & Development,20030,The Carbon Literacy Trust,7048144,45377,1000
Director of Midlands Connect,31652,Miscellaneous Travel Expenses,20059,Staffordshire County Council,7049313,45377,3329.5
Delivery Director - Sustainable Transport,60780,General Expenditure,20060,MEC Security Limited,7048504,45364,11136
Delivery Director - Sustainable Transport,60780,General Expenditure,20060,MEC Security Limited,7048508,45364,4608
Delivery Director - Sustainable Transport,60780,General Expenditure,20060,MEC Security Limited,7049293,45377,1920
Delivery Director - Sustainable Transport,60780,General Expenditure,20060,MEC Security Limited,7049294,45377,10464
Delivery Director - Rail,60054,Investigations and Surveys,20097,JTl Research,7049483,45377,5433
Delivery Director - Sustainable Transport,60054,Investigations and Surveys,20097,JTl Research,7049484,45377,2800
Head of Operational Assets - Rail Car Parks,30501,Fire Prevention & Safety,20109,SDC Fire & Security,7048442,45364,505.25
Head of Research & Intelligence,31572,Consultants,20147,Malloy Media Ltd,7048291,45358,950
Environment,31770,Marketing,20147,Malloy Media Ltd,7048505,45364,3400
Digital Marketing,31770,Marketing,20147,Malloy Media Ltd,7048863,45371,850
Youth Combined Authority,31571,External Advice,20151,Birmingham Race Impact Group (BRIG),7048255,45358,3000
Youth Combined Authority,31571,External Advice,20151,Birmingham Race Impact Group (BRIG),7048258,45358,2500
Youth Combined Authority,31571,External Advice,20151,Birmingham Race Impact Group (BRIG),7048262,45358,2500
ICT Project,31608,Software Maintenance,20158,Simpson Associates Information Services Limited,7048909,45373,2050
Commonwealth Games Legacy Fund,31571,External Advice,20174,Heart of England Community Foundation,7048783,45371,16217
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20174,Heart of England Community Foundation,7047962,45352,211186
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20174,Heart of England Community Foundation,7048784,45371,22644
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20174,Heart of England Community Foundation,7049091,45373,137308.9
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20174,Heart of England Community Foundation,7049394,45379,2250000
Director of Housing & Regeneration,31571,External Advice,20181,Cushman & Wakefield,7048433,45364,5000
Director of Housing & Regeneration,60111,Land Advice,20181,Cushman & Wakefield,7048474,45366,24200
Multiply,31571,External Advice,20183,The Behaviours Agency Limited,7048806,45371,21950
Environment,31571,External Advice,20189,The Involve Foundation,7048281,45373,46930
Create Central Projects,31572,Consultants,20228,Lorna Nickson - Brown,7048540,45364,2666.67
Youth Combined Authority,31571,External Advice,20234,Legacy Consultants Ltd,7049412,45377,2522.5
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,20258,Keepmoat Homes Midlands One,3004516,45376,147890
Delivery Director - Rail,30008,Agency Staff ( Established Posts),20260,Constellia Public Limited,7048722,45371,4766.22
Delivery Director - Rail,30008,Agency Staff ( Established Posts),20260,Constellia Public Limited,7048723,45371,3779.01
Delivery Director - Rail,30008,Agency Staff ( Established Posts),20260,Constellia Public Limited,7048738,45371,17668.02
Director of Communications,31571,External Advice,20260,Constellia Public Limited,7048405,45362,7179.49
Director of Integrated Network Services,31572,Consultants,20260,Constellia Public Limited,7048387,45362,14000
Director of Integrated Network Services,31572,Consultants,20260,Constellia Public Limited,7049302,45377,12666.67
Delivery Director - Rail,60001,Project Support Costs,20260,Constellia Public Limited,7048883,45373,4800
Sprint,60110,Financial & Commerical Advice,20260,Constellia Public Limited,7047974,45352,27179.49
Sprint,60110,Financial & Commerical Advice,20260,Constellia Public Limited,7047978,45352,4046.15
Sprint,60110,Financial & Commerical Advice,20260,Constellia Public Limited,7048580,45377,27179.49
"Director of Policy, Strategy & Innovation",30112,Learning & Development,20289,Cenex (Consultancy Services Limited),7048842,45371,6000
"Director of Policy, Strategy & Innovation",31571,External Advice,20289,Cenex (Consultancy Services Limited),7049201,45373,2500
"Director of Policy, Strategy & Innovation",31571,External Advice,20289,Cenex (Consultancy Services Limited),7049202,45373,2500
"Director of Policy, Strategy & Innovation",31571,External Advice,20289,Cenex (Consultancy Services Limited),7049203,45377,2500
Head of Policy & Public Affairs,31572,Consultants,20293,Metro Dynamics,7048525,45364,17000
Energy Capital,31571,External Advice,20295,Wulfruna Consulting Ltd,7048131,45352,10000
Energy Capital,31571,External Advice,20295,Wulfruna Consulting Ltd,7048869,45371,5000
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7048654,45366,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7048655,45366,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7048656,45366,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7048657,45366,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7048658,45366,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7048659,45366,2340
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7048661,45366,2600
Culture,31572,Consultants,20315,Colliers International Property Consultants Ltd,7049479,45377,16290
Bus Service Improvement Plan (BSIP),31770,Marketing,20337,Brand Evolution Limited T/A Design One,7049080,45377,11175
Net Zero Neighbourhood,31671,Revenue Contributions to Third Parties,20339,Orbit Group Limited,7048843,45371,189587.67
Net Zero Neighbourhood,60001,Project Support Costs,20339,Orbit Group Limited,7048275,45358,164957.33
Net Zero Neighbourhood,60001,Project Support Costs,20339,Orbit Group Limited,7048843,45371,221805.34
Net Zero Neighbourhood,31671,Revenue Contributions to Third Parties,20372,Solihull Community Housing Limited,7048813,45371,11040.25
Employment & Skills,31571,External Advice,20374,Communication Workers Union,7049169,45373,800
Homelessness,31571,External Advice,20400,Andy Meakin Consultancy Services,7048667,45364,5000
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,20408,Multi-Floor Ltd,7048928,45373,1380
Director of Communications,31772,PR Photos,20422,Lightyear Films Ltd,7049303,45377,4425
Create Central Projects,31767,Events / Exhibitions,20423,Oval Digbeth Ltd,7044745,45366,1338.5
Industrial Strategy,31671,Revenue Contributions to Third Parties,20452,"BEIS-Depart for Business, Energy & Industrial Stra",7048233,45358,35795.55
Director of Network Resilience,31571,External Advice,20458,Drone Safe Register Ltd.,7048822,45377,3513.34
Energy Capital,31571,External Advice,20466,SSE,7049287,45377,59790
Sprint,60343,Site Office Costs,20466,SSE,7049273,45377,1242.98
ICT Project,31571,External Advice,20494,Tisski Ltd,7048634,45371,22000
ICT Project,31571,External Advice,20494,Tisski Ltd,7048852,45371,23100
Business Energy Advice Service (BEAS),31571,External Advice,20494,Tisski Ltd,7049126,45373,9500
ICT Project,31571,External Advice,20494,Tisski Ltd,7049414,45377,18700
ICT Project,31608,Software Maintenance,20494,Tisski Ltd,7049414,45377,3300
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,20496,Getmapping Plc,7048304,45358,16560
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,20496,Getmapping Plc,7048688,45366,4960
Adult Education,32752,Provider Delivery Fees - Contract,20504,In-Comm Training & Business Services Limited,8015652,45372,17242.5
Head of Health & Communities,31767,Events / Exhibitions,20517,New Possibilities Ltd,7048809,45371,2625
Head of Swift,60001,Project Support Costs,20528,First Group Holdings Ltd,7038264,45352,49455.3
Head of Swift,60001,Project Support Costs,20528,First Group Holdings Ltd,7047896,45352,35857.45
Inclusion,30119,Staff Welfare,20534,Health@Work Consultancy Services Limited,7048801,45371,4400
Head of Health & Communities,31767,Events / Exhibitions,20538,Walsall Football Club,7048777,45371,562.5
Director of Midlands Connect,31571,External Advice,20548,Haank Consulting with Cloud Constructions,7048216,45358,2843.75
ICT Project,31604,IT Software Licenses and Applications,20549,Bridgeall Ltd,7048411,45362,23201.93
Head of Systems Change & Inclusion,31571,External Advice,20556,Nuneaton & Bedworth Borough Council,7049211,45377,9995
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7048457,45362,1960
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7048786,45371,5445
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7048807,45371,3054
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7049083,45373,2025
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7049123,45373,3064
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7049284,45377,5445
Director of Network Resilience,31571,External Advice,20566,Dudley MBC Public Realm,7048802,45371,722.5
Learning and Development,30112,Learning & Development,20573,Belbin,7048770,45377,2660
Head of IT Delivery,31611,Cyber Security,20600,Insight Direct (UK) Ltd,7048331,45371,18626.29
Head of Health & Communities,31571,External Advice,20604,The Disability Policy Centre Ltd,7049222,45377,18720
Head of Health & Communities,31571,External Advice,20604,The Disability Policy Centre Ltd,7049223,45377,14560
Tendered Bus Services,32425,Subsidised Services,20611,Chaserider Buses Ltd,40632,45364,6427.91
Tendered Bus Services,32425,Subsidised Services,20611,Chaserider Buses Ltd,40633,45364,19283.73
Environment,31571,External Advice,20619,ADVANCED INFRASTRUCTURE TECHNOLOGY LTD,7049301,45377,10000
Create Central Projects,31572,Consultants,20621,HDY Agency Ltd,7048524,45364,4375
Marketing and Engagement,31770,Marketing,20621,HDY Agency Ltd,7048724,45366,10000
Bus Service Improvement Plan (BSIP),31576,Safety & Security,20622,Apex Radio Systems Ltd,7047821,45358,551.95
Executive Director WMRE,31769,Promotional Material,20626,Worcester University,7048895,45373,12148
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20643,United by 2022 Legacy Charity,7048781,45371,322036
Delivery Director - Rail,60111,Land Advice,20644,G. W. Kelly & P.A. Duffy,3004425,45362,3125
"Director of Policy, Strategy & Innovation",31571,External Advice,20653,MaaS Alliance AISBL,7048274,45370,2570
Programme Support and Assurance,30104,Subs to Trade Bodies,20656,Association for Project Management,7048491,45364,1235
Director of Network Resilience,31571,External Advice,20658,Yunex Limited,7048759,45371,25825
Bus Service Improvement Plan (BSIP),31576,Safety & Security,20666,Expand Digital Ltd t/a Embello,7048109,45352,945
Safety and Security Manager,31576,Safety & Security,20666,Expand Digital Ltd t/a Embello,7048820,45371,1166
Environment,31571,External Advice,20671,Knowledge Dock (UEL) Limited,7049100,45373,23822
Director of Network Resilience,31769,Promotional Material,20675,Ark Media Productions Limited,7048194,45352,1500
Delivery Director - Sustainable Transport,60395,Physical Construction,20680,Hoard- It,7048440,45362,20540
Head of Organisational Development,30115,Staff Recruitment Costs,20693,Total Jobs,7048919,45373,12400
Investment Programme Financing,60191,Design Works,20695,Rodney Melville & Partners,7048866,45373,15268.5
Metro Programme Director,60633,Tram Purchase Payments,20711,SSG Support Services Group Ltd,7048691,45366,2581
Metro Programme Director,60633,Tram Purchase Payments,20713,Garic Limited,7048314,45358,995
Delivery Director - Sustainable Transport,60780,General Expenditure,20713,Garic Limited,7047165,45364,3039
Delivery Director - Sustainable Transport,60780,General Expenditure,20713,Garic Limited,7048311,45364,2170.8
Delivery Director - Sustainable Transport,60780,General Expenditure,20713,Garic Limited,7048312,45364,7588.2
Information Delivery Team,30504,Printing IBSS Timetables,20717,Cubiquity Limited,7048674,45373,567.06
Information Delivery Team,30504,Printing IBSS Timetables,20717,Cubiquity Limited,7048675,45373,12990.23
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,20721,Citizen Housing Group Ltd,3004422,45362,165500
Careers,31571,External Advice,20737,J Rasmin Consultancy Ltd,7048205,45358,2940
Careers,31571,External Advice,20737,J Rasmin Consultancy Ltd,7049207,45377,2100
Careers,31571,External Advice,20738,Julie Cornfield,7048362,45364,2940
Executive Director WMRE,30008,Agency Staff ( Established Posts),20746,Precision Resource Group Limited,7048850,45371,13612.94
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7048758,45371,14333.18
Adult Education,32752,Provider Delivery Fees - Contract,20750,Goode Tutoring Ltd,3004551,45379,28150.3
Adult Education,32752,Provider Delivery Fees - Contract,20750,Goode Tutoring Ltd,8015652,45372,550.98
Head of Governance,31577,Professional Advice,20757,4-5 Gray's Inn,7048417,45358,2500
Adult Education,32752,Provider Delivery Fees - Contract,20779,Fairway Training Healthcare Ltd,8015652,45372,60226.23
Adult Education,32752,Provider Delivery Fees - Contract,20780,Free to Learn Ltd,8015652,45372,134921.86
Adult Education,32752,Provider Delivery Fees - Contract,20780,Free to Learn Ltd,8015653,45372,173758.72
"Executive Director of Strategy, Integration and Ne",30112,Learning & Development,20803,Sense,7049166,45373,800.68
Head of Health & Communities,31571,External Advice,20804,STRATEGIC LEISURE LIMITED,7048401,45358,7833.5
"Director of Policy, Strategy & Innovation",31571,External Advice,20811,FOD Mobility group,7048408,45358,2500
ICT Project,31571,External Advice,20812,NCC Group Security Services Limited,7047511,45371,9550
ICT Project,31611,Cyber Security,20812,NCC Group Security Services Limited,7047705,45371,30000
Business Energy Advice Service (BEAS),31671,Revenue Contributions to Third Parties,20817,MTC Operation Ltd,7049124,45373,115434
Business Energy Advice Service (BEAS),31671,Revenue Contributions to Third Parties,20817,MTC Operation Ltd,7049125,45373,1472.3
"Director of Policy, Strategy & Innovation",31768,Market Research,20822,Bilendi,7048676,45364,3937.5
"Director of Policy, Strategy & Innovation",31768,Market Research,20822,Bilendi,7049192,45377,4515
Employment & Skills,31572,Consultants,20827,AoC Services Limited,7049215,45377,7616.3
"Director of Policy, Strategy & Innovation",31571,External Advice,20841,West Midland Property & Plant Ltd,7048726,45366,866.67
DBT Growth Hub,31571,External Advice,20849,Barr Beacon School,7048732,45366,1000
Head of Policy & Public Affairs,31572,Consultants,20850,Birmingham & Solihull Social Economy Consortium,7049471,45377,4500
Metro Programme Director,60780,General Expenditure,20851,Harry Needle Railroad company Ltd,7049204,45377,3335
Director of Housing & Regeneration,31571,External Advice,20853,Plan B Solutions Ltd,7049164,45373,2776.6
Delivery Director - Sustainable Transport,60191,Design Works,20855,Pavement Testing Services Limited,7048666,45364,675
Environment,31571,External Advice,20860,BUYINGTEAM LTD t/a Proxima,7048879,45373,10000
Adult Education,32752,Provider Delivery Fees - Contract,20861,PTP Training Ltd,8015652,45372,1347.18
Adult Education,32752,Provider Delivery Fees - Contract,20861,PTP Training Ltd,8015653,45372,7346.14
Environment,31770,Marketing,20863,Gumbudii Ltd,7048916,45373,1300
Investment Programme Financing,60561,Contributions to 3rd Parties,20868,CENTRAL & COUNTRY (POOL HILL) LIMITED,3004269,45378,215000
Commonwealth Games,31571,External Advice,20874,Participation People,7048521,45364,7526.79
Investment Programme Financing,60561,Contributions to 3rd Parties,20876,MIRA TECHNOLOGY PARK LIMITED (Horiba Mira Ltd),3004405,45355,459399.7
"Director of Policy, Strategy & Innovation",30112,Learning & Development,20882,Edinburgh Napier University,7049089,45377,1590
DBT Growth Hub,31572,Consultants,20893,Yellow Door Education Solutions Ltd,7048439,45364,10450
Adult Education,32752,Provider Delivery Fees - Contract,20907,Imeta Training and Solutions Ltd,8015652,45372,288968.83
Adult Education,32752,Provider Delivery Fees - Contract,20909,Holt Green Training Ltd,8015652,45372,2035.02
Adult Education,32752,Provider Delivery Fees - Contract,20909,Holt Green Training Ltd,8015653,45372,2336.71
Adult Education,32752,Provider Delivery Fees - Contract,20910,CECOS Computing International Ltd,8015652,45372,16801.87
Adult Education,32752,Provider Delivery Fees - Contract,20910,CECOS Computing International Ltd,8015653,45372,2859.35
Adult Education,32752,Provider Delivery Fees - Contract,20911,MAXIMUS UK SERVICES LIMITED,8015652,45372,65976.92
Net Zero Neighbourhood,31671,Revenue Contributions to Third Parties,20916,Nehemiah Housing Association,7048849,45371,7440
Adult Education,32752,Provider Delivery Fees - Contract,20918,Realise Learning & Employment Limited,8015652,45372,15830.32
Adult Education,32752,Provider Delivery Fees - Contract,20918,Realise Learning & Employment Limited,8015653,45372,12995.13
Delivery Director - Sustainable Transport,30008,Agency Staff ( Established Posts),20923,Ramboll,7048455,45362,8235
Environment,31571,External Advice,20923,Ramboll,7048110,45358,11969.37
Environment,31571,External Advice,20923,Ramboll,7049285,45377,11969.38
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,20924,Bromford Housing Association,3004420,45362,110656
Thrive at Work,31769,Promotional Material,20925,Brio Media,7049081,45373,3080
Director of Network Resilience,31770,Marketing,20925,Brio Media,7048394,45358,1920
Director of Housing & Regeneration,30115,Staff Recruitment Costs,20943,YARDBIRD PLANNING LTD,7048833,45371,12384
Delivery Director - Rail,60395,Physical Construction,20973,Kier Integrated Services Ltd,7048425,45377,1190028.23
Delivery Director - Rail,60395,Physical Construction,20973,Kier Integrated Services Ltd,7049435,45377,825703.45
ICT Project,31611,Cyber Security,20974,CI-Centerprise International Ltd,7049406,45377,41500
Environment,31571,External Advice,20978,Stones Throw LTD,7048186,45358,4697.5
Head of Health & Communities,31577,Professional Advice,20978,Stones Throw LTD,7048364,45358,2247.5
UKSPF,31572,Consultants,20979,Passion Marketing Limited,7048302,45362,600
