Cost Centre,Account,Expense Type,Supplier,Supplier Name,Trans,Payment,Amount
Director of Network Resilience,60820,Publicity and PR,10389,7video Ltd,7043262,45218,3760
Digital,31571,External Advice,10401,Birmingham Tech CIC,7041489,45215,5593.75
Adult Education,31770,Marketing,10402,Vale Press,7042437,45208,1080
Industrial Strategy,31572,Consultants,10450,Midlands Aerospace Alliance,7043090,45222,6250
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7043121,45218,131939.81
Director of Integrated Network Services,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7043122,45222,107893.74
Head of Bus,60395,Physical Construction,10451,McPhillips (Wellington) Ltd,7043125,45218,4520.96
Create Central Projects,31572,Consultants,10454,Zanna Creative,7043227,45218,7083
Environment,31571,External Advice,10460,Active Wellbeing Works Limited c/o The Active Wellbeing Society,7042457,45201,5000
Environment,31571,External Advice,10475,Bankers without Boundaries Limited,7043187,45218,14896.5
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7036200,45201,16204.91
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7038350,45204,16277.99
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7039538,45204,16277.99
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7039985,45201,16277.99
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7041570,45204,16204.91
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7042551,45204,16277.99
Metro Programme Director,60633,Tram Purchase Payments,10527,CAF Rail UK Limited,7042822,45208,16204.91
UKSPF,31671,Revenue Contributions to Third Parties,10537,West Midlands Health Technologies Cluster ltd,7043377,45224,3125
Head of Operational Assets - Bus Infrastructure,30601,Electricity,10539,Power Data Associates Ltd,7043235,45222,3200
Head of IT Delivery,31603,IT Hardware,10560,CCS Media Limited,7043325,45222,12200
Homelessness,31671,Revenue Contributions to Third Parties,10578,Street Support Network Limited,7043149,45218,6000
Industrial Strategy,31572,Consultants,10587,Sustainability West Midlands,7042591,45204,4375
Industrial Strategy,31572,Consultants,10587,Sustainability West Midlands,7042864,45211,4375
Homelessness,31671,Revenue Contributions to Third Parties,10607,Crisis UK,7043271,45222,19378
Leadership,31571,External Advice,10628,Deloitte MCS,7041201,45201,30942.84
Leadership,31571,External Advice,10628,Deloitte MCS,7043076,45215,34887.18
Metro Programme Director,60001,Project Support Costs,10639,Interclass Plc,7042798,45208,1370.34
Metro Programme Director,60001,Project Support Costs,10639,Interclass Plc,7042799,45208,7979.66
Industrial Strategy,31572,Consultants,10681,Dr Pamela Waddell OBE,7042768,45208,2887.5
Industrial Strategy,31767,Events / Exhibitions,10688,Blackhorse HCC Ltd,7043056,45215,12112.65
Industrial Strategy,31767,Events / Exhibitions,10688,Blackhorse HCC Ltd,7043072,45222,24225.3
Director of Network Resilience,60820,Publicity and PR,10690,Clive Reeves Public Relations Limited,7042660,45218,2265
Sprint,60800,IT Hardware - Capital,10691,Cadventure Ltd,7042803,45208,1990
Metro Programme Director,60392,Enabling Works,10695,Svella Connect Limited,7042606,45204,6000
Metro Programme Director,60392,Enabling Works,10695,Svella Connect Limited,7043410,45224,65000
Metro Programme Director,60392,Enabling Works,10695,Svella Connect Limited,7043453,45229,8000
Metro Programme Director,60610,Gas Utility Costs,10695,Svella Connect Limited,7043410,45224,29605.55
Metro Programme Director,60611,Telephone Utility Costs,10695,Svella Connect Limited,7043410,45224,160000
Metro Programme Director,60612,Electricity Utility Costs,10695,Svella Connect Limited,7042454,45201,68641.68
Metro Programme Director,60612,Electricity Utility Costs,10695,Svella Connect Limited,7042606,45204,9944.23
Metro Programme Director,60612,Electricity Utility Costs,10695,Svella Connect Limited,7043410,45224,35000
Metro Programme Director,60612,Electricity Utility Costs,10695,Svella Connect Limited,7043453,45229,13603.64
ICT Project,31608,Software Maintenance,10701,Jumoo Limited,7043093,45229,1100
Create Central Projects,31572,Consultants,10703,Sarah Wood Media Ltd,7042542,45204,3334
Director of Network Resilience,31571,External Advice,20001,The Young Foundation,7043254,45222,16807.5
Accessible Transport,31604,IT Software Licenses and Applications,20014,Liftango Ltd,7042750,45204,1320
Digital Marketing,32434,Apprentices and Trainees Scheme,20022,BBC Birmingham,7043194,45218,1255.8
Digital Marketing,32434,Apprentices and Trainees Scheme,20022,BBC Birmingham,7043321,45222,502.32
Mayoral Events,31571,External Advice,20068,B:Music Ltd,7042568,45201,6500
Director of Housing & Regeneration,60780,General Expenditure,20088,1st Serve,7042442,45211,7100
Head of Operational Assets - Bus Stations,60395,Physical Construction,20109,SDC Fire & Security,7042629,45204,12492.56
"Executive Director of Strategy, Integration and Ne",30112,Learning & Development,20111,Unique Venues Birmingham Limited,7043140,45222,1742.5
Director of Communications,31571,External Advice,20130,iNHouse Communications Limited,7042616,45204,6250
Director of Integrated Network Services,30117,Health & Safety,20165,GPH Safety Ltd.,7043326,45222,1800
Community Green,31671,Revenue Contributions to Third Parties,20174,Heart of England Community Foundation,7042988,45218,59007
Create Central Projects,31572,Consultants,20228,Lorna Nickson - Brown,7042925,45215,2666.67
Learning and Development,30112,Learning & Development,20234,Legacy Consultants Ltd,7043439,45224,4492.5
Head of Health & Communities,31767,Events / Exhibitions,20245,The Exchange,7035880,45222,3318.75
Sprint,60343,Site Office Costs,20246,West Wallasey Car Hire Ltd,7042661,45208,632
Sprint,60343,Site Office Costs,20246,West Wallasey Car Hire Ltd,7042662,45208,598
Sprint,60343,Site Office Costs,20246,West Wallasey Car Hire Ltd,7043153,45229,921.17
Inclusion,30119,Staff Welfare,20259,New Leaf Health,7042302,45204,1670
Metro Programme Director,60001,Project Support Costs,20260,Constellia Public Limited,7041539,45224,9262.27
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7042326,45201,1969.23
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7042343,45201,1969.23
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7042344,45201,1969.23
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7042345,45201,1969.23
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7042346,45201,1969.23
Metro Programme Director,60001,Project Support Costs,20260,Constellia Public Limited,7042747,45215,6597.49
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7042843,45229,11275
Delivery Director - Rail,60001,Project Support Costs,20260,Constellia Public Limited,7042914,45229,4800
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7042919,45224,1969.23
Delivery Director - Rail,60001,Project Support Costs,20260,Constellia Public Limited,7043164,45229,4800
Delivery Director - Rail,60001,Project Support Costs,20260,Constellia Public Limited,7043324,45229,4800
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7043412,45224,2707.69
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7043413,45224,2707.69
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7043414,45224,2707.69
Sprint,60001,Project Support Costs,20260,Constellia Public Limited,7043415,45224,2707.69
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7043534,45229,508.96
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7043535,45229,508.96
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7043536,45229,508.96
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7043537,45229,508.96
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7043538,45229,508.96
Executive Director WMRE,60001,Project Support Costs,20260,Constellia Public Limited,7043539,45229,508.96
Director of Housing & Regeneration,31571,External Advice,20264,Coverdale Barclay,7042650,45211,2705
Director of Housing & Regeneration,31571,External Advice,20264,Coverdale Barclay,7042994,45211,2072
Tendered Bus Services,32425,Subsidised Services,20276,Solus Travel Ltd,40569,45224,5161.5
Tendered Bus Services,32425,Subsidised Services,20276,Solus Travel Ltd,40570,45224,2500
UKSPF,31571,External Advice,20293,Metro Dynamics,7043244,45222,54774.32
Energy Capital,31572,Consultants,20295,Wulfruna Consulting Ltd,7042278,45208,4795
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7039474,45204,2210
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7040945,45204,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7042645,45204,2340
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7043001,45215,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7043222,45218,2600
Head of Governance,31572,Consultants,20306,Peter Geach Associates Limited,7043431,45224,2600
Bus Service Improvement Plan (BSIP),31770,Marketing,20337,Brand Evolution Limited T/A Design One,7042989,45215,1770
Bus Service Improvement Plan (BSIP),31770,Marketing,20337,Brand Evolution Limited T/A Design One,7043345,45224,6850
Director of Housing & Regeneration,31571,External Advice,20340,Acumen Business Service Limited,7043275,45222,5035
Metro Programme Director,60001,Project Support Costs,20375,Allelys Heavy Haulage Limited,7042918,45218,5289.7
Metro Programme Director,60780,General Expenditure,20375,Allelys Heavy Haulage Limited,7043009,45215,7400
Metro Programme Director,60780,General Expenditure,20375,Allelys Heavy Haulage Limited,7043234,45218,2562.12
Inclusion,30119,Staff Welfare,20381,Enna CIC,7042841,45208,950
Homelessness,31671,Revenue Contributions to Third Parties,20400,Andy Meakin Consultancy Services,7043129,45222,6000
Head of Governance,31571,External Advice,20403,Venture Legal Consulting Ltd,3003883,45218,1837.03
Director of Finance,31571,External Advice,20403,Venture Legal Consulting Ltd,7042903,45211,18275
Head of Governance,31573,Legal Fees,20420,Browne Jacobson LLP,7043309,45222,1469.3
Head of Governance,31573,Legal Fees,20420,Browne Jacobson LLP,7043310,45222,603
Create Central Projects,31767,Events / Exhibitions,20423,Oval Digbeth Ltd,7043004,45215,2133
Homelessness,31671,Revenue Contributions to Third Parties,20430,Black Country Housing Group,7043188,45218,16150
Create Central Projects,31767,Events / Exhibitions,20457,Oval Digbeth Ltd- Fazeley Events,7039105,45208,630
Careers,31654,Hospitality Expenses,20459,Black Country Living Museum,7043228,45218,1750
Director of Housing & Regeneration,31571,External Advice,20465,Nimbus Property Systems Limited,7043190,45224,2550
Investment & Commercial Activities,31571,External Advice,20465,Nimbus Property Systems Limited,7043190,45224,1275
Environment,30010,Secondee Costs,20468,EEF Ltd T/A Make UK,7043127,45218,23176
"Director of Policy, Strategy & Innovation",60801,IT Software - Capital,20481,KL Systems Ltd,7043352,45224,1000
ICT Project,31608,Software Maintenance,20494,Tisski Ltd,7039442,45215,5100
ICT Project,31608,Software Maintenance,20494,Tisski Ltd,7042758,45208,12600
Youth Combined Authority,31571,External Advice,20517,New Possibilities Ltd,7042682,45204,4000
Head of Finance & Business Planning,30112,Learning & Development,20519,Edgbaston Park Hotel and Conference Centre,7042646,45222,6200
UKSPF,31671,Revenue Contributions to Third Parties,20536,Burns Owens Partnership Ltd t/a BOP Consulting,7042913,45211,9500
Director of Midlands Connect,31604,IT Software Licenses and Applications,20548,Haank Consulting with Cloud Constructions,7042855,45211,750
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7042600,45204,3054
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,20561,Plastics Plus Ltd,7043257,45222,1089
Head of Operational Assets - Bus Infrastructure,30758,Timetable Cases,20561,Plastics Plus Ltd,7043357,45224,2700
Head of Systems Change & Inclusion,31572,Consultants,20567,Barnardos,7043075,45215,6500
Head of Systems Change & Inclusion,31572,Consultants,20567,Barnardos,7043141,45218,6500
Environment,31572,Consultants,20579,Walking Projects Plus,7042854,45208,8200
Director of Housing & Regeneration,60001,Project Support Costs,20587,1st Horizon Surveying & Engineering Ltd,7043529,45229,2100
Careers,31671,Revenue Contributions to Third Parties,20596,Sandwell Inspired Partnership Services Education,7042745,45204,4288.71
Head of Health & Communities,31771,Stakeholder Engagement,20604,The Disability Policy Centre Ltd,7042585,45204,900
Tendered Bus Services,32425,Subsidised Services,20611,Chaserider Buses Ltd,40569,45224,23312.73
Tendered Bus Services,32425,Subsidised Services,20611,Chaserider Buses Ltd,40570,45224,6427.91
Commonwealth Games Legacy Fund,31671,Revenue Contributions to Third Parties,20643,United by 2022 Legacy Charity,7043313,45224,79945
ICT Project,31571,External Advice,20648,EBC Group,7042592,45204,8500
Director of Housing & Regeneration,60561,Contributions to 3rd Parties,20654,Liberty Developments Ltd,3003917,45226,229007.66
Energy Capital,60395,Physical Construction,20661,Cocuun Limited,7042704,45204,18432.96
Energy Capital,60395,Physical Construction,20661,Cocuun Limited,7042705,45204,2291.62
Energy Capital,60395,Physical Construction,20661,Cocuun Limited,7042708,45204,29447.43
ICT Project,31608,Software Maintenance,20691,Freshworks Inc,7042171,45208,6000
Homelessness,31671,Revenue Contributions to Third Parties,20706,Frontline Training Partnership,7042820,45208,790
Metro Programme Director,60633,Tram Purchase Payments,20711,SSG Support Services Group Ltd,7043139,45218,2682.5
Metro Programme Director,60633,Tram Purchase Payments,20713,Garic Limited,7042690,45204,910
Information Delivery Team,30504,Printing IBSS Timetables,20717,Cubiquity Limited,7042719,45215,7845.1
Information Delivery Team,30504,Printing IBSS Timetables,20717,Cubiquity Limited,7042924,45211,639.76
Careers,31571,External Advice,20737,J Rasmin Consultancy Ltd,7042602,45204,2730
Careers,31571,External Advice,20738,Julie Cornfield,7042794,45208,2520
Homelessness,31671,Revenue Contributions to Third Parties,20740,Solihull Churches Action on Homelessness,7043148,45218,1000
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7042856,45208,13586.13
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043409,45224,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043416,45224,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043417,45224,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043418,45224,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043419,45224,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043420,45224,3120
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043421,45224,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043422,45224,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043423,45224,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043424,45224,3900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7043425,45224,3900
Executive Director WMRE,30115,Staff Recruitment Costs,20746,Precision Resource Group Limited,7042857,45208,10625
Adult Education,32752,Provider Delivery Fees - Contract,20750,Goode Tutoring Ltd,8013497,45219,19286.74
Investment Programme Financing,60001,Project Support Costs,20751,Engineering Integration Ltd,7043241,45222,1700
Head of Swift,60001,Project Support Costs,20754,First Group Holdings Limited - Bus Centre,7043088,45215,4892.24
Environment,31571,External Advice,20759,Treeconomics Limited,7042456,45201,26786.75
16 Summer Lane FM,31571,External Advice,20772,Healthy Buildings International,7043259,45218,2475
Learning and Development,30112,Learning & Development,20773,ICS Learn,7042435,45201,2124.17
"Director of Policy, Strategy & Innovation",60190,Architects Fees,20774,BPN Architects,3003763,45201,5650
Adult Education,32752,Provider Delivery Fees - Contract,20779,Fairway Training Healthcare Ltd,8013497,45219,39567.47
Adult Education,32752,Provider Delivery Fees - Contract,20780,Free to Learn Ltd,8013497,45219,56619.15
Delivery Director - Metro,30961,Insurance,20797,Bradley-Mason LLP,7042720,45211,9000
Head of Health & Communities,31572,Consultants,20804,STRATEGIC LEISURE LIMITED,7042584,45204,11583
Director of Housing & Regeneration,60001,Project Support Costs,20809,Naismiths,7039248,45201,2500
ICT Project,31571,External Advice,20812,NCC Group Security Services Limited,7040504,45205,8400
ICT Project,31611,Cyber Security,20812,NCC Group Security Services Limited,7042900,45222,6000
Energy Capital,31767,Events / Exhibitions,20817,MTC Operation Ltd,7042468,45201,12234.25
"Director of Policy, Strategy & Innovation",31768,Market Research,20822,Bilendi,7042869,45218,4250
Accessible Transport,31571,External Advice,20830,Kytes Consultancy Ltd,7042153,45218,5000
Accessible Transport,31571,External Advice,20830,Kytes Consultancy Ltd,7043300,45222,5000
"Director of Policy, Strategy & Innovation",31571,External Advice,20841,West Midland Property & Plant Ltd,7042821,45208,2600
"Director of Policy, Strategy & Innovation",31571,External Advice,20841,West Midland Property & Plant Ltd,7043314,45224,866.67
Careers,32752,Provider Delivery Fees - Contract,20842,Learn Live LTD,7042749,45204,18000
Director of Housing & Regeneration,31571,External Advice,20853,Plan B Solutions Ltd,7042866,45211,3431.67
Procurement,31571,External Advice,20860,BUYINGTEAM LTD t/a Proxima,7042570,45204,25000
Commonwealth Games,31571,External Advice,20874,Participation People,7043501,45229,2595.53
Transport Assets,31571,External Advice,20879,BNP Paribas Real estate,3003840,45201,2950
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,20879,BNP Paribas Real estate,3003841,45201,3450
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,20880,Planning Prospects Ltd,3003839,45218,750
Learning and Development,30112,Learning & Development,20883,Pam Burrows People Booster,3003909,45222,9750
UKSPF,31767,Events / Exhibitions,20885,Satnam Rana-Grindley,7042804,45211,2000
DBT Growth Hub,31572,Consultants,20893,Yellow Door Education Solutions Ltd,7042791,45208,11128.25
Technical Engagement,30112,Learning & Development,20894,British Standard Institution-BSI Assurance UK Ltd,7041804,45208,2345
Director of Housing & Regeneration,30010,Secondee Costs,20895,Legal & General,7043318,45224,12460.68
Head of Swift,60001,Project Support Costs,20899,Hyperion Systems Limited (T/A Consult Hyperion),7043509,45229,15725
Executive Director WMRE,31774,Promotional Literature,20903,Sam Eedle Design,7043388,45224,940
Adult Education,32752,Provider Delivery Fees - Contract,20911,MAXIMUS UK SERVICES LIMITED,8013497,45219,4484.94
Executive Director WMRE,10286,Other Revenue Income,20915,Severnside Community Rail Partnership CIC,7043067,45215,675
Net Zero Neighbourhood,31671,Revenue Contributions to Third Parties,20916,Nehemiah Housing Association,7043317,45222,1500
Net Zero Neighbourhood,31671,Revenue Contributions to Third Parties,20916,Nehemiah Housing Association,7043508,45229,3500
Adult Education,32752,Provider Delivery Fees - Contract,20918,Realise Learning & Employment Limited,8013497,45219,7308.23
UKSPF,31770,Marketing,20925,Brio Media,7042647,45211,2200
Director of Housing & Regeneration,30112,Learning & Development,20926,Parker Piredda Ltd,7042628,45211,2250
Metro Programme Director,60141,Legal Advice,20929,Harrison Drury Solicitors,7042439,45218,2500
Director of Network Resilience,60870,Training,20930,Agilysis Ltd,7042565,45201,17500
Employment & Skills,31572,Consultants,20932,FE Associates Ltd,7042875,45211,7812.5
Safety and Security Manager,31576,Safety & Security,20939,Top2% Ltd,7043544,45229,1098
Director of Housing & Regeneration,30010,Secondee Costs,20943,YARDBIRD PLANNING LTD,3003850,45204,14130
Director of Housing & Regeneration,30010,Secondee Costs,20943,YARDBIRD PLANNING LTD,7042972,45211,11880
Director of Housing & Regeneration,30010,Secondee Costs,20943,YARDBIRD PLANNING LTD,7042973,45211,11340
Careers,32752,Provider Delivery Fees - Contract,20961,ABCoaching Services,7043002,45211,1500
DBT Growth Hub,31572,Consultants,20962,Oxford Innovation Advice,7043012,45211,5052.3
DBT Growth Hub,31572,Consultants,20962,Oxford Innovation Advice,7043013,45211,5147.41
DBT Growth Hub,31572,Consultants,20962,Oxford Innovation Advice,7043022,45211,5265.13
Mayoral Events,31767,Events / Exhibitions,20968,Diva Partnerships Birmingham Limited,3003923,45229,1500
Mayoral Office Costs,31767,Events / Exhibitions,20968,Diva Partnerships Birmingham Limited,3003924,45229,25000
"Director of Policy, Strategy & Innovation",60395,Physical Construction,20970,Trueform Engineering Ltd,7043327,45224,66137.99
Environment,31571,External Advice,20978,Stones Throw LTD,7043296,45224,4497.5
Commonwealth Games Legacy Fund,30010,Secondee Costs,20984,Historic England,7043510,45229,2907.05
Careers,32752,Provider Delivery Fees - Contract,20986,Eighty3Creative Limited,7043542,45229,680
Head of IT Delivery,31608,Software Maintenance,5011,Unit 4 Business Software Limited,7043426,45229,56481.44
Metro Programme Director,30601,Electricity,5054,Birmingham City Council,7042046,45218,15000
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8013490,45219,850194.42
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8013497,45219,7529.87
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40569,45224,493527.08
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40570,45224,179472.02
Concessions Schemes,32430,Child Travel Pass Concession,5055,Diamond Bus Ltd,40566,45224,6731.74
Bromsgrove Rail Station,31602,Telephone - Land Line,5070,British Telecommunications plc,3003913,45224,602.06
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7043336,45222,3155.94
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7043406,45224,4702.8
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7042533,45204,2735.57
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7042601,45204,4314.86
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7042608,45204,3838.38
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7042609,45204,5425.85
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7042610,45204,4384.35
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7042611,45204,4838.13
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7042612,45204,4824.13
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7042613,45204,4870.13
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7042614,45204,4227.68
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7042615,45204,4914.88
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7043079,45215,33120
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7043405,45224,4859.33
Head of Bus,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7043407,45224,16257.02
Head of Bus,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7043408,45224,16257.02
Adult Education,32751,Provider Delivery Fees - Grant,5147,Coventry City Council,8013490,45219,440697.33
Adult Education,32751,Provider Delivery Fees - Grant,5147,Coventry City Council,8013497,45219,1507.88
Director of Network Resilience,60561,Contributions to 3rd Parties,5147,Coventry City Council,3003921,45229,34457.06
Transport Assets,30661,Rents,5168,Dudley MBC,7042778,45208,562.5
Transport Assets,30661,Rents,5168,Dudley MBC,7042779,45208,2875
Bus Service Improvement Plan (BSIP),30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003838,45201,3207.3
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003838,45201,3420.23
Director of Midlands Connect,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003838,45201,1144.04
"Executive Director of Strategy, Integration and Ne",30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003838,45201,2901.45
Technical Engagement,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003838,45201,2919.15
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003838,45201,4743.99
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003838,45201,2267.7
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003838,45201,6961.05
Director of Communications,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003838,45201,1326.36
Bus Service Improvement Plan (BSIP),30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003846,45204,1787.52
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003846,45204,3420.33
"Executive Director of Strategy, Integration and Ne",30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003846,45204,2901.45
Technical Engagement,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003846,45204,2919.15
ICT Project,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003846,45204,7679.87
Head of Governance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003846,45204,6831.38
Head of Finance & Business Planning,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003846,45204,7931.8
Programme Support and Assurance,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003846,45204,3061.35
Head of Swift,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003908,45222,3420.28
Director of Midlands Connect,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003908,45222,1144.04
"Executive Director of Strategy, Integration and Ne",30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003908,45222,2901.45
Technical Engagement,30009,Staff Agency Services,5229,Hays Specialist Recruitment,3003908,45222,2270.45
