Cost Centre,Account,Expense Type,Supplier ID,Supplier Name,Trans No.,Payment Date,Amount excl. vat
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7046116,45306,5460
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7046397,45313,780
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7046522,45313,10134.3
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7046710,45316,14920.92
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7046711,45316,11900
Executive Director WMRE,30009,Staff Agency Services,20746,Precision Resource Group Limited,7046758,45320,2340
Adult Education,32752,Provider Delivery Fees - Contract,20750,Goode Tutoring Ltd,8014741,45314,7175.49
Head of Swift,60001,Project Support Costs,20754,First Group Holdings Limited - Bus Centre,7045150,45320,5146.26
Head of Swift,60001,Project Support Costs,20754,First Group Holdings Limited - Bus Centre,7046793,45320,4647
Adult Education,32752,Provider Delivery Fees - Contract,20779,Fairway Training Healthcare Ltd,8014741,45314,36355.68
Adult Education,32752,Provider Delivery Fees - Contract,20780,Free to Learn Ltd,8014742,45314,36408.61
Metro Programme Director,60140,Compensation Claims,20783,Friends Cafe and Fish Bar,7045963,45299,3888
Head of Health & Communities,31771,Stakeholder Engagement,20804,STRATEGIC LEISURE LIMITED,7046988,45322,7833.5
Head of Governance,31577,Professional Advice,20806,Dac Beachcroft Claims Limited,7045846,45299,1035
"Director of Policy, Strategy & Innovation",31571,External Advice,20811,FOD Mobility group,7046147,45302,2500
"Director of Policy, Strategy & Innovation",60801,IT Software - Capital,20811,FOD Mobility group,7045854,45302,169887.5
Careers,32752,Provider Delivery Fees - Contract,20818,Midlands Creative,7046796,45320,1800
Employment & Skills,31572,Consultants,20827,AoC Services Limited,7046937,45322,2070
Accessible Transport,31571,External Advice,20830,Kytes Consultancy Ltd,7046073,45299,5000
Accessible Transport,31571,External Advice,20830,Kytes Consultancy Ltd,7046627,45316,5000
"Director of Policy, Strategy & Innovation",31571,External Advice,20841,West Midland Property & Plant Ltd,7046355,45306,1733.33
"Director of Policy, Strategy & Innovation",31571,External Advice,20841,West Midland Property & Plant Ltd,7046619,45313,866.67
Metro Programme Director,60780,General Expenditure,20851,Harry Needle Railroad company Ltd,7046112,45299,3995
Adult Education,32752,Provider Delivery Fees - Contract,20861,PTP Training Ltd,8014742,45314,1128.93
Investment Programme Financing,60561,Contributions to 3rd Parties,20876,MIRA TECHNOLOGY PARK LIMITED (Horiba Mira Ltd),3003940,45300,981501.44
Investment Programme Financing,60561,Contributions to 3rd Parties,20876,MIRA TECHNOLOGY PARK LIMITED (Horiba Mira Ltd),3004171,45293,593068.51
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,20879,BNP Paribas Real estate,7046909,45322,1500
Adult Education,32752,Provider Delivery Fees - Contract,20889,Impact Futures Training Limited,8014742,45314,7578.44
DBT Growth Hub,31572,Consultants,20893,Yellow Door Education Solutions Ltd,7046963,45322,6050
Director of Housing & Regeneration,30010,Secondee Costs,20895,Legal & General,7046714,45316,4615
Head of Swift,60001,Project Support Costs,20899,Hyperion Systems Limited (T/A Consult Hyperion),7046442,45313,2650
Adult Education,32752,Provider Delivery Fees - Contract,20907,Imeta Training and Solutions Ltd,8014742,45314,99431.45
Adult Education,32752,Provider Delivery Fees - Contract,20910,CECOS Computing International Ltd,8014742,45314,17853.09
Adult Education,32752,Provider Delivery Fees - Contract,20911,MAXIMUS UK SERVICES LIMITED,8014742,45314,37405.56
Adult Education,32752,Provider Delivery Fees - Contract,20918,Realise Learning & Employment Limited,8014742,45314,32342.84
Delivery Director - Sustainable Transport,60001,Project Support Costs,20923,Ramboll,7046538,45313,7571.25
Director of Housing & Regeneration,30112,Learning & Development,20926,Parker Piredda Ltd,7046059,45302,2250
Director of Network Resilience,60870,Training,20930,Agilysis Ltd,7046572,45313,17500
Safety and Security Manager,31576,Safety & Security,20939,Top2% Ltd,7046720,45316,11167.4
Director of Housing & Regeneration,30115,Staff Recruitment Costs,20943,YARDBIRD PLANNING LTD,7046350,45306,10350
Inclusion,30119,Staff Welfare,20963,Genius Within CIC,7046443,45316,1575
UKSPF,31572,Consultants,20969,RSM UK Consulting LLP,7045991,45299,20986.88
UKSPF,31572,Consultants,20969,RSM UK Consulting LLP,7046919,45322,20986.88
Delivery Director - Rail,60395,Physical Construction,20973,Kier Integrated Services Ltd,7046612,45313,1001127.31
Delivery Director - Rail,60395,Physical Construction,20973,Kier Integrated Services Ltd,7046639,45316,1001127.31
Head of IT Delivery,31608,Software Maintenance,20974,CI-Centerprise International Ltd,7046692,45316,11700
Commonwealth Games Legacy Fund,30010,Secondee Costs,20984,Historic England,7046318,45302,5814.09
Executive Director WMRE,31770,Marketing,20996,Perpetua Press,7046244,45302,689
UKSPF,31572,Consultants,20997,Oxford Innovation Services Ltd,7046185,45299,37603.12
UKSPF,31572,Consultants,20997,Oxford Innovation Services Ltd,7046281,45302,19969.2
UKSPF,31767,Events / Exhibitions,21020,The Midlands Business Network,7046721,45320,645
Head of Health & Communities,31767,Events / Exhibitions,21031,Iron House Ventures,7046243,45306,650
Environment,31767,Events / Exhibitions,21031,Iron House Ventures,7046609,45313,600
Commonwealth Games Legacy Fund,31770,Marketing,21036,Studio Seventy Seven,7046393,45313,1105
Head of Finance & Business Planning,31571,External Advice,21040,Birmingham Analytics,7046029,45299,8047.5
Metro Programme Director,60054,Investigations and Surveys,21055,Hydrock Consultants Ltd,7046314,45322,1250
Commonwealth Games Legacy Fund,31571,External Advice,21065,Enterprise Nation,7046392,45306,32910
Commonwealth Games Legacy Fund,31571,External Advice,21065,Enterprise Nation,7046768,45320,18395
Delivery Director - Sustainable Transport,60054,Investigations and Surveys,21075,Hambleton Risk Management Limited,7046356,45306,20732.39
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045904,45299,562.5
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045906,45299,1362.5
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7045907,45299,2362.5
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7046939,45322,1399.61
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7046940,45322,1442.97
Head of Operational Assets - Rail Car Parks,30932,Facilities Management,21080,Excel Parking Services Limited,7046941,45322,1737.45
Head of Systems Change & Inclusion,31571,External Advice,21082,VAAB Enterprises Limited T/A Unfound Studio,7046818,45322,675
Head of Systems Change & Inclusion,31571,External Advice,21082,VAAB Enterprises Limited T/A Unfound Studio,7046949,45322,675
DBT Growth Hub,31572,Consultants,21087,RE PARKER CONSULTING,7046041,45302,1488.7
DBT Growth Hub,31572,Consultants,21087,RE PARKER CONSULTING,7046180,45302,1488.7
Commonwealth Games Legacy Fund,31571,External Advice,21090,Locality,7046405,45306,16690
Head of Finance & Business Planning,30112,Learning & Development,21091,Hull College,7046620,45313,541.67
Head of Health & Communities,31774,Promotional Literature,21094,Infogr8 limited,7046659,45316,9280
Head of Health & Communities,31771,Stakeholder Engagement,21097,The William Wilson Turner Foundation (CIO),7046575,45313,1470.83
Head of Governance,30112,Learning & Development,21099,Governance Training and Consultancy Ltd,7046063,45299,995
UKSPF,31767,Events / Exhibitions,21106,The Sign Life ltd,7045964,45302,750
Metro Programme Director,60140,Compensation Claims,21119,Balle Limited T/A Subway,7046971,45322,49232
Thrive at Work,31577,Professional Advice,21176,The Wellbeing Project Limited,7046965,45322,27700
Mayoral Events,31767,Events / Exhibitions,21182,UK Bodyguards Security,7046775,45322,2632
Head of Operational Assets - Bus Infrastructure,30755,EPI Maintenance,5006,VIX ACIS Ltd,7046298,45306,22319.43
Head of IT Delivery,31608,Software Maintenance,5011,Unit 4 Business Software Limited,7045908,45293,173451.94
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8014739,45314,850194.42
Adult Education,32751,Provider Delivery Fees - Grant,5054,Birmingham City Council,8014740,45314,29368.46
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40604,45313,484456.26
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,40605,45313,161424.24
Tendered Bus Services,32425,Subsidised Services,5055,Diamond Bus Ltd,3004154,45293,302809.55
Concessions Schemes,32430,Child Travel Pass Concession,5055,Diamond Bus Ltd,40607,45313,6551.63
Bromsgrove Rail Station,31602,Telephone - Land Line,5070,British Telecommunications plc,3004151,45295,602.06
Bromsgrove Rail Station,31602,Telephone - Land Line,5070,British Telecommunications plc,3004221,45313,602.06
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7045897,45295,2900.37
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7046900,45322,6800
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7046901,45322,4067.5
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,5077,Bus Shelters Ltd,7046902,45322,3940
Head of Operational Assets - Bus Infrastructure,60395,Physical Construction,5077,Bus Shelters Ltd,7044976,45313,4185.68
Head of Operational Assets - Bus Infrastructure,60395,Physical Construction,5077,Bus Shelters Ltd,7044977,45313,4185.68
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045893,45295,4104.91
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045894,45295,3830.42
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045898,45295,3533.38
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045911,45295,3927.66
Head of Operational Assets - Bus Infrastructure,60636,Bus Shelter Purchases,5077,Bus Shelters Ltd,7045912,45295,3941.66
